occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.333,0.647,0.0724,0.185,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.189,0.452,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.818,0.196,0.444,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.196,0.444,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.196,0.444,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.818,0.204,0.442,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.222,0.44,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.222,0.44,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.818,0.222,0.44,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.818,0.226,0.442,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.235,0.448,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.235,0.448,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.235,0.448,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.831,0.244,0.464,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.857,0.263,0.496,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.857,0.263,0.496,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.857,0.263,0.496,0.0,0.0,0.0,0.0769,0,0,0,0
1.0,0.876,0.284,0.536,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.915,0.327,0.616,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.915,0.327,0.616,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.915,0.327,0.616,0.0,0.0,0.333,0.0,0,0,0,0
1.0,0.934,0.352,0.683,0.0,0.0,0.667,0.0,0,0,0,0
1.0,0.973,0.402,0.817,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.817,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.817,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.98,0.448,0.873,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.986,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.986,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.986,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.986,0.613,0.983,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.96,0.817,0.918,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.908,0.919,0.733,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.231,0,0,0,0
1.0,0.831,0.77,0.576,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.779,0.536,0.523,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.779,0.536,0.523,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.779,0.536,0.523,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.759,0.435,0.431,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.72,0.232,0.248,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.72,0.232,0.248,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.72,0.232,0.248,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.714,0.186,0.207,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.701,0.0954,0.123,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.654,0.0689,0.0987,0.0,0.0,0.0,0.0,0,0,0,0
