Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.533452533624413,51.666666666666686,46.10666666666668,0.0,50.494849580264216,0.0,0.0,0.0,22.533452533624413,49.591692883025026,50.494849580264216,49.140114534405434,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2586.9424523819994,17.621079608154968,-0.21225372517840313,2.8,1649.4170580976931,-483.03241937708765,-0.0,-0.0,192.1711952987801,0.0,1.0,0.025007990061101347,0.0,0,0.6379084678522343,65.99961422222222,-8.210329789811365,0.2583293472633765,8.607649999471967,0.0031693164085889567,-11.669012651675802,1.2281193229135168
2025-01-01 00:01:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.486170757005546,51.666666666666686,46.10666666666668,0.0,50.49135840915239,0.0,0.0,0.0,22.486170757005546,49.58853050174496,50.49135840915239,49.137116548041256,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2587.717607461619,17.68504719001321,-0.14828614332015988,2.8,1644.2371963026017,-485.99078383907465,-0.0,-0.0,192.1711952987801,0.0,1.0,0.02505302465399509,0.0,0,0.6390572186348045,65.99961422222222,-10.431827122915816,0.25803172744121466,8.661026092116648,0.003169206670837423,-11.776782234675865,1.2314359927749923
2025-01-01 00:02:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.44046752073957,51.666666666666686,46.10666666666668,0.0,50.487874317306684,0.0,0.0,0.0,22.44046752073957,49.58537475606613,50.487874317306684,49.13412497544586,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2588.180240993486,17.74677990823744,-0.08655342509593211,2.8,1639.2373315843997,-488.8524878862886,-0.0,-0.0,192.1711952987801,0.0,1.0,0.025096464172004146,0.0,0,0.6401652819501567,65.99961422222222,-12.569987793903655,0.2570204307276533,8.689323184436812,0.0031690962178891717,-11.880337810697712,1.2311747453217674
2025-01-01 00:03:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.39626594499783,51.666666666666686,46.10666666666668,0.0,50.48439707003597,0.0,0.0,0.0,22.39626594499783,49.58222542445361,50.48439707003597,49.13113960166243,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2588.632917601385,17.80638670956166,-0.02694662377171042,2.8,1634.3903929931253,-491.6218787350267,-0.0,-0.0,192.1711952987801,0.0,1.0,0.025138387492429973,0.0,0,0.641234669815186,65.99961422222222,-14.647535536439992,0.25604778977111226,8.71704433443719,0.003168984770062792,-11.979862394155349,1.2309226033213712
2025-01-01 00:04:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.353494159994682,51.666666666666686,46.10666666666668,0.0,50.48092644407798,0.0,0.0,0.0,22.353494159994682,49.57908229616193,50.48092644407798,49.1281602222039,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2589.0671981424757,17.863969437214664,0.0,2.8,1630.0551697951796,-494.30304271103665,-0.0,-0.0,192.1711952987801,0.0,1.0,0.025178868286118664,0.0,0,0.6422672614395549,65.99961422222222,-16.301594758375817,0.25511171414296857,8.743648213175268,0.003168872365589688,-12.075550749793921,1.230679124935993
2025-01-01 00:05:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.31207164457659,51.666666666666686,46.10666666666668,0.0,50.477462226854556,0.0,0.0,0.0,22.31207164457659,49.575945170531924,50.477462226854556,49.12518664237062,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2589.483964666451,17.919642229622838,0.0,2.8,1626.2988994107984,-496.9007038170873,-0.0,-0.0,192.1711952987801,0.0,1.0,0.02521798866747964,0.0,0,0.6432651514129115,65.99961422222222,-17.460204036706372,0.2542099618121363,8.769802425594087,0.003168759040877514,-12.16761926715664,1.2304438174178678
2025-01-01 00:06:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.271919558928495,51.666666666666686,46.10666666666668,0.0,50.474004217757425,0.0,0.0,0.0,22.271919558928495,49.57281385820494,50.474004217757425,49.1222186784287,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2589.8842015560635,17.973516848691723,0.0,2.8,1622.78900748657,-499.4195391540807,-0.0,-0.0,192.1711952987801,0.0,1.0,0.02525582888268817,0.0,0,0.6442303866696394,65.99961422222222,-18.451260623941508,0.2533403738759618,8.794360429793006,0.0031686448302981132,-12.256279267463741,1.2302161991441607
2025-01-01 00:07:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.232974413697278,51.666666666666686,46.10666666666668,0.0,50.470552227898175,0.0,0.0,0.0,22.232974413697278,49.56968818088678,50.470552227898175,49.11925615738109,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2590.2784154246356,18.025683270140917,0.0,2.8,1619.450266190288,-501.8632639383811,-0.0,-0.0,192.1711952987801,0.0,1.0,0.025292453699437563,0.0,0,0.6451646193161211,65.99961422222222,-19.346277135923064,0.2525011791387507,8.8185829956332,0.003168529766231736,-12.341701828309555,1.2299958815266294
2025-01-01 00:08:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.195178475193636,51.666666666666686,46.10666666666668,0.0,50.46710607782661,0.0,0.0,0.0,22.195178475193636,49.56656796919348,50.46710607782661,49.116298914876914,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2590.65789028236,18.076223305696782,0.0,2.8,1616.252635665067,-504.2352584697982,-0.0,-0.0,192.1711952987801,0.0,1.0,0.02532792200574506,0.0,0,0.6460693514788679,65.99961422222222,-20.171913129726995,0.2516907696197204,8.841910297917064,0.003168413879449611,-12.42404264393406,1.2297825112698615
2025-01-01 00:09:00,2.0806623384796397,0.09060726397550535,0.0,0.03467770564132733,0.0015101210662584225,0.0,0.008241357641150466,0.0,0.12393236887267753,1.9484886119658118,0.0,0.0,0.0,0.09060726397550535,0.0,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028521290204678363,0.0,On,0.005389228620682629,0,On,0.0031226835720036925,0,On,0.08574493481814464,0.06430870111360847,On,0,0,Off,On,1948.488611965812,18.33333333333337,1.0,0.0,1.7379116888888888,0.21057692307692308,1,1737.9116888888889,1737.9116888888889,Off,0.0,0.0,22.1584779208409,51.666666666666686,46.10666666666668,0.0,50.46366559667518,0.0,0.0,0.0,22.1584779208409,49.56345306184349,50.46366559667518,49.11334679442765,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2591.023331267182,18.12521322125019,0.0,2.8,1613.1605951771528,-506.53868522104284,-0.0,-0.0,192.1711952987801,0.0,1.0,0.025362288665021954,0.0,0,0.6469459826239923,65.99961422222222,-20.960526866396485,0.2509076549185056,8.864384276026426,0.003168297199258438,-12.50344683722105,1.2295757592161898
