Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.053373001085312,51.666666666666686,46.10666666666668,0.0,51.12448773791466,0.0,0.0,0.0,21.053373001085312,51.15588209869626,51.17157927908707,51.12448773791466,12.43753247303448,21.259364909844468,0.0,2.8,-91.87280717475483,-256.7457247857015,-0.0,-0.0,146.0556987535045,0.0,1.0,0.010672565124893193,0.0,0,0.5267209198821226,65.99961422222222,18.817218857442185,0.2270209122495066,10.615318260363608,0.0034945393828106196,13.45790080840058,1.2127046384955082
2025-01-01 00:01:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.074995242039357,51.666666666666686,46.10666666666668,0.0,51.12136347143572,0.0,0.0,0.0,21.074995242039357,51.152927434178636,51.1687094155501,51.12136347143572,12.43753247303448,21.225701858960537,0.0,2.8,-92.57011042797254,-256.0634122906165,-0.0,-0.0,146.0556987535045,0.0,1.0,0.010663648886569243,0.0,0,0.5262808785989894,65.99961422222222,17.437603109139488,0.2281709025422245,10.625412400116968,0.003494787362990411,13.481780019045871,1.2163860068699173
2025-01-01 00:02:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.095951463115533,51.666666666666686,46.10666666666668,0.0,51.11823601786556,0.0,0.0,0.0,21.095951463115533,51.14996973516064,51.16583659380818,51.11823601786556,12.43753247303448,21.192981510931524,0.0,2.8,-93.29148315020575,-255.4008980594147,-0.0,-0.0,146.0556987535045,0.0,1.0,0.010654979876532801,0.0,0,0.5258530387228746,65.99961422222222,16.053716155704443,0.2286456473046768,10.611578247000754,0.0034950350313384115,13.50478824545494,1.2165210437377916
2025-01-01 00:03:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.11627741191967,51.666666666666686,46.10666666666668,0.0,51.11510547621994,0.0,0.0,0.0,21.11627741191967,51.14700909511258,51.16296090455891,51.11510547621994,12.43753247303448,21.16115319824688,0.0,2.8,-94.0685466110508,-254.7570991802635,-0.0,-0.0,146.0556987535045,0.0,1.0,0.01064654487495087,0.0,0,0.5254367478180686,65.99961422222222,14.632853815708213,0.2291089730691798,10.597530118898039,0.003495283094822546,13.526948850403329,1.216652422747337
2025-01-01 00:04:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.136008816733987,51.666666666666686,46.10666666666668,0.0,51.111971940200505,0.0,0.0,0.0,21.136008816733987,51.14404560248789,51.1600824336316,51.111971940200505,12.43753247303448,21.130166275599816,0.0,2.8,-94.17947644816664,-254.13093882384413,-0.0,-0.0,146.0556987535045,0.0,1.0,0.01063833064766451,0.0,0,0.5250313527418371,65.99961422222222,13.895763622172996,0.2295615102128794,10.58457893680923,0.0034955315385341887,13.548309778964672,1.2167803509344732
2025-01-01 00:05:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.155131056195216,51.666666666666686,46.10666666666668,0.0,51.108835498197735,0.0,0.0,0.0,21.155131056195216,51.14107934072586,51.157201261989925,51.108835498197735,12.43753247303448,21.100041588833193,0.0,2.8,-93.58146623815995,-253.5227880817346,-0.0,-0.0,146.0556987535045,0.0,1.0,0.010630342900066684,0.0,0,0.5246371350712697,65.99961422222222,13.885623090070197,0.23000288726234247,10.571400837442674,0.003495780348411131,13.568850331271172,1.216904739911525
2025-01-01 00:06:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.173626754019736,51.666666666666686,46.10666666666668,0.0,51.10569624077451,0.0,0.0,0.0,21.173626754019736,51.13811039531771,51.15431747258932,51.10569624077451,12.43753247303448,21.070803897624003,0.0,2.8,-92.6412626013454,-252.93309670270486,-0.0,-0.0,146.0556987535045,0.0,1.0,0.010622588376470678,0.0,0,0.5242544276570785,65.99961422222222,14.236135347854972,0.23043267653401345,10.559341871712192,0.003496029510036705,13.588546031499604,1.2170254850915252
2025-01-01 00:07:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.1915033472942,51.666666666666686,46.10666666666668,0.0,51.102554261075596,0.0,0.0,0.0,21.1915033472942,51.13513885419333,51.15143115075221,51.102554261075596,12.43753247303448,21.042442729574677,0.0,2.8,-91.79143116446878,-252.36160439941978,-0.0,-0.0,146.0556987535045,0.0,1.0,0.010615064474720676,0.0,0,0.5238831020756004,65.99961422222222,14.514474481446488,0.23085094905244039,10.54706575855132,0.0034962790085737738,13.607406288957954,1.2171426276335573
2025-01-01 00:08:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.208796365816294,51.666666666666686,46.10666666666668,0.0,51.099409651139545,0.0,0.0,0.0,21.208796365816294,51.132164804238855,51.14854238078852,51.099409651139545,12.43753247303448,21.014907719786095,0.0,2.8,-91.03891111714691,-251.80725029039803,-0.0,-0.0,146.0556987535045,0.0,1.0,0.01060775799790972,0.0,0,0.5235225070225904,65.99961422222222,14.71264041974663,0.2312583459841601,10.535212643005151,0.003496528829356941,13.625478943145445,1.2172563738694662
2025-01-01 00:09:00,0.1329710346687143,0.07079857666747835,0.0,0.0022161839111452383,0.001179976277791306,0.0,0.006593216079021245,0.0,0.07637781858969303,0.0,0.05,0.0,0.0,0.056215243334145015,0.0,0.01458333333333334,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.002524835526315789,0.0,On,0.004068380552705456,0,On,0.001424160810832993,0,On,0.04164214482045732,0.03123160861534298,On,Off,0.0,21.444444444444485,0.0,0.0,0.0,0.0,0,0.0,898.7766821898543,0.0,Off,0.0,22.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,1539.8492070752936,Off,0.0,0.0,21.22553972698573,51.666666666666686,46.10666666666668,0.0,51.096262497723245,0.0,0.0,0.0,21.22553972698573,51.12918832735411,51.14565124216955,51.096262497723245,12.43753247303448,20.98815078777617,0.0,2.8,-90.18618551049065,-251.26902428985088,-0.0,-0.0,146.0556987535045,0.0,1.0,0.0106006563381125,0.0,0,0.5231720202616937,65.99961422222222,15.027140025855738,0.23165548343788872,10.523757824960168,0.003496778958563719,13.642809707432171,1.2173669208906226
