Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.58846413381377,51.666666666666686,46.10666666666668,0.0,50.706638863260984,0.0,0.0,0.0,89.98197520908401,50.75363457677583,50.777132433533254,50.706638863260984,12.43753247303448,12.694841162870343,0.0,5.750421925916583,2.8,9.236100170605994,-216.93412412474925,-970.0026088155553,-682.1586472002737,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05290039437342956,0.0,0.0,0.5009963698032414,65.99961422222222,42.400567977167796,0.3031137298986326,5.639935172420631,0.002706755739129315,-1.8134692914520674,1.2496333175527181,0.2583292750312522,-993.2884920783476,23.285883262792286
2025-01-01 00:01:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.57623616935103,51.666666666666686,46.10666666666668,0.0,50.69396944479152,0.0,0.0,0.0,89.96286901461097,50.74167100338165,50.76552178267672,50.69396944479152,12.43753247303448,12.690937099788243,0.0,5.78273560600862,2.8,9.236100170605994,-219.43448195637654,-981.573678290696,-681.747465944228,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05288937566418287,0.0,0.0,0.5008920164539348,65.99961422222222,39.48902888949465,0.3040763142441164,5.658446743737862,0.0027067495163240357,-1.8001193012112484,1.25330078056924,0.258404967802793,-1004.4614394654454,22.88776117474945
2025-01-01 00:02:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.56442816965377,51.666666666666686,46.10666666666668,0.0,50.68130298769321,0.0,0.0,0.0,89.94441901508402,50.72970997025578,50.753913461537074,50.68130298769321,12.43753247303448,12.686758055732664,0.0,5.8127241080190934,2.8,9.236100170605994,-221.8950554109075,-992.4411936119873,-681.307433414745,-0.0,-0.0,422.8239550983568,0.0,1.0,0.052877579758844696,0.0,0.0,0.5007803026222523,65.99961422222222,36.588422905480726,0.304158978691579,5.65654435294293,0.0027067433574037964,-1.7859126842275348,1.2533191089709972,0.2584751941592998,-1014.8360467604281,22.39485314844077
2025-01-01 00:03:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.55301816709759,51.666666666666686,46.10666666666668,0.0,50.6686393992847,0.0,0.0,0.0,89.92659088608998,50.71775139015368,50.74230738558817,50.6686393992847,12.43753247303448,12.682318460612338,0.0,5.840572528461137,2.8,9.236100170605994,-224.32490877594046,-1002.6759156751593,-680.840090883099,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05286504716938314,0.0,0.0,0.500661611979227,65.99961422222222,33.69122700880179,0.3042468730803259,5.653990689375942,0.0027067372471793706,-1.7708921603549346,1.2533385803542982,0.258540391842019,-1024.4751345932564,21.799218918097054
2025-01-01 00:04:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.541987051312105,51.666666666666686,46.10666666666668,0.0,50.65597859172637,0.0,0.0,0.0,89.90935476767517,50.705795180394404,50.73070347472842,50.65597859172637,12.43753247303448,12.677630860689169,0.0,5.866440480421079,2.8,9.236100170605994,-225.86218471641996,-1011.9930012633283,-680.3467811329404,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05285181309234106,0.0,0.0,0.500536277855837,65.99961422222222,31.660641318163677,0.3043397523430619,5.651796857812623,0.002706731188439475,-1.755097533661429,1.2533591398079613,0.2586009382002736,-1033.432909667237,21.439908403908746
2025-01-01 00:05:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.53129375861079,51.666666666666686,46.10666666666668,0.0,50.64332048139071,0.0,0.0,0.0,89.89264649782936,50.69384126226706,50.719101652705234,50.64332048139071,12.43753247303448,12.672722314075981,0.0,5.8904940820206315,2.8,9.236100170605994,-226.20376985117457,-1020.7055686772894,-679.8303731639829,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05283795370386462,0.0,0.0,0.5004050216828608,65.99961422222222,30.80264821445143,0.3044370815506615,5.648974697551799,0.0027067251838361135,-1.7386143360348232,1.2533806687826508,0.25865722518556544,-1041.766007592738,21.060438915448714
2025-01-01 00:06:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.52089104241113,51.666666666666686,46.10666666666668,0.0,50.63066499369876,0.0,0.0,0.0,89.87639225376739,50.68188956559142,50.70750185153776,50.63066499369876,12.43753247303448,12.66762397337514,0.0,5.912864909167508,2.8,9.236100170605994,-226.4152203295863,-1028.8138088351473,-679.2941641178892,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05282355676707805,0.0,0.0,0.5002686746262501,65.99961422222222,30.054988689946125,0.30453824341083763,5.646545403192816,0.0027067192357278368,-1.7215409800434944,1.2534030307621737,0.25870956337855483,-1049.5192499644083,20.705441129261047
2025-01-01 00:07:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.51076326162611,51.666666666666686,46.10666666666668,0.0,50.618012064482045,0.0,0.0,0.0,89.86056759629079,50.669940030002394,50.695904012762576,50.618012064482045,12.43753247303448,12.662346114565715,0.0,5.933675083208435,2.8,9.236100170605994,-226.6524078883749,-1036.3584430527974,-678.7392531888986,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05280865111544259,0.0,0.0,0.5001275097550357,65.99961422222222,29.262890202166886,0.304643037050745,5.644013090852049,0.00270671334613562,-1.7039100198310297,1.2534261807689595,0.25875824080474663,-1056.7343049069423,20.375861854144883
2025-01-01 00:08:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.50089996959662,51.666666666666686,46.10666666666668,0.0,50.605361633019406,0.0,0.0,0.0,89.8451562024947,50.6579925983842,50.684308081066604,50.605361633019406,12.43753247303448,12.65689558407028,0.0,5.953036014204469,2.8,9.236100170605994,-226.4714581121009,-1043.3811083889361,-678.1663784167284,-0.0,-0.0,422.8239550983568,0.0,1.0,0.05279325590236718,0.0,0.0,0.49998170846273,65.99961422222222,28.870965206270718,0.30475132998428395,5.640880543000095,0.002706707516968635,-1.6857431802094016,1.2534500888628017,0.2588035200609313,-1063.4492327113517,20.06812432241563
2025-01-01 00:09:00,0.4269154194014147,0.27594496502979576,0.0,0.007115256990023578,0.004599082750496596,0.0,0.016457714946372475,0.3604577044550422,0.0,0.05,0.0,0.0,0.2613616316964624,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06146676809128052,0.04610007606846038,On,0,0,Off,0.003999287280701754,0.0,On,0.012458427665670721,0,On,0.011975528859758864,0,On,0.28701540750400284,0.21526155562800206,On,0,0,Off,Off,0.0,11.666666666666686,0.0,0.0,0.0,0.0,0,0.0,5462.144078157202,0.0,Off,0.0,15.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8209.801035555556,Off,0.0,0,57.49127874599812,51.666666666666686,46.10666666666668,0.0,50.59271364089253,0.0,0.0,0.0,89.83012304062207,50.64604721579127,50.67271400324065,50.59271364089253,12.43753247303448,12.65128714332719,0.0,5.97104957162616,2.8,9.236100170605994,-226.4844124802196,-1049.9177715086907,-677.5771089448726,-0.0,-0.0,422.8239550983568,0.0,1.0,0.052777412645409034,0.0,0.0,0.4998316639438582,65.99961422222222,28.268741366296336,0.30486283133472963,5.6381586250162865,0.0027067017500613756,-1.6670871395125832,1.253474690387917,0.2588456411122412,-1069.6988751506437,19.78110364195289
