Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.2634587601577834,0.17000213319524343,0.0,0.2634587601577834,0.17000213319524343,0.0,0.01982433056393551,0.2436344295938479,0.0,0.0,0.0,0.0,0.0,0.17000213319524343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.004278193530701754,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,477.11976888888887,0.0,0.0,81.18841418216694,51.66666666666668,46.10666666666668,0.0,49.269905789443605,0.0,0.0,0.0,126.85689715963582,49.30332589061526,49.3200359412011,49.269905789443605,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2251.091986581528,19.04375995588783,0.0,2.8,-184.34970643980284,-514.9271703997307,0.0,0.0,316.5052245850425,0.0,1.0,0.024324308331310607,0.0,0.0,0.6204689869629745,65.99961422222222,14.072239374885447,0.20356603037896545,8.777469832296982,0.0027208650867141405,26.863044906091165,1.2259818160146312
2025-01-01 01:00:00,0.26209728279657857,0.16922167356044177,0.0,0.26209728279657857,0.16922167356044177,0.0,0.01950346604913288,0.24259381674744568,0.0,0.0,0.0,0.0,0.0,0.16922167356044177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04058390100968627,0.030437925757264693,0.0,0.0,0.003957329015899122,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,477.11976888888887,0.0,0.0,79.02996055405825,51.66666666666668,46.10666666666668,0.0,48.27008467410228,0.0,0.0,0.0,123.484313365716,48.30473336806845,48.322057715051535,48.27008467410228,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2248.350543269075,18.849576199703513,0.0,2.5,-142.94474832292727,-468.44705938081216,0.0,0.0,315.1437472238376,0.0,1.0,0.021999435699978587,0.0,0.0,0.5611657029093144,65.99961422222222,10.358563834047354,0.2072206974452465,8.705136277524469,0.0027362552304477723,29.493476977561645,1.2268452747294643
2025-01-01 02:00:00,0.26105666995017635,0.1684412139256401,0.0,0.26105666995017635,0.1684412139256401,0.0,0.01950346604913288,0.24155320390104346,0.0,0.0,0.0,0.0,0.0,0.1684412139256401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.003957329015899122,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,477.11976888888887,0.0,0.0,76.8633212397802,51.66666666666668,46.10666666666668,0.0,47.29560284058312,0.0,0.0,0.0,120.09893943715657,47.333132243599174,47.35189694510721,47.29560284058312,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.1725664972605,18.685384649556468,0.0,1.6500000000000001,-119.47388269831927,-442.1885715345578,0.0,0.0,314.10313437743537,0.0,1.0,0.01983228520877022,0.0,0.0,0.5058856245793784,65.99961422222222,8.611554458803198,0.2107547375980293,8.649567267033314,0.0027545564170488234,35.06605257356373,1.227521979102344
2025-01-01 03:00:00,0.2776083974272391,0.16766075429083843,0.0563144042650771,0.2776083974272391,0.16766075429083843,0.0563144042650771,0.019289556372597792,0.24051259105464123,0.01780625,0.0,0.03871440426507711,0.017599999999999994,0.0,0.16766075429083843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850267531688185,0.028877006487661377,0.0,0.0,0.003743419339364035,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,879.2133333333333,0.0,76.02438620326075,51.66666666666668,46.10666666666668,0.0,47.182835209175124,0.0,0.0,879.2133333333333,118.78810344259493,47.20910939882823,47.22224649365479,47.182835209175124,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243.9465937633727,18.93105507821056,-0.5533901942890748,1.6500000000000001,334.0837981860376,-477.1785236062803,0.0,0.0,312.8486118544981,0.0,1.0,0.02112466771343199,0.0,0.0,0.5388519581956961,65.99961422222222,3.4876910489309125,0.2089756130489094,8.785961540743909,0.0027735789191141395,24.57497577631261,1.2264757780775775
2025-01-01 04:00:00,0.28406778458083687,0.16906779465603677,0.017599999999999994,0.28406778458083687,0.1690677946560368,0.017599999999999994,0.019289556372597792,0.23947197820823904,0.01780625,0.007499999999999999,0.0,0.017599999999999994,0.0,0.1668802946560368,0.0,0.002187500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.003743419339364035,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,0.0,0.0,88.80514680092752,51.66666666666668,46.10666666666668,0.0,52.33274915093062,0.0,0.0,0.0,138.75804187644923,52.36660432567589,52.38353191304852,52.33274915093062,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,2237.23111631521,19.26830338573161,-0.23169661426844682,0.55,275.8869358225544,-535.389912401961,0.0,0.0,311.80799900809586,0.0,1.0,0.02181723055335462,0.0,0.0,0.5565179800961774,65.99961422222222,4.542830327530791,0.2053628696906485,8.951902277806571,0.0027850606703545065,33.02200297512896,1.2244776208041057
2025-01-01 05:00:00,0.284495603933907,0.16906779465603677,0.017599999999999994,0.284495603933907,0.1690677946560368,0.017599999999999994,0.019717375725667965,0.23947197820823904,0.01780625,0.007499999999999999,0.0,0.017599999999999994,0.0,0.1668802946560368,0.0,0.002187500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.0041712386924342105,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,0.0,0.0,85.60975193398544,51.66666666666668,46.10666666666668,0.0,51.24357455100817,0.0,0.0,0.0,133.76523739685223,51.27942508107112,51.29735034610258,51.24357455100817,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,2232.7040482631987,19.37197303715017,-0.12802696284988518,-0.25000000000000006,256.81515321670685,-557.4315115038575,0.0,0.0,312.235818361166,0.0,1.0,0.02159194030579881,0.0,0.0,0.5507712345044987,65.99961422222222,7.084827470509483,0.20575700852573314,9.024234167046016,0.002810005376781789,35.67385493707648,1.223410877394442
2025-01-01 06:00:00,0.39921508023805813,0.19328602506610534,0.0563144042650771,0.39921508023805813,0.19328602506610534,0.0563144042650771,0.06973648163993078,0.3041723485981273,0.01780625,0.007499999999999999,0.03871440426507711,0.017599999999999994,0.0,0.19109852506610536,0.0,0.002187500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.00470601288377193,0.0,0.06503046875615885,0.0,0.0493743151766534,0.0,0.21525474525818983,0.16144105894364233,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,879.2133333333333,0.0,82.23863959313525,51.66666666666668,46.10666666666668,0.0,50.728862639378995,0.2910049401828702,768.1231243512339,879.2133333333333,128.4978743642738,50.204709633015405,50.73200873941619,49.93948702979642,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,2238.9676408584232,19.57752120851692,-0.009252283317418453,0.3,373.1012658973054,-553.2778766912817,0.0,0.0,424.8406122922071,0.0,1.0,0.021843513900717496,0.0,0.0,0.5571884206155999,65.99961422222222,6.61251140749126,0.20409534274036567,9.133843402216767,0.002823181714438435,21.150071214295984,1.2225422440880007
2025-01-01 07:00:00,0.40132455924808225,0.19561450385551604,0.04857152341206168,0.4013245592480822,0.19561450385551604,0.048571523412061675,0.06623859216346832,0.3022797170846138,0.01780625,0.014999999999999998,0.030971523412061684,0.017599999999999994,0.0,0.19123950385551605,0.0,0.004375000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.004385148368969297,0.0,0.061853443794499016,0.0,0.04729371194392571,0.0,0.21336149128459964,0.16002111846344969,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,703.3706666666666,0.0,80.57025644389192,51.66666666666668,46.10666666666668,0.0,51.2893354205677,0.25876478373400796,700.0224918706652,703.3706666666666,125.89102569358114,49.851400870650835,51.2893354205677,49.1324335956924,12.43753247303448,0.0,22.77777777777783,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,2233.810659891383,19.866718313530296,0.0,-0.55,281.2091649400416,-607.7781079045526,0.0,0.0,385.47731843104907,0.2916652745119809,0.48325,0.02257428955287748,0.0,0.0,0.5758291820472111,31.89431357288889,8.583935524656237,0.20121028668166321,9.278599815550084,0.002833771310470632,5.843634271968458,1.2213277159508613
2025-01-01 08:00:00,0.29634302945977775,0.1751575928300451,0.017599999999999994,0.29634302945977775,0.1751575928300451,0.017599999999999994,0.018861737019527616,0.2446750424402501,0.01780625,0.014999999999999998,0.0,0.017599999999999994,0.0,0.1707825928300451,0.0,0.004375000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.0033155999862938598,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,0.0,0.0,79.15067764170381,51.66666666666668,46.10666666666668,0.0,50.47894678684904,0.0,0.0,0.0,123.67293381516218,49.136493382836306,50.47894678684904,48.46526668082994,12.43753247303448,0.0,23.888888888888914,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,2225.0272887895476,19.67798932870302,0.0,-1.4,112.07124790497195,-648.2610787904138,0.0,0.0,250.58362966481454,11.862605486550967,0.0,0.023265540108012246,0.0,0.0,0.5934617299429298,0.0,14.82267814168233,0.2035398255521087,9.193716954419292,0.0028318676320794964,1.7834829750950993,1.2226903660672899
2025-01-01 09:00:00,0.2957013004301725,0.1751575928300451,0.017599999999999994,0.2957013004301725,0.1751575928300451,0.017599999999999994,0.018220007989922352,0.2446750424402501,0.01780625,0.014999999999999998,0.0,0.017599999999999994,0.0,0.1707825928300451,0.0,0.004375000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.0026738709566885965,0.0,0.015546137033233756,0.0,0.0169649186668566,0.0,0.1850449970709028,0.13878374780317707,0.0,0.0,494.9260188888888,20.000000000000057,0.9250000000000003,0.0,0.5158051555555554,0.01780625,1.0,477.11976888888887,477.11976888888887,0.0,0.0,76.72806761527862,51.66666666666668,46.10666666666668,0.0,49.39928879204868,0.0,0.0,0.0,119.88760564887282,48.16427552652185,49.39928879204868,47.54676889375844,12.43753247303448,0.0,23.888888888888914,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,2229.512258948327,19.605418278218945,0.0,-0.85,148.86958867701466,-617.7701031955678,0.0,0.0,249.94190063520927,57.00478694533911,0.0,0.022869020583913914,0.0,0.0,0.5833472360762474,0.0,21.771772348484316,0.20510528931210137,9.17291985802713,0.002839439291801485,25.12249828415979,1.2236015595323189
