Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Other Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Gas Grill Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.2626626304596969,0.14408134342921955,0.00035647649129509347,0.2626626304596969,0.14408134342921955,0.00035647649129509347,0.054046848409765445,0.0,0.20861578204993148,0.0,0.00035647649129509347,0.0,0.0,0.14408134342921955,0.0,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.017112774122807015,0.0,0.03693407428695843,0.0,0.016507324144305367,0.0,0.1524660637569704,0.11434954781772776,0.00035647649129509347,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,0.0,0.0,42.805063045434885,51.66666666666668,46.10666666666668,0.0,51.4571755228883,0.0,0.0,0.0,42.805063045434885,51.07759132125059,51.4571755228883,50.88779922043174,12.43753247303448,14.298035087266483,-0.00341840231089557,2.8,80.59417571867316,-508.9680561928059,0.0,0.0,581.9880771078201,0.0,5.0,0.033958160645133954,0.0,0.0,0.8662110859485621,329.99807111111113,7.574154803658873,0.397281202539294,7.950585374767156,0.003933712939469236,88.98724593007117,1.2453134722056656
2025-01-01 01:00:00,0.24778529839118638,0.14324187566440091,8.911912282377337e-05,0.24778529839118638,0.14324187566440094,8.911912282377337e-05,0.04606750544912727,0.0,0.20171779294205908,0.0,8.911912282377337e-05,0.0,0.0,0.14324187566440091,0.0,1.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.01582931606359649,0.0,0.030238189385530787,0.0,0.010728625389524463,0.0,0.15233783325759528,0.11425337494319646,8.911912282377337e-05,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,0.0,0.0,43.31721539083822,51.66666666666668,46.10666666666668,0.0,51.06791729145165,0.0,0.0,0.0,43.31721539083822,50.71468506597456,51.06791729145165,50.538068953236014,12.43753247303448,13.49415779456241,0.0,2.5,140.12191115461707,-428.4186185201678,0.0,0.0,567.1197211742658,0.0,5.0,0.029917148360145262,0.0,0.0,0.7631321920034295,329.99807111111113,1.4208085005189983,0.4239956855785759,7.626332613170435,0.0039853698096692725,105.69023813439613,1.2488267263762656
2025-01-01 02:00:00,0.235239388070382,0.13841123360653296,8.911912282377337e-05,0.23523938807038197,0.13841123360653296,8.911912282377337e-05,0.0429596544889029,0.0,0.1922797335814791,0.0,8.911912282377337e-05,0.0,0.0,0.13841123360653296,0.0,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.01582931606359649,0.0,0.02713033842530641,0.0,0.007731422106101757,0.0,0.14688803703415443,0.11016602777561578,8.911912282377337e-05,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,0.0,0.0,43.288028193166944,51.66666666666668,46.10666666666668,0.0,50.64993603332376,0.06722018919140142,178.0176445262493,0.0,43.288028193166944,50.17436308345891,50.64993603332376,49.93657660852648,12.43753247303448,12.970357042537925,0.0,1.6500000000000001,160.4123957509675,-392.6400210376158,0.0,0.0,554.9552965891023,0.0,5.0,0.026494892545391956,0.0,0.0,0.6758366533354356,329.99807111111113,-1.9028798005190288,0.44590217927232484,7.450904076618236,0.004050825572630033,122.82109624538478,1.251063583310555
2025-01-01 03:00:00,2.279721417830164,0.14175528588382635,0.00017823824564754673,2.279721417830164,0.14175528588382635,0.00017823824564754673,0.04165050963406028,2.0415822051851853,0.19648870301091836,0.0,0.00017823824564754673,0.0,0.0,0.14175528588382635,0.0,1.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.01497367735745614,0.0,0.026676832276604136,0.0,0.00748165516581653,0.0,0.15233783325759528,0.11425337494319646,0.00017823824564754673,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,2041.5822051851856,0.8166666666666667,42.68501717706224,51.66666666666668,46.10666666666668,0.0,49.82067712692632,0.6409546104232697,1655.9237256992221,2041.5822051851856,42.68501717706224,49.11324533028091,49.83113124348405,48.749075315400475,12.43753247303448,12.47229952212528,0.0,1.6500000000000001,162.8498748349932,-389.21444232752106,0.0,0.0,557.4736354280581,0.0,5.0,0.027549872609872624,0.0,0.0,0.7027472812948692,329.99807111111113,-5.409318265543915,0.4680720666736991,7.2869123277285,0.0041161654043845855,101.51729631786927,1.2531957906325544
2025-01-01 04:00:00,0.23089425846582876,0.1364918658905675,0.0006238338597664135,0.23089425846582876,0.13649186589056747,0.0006238338597664135,0.04165050963406028,0.0,0.18924374883176845,0.0,0.0006238338597664135,0.0,0.0,0.1364918658905675,0.0,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.01497367735745614,0.0,0.026676832276604136,0.0,0.00725459431101178,0.0,0.14631099978696657,0.10973324984022488,0.0006238338597664135,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,0.0,0.0,45.83347849180349,51.66666666666668,46.10666666666668,0.0,51.559657558249576,0.0,0.0,0.0,45.83347849180349,51.364036858878876,51.559657558249576,51.26622650919353,12.43753247303448,11.976137251295828,0.0,0.55,70.94075958085116,-418.8490661547676,0.0,0.0,495.62338123407443,0.0,4.16625,0.027962202390315435,0.0,0.0,0.7132650661248164,274.9708927533333,-5.833555498455635,0.48820160021857373,7.090227690528805,0.004157301825327444,65.41570982675897,1.2547563503901245
2025-01-01 05:00:00,0.23141740225551302,0.1356263100197857,0.0010694294738852804,0.23141740225551302,0.1356263100197857,0.0010694294738852804,0.04336178704634098,0.0,0.18805561520917202,0.0,0.0010694294738852804,0.0,0.0,0.1356263100197857,0.0,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.016684954769736842,0.0,0.026676832276604136,0.0,0.007220535182791068,0.0,0.1451569252925908,0.1088676939694431,0.0010694294738852804,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,0.0,0.0,46.094599694440895,51.66666666666668,46.10666666666668,0.0,51.14717699686829,0.0,0.0,0.0,46.094599694440895,50.97688100683468,51.14717699686829,50.891733011817884,12.43753247303448,11.363800887498023,0.0,-0.25000000000000006,67.19971989974775,-411.68643676148594,0.0,0.0,485.25487437392053,0.0,4.0,0.026917127767194945,0.0,0.0,0.6866071080083422,263.9984568888889,-6.368717712686873,0.5130509962353706,6.834546434660546,0.004198101856978635,64.0811368584959,1.2567950830127073
2025-01-01 06:00:00,0.7513840726665688,0.13942104878911174,0.0025844545618894277,0.7513840726665688,0.1394210487891117,0.0025844545618894277,0.056518415541929365,0.49997931555555564,0.19488634156908383,0.0,0.0025844545618894277,0.0,0.0,0.13942104878911174,0.0,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.01882405153508772,0.0,0.037694364006841646,0.0,0.008991609850268123,0.0,0.14823445727759274,0.11117584295819453,0.0025844545618894277,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,499.9793155555556,0.2,45.25046608244657,51.66666666666668,46.10666666666668,0.0,50.566457686280664,0.18170520603364393,480.4678244183213,499.9793155555556,45.25046608244657,49.81143918982643,50.566457686280664,49.433929941599324,12.43753247303448,10.942337367193504,0.0,0.3,124.54474152113524,-368.4778719887872,0.0,0.0,505.0268019904705,0.0,4.0,0.026354361586469793,0.0,0.0,0.6722519634634061,263.9984568888889,-12.004188480548125,0.5310168942427042,6.65916246267592,0.004225509029210553,47.814259898923545,1.2586387554590577
2025-01-01 07:00:00,1.3491802677014144,0.1549488782512576,0.004099479649893574,1.3491802677014146,0.15494887825125758,0.004099479649893574,0.12131347103186728,0.9999586311111113,0.22790816555843604,0.0,0.004099479649893574,0.0,0.0,0.1549488782512576,0.0,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.01754059347587719,0.0,0.10377287755599009,0.0,0.021309661223425837,0.0,0.16695611018635448,0.12521708263976583,0.004099479649893574,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,999.9586311111112,0.4,46.37278506134048,51.66666666666668,46.10666666666668,0.0,51.401868806393935,0.3019366702187867,817.8022700054361,999.9586311111112,46.37278506134048,50.38438203715737,51.40252409967988,49.87498335925316,12.43753247303448,10.569375126100171,0.0,-0.55,138.16664320970304,-396.02189752347084,0.0,0.0,546.5059874083696,3.8920540899504315,3.16625,0.02698329617197451,0.0,0.0,0.6882949440003603,208.97127853111112,-12.317446675195749,0.5468167915236748,6.496900118278493,0.00424465182228077,15.508052137296634,1.260278804873344
2025-01-01 08:00:00,0.8567748123213093,0.16300131160592446,0.003921241404246028,0.8567748123213093,0.16300131160592446,0.003921241404246028,0.1503813178469207,0.45831437259259267,0.24807912188179593,0.0,0.003921241404246028,0.0,0.0,0.16300131160592446,0.0,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.013262399945175439,0.0,0.13711891790174527,0.0,0.030744039740563226,0.0,0.1767016281388606,0.1325262211041454,0.003921241404246028,0.0,0.0,0.0,8.888888888888914,0.0,0.0,0.0,0.0,0.0,0.0,3022.73544,458.31437259259263,0.18333333333333332,45.531984030236345,51.66666666666668,46.10666666666668,0.0,51.243720565411444,0.2464198153127758,665.6781010466414,458.31437259259263,45.531984030236345,49.333107870712006,51.243720565411444,48.377801523362294,12.43753247303448,10.240665165671304,0.0,-1.4,217.20811632208716,-432.9543256495244,0.0,0.0,611.6450073634408,290.61954717427903,3.4175,0.02812805775722923,0.0,0.0,0.7174957357121983,225.55368160444445,38.51743460817075,0.5608921006657436,6.351809603172821,0.004257597840805244,47.01800787813048,1.2623232868800875
2025-01-01 09:00:00,3.8146124950571765,0.15747137132037414,0.003653884035774708,3.8146124950571765,0.15747137132037414,0.003653884035774708,0.12420540516370498,0.3749844866666667,0.23905967697039435,3.0763629262564103,0.003653884035774708,0.0,0.0,0.15747137132037414,0.0,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.010695483826754386,0.0,0.1135099213369506,0.0,0.02909784854322878,0.0,0.16932837442479348,0.12699628081859507,0.003653884035774708,0.0,0.0,3076.3629262564104,15.5555555555556,0.9833333333333333,0.0,2.9723565159999996,0.10400641025641025,0.9833333333333333,2972.356516,3022.73544,374.98448666666667,0.15,42.58378841290751,51.66666666666668,46.10666666666668,0.0,51.36214973080681,0.16711339402298148,454.2147172457633,374.98448666666667,42.58378841290751,49.929035189061224,51.36214973080681,49.21247791818843,12.43753247303448,13.365242687404605,-1.683673673444955,-0.85,3138.8137183482027,-590.3045873075354,0.0,0.0,538.438502726586,829.908562408688,2.83375,0.03140604889096578,0.0,0.0,0.8011113440296226,187.0264068022222,114.31687667274164,0.461560092350316,7.902650030184764,0.004279359282666266,33.10044986904054,1.2492054626474747
