Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,11.577657451318457,0.22066235874854667,0.0,0.19296095752197429,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,11.153114204444444,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,On,11153.114204444444,18.33333333333337,1.0,0.0,11.153114204444444,0.0,1,11153.114204444444,11153.114204444444,Off,0.0,0.0,23.731729367593417,51.666666666666686,46.10666666666668,0.0,51.87458104305934,0.0,0.0,0.0,23.731729367593417,51.876666728656375,51.87770957145489,51.87458104305934,12.43753247303448,18.178425600425417,0.0,-2.7999999982376753,-0.048128252536761944,2.8,9.236100170605994,10018.583132881171,96.3606946710016,2135.207051505027,-1756.954849089484,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08766597618195471,0.0,0,0.6393541208149883,263.9984568888889,14.13462365250615,0.22806988446218346,8.553827607845156,0.002896744490587512,59.519507478193646,1.2259712958219537,0,0,96.3606946710016,0.5436834545663999,2018.0099838094009,117.19706769562573
2025-01-01 00:01:00,11.577657451318457,0.22066235874854667,0.0,0.19296095752197429,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,11.153114204444444,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,On,11153.114204444444,18.33333333333337,1.0,0.0,11.153114204444444,0.0,1,11153.114204444444,11153.114204444444,Off,0.0,0.0,23.661340103464816,51.666666666666686,46.10666666666668,0.0,51.87243562450187,0.0,0.0,0.0,23.661340103464816,51.874668399019576,51.87578478627843,51.87243562450187,12.43753247303448,18.27637195939551,0.0,-2.4579834470117343,0.16692641440606643,2.8,9.236100170605994,9983.164177017117,92.67560159636587,1979.078867590665,-1774.6149494383249,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08798675982225783,0.0,0,0.6416936184313972,263.9984568888889,-3.624231862705784,0.22734597047325597,8.622654114708858,0.0028969048049212664,58.92272554549345,1.2291391538922443,0,0,92.67560159636587,0.5436834545663999,1865.6353621367653,113.44350545389969
2025-01-01 00:02:00,11.577657451318457,0.22066235874854667,0.0,0.19296095752197429,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,11.153114204444444,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,On,11153.114204444444,18.33333333333337,1.0,0.0,11.153114204444444,0.0,1,11153.114204444444,11153.114204444444,Off,0.0,0.0,23.5928759916618,51.666666666666686,46.10666666666668,0.0,51.87029658726848,0.0,0.0,0.0,23.5928759916618,51.872675996508875,51.873865701129084,51.87029658726848,12.43753247303448,18.371590618414945,0.0,-2.1303619871472232,0.3692272408127968,2.8,9.236100170605994,9948.506797690785,89.44903731599999,1832.4860076080295,-1791.8508648827606,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08829807412631761,0.0,0,0.64396405551358,263.9984568888889,-21.045695744604018,0.22600385059439546,8.667726502456727,0.002897063102802478,58.342485247717974,1.2287375672031802,0,0,89.44903731599999,0.5436834545663999,1722.2973340623414,110.18867354568812
2025-01-01 00:03:00,11.577657451318457,0.22066235874854667,0.0,0.19296095752197429,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,11.153114204444444,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,On,11153.114204444444,18.33333333333337,1.0,0.0,11.153114204444444,0.0,1,11153.114204444444,11153.114204444444,Off,0.0,0.0,23.526260001777928,51.666666666666686,46.10666666666668,0.0,51.8681637572468,0.0,0.0,0.0,23.526260001777928,51.870689359016886,51.87195215990194,51.8681637572468,12.43753247303448,18.464190794900567,0.0,-1.8160224976878134,0.559563691273288,2.8,9.236100170605994,9914.545970856238,86.30614751951572,1694.5284084295345,-1808.6766202863712,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08860032368171247,0.0,0,0.6461683827471595,263.9984568888889,-38.18076717553973,0.22470740894934968,8.710652115444073,0.002897219893075458,57.7779668012721,1.228347273446078,0,0,86.30614751951572,0.5436834545663999,1587.436533124039,107.09187530549555
2025-01-01 00:04:00,0.42454324687401246,0.22066235874854667,0.0,0.007075720781233541,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,0.0,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,11153.114204444444,Off,0.0,0.0,23.46142047238487,51.666666666666686,46.10666666666668,0.0,51.86603696729042,0.0,0.0,0.0,23.46142047238487,51.868708330922544,51.87004401273861,51.86603696729042,12.43753247303448,18.554274089555893,0.0,-1.5141159363568404,0.7386610584250648,2.8,9.236100170605994,-1267.9671344213448,83.28884901812992,1564.703117841243,-1825.1053232970921,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08889388418013847,0.0,0,0.6483093400780583,263.9984568888889,-51.1509649979574,0.22345444989420277,8.752794000315014,0.002897375215591339,57.228529676853356,1.227967823624544,0,0,83.28884901812992,0.5436834545663999,1460.5390611916027,104.16405664964024
2025-01-01 00:05:00,0.42454324687401246,0.22066235874854667,0.0,0.007075720781233541,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,0.0,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,11153.114204444444,Off,0.0,0.0,23.509561263685306,51.666666666666686,46.10666666666668,0.0,51.86391605673343,0.0,0.0,0.0,23.509561263685306,51.86673276263904,51.86814111559185,51.86391605673343,12.43753247303448,18.48393504815062,0.0,-1.2239412822308962,0.9072020111790883,2.8,9.236100170605994,-1250.2257585238863,80.39822082630285,1442.5157705363306,-1812.272343807109,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08866470550795381,0.0,0,0.6466379239272811,263.9984568888889,-46.24256859048174,0.22445332968958082,8.720674049456452,0.0028975291086135706,57.579936376544964,1.2282638825284453,0,0,80.39822082630285,0.5436834545663999,1341.1212207079682,101.39454982836234
2025-01-01 00:06:00,0.42454324687401246,0.22066235874854667,0.0,0.007075720781233541,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,0.0,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,11153.114204444444,Off,0.0,0.0,23.55635793778575,51.666666666666686,46.10666666666668,0.0,51.86179081061016,0.0,0.0,0.0,23.55635793778575,51.86475314066149,51.86623430568716,51.86179081061016,12.43753247303448,18.415500538352887,0.0,-0.9448960050157675,1.0658275457080217,2.8,9.236100170605994,-1232.717424946265,77.63506016379947,1327.5034224564392,-1799.8216031974348,-0.0,-0.0,608.2891538737047,0.0,4.0,0.0884414590697292,0.0,0,0.6450097719753776,263.9984568888889,-41.184975622535035,0.22543036166000577,8.688902420663066,0.0028976839092803076,57.92108743157294,1.2285520585437215,0,0,77.63506016379947,0.5436834545663999,1228.7288408769764,98.7745815794628
2025-01-01 00:07:00,0.42454324687401246,0.22066235874854667,0.0,0.007075720781233541,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,0.0,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,11153.114204444444,Off,0.0,0.0,23.6018893782733,51.666666666666686,46.10666666666668,0.0,51.85966135047956,0.0,0.0,0.0,23.6018893782733,51.86276957817125,51.864323692017095,51.85966135047956,12.43753247303448,18.348858662441334,0.0,-0.6764449611425527,1.2151394142681575,2.8,9.236100170605994,-1215.8043965479483,74.99769588465625,1219.2313593421352,-1787.730009869095,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08822380057302139,0.0,0,0.6434223732733806,263.9984568888889,-36.36354055255754,0.2263867667160681,8.658076053449534,0.0028978395905878847,58.252577177894466,1.2288328122020906,0,0,74.99769588465625,0.5436834545663999,1122.9355567482792,96.29580259385594
2025-01-01 00:08:00,0.42454324687401246,0.22066235874854667,0.0,0.007075720781233541,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,0.0,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,11153.114204444444,Off,0.0,0.0,23.646224679547686,51.666666666666686,46.10666666666668,0.0,51.8575277907675,0.0,0.0,0.0,23.646224679547686,51.86078218170728,51.86240937717717,51.8575277907675,12.43753247303448,18.28391141545814,0.0,-0.41810205926149,1.3557024470536438,2.8,9.236100170605994,-1199.2357849106797,72.48304575181618,1117.2914876468526,-1775.9772680798856,-0.0,-0.0,608.2891538737047,0.0,4.0,0.0880114290452113,0.0,0,0.6418735328068427,263.9984568888889,-31.547670704498756,0.22732360389786085,8.62749447592062,0.0028979961271070206,58.574925312582224,1.2291065465802082,0,0,72.48304575181618,0.5436834545663999,1023.3411640930354,93.95032355381707
2025-01-01 00:09:00,0.42454324687401246,0.22066235874854667,0.0,0.007075720781233541,0.0036777059791424445,0.0,0.03342908885728241,0.0,0.39111415801673005,0.0,0.0,0.0,0.22066235874854667,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004544051535087718,0.0,On,0.0008118998992376231,0.0,On,0.028073137422957067,0,On,0.034785750745558376,0,On,0.2591517278488665,0.1943637958866498,On,0.06211192893977599,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,11153.114204444444,Off,0.0,0.0,23.68942119983542,51.666666666666686,46.10666666666668,0.0,51.85539023965185,0.0,0.0,0.0,23.68942119983542,51.85879105199045,51.86049145815976,51.85539023965185,12.43753247303448,18.220577451840466,0.0,-0.16941873396017673,1.488046787641085,2.8,9.236100170605994,-1183.3025339202445,70.08716365942543,1021.3007217308689,-1764.5463311636156,-0.0,-0.0,608.2891538737047,0.0,4.0,0.08780409623783655,0.0,0,0.6403614400822941,263.9984568888889,-27.045356630334027,0.22824172487067412,8.598412998950089,0.0028981534947859653,58.888560636534976,1.2293735954453862,0,0,70.08716365942543,0.5436834545663999,929.5700355041972,91.73068622667161
