Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.0320819081137893,0.3652306189967076,0.40108750000000004,1.0320819081137893,0.3652306189967076,0.40108750000000004,0.025177999647662336,0.007382,0.4815864917994604,0.4679354166666666,0.05,0.0,0.40108750000000004,0.0,0.0,0.3506472856633743,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.00411596034356725,0.0,0.012994651716368768,0.0,0.008067387587726318,0.0,0.014056777581627784,0.0,0.42590520036174406,0.31942890027130794,8255.066153902213,19.222222222222253,0.44000000000000006,1616.6420049866765,11.754715927777777,0.4679354166666666,0.55,9403.772742222221,17097.768622222222,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,0.0,0.0,3.2728589606357955e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.2728589606357955e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.938188692351833,-0.050711005695578376,1.614306098062373,0.713433458083072,2.8,9.236100170605994,3888.367539393691,1140.4308668986753,204.34304685702045,-3131.927319800743,0.0,0.0,608.950355866245,0.0,2.0,0.14889056369422118,0.0,0.0,1.3253286762315557,131.99922844444444,-192.70841979358207,0.20621553176919233,8.747344066160846,0.0027376835171960905,-69.49418407033576,1.2264138943542113,0.0,0.0,61.00695615879316,0.12565443369000057,344.06442005587456,-139.72137319885414
2025-01-01 01:00:00,1.0165527371305083,0.36445015936190595,0.38893333333333335,1.0165527371305083,0.36445015936190595,0.38893333333333335,0.024869302621894792,0.007382,0.4805458789530581,0.4537555555555555,0.05,0.0,0.38893333333333335,0.0,0.0,0.3498668260285726,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04058390100968627,0.030437925757264693,0.0,0.0,0.0038072633177997062,0.0,0.012994651716368768,0.0,0.008067387587726318,0.0,0.014056777581627784,0.0,0.42590520036174406,0.31942890027130794,8004.912634086994,19.222222222222253,0.4266666666666667,1567.6528533204137,11.398512414814814,0.4537555555555555,0.5333333333333333,9118.809931851853,17097.768622222222,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,0.0,0.0,3.2713439641125e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.2713439641125e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.953345043390122,-0.05119511907382985,2.621778520512977,2.2176816679173608,2.5,9.236100170605994,3836.3336028449307,-1679.3822760157664,-65.4688738184106,-2984.3162817770935,0.0,0.0,607.6010459940753,0.0,2.0,0.13918672666545306,0.0,0.0,1.238951318495733,131.99922844444444,-190.8812686416473,0.20511545353387872,8.740696294893356,0.002725435717508421,-45.9470020450415,1.2264189082435109,0.0,0.0,59.16734299270834,0.09053093981409449,51.38246962707301,-116.85134344548361
2025-01-01 02:00:00,0.987152402061884,0.36366969972710433,0.36462500000000003,0.9871524020618839,0.36366969972710433,0.36462500000000003,0.024869302621894792,0.007382,0.47950526610665584,0.4253958333333333,0.05,0.0,0.36462500000000003,0.0,0.0,0.349086366393771,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.0038072633177997062,0.0,0.012994651716368768,0.0,0.008067387587726318,0.0,0.014056777581627784,0.0,0.42590520036174406,0.31942890027130794,7504.605594456557,18.66666666666671,0.4,1469.6745499878878,10.686105388888889,0.4253958333333333,0.5,8548.884311111111,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,0.0,0.0,3.330901903729631e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.330901903729631e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.357745340842417,-0.0560957632249778,1.7696772656122568,2.4428244112884863,1.6500000000000001,9.236100170605994,3644.7497204134083,-2142.7665391813275,-182.49238829382503,-2805.1011822612786,0.0,0.0,606.560433147673,0.0,2.0,0.12820997494379852,0.0,0.0,1.1412432873913583,131.99922844444444,-160.39400603823188,0.21251604028150875,8.456223454206652,0.0027204599445888097,-4.088098434604024,1.2289282618287654,0.0,0.0,67.1223120062101,0.05989395492559945,-61.462553790194306,-121.02983450363072
2025-01-01 03:00:00,1.0000858523094145,0.36288924009230267,0.3767791666666667,1.0000858523094145,0.36288924009230267,0.37677916666666667,0.02466350460471643,0.007382,0.47846465326025367,0.43957569444444444,0.05,0.0,0.3767791666666667,0.0,0.0,0.34830590675896933,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850267531688185,0.028877006487661377,0.0,0.0,0.0036014653006213445,0.0,0.012994651716368768,0.0,0.008067387587726318,0.0,0.014056777581627784,0.0,0.42590520036174406,0.31942890027130794,7754.759114271776,18.66666666666671,0.41333333333333333,1518.6637016541506,11.04230890185185,0.43957569444444444,0.5166666666666667,8833.847121481482,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,0.0,0.0,3.3318109016436085e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.3318109016436085e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.348646705042704,-0.05641596453981664,1.7037194086380785,2.214096073973818,1.6500000000000001,9.236100170605994,3731.4283947528065,-957.7015876070402,-170.79578957013956,-2913.168211760643,0.0,0.0,605.3140222840925,0.0,2.0,0.13339375387210725,0.0,0.0,1.1873859756482308,131.99922844444444,-164.52470718806455,0.21252118088583702,8.450271546025068,0.0027189729148429536,-56.58941631795737,1.228967690520132,0.0,0.0,64.77824643092792,0.07524199178875485,-42.38077031062556,-128.41501925951397
2025-01-01 04:00:00,0.9848653783519012,0.362108780457501,0.36462500000000003,0.9848653783519011,0.362108780457501,0.36462500000000003,0.02466350460471643,0.007382,0.4774240404138515,0.4253958333333333,0.05,0.0,0.36462500000000003,0.0,0.0,0.34752544712416766,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.0036014653006213445,0.0,0.012994651716368768,0.0,0.008067387587726318,0.0,0.014056777581627784,0.0,0.42590520036174406,0.31942890027130794,7504.605594456557,18.66666666666671,0.4,1469.6745499878878,10.686105388888889,0.4253958333333333,0.5,8548.884311111111,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,0.0,0.0,3.330799527942771e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.330799527942771e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.35879224279874,-0.05613929794187319,0.706056439848729,2.2236833467047976,0.55,9.236100170605994,3186.9494987716657,-3591.4027922371833,-248.9585066062002,-3210.910339283568,0.0,0.0,554.7736987710235,0.0,1.25,0.13723176688733318,0.0,0.0,1.221549515516851,82.49951777777778,-160.5983362810357,0.21093991018935773,8.431091469236689,0.0027016104344742995,-26.573230642415744,1.2283611588265955,0.0,0.0,78.23007546854689,0.07374063827906242,-122.35579560706121,-126.60271099913899
2025-01-01 05:00:00,1.0390190753016249,0.37475520933834905,0.448956686836486,1.0390190753016249,0.37475520933834905,0.44895668683648593,0.04127749091509357,0.007382,0.5007838899420869,0.43957569444444444,0.05,0.07217752016981928,0.3767791666666667,0.0,0.0,0.36017187600501566,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.00401306133497807,0.0,0.022991044542804585,0.0,0.014273385037310914,0.0,0.020554721935399114,0.0,0.4427671055362081,0.332075329152156,7754.759114271776,18.66666666666671,0.41333333333333333,1518.6637016541506,11.04230890185185,0.43957569444444444,0.5166666666666667,8833.847121481482,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,1595.7933367607193,216.1735758277864,3.3271007885973504e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.5834871686520112,1595.7933367607193,1595.7933367607193,3.3271007885973504e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.39579947389196,-0.05510650913442058,-0.3558376558268239,1.405672451391075,-0.25000000000000006,9.236100170605994,3252.6512329564475,-1467.0451322583892,-262.2407307332385,-3369.031396961315,0.0,0.0,577.0672976918681,0.0,1.0,0.13719767244370457,0.0,0.0,1.2212460285615996,65.99961422222222,-159.19195919152696,0.2108678044823126,8.452259052505887,0.002708297778414211,-16.45091951323951,1.22758410745061,0.0,0.0,82.1630983583895,0.06167086720741201,-117.82668897603251,-144.41404175720598
2025-01-01 06:00:00,1.173954164259456,0.41837616173976155,0.4515141580236055,1.173954164259456,0.41837616173976155,0.4515141580236055,0.09541901402389213,0.007382,0.5815774557911194,0.43957569444444444,0.05,0.07473499135693884,0.3767791666666667,0.0,0.0,0.4037928284064282,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.004527556377923975,0.0,0.0560773256117131,0.0,0.03481413203425506,0.0,0.04318701791588158,0.0,0.4988471497119537,0.37413536228396516,7754.759114271776,18.66666666666671,0.41333333333333333,1518.6637016541506,11.04230890185185,0.43957569444444444,0.5166666666666667,8833.847121481482,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,1652.3371951498787,223.83326945947962,3.3294810269760924e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.6041619108483423,1652.3371951498787,1652.3371951498787,3.3294810269760924e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.37194120634374,-0.05017165330063289,0.4180572903310627,1.2281737213766912,0.3,9.236100170605994,3496.839026746936,-2381.9932479711206,-221.78645749420218,-3248.801092160643,0.0,0.0,708.076783557397,0.0,1.0,0.13679383240711634,0.0,0.0,1.2176513025573383,65.99961422222222,-166.24395606723962,0.20982477380732348,8.420914938125025,0.002690898566282572,-96.94430120959872,1.2276972340624361,0.0,0.0,76.70970389988578,0.07097629499296391,-85.31428615276458,-136.4721713414376
2025-01-01 07:00:00,1.2935376324000687,0.43372026754242393,0.500065962351812,1.293537632400069,0.43372026754242393,0.500065962351812,0.11166516533552183,0.007382,0.614015467064547,0.510475,0.05,0.06251596235181196,0.43755000000000005,0.0,0.0,0.4191369342090906,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.004218859352156432,0.0,0.06629117457741877,0.0,0.041155131405946635,0.0,0.055166221452426015,0.0,0.5172247317560326,0.3879185488170243,9005.526713347868,18.66666666666671,0.48000000000000004,1763.6094599854653,12.823326466666666,0.510475,0.6,10258.661173333332,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,1382.1832050683395,187.2369554413898,3.3299037399814325e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.505382587021427,1382.1832050683395,1382.1832050683395,3.3299037399814325e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.367726506831577,-0.060489680224338115,-0.410230788698235,1.0056254955285469,-0.55,9.236100170605994,4289.184649162916,-2815.639733761476,-295.5327007975868,-3507.3049469174775,0.0,0.0,755.4745153993688,7.95716309163902,1.0,0.1405333854959757,0.0,0.0,1.250938415064576,65.99961422222222,-163.40628999727141,0.20889310719826076,8.404049682984239,0.0026781180828181067,-13.110612482123456,1.227724602872273,0.0,0.0,84.644812944471,0.0745506170413541,-157.1647983359648,-138.367902461622
2025-01-01 08:00:00,1.328901631832982,0.43876356837301705,0.4638176187733637,1.328901631832982,0.43876356837301705,0.46381761877336364,0.11586964343371045,0.007382,0.6309951272881605,0.524654861111111,0.05,0.014113452106696947,0.44970416666666674,0.0,0.0,0.4241802350396837,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.0031898692662646194,0.0,0.06952006876657735,0.0,0.04315970540086849,0.0,0.06542148056858213,0.0,0.5229085200170878,0.3921813900128157,9255.680233163088,18.66666666666671,0.49333333333333335,1812.598611651728,13.17952997962963,0.524654861111111,0.6166666666666667,10543.623983703703,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,312.0383296290646,42.27016115267741,3.3320552826489176e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.11409394767604944,312.0383296290646,312.0383296290646,3.3320552826489176e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.346219350442833,-0.06295107650051245,-1.2653730290748322,0.45336883986680726,-1.4,9.236100170605994,4329.961475759026,-2847.8854256166737,-337.6926724238917,-3797.7714276598044,0.0,0.0,776.2607885428971,512.2487975726419,1.0,0.14545029453592256,0.0,0.0,1.2947055980705242,65.99961422222222,-53.072071654537645,0.20999871374128856,8.408475522522933,0.002687471451662406,117.04860970012477,1.228384820841394,0.0,0.0,91.35473197598641,0.08132970042746004,-199.56696727937847,-138.12570514451318
2025-01-01 09:00:00,1.25438095871483,0.43876356837301705,0.40510079203513905,1.25438095871483,0.43876356837301705,0.40510079203513905,0.11674752600619835,0.007382,0.6406757382641872,0.43957569444444444,0.05,0.028321625368472388,0.3767791666666667,0.0,0.0,0.4241802350396837,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.0025724752147295317,0.0,0.0704426099634798,0.0,0.04373244082798902,0.0,0.07510209154460881,0.0,0.5229085200170878,0.3921813900128157,7754.759114271776,18.66666666666671,0.41333333333333333,1518.6637016541506,11.04230890185185,0.43957569444444444,0.5166666666666667,8833.847121481482,17097.768622222222,0.0,19.66666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10655.479457777777,626.1708762355053,84.82401466208417,3.330832553195427e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.22895362654455556,626.1708762355053,626.1708762355053,3.330832553195427e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.358457213667428,-0.05716266719449325,-0.8644848090142558,0.7359932098016327,-0.85,9.236100170605994,3493.8359826075307,-1453.8531850447837,-277.63845042002765,-3630.9591046294613,0.0,0.0,786.8192820914118,1334.7629805691295,1.0,0.14307962461313706,0.0,0.0,1.273603408968736,65.99961422222222,134.16851372815916,0.21275139525291112,8.460174162558644,0.002723571024145993,248.30345064795793,1.22892303175659,0.0,0.0,84.7243217265964,0.07976670679428487,-169.90394881993836,-107.73450160008929
