Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,3.935317459000812,0.21736818340879438,0.0,0.0655886243166802,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,3.395199381880342,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,On,3395.199381880342,13.888888888888914,1.0,0.0,3.289430151111111,0.10576923076923077,1,3289.430151111111,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.03298900223204,51.666666666666686,46.10666666666668,0.0,50.94672640685448,0.0,0.0,0.0,43.03298900223204,50.995869712554025,51.020441365403805,50.94672640685448,12.43753247303448,14.007749666669628,0.0,2.8,9.236100170605994,3345.0008080777825,-673.6237488039257,-0.0,-0.0,645.015546638909,0.0,2.0,0.046119152282980504,0.0,0,0.8582050603723261,131.99922844444444,-21.590371637543015,0.3016734475064473,6.588359406598974,0.0029358979115830185,22.495175197226484,1.2437479117900818
2025-01-01 00:01:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,42.922280500128544,51.666666666666686,46.10666666666668,0.0,50.940341326516624,0.0,0.0,0.0,42.922280500128544,50.98983039307369,51.01457492635222,50.940341326516624,12.43753247303448,14.09685361559744,0.0,2.8,9.236100170605994,-60.97032779067524,-680.9262347362649,-0.0,-0.0,645.015546638909,0.0,2.0,0.046251403278384846,0.0,0,0.8606660438873499,131.99922844444444,-25.05963969331935,0.30082606785061416,6.654285293051186,0.002936050299208734,22.22875676756021,1.2469940083840407
2025-01-01 00:02:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,42.956998917794344,51.666666666666686,46.10666666666668,0.0,50.933972778216905,0.0,0.0,0.0,42.956998917794344,50.983806610604105,51.00872352679771,50.933972778216905,12.43753247303448,14.06097932015941,0.0,2.8,9.236100170605994,-58.21882775418669,-677.982588486921,-0.0,-0.0,645.015546638909,0.0,2.0,0.04619816523944152,0.0,0,0.8596753675161729,131.99922844444444,-25.251785906174753,0.30154231063820497,6.6365337094145564,0.0029362004900653155,22.304952594577895,1.2471496520825918
2025-01-01 00:03:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,42.99006959184284,51.666666666666686,46.10666666666668,0.0,50.92759914670009,0.0,0.0,0.0,42.99006959184284,50.97777795569547,51.00286736019317,50.92759914670009,12.43753247303448,14.026516374580082,0.0,2.8,9.236100170605994,-55.8992180550066,-675.1592934940023,-0.0,-0.0,645.015546638909,0.0,2.0,0.046147011798624966,0.0,0,0.8587234822452803,131.99922844444444,-25.755471199913263,0.3022328236230984,6.619564288869377,0.0029363511769387547,22.37727726514289,1.2472992043217161
2025-01-01 00:04:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.0216490742331,51.666666666666686,46.10666666666668,0.0,50.92122067692001,0.0,0.0,0.0,43.0216490742331,50.971744659594805,50.99700665093221,50.92122067692001,12.43753247303448,13.99333045474625,0.0,2.8,9.236100170605994,-52.95718283305189,-672.444826083816,-0.0,-0.0,645.015546638909,0.0,2.0,0.046097744776464035,0.0,0,0.857806700265669,131.99922844444444,-25.52790338814487,0.3029000383997359,6.603302278906741,0.0029365023342941337,22.446097803065168,1.2474432442691301
2025-01-01 00:05:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.05182433005689,51.666666666666686,46.10666666666668,0.0,50.914837590558875,0.0,0.0,0.0,43.05182433005689,50.96570693157835,50.99114160208809,50.914837590558875,12.43753247303448,13.96134702426592,0.0,2.8,9.236100170605994,-49.72812874849603,-669.8326281456203,-0.0,-0.0,645.015546638909,0.0,2.0,0.04605025457546062,0.0,0,0.8569229821398641,131.99922844444444,-24.911047241784733,0.30354524084257506,6.5877063549759685,0.0029366539390211647,22.5116175715286,1.2475820919909644
2025-01-01 00:06:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.080679463568686,51.666666666666686,46.10666666666668,0.0,50.908450096370366,0.0,0.0,0.0,43.080679463568686,50.95966496871755,50.98527240489114,50.908450096370366,12.43753247303448,13.930493993245443,0.0,2.8,9.236100170605994,-46.13636325228424,-667.316393276178,-0.0,-0.0,645.015546638909,0.0,2.0,0.04600443510635054,0.0,0,0.8560703537131192,131.99922844444444,-23.835516615015287,0.3041696881106996,6.572225910729443,0.002936805969357888,22.574033435041738,1.2477160573421753
2025-01-01 00:07:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.10828214676031,51.666666666666686,46.10666666666668,0.0,50.90205839060499,0.0,0.0,0.0,43.10828214676031,50.95361895628049,50.97939923911826,50.90205839060499,12.43753247303448,13.900713383530745,0.0,2.8,9.236100170605994,-42.473410928799126,-664.8910116137138,-0.0,-0.0,645.015546638909,0.0,2.0,0.04596020112822749,0.0,0,0.855247228785916,131.99922844444444,-22.597945953994422,0.3047743760750233,6.557850998025011,0.0029369584048464328,22.633503708951007,1.2478453892194346
2025-01-01 00:08:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.13470187145064,51.666666666666686,46.10666666666668,0.0,50.895662659452626,0.0,0.0,0.0,43.13470187145064,50.947569070038114,50.97352227533087,50.895662659452626,12.43753247303448,13.871945643250085,0.0,2.8,9.236100170605994,-39.505197587083444,-662.5512844363742,-0.0,-0.0,645.015546638909,0.0,2.0,0.045917464969278295,0.0,0,0.8544519759233734,131.99922844444444,-21.969459789618266,0.305360346520382,6.543528224467398,0.002937111226078735,22.69019119095955,1.2479703436766498
2025-01-01 00:09:00,0.5401180771204703,0.21736818340879438,0.0,0.009001967952007838,0.0036228030568132394,0.0,0.14437664688504026,0.0,0.3857414302354301,0.0,0.010000000000000002,0.0,0.0,0.2144515167421277,0.0,0.0029166666666666685,1,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.01861984649122807,0.0,On,0.12575680039381218,0,On,0.09980607457925979,0,On,0.24431084180008183,0.18323313135006133,On,0,0,Off,Off,0.0,13.888888888888914,0.0,0.0,0.0,0.0,0,0.0,3289.430151111111,Off,0.0,22.222222222222285,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,448.1057288888889,Off,0.0,0.0,43.1600323057577,51.666666666666686,46.10666666666668,0.0,50.889263078772125,0.0,0.0,0.0,43.1600323057577,50.941515476008725,50.967641674627025,50.889263078772125,12.43753247303448,13.84411043144252,0.0,2.8,9.236100170605994,-36.15829346802548,-660.290363000932,-0.0,-0.0,645.015546638909,0.0,2.0,0.04587610797956648,0.0,0,0.8536823872363424,131.99922844444444,-20.883477106002577,0.30592906877019155,6.52972342013268,0.0029372644147247283,22.744315961292312,1.2480912674781186
