Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-08 23:00:00,1.1328771943826808,0.18982303587654561,0.0,0.41055950663901813,0.6782837795555555,0.04403390818810717,0.0,0.0,51.801099489236464,20.979149588635398,-0.0027412671577662215
2025-01-09 00:00:00,0.7204670940489777,0.1741336010425813,0.0,0.295259727092006,0.40080405155555554,0.024403315401416093,0.0,0.0,51.21194155704989,20.618910935734107,-0.07495064345808361
2025-01-09 01:00:00,1.1797325841880313,0.1662536136979301,0.0,0.23976796339083822,0.9249324266666666,0.015032194130526495,0.0,0.0,50.652402668130144,21.074343966048623,0.0
2025-01-09 02:00:00,0.7317614615989761,0.1655632764228053,0.0,0.23884751369067184,0.47788175377777775,0.015032194130526495,0.0,0.0,50.08975512597884,21.097057597587064,0.0
2025-01-09 03:00:00,0.854022729003342,0.1648729391476805,0.0,0.23792706399050545,0.6012060773333333,0.014889587679503104,0.0,0.0,49.55408988252656,20.646084263715668,-0.08655182314605181
2025-01-09 04:00:00,0.6064536321920644,0.16418260187255573,0.0,0.23700661429033903,0.3545574302222222,0.014889587679503104,0.0,0.0,49.00183534614724,20.96329959506237,-0.017240820436783662
2025-01-09 05:00:00,1.053789517983,0.16418260187255573,0.0,0.23700661429033903,0.8016081031111111,0.015174800581549887,0.0,0.0,48.49334161784541,20.736479121972216,-0.06356607351369169
2025-01-09 06:00:00,0.9172470695108912,0.1655632764228053,0.0,0.23884751369067184,0.662868239111111,0.015531316709108367,0.0,0.0,47.950576867634055,21.15651976169268,0.0
2025-01-09 07:00:00,0.772319021051281,0.18157117008002238,0.030441204886400744,0.28497444224446217,0.44705067288888883,0.04029390591793005,0.030441204886400744,0.0,50.59649620126343,20.527909631062816,-0.10617683293628216
2025-01-09 08:00:00,1.181145664235294,0.1676342882481797,0.0,0.24160886279117097,0.9249324266666666,0.014604374777456321,0.0,0.0,51.24552603574969,20.969782258421294,0.0
