Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.246627705664636,51.666666666666686,46.10666666666668,0.0,47.09624765113113,0.0,0.0,0.0,62.885355790100995,47.106359576409176,47.111415539048195,47.09624765113113,12.43753247303448,20.509044984780733,-0.1020661263304099,2.8,9.236100170605994,558.2058390768983,-623.5394511716552,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027017872216310763,0.0,0,0.6891769161785738,0.0,13.882522947506413,0.18707106890582878,9.45701475926658,0.0027463946717273943,-29.672045421163098,1.2163517437321507
2025-01-01 00:01:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.222889279853845,51.666666666666686,46.10666666666668,0.0,47.087384810378126,0.0,0.0,0.0,62.84826449977163,47.097998640036465,47.103305554865635,47.087384810378126,12.43753247303448,20.516356422206087,-0.09475468890505567,2.8,9.236100170605994,556.944890843834,-623.912953168241,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027022899204654054,0.0,0,0.6893051455334378,0.0,12.995076711027973,0.18751375654592098,9.484308884829257,0.0027461129302326663,-29.65408868869897,1.219874700043463
2025-01-01 00:02:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.199610831389876,51.666666666666686,46.10666666666668,0.0,47.07852738957432,0.0,0.0,0.0,62.81189192404668,47.08964263514446,47.09520025792953,47.07852738957432,12.43753247303448,20.523368829544264,-0.08774228156687869,2.8,9.236100170605994,555.7066182161085,-624.2712625418934,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027027720300660946,0.0,0,0.6894281229482404,0.0,12.115113456955012,0.1874135698652356,9.486825916594887,0.0027458321724077674,-29.635951990206955,1.2198457782626047
2025-01-01 00:03:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.17676512498021,51.666666666666686,46.10666666666668,0.0,47.069675287197725,0.0,0.0,0.0,62.77619550778157,47.08129146617629,47.087099555665574,47.069675287197725,12.43753247303448,20.530100109524092,-0.08101100158705066,2.8,9.236100170605994,554.4858396469566,-624.6152839316424,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027032347848352407,0.0,0,0.6895461632965676,0.0,11.238356277552064,0.18731669897109546,9.489926524616227,0.002745551579644274,-29.617580879852504,1.2198180254199222
2025-01-01 00:04:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.15432848281395,51.666666666666686,46.10666666666668,0.0,47.060828407728785,0.0,0.0,0.0,62.741138254396795,47.072945043233034,47.07900336098516,47.060828407728785,12.43753247303448,20.53656581963763,-0.07454529147351252,2.8,9.236100170605994,553.5965388988473,-624.945803288759,-0.0,-0.0,242.93034063438034,0.0,0.0,0.02703679257533954,0.0,0,0.6896595402203209,0.0,10.679574886559323,0.1872229587622452,9.492146848089858,0.002745271154438203,-29.59898938956418,1.2197913767373516
2025-01-01 00:05:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.132256516030054,51.666666666666686,46.10666666666668,0.0,47.051986660866504,0.0,0.0,0.0,62.70665080629696,47.06460328133465,47.07091159156872,47.051986660866504,12.43753247303448,20.542795209067293,-0.06831590204384952,2.8,9.236100170605994,553.1009355508063,-625.2643077145415,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027041074616922386,0.0,0,0.6897687673344841,0.0,10.502475964300903,0.18713200665950974,9.494975560909584,0.0027449908991375167,-29.580203148159057,1.2197657105901532
2025-01-01 00:06:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.11050328648354,51.666666666666686,46.10666666666668,0.0,47.04314996609113,0.0,0.0,0.0,62.67266138513053,47.056266104722546,47.062824174038255,47.04314996609113,12.43753247303448,20.548818560210393,-0.06229255090075014,2.8,9.236100170605994,552.6525949416374,-625.5723386639395,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027045214813241725,0.0,0,0.689874376233249,0.0,10.362166304530039,0.18704348901824283,9.496955847262285,0.002744710815819272,-29.561248561072034,1.219740901088512
2025-01-01 00:07:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.089051335583115,51.666666666666686,46.10666666666668,0.0,47.03431825300529,0.0,0.0,0.0,62.63914271184862,47.047933447181435,47.05474104426952,47.03431825300529,12.43753247303448,20.55464734425908,-0.05646376685206178,2.8,9.236100170605994,552.2539207528847,-625.8704767639161,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027049221070295674,0.0,0,0.689976568584288,0.0,10.261630215753993,0.18695726993926773,9.499567643528774,0.0027444309062813256,-29.542135943483487,1.2197169004878294
2025-01-01 00:08:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.06788426897665,51.666666666666686,46.10666666666668,0.0,47.025491455059466,0.0,0.0,0.0,62.606069170276015,47.039605246122946,47.04666214165469,47.025491455059466,12.43753247303448,20.560292332680437,-0.050818778430706146,2.8,9.236100170605994,551.8839279407989,-626.159267480687,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027053100810924734,0.0,0,0.6900755337307992,0.0,10.180428120439021,0.18687322194774655,9.502080052608962,0.0027441511722126524,-29.52287497576829,1.2196936639602234
2025-01-01 00:09:00,1.180866943564733,0.1669439509730549,0.0,0.019681115726078884,0.002782399182884248,0.0,0.015246103807061583,0.2406884130910046,0.9249324266666666,0.0,0.0,0.1669439509730549,0.0,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028521290204678363,0.0,On,0.012393974786593747,0,On,0.018096478460264694,0,On,0.18577394662408428,0.13933045996806318,On,0,0,Off,On,924.9324266666666,21.111111111111143,1.0,0.0,0.9249324266666666,0.0,1,924.9324266666666,924.9324266666666,Off,0.0,0,40.046988184756394,51.666666666666686,46.10666666666668,0.0,47.016669509317445,0.0,0.0,0.0,62.57341903868187,47.03128144236448,47.038587408888006,47.016669509317445,12.43753247303448,20.56576265329512,-0.04534845781602215,2.8,9.236100170605994,551.5277611086734,-626.4391727491552,-0.0,-0.0,242.93034063438034,0.0,0.0,0.027056860326349158,0.0,0,0.6901714321504004,0.0,10.104166556781678,0.18679123683040827,9.50376043836955,0.0027438716152000386,-29.503473905648583,1.2196711535130618
