Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,4.14561191027966,0.12708885901615474,0.0,0.06909353183799434,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,3.890377794188034,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,On,3890.377794188034,19.500000000000057,1.0,0.0,3.679800871111111,0.21057692307692308,1,3679.800871111111,3679.800871111111,Off,0.0,0.0,34.50202957287794,51.666666666666686,43.496666666666684,1828.536253807855,0,4.155833027617359,0.0,49.42728010549535,0.0,0.0,0.0,45.00270609717058,44.573492595669876,49.512854845094374,20.98212503721095,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3690.754826400641,19.493469076342386,-0.0065309236576709395,2.8,9.236100170605994,3541.857630481364,-784.3486169470457,-0.0,-0.0,443.5446910454633,0.0,3.0,0.036053288697800036,0.0,0,0.5034661191207285,197.99884266666666,-7.716237805087324,0.2279767848092238,9.443071540369168,0.0031448721430048458,65.93321744690151,1.2202795613682214
2025-01-01 00:01:00,4.14561191027966,0.12708885901615474,0.0,0.06909353183799434,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,3.890377794188034,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,On,3890.377794188034,19.500000000000057,1.0,0.0,3.679800871111111,0.21057692307692308,1,3679.800871111111,3679.800871111111,Off,0.0,0.0,34.42603566573251,51.666666666666686,43.496666666666684,1832.2666400677997,0,4.162459863680341,0.0,49.41894320859504,0.0,0.0,0.0,44.90138088764335,44.56970314400636,49.50867914318247,20.990640447275496,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3691.7285119274115,19.54361037898386,0.0,2.8,9.236100170605994,3534.9515819628477,-787.7438035010916,-0.0,-0.0,443.5446910454633,0.0,3.0,0.03610091705518944,0.0,0,0.5041312252766725,197.99884266666666,-11.227099769558052,0.22795567573436465,9.489982585590889,0.0031452137708234138,65.77449148629128,1.2236342473909247
2025-01-01 00:02:00,4.14561191027966,0.12708885901615474,0.0,0.06909353183799434,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,3.890377794188034,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,On,3890.377794188034,19.500000000000057,1.0,0.0,3.679800871111111,0.21057692307692308,1,3679.800871111111,3679.800871111111,Off,0.0,0.0,34.35224578576202,51.666666666666686,43.496666666666684,1834.0952262913202,0,4.165803628458567,0.0,49.41062642708747,0.0,0.0,0.0,44.802994381016035,44.56592222442941,49.50451064868772,20.99915843554158,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3692.248845060676,19.592213073215614,0.0,2.8,9.236100170605994,3528.285148947635,-791.0403298527909,-0.0,-0.0,443.5446910454633,0.0,3.0,0.036147064797581646,0.0,0,0.5047756553857573,197.99884266666666,-14.597006433071236,0.2272925573291432,9.512540585225082,0.003145553641871998,65.61958262419175,1.2234308421191589
2025-01-01 00:03:00,4.14561191027966,0.12708885901615474,0.0,0.06909353183799434,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,3.890377794188034,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,On,3890.377794188034,19.500000000000057,1.0,0.0,3.679800871111111,0.21057692307692308,1,3679.800871111111,3679.800871111111,Off,0.0,0.0,34.28054355052223,51.666666666666686,43.496666666666684,1835.8616964524667,0,4.169039699141982,0.0,49.40232931317084,0.0,0.0,0.0,44.70739140069631,44.56214958948561,49.50034915063593,21.00767858181204,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3692.7504662657393,19.63935860192623,0.0,2.8,9.236100170605994,3521.823535509609,-794.2432134039952,-0.0,-0.0,443.5446910454633,0.0,3.0,0.036191810986231844,0.0,0,0.505400513498813,197.99884266666666,-17.855736319893033,0.22665208361297295,9.53430365021244,0.0031458927688461577,65.46818126471568,1.2232335927325981
2025-01-01 00:04:00,4.14561191027966,0.12708885901615474,0.0,0.06909353183799434,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,3.890377794188034,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,On,3890.377794188034,19.500000000000057,1.0,0.0,3.679800871111111,0.21057692307692308,1,3679.800871111111,3679.800871111111,Off,0.0,0.0,34.210823596488126,51.666666666666686,43.496666666666684,1837.5691738647693,0,4.172173504737856,0.0,49.394051442013804,0.0,0.0,0.0,44.61443146198417,44.55838500478822,49.49619444918527,21.01620048880433,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3693.234399516916,19.685120685533565,0.0,2.8,9.236100170605994,3516.2585683425414,-797.3569968925741,-0.0,-0.0,443.5446910454633,0.0,3.0,0.03623522718405097,0.0,0,0.5060067989560482,197.99884266666666,-20.306919998381957,0.22603301781133533,9.55531186574396,0.003146231167925497,65.32011050523772,1.2230421854039948
2025-01-01 00:05:00,0.25523411609162555,0.12708885901615474,0.0,0.004253901934860426,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,0.0,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3679.800871111111,Off,0.0,0.0,34.142962316993746,51.666666666666686,43.496666666666684,1839.221311587743,0,4.17521138375007,0.0,49.38579240959376,0.0,0.0,0.0,44.52394975599166,44.55462824777998,49.49204635457207,21.024723779988843,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3693.7015367411013,19.729585867076594,0.0,2.8,9.236100170605994,-378.7531877318379,-800.3871428143698,-0.0,-0.0,443.5446910454633,0.0,3.0,0.03627739695899363,0.0,0,0.5065956787420931,197.99884266666666,-21.91073596293144,0.2254339635994921,9.575612087526544,0.0031465688544805525,65.17516301036852,1.222856253329064
2025-01-01 00:06:00,0.25523411609162555,0.12708885901615474,0.0,0.004253901934860426,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,0.0,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3679.800871111111,Off,0.0,0.0,34.2268358212253,51.666666666666686,43.496666666666684,1837.1660253738858,0,4.1718529759255025,0.0,49.37755183624233,0.0,0.0,0.0,44.635781094967065,44.55087910978137,49.487904688857384,21.03324810313461,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3694.1529205123866,19.66751856990064,0.0,2.8,9.236100170605994,-372.2013493868742,-796.1587290293477,-0.0,-0.0,443.5446910454633,0.0,3.0,0.03621852937639292,0.0,0,0.5057736224353183,197.99884266666666,-19.58731140298987,0.22632850424117607,9.54845321269943,0.0031469058429283428,65.2844023170531,1.2231152085219534
2025-01-01 00:07:00,0.25523411609162555,0.12708885901615474,0.0,0.004253901934860426,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,0.0,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3679.800871111111,Off,0.0,0.0,34.307926155302354,51.666666666666686,43.496666666666684,1835.0864889240079,0,4.16845172177066,0.0,49.36930011653484,0.0,0.0,0.0,44.743901540403144,44.54712055502785,49.483754928117044,21.041743880198858,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3693.534307165061,19.607394518815937,0.0,2.8,9.236100170605994,-366.21573670967643,-792.0711402755893,-0.0,-0.0,443.5446910454633,0.0,3.0,0.0361614755602628,0.0,0,0.5049768944688675,197.99884266666666,-17.689287479550416,0.2271996140644808,9.520982045020826,0.0031472433247323995,65.38914589589164,1.2233661527191895
2025-01-01 00:08:00,0.25523411609162555,0.12708885901615474,0.0,0.004253901934860426,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,0.0,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3679.800871111111,Off,0.0,0.0,34.386443835701016,51.666666666666686,43.496666666666684,1833.1314646970206,0,4.1652644026870345,0.0,49.361037792601856,0.0,0.0,0.0,44.84859178093469,44.54335289599513,49.47959733812463,21.050211680638757,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3692.9381451804734,19.549066248236375,0.0,2.8,9.236100170605994,-360.46903696664197,-788.113582475941,-0.0,-0.0,443.5446910454633,0.0,3.0,0.036106098283042544,0.0,0,0.5042035785285867,197.99884266666666,-15.900145536164302,0.22804904634661144,9.495103188647715,0.0031475812786615404,65.48973615573169,1.223609692471788
2025-01-01 00:09:00,0.25523411609162555,0.12708885901615474,0.0,0.004253901934860426,0.0021181476502692455,0.0,0.07103526919677489,0.001,0.1831988468948507,0.0,0.0,0.0,0.0002506236243534685,0.12683823539180128,0.0,0.0,1,0.0,0.0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.020472697368421052,0.0,On,0.05056257182835383,0,On,0.014081199705782258,0,On,0.1294752530404127,0.0971064397803095,On,0,0,Off,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3679.800871111111,Off,0.0,0.0,34.462555538726804,51.666666666666686,43.496666666666684,1831.1933855749287,0,4.162105425421316,0.0,49.352765365228144,0.0,0.0,0.0,44.95007405163574,44.539576421523485,49.475432164515645,21.05865203251039,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3692.362712623982,19.492417048661324,0.0,2.8,9.236100170605994,-355.0460659173949,-784.2774436612945,-0.0,-0.0,443.5446910454633,0.0,3.0,0.03605228918041471,0.0,0,0.5034521613610577,197.99884266666666,-14.313313301563817,0.22887815865108924,9.469439662472631,0.0031479196851085063,65.58644316916474,1.2238463069685626
