Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.21898257838996635,0.1475483308528637,0.06775416666666668,0.21898257838996638,0.1475483308528637,0.06775416666666667,0.01685694595078001,0.0,0.20212563243918635,0.0,0.06775416666666668,0.0,0.0,0.1475483308528637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.004021034356725146,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,1191.4073344444444,12.777777777777828,0.07,0.0,1.9856788907407408,0.0,0.11666666666666667,1191.4073344444444,10212.062866666667,0.0,0.0,26.92936610649041,51.66666666666668,46.10666666666668,0.0,51.09060361053607,0.0,0.0,0.0,26.92936610649041,50.6781251615163,51.09060361053607,50.47188593700641,12.43753247303448,12.454642473083094,-0.04618762256229176,5.94647291137079,1.627604886579205,2.8,9.236100170605994,318.4357712509066,-2096.7160230123523,1389.0211630657798,-1122.4734220023652,0.0,0.0,273.9859826563272,0.0,1.0,0.08918560378226113,0.0,0.0,0.8346890125243687,65.99961422222222,-24.484123847499855,0.30309459983636006,5.471917251470851,0.0026558839059556334,-30.636624013322074,1.2543166616528187,0.5237447354889307,-2147.8050018845265,51.088978872174415,0.9061390909439998,1384.4794628105094,4.5417002552704275
2025-01-01 01:00:00,0.2176899409594956,0.1468050359625764,0.14518750000000002,0.2176899409594956,0.1468050359625764,0.14518750000000002,0.016555368374025624,0.0,0.20113457258546996,0.0,0.14518750000000002,0.0,0.0,0.1468050359625764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.0037194567799707597,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,2553.015716666667,12.777777777777828,0.15,0.0,4.2550261944444445,0.0,0.25,2553.015716666667,10212.062866666667,0.0,0.0,26.8137015834124,51.66666666666668,46.10666666666668,0.0,50.94185761100338,0.0,0.0,0.0,26.8137015834124,50.542247186362616,50.94185761100338,50.34244197404224,12.43753247303448,12.482529408992995,-0.061502773996058566,6.24540529119559,2.514109787593566,2.5,9.236100170605994,1743.0138585194288,-1883.2149025023286,-12.219122623587744,-1045.4408372408445,0.0,0.0,272.69334522585643,0.0,1.0,0.08046658872450826,0.0,0.0,0.7530876580444616,65.99961422222222,-37.254366132249636,0.3019578102796658,5.479533074180149,0.002650430288939449,-17.38174564901242,1.2542595579992857,0.40837959288727393,-1929.1696482374725,45.95474573514379,0.9061390909439998,-16.920609084256366,4.701486460668627
2025-01-01 02:00:00,0.2166988811057792,0.14606174107228911,0.15486666666666668,0.2166988811057792,0.14606174107228911,0.15486666666666668,0.016555368374025624,0.0,0.20014351273175357,0.0,0.15486666666666668,0.0,0.0,0.14606174107228911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0037194567799707597,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,2723.2167644444444,12.777777777777828,0.16,0.0,4.5386946074074075,0.0,0.26666666666666666,2723.2167644444444,10212.062866666667,0.0,0.0,26.753355241609754,51.66666666666668,46.10666666666668,0.0,50.79377343012879,0.0,0.0,0.0,26.753355241609754,50.4069019117784,50.79377343012879,50.21346615260322,12.43753247303448,12.432404065866193,-0.06692194063783115,6.617141806676926,2.0127434410103193,1.6500000000000001,9.236100170605994,1928.0384134151147,-1760.7610415924785,-428.6999557522514,-1028.3765483880609,0.0,0.0,271.70228537214007,0.0,1.0,0.07277726540479681,0.0,0.0,0.6811231994713043,65.99961422222222,-38.50408801340897,0.3028241355729506,5.452226571373219,0.0026492721534649944,5.545043489714053,1.254480631219846,0.27897563316913626,-1802.4805244789734,41.71948288649483,0.9061390909439998,-430.7517808026297,2.0518250503782802
2025-01-01 03:00:00,0.21550676953422654,0.14531844618200182,0.5807500000000001,0.21550676953422654,0.1453184461820018,0.5807500000000001,0.016354316656189367,0.0,0.19915245287803718,0.0,0.5807500000000001,0.0,0.0,0.14531844618200182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.003518405062134503,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,10212.062866666667,19.444444444444457,0.6,0.0,17.020104777777778,0.0,1.0,10212.062866666667,10212.062866666667,0.0,0.0,24.50165219520993,51.66666666666668,46.10666666666668,0.0,50.65070046456999,0.0,0.0,0.0,24.50165219520993,50.27614142796509,50.65070046456999,50.08886190966265,12.43753247303448,15.498523437450185,-3.346288737868229,6.48290136604634,1.6924590751747552,1.6500000000000001,9.236100170605994,8736.44149666759,-2063.81135370036,-50.586194168478286,-1607.6202000541746,0.0,0.0,270.5101738005874,0.0,1.0,0.08837090359897894,0.0,0.0,0.8270642248607963,65.99961422222222,-138.511343745489,0.2489707753972124,6.991008881929138,0.002649074120411198,-39.0716562187461,1.2411762437661575,0.344727248483714,-2112.1987352778083,48.387381577448544,0.9061390909439998,-50.98115884223906,0.3949646737607625
2025-01-01 04:00:00,0.21451570968051012,0.14457515129171453,0.5807500000000001,0.21451570968051012,0.14457515129171453,0.5807500000000001,0.016354316656189367,0.0,0.1981613930243208,0.0,0.5807500000000001,0.0,0.0,0.14457515129171453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.003518405062134503,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,10212.062866666667,19.444444444444457,0.6,0.0,17.020104777777778,0.0,1.0,10212.062866666667,10212.062866666667,0.0,0.0,22.42106817662137,51.66666666666668,46.10666666666668,0.0,50.52152089083017,0.0,0.0,0.0,22.42106817662137,50.158243231942514,50.52152089083017,49.976604402498694,12.43753247303448,18.334560515884252,-0.622124240259372,6.383155644415903,1.4607364036613848,0.55,9.236100170605994,7977.384133005559,-2045.7551020790338,-1088.645878637798,-2371.6360333551047,0.0,0.0,269.519113946871,0.0,1.0,0.10124696146341966,0.0,0.0,0.9475713870964835,65.99961422222222,-132.5618142528743,0.20636793435392395,8.344629242060696,0.0026377100075986202,3.7407053658865013,1.2285141419735137,0.3096702236574778,-2106.4519857933315,60.696883714297755,0.9061390909439998,-1089.342523819912,0.6966451821141478
2025-01-01 05:00:00,0.21491781311618266,0.14457515129171453,0.46460000000000007,0.21491781311618266,0.14457515129171453,0.4646,0.01675642009186188,0.0,0.1981613930243208,0.0,0.46460000000000007,0.0,0.0,0.14457515129171453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.0039205084978070175,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,8169.650293333334,19.444444444444457,0.4799999999999999,0.0,13.616083822222224,0.0,0.8,8169.650293333334,10212.062866666667,0.0,0.0,21.678089752109713,51.66666666666668,46.10666666666668,0.0,50.39994464584232,0.0,0.0,0.0,21.678089752109713,50.04735473199218,50.39994464584232,49.87105977506712,12.43753247303448,19.278279476406404,-0.021982149761578817,6.595897468659985,0.10780502057896833,-0.25000000000000006,9.236100170605994,5683.215170868464,-2289.2343982399875,-430.77937280814336,-2684.610608531263,0.0,0.0,269.92121738254355,0.0,1.0,0.10438546893956582,0.0,0.0,0.9769447118817315,65.99961422222222,-71.74573131614974,0.19519007843777386,8.796506075966695,0.002649081009688481,15.970880218099868,1.2239227029568234,0.2722765893402061,-2359.9621407488394,70.72774250885239,0.9061390909439998,-430.48858549096946,-0.2907873171738817
2025-01-01 06:00:00,0.2174025621182061,0.14606174107228911,0.39684583333333345,0.21740256211820608,0.14606174107228911,0.39684583333333334,0.017259049386452525,0.0,0.20014351273175357,0.0,0.39684583333333345,0.0,0.0,0.14606174107228911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.00442313779239766,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,6978.242958888889,19.444444444444457,0.41,0.0,11.63040493148148,0.0,0.6833333333333333,6978.242958888889,10212.062866666667,0.0,0.0,21.704813091025038,51.66666666666668,46.10666666666668,0.0,50.27971437155089,0.0,0.0,0.0,21.704813091025038,49.937650594560075,50.27971437155089,49.766618706064676,12.43753247303448,19.130241166036456,-0.05826539829878309,6.3799373110125135,0.7636067424195303,0.3,9.236100170605994,4661.027703346674,-2535.579420071744,-550.832858570432,-2562.712961961955,0.0,0.0,272.4059663845669,0.0,1.0,0.1035594426965388,0.0,0.0,0.9692139235047785,65.99961422222222,-26.908259964826918,0.19639006001995749,8.717746973523457,0.002640687580570814,-48.895783458214325,1.2245492144945418,0.32880712848132343,-2619.3085288637076,83.72910879196327,0.9061390909439998,-552.1799337326524,1.3470751622204873
2025-01-01 07:00:00,0.2190831042488845,0.1475483308528637,0.4258833333333334,0.2190831042488845,0.1475483308528637,0.4258833333333334,0.01695747180969814,0.0,0.20212563243918635,0.0,0.4258833333333334,0.0,0.0,0.1475483308528637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.004121560215643275,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,7488.846102222222,19.444444444444457,0.44,0.0,12.48141017037037,0.0,0.7333333333333333,7488.846102222222,10212.062866666667,0.0,0.0,21.618840213045246,51.66666666666668,46.10666666666668,0.0,50.15994536109198,0.0,0.0,0.0,21.618840213045246,49.82830755816397,50.15994536109198,49.66248865669998,12.43753247303448,19.14259204374701,-0.05592203824951459,6.26096413616374,0.1952003965472103,-0.55,9.236100170605994,4953.468385850132,-2919.971756778766,-888.5958665159502,-2762.56440838572,0.0,0.0,236.6812271548009,3.9555251514152814,0.43325,0.10636241082570438,0.0,0.0,0.995446931979806,28.594332861777776,-9.49453514117161,0.19570951760617014,8.715298883549691,0.0026335418107665248,-16.32989731720078,1.2245027795130037,0.3339623805148626,-3010.2758576447,90.30410086593375,0.9061390909439998,-890.3243864834532,1.728519967502991
2025-01-01 08:00:00,0.2190689055134196,0.148291625743151,0.4258833333333334,0.2190689055134196,0.148291625743151,0.4258833333333334,0.01595221322051685,0.0,0.20311669229290275,0.0,0.4258833333333334,0.0,0.0,0.148291625743151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0031163016264619883,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,7488.846102222222,19.444444444444457,0.44,0.0,12.48141017037037,0.0,0.7333333333333333,7488.846102222222,10212.062866666667,0.0,0.0,21.525025578276423,51.66666666666668,46.10666666666668,0.0,50.04069139104386,0.0,0.0,0.0,21.525025578276423,49.71937639756811,50.04069139104386,49.55871890083024,12.43753247303448,19.166493600413226,-0.040606510935908585,5.758717736907174,-0.5665549102303765,-1.4,9.236100170605994,4760.134469849945,-3278.715949198113,-994.8070040063969,-2992.3781920369042,0.0,0.0,208.07269555755823,248.17568984753558,0.0,0.1100451538374003,0.0,0.0,1.0299137629194524,0.0,55.593864107068676,0.19571910572596446,8.733521633475124,0.0026364297596431097,62.805187804110716,1.224975425446519,0.3569794200901353,-3378.3940237267525,99.67807452863975,0.9061390909439998,-998.4485768838782,3.641572877481373
2025-01-01 09:00:00,0.21846575035991084,0.148291625743151,0.4065250000000001,0.21846575035991084,0.148291625743151,0.406525,0.01534905806700808,0.0,0.20311669229290275,0.0,0.4065250000000001,0.0,0.0,0.148291625743151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0025131464729532165,0.0,0.0004347576443511563,0.0,0.012401153949703708,0.0,0.00539452463536801,0.0,0.15708871365516267,0.11781653524137194,0.0,0.0,7148.4440066666675,19.444444444444457,0.42,0.0,11.914073344444445,0.0,0.7,7148.4440066666675,10212.062866666667,0.0,0.0,21.445137127480635,51.66666666666668,46.10666666666668,0.0,49.9219055895059,0.0,0.0,0.0,21.445137127480635,49.61081411990585,49.9219055895059,49.45526838510582,12.43753247303448,19.170993041941767,-0.05195723001711651,5.695820528207647,-0.4244686185142871,-0.85,9.236100170605994,4644.366869186984,-2951.5949495319096,-507.3336795906293,-2863.543982077617,0.0,0.0,207.46954040404944,622.9191915535637,0.0,0.10828153566902876,0.0,0.0,1.013408041760441,0.0,151.99730419388462,0.1975337427204788,8.767055648139804,0.0026603119358520116,166.24559035061665,1.2255538695968204,0.3526647324029927,-3051.085671746494,99.49072221458437,0.9061390909439998,-518.9035302589684,11.569850668339152
