Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,9.879857625171377,0.19077779944240456,0.0,0.1646642937528563,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,9.481420563333334,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,On,6567.181139346965,17.83333333333337,0.9999999999999999,2914.239423986368,9.140301813333334,0.34111875,1,9140.301813333333,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.33801428830495,51.666666666666686,46.10666666666668,-0.0,51.644443915541956,0.08406025708170489,229.76822000092668,0.0,39.33801428830495,51.646422442185944,51.64741170550794,51.644443915541956,12.43753247303448,17.819791575570406,0.0,-2.702046268280096,-2.7999999999979575,2.8,9.236100170605994,6410.550701255748,3031.557893711622,812.6616913785186,-696.0968023802216,-0.0,-0.0,571.3567313127517,0.0,3.0,0.03556215583246724,0.0,0.0,0.6414750925136778,197.99884266666666,-31.890367023747316,0.24571586533068343,8.56532238592952,0.003052000509626247,79.4698617465572,1.2273674201040083,0,0,117.31846972525427,0.12700810773402962,926.9090544208057,-114.247363042287
2025-01-01 00:01:00,9.879857625171377,0.19077779944240456,0.0,0.1646642937528563,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,9.481420563333334,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,On,6567.181139346965,17.83333333333337,0.9999999999999999,2914.239423986368,9.140301813333334,0.34111875,1,9140.301813333333,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.169559766965875,51.666666666666686,46.10666666666668,-0.0,51.63375751737252,0.08406025708170489,229.70559342323227,0.0,39.169559766965875,51.60865563674882,51.63375751737252,51.59610469643698,12.43753247303448,17.92761480742394,0.0,-2.401902162961726,-2.7153862382388967,2.8,9.236100170605994,6397.410183666866,3027.782927081911,794.215035373207,-703.206473667034,-0.0,-0.0,571.3567313127517,0.0,3.0,0.035669313481073106,0.0,0.0,0.6434080170213152,197.99884266666666,-37.9212133258177,0.24480821877164402,8.639398544100871,0.0030525293231048085,79.17263320815199,1.2304963478094353,0,0,113.54350309554334,0.1267172664449989,910.8133316225902,-116.5982962493832
2025-01-01 00:02:00,9.879857625171377,0.19077779944240456,0.0,0.1646642937528563,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,9.481420563333334,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,On,6567.181139346965,17.83333333333337,0.9999999999999999,2914.239423986368,9.140301813333334,0.34111875,1,9140.301813333333,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.00491764611192,51.666666666666686,46.10666666666668,-0.0,51.623091425086365,0.08406025708170489,229.64308584615495,0.0,39.00491764611192,51.570921261607985,51.623091425086365,51.544836179868796,12.43753247303448,18.032193361536255,0.0,-2.1091208722624244,-2.6342198989203824,2.8,9.236100170605994,6384.600627311353,3024.3406173603607,777.2873767444366,-710.1292098151057,-0.0,-0.0,571.3567313127517,0.0,3.0,0.035773158012293804,0.0,0.0,0.645281179058669,197.99884266666666,-43.80803353325949,0.24324427335202106,8.688912586533789,0.0030530548190991504,78.88276857738225,1.2300540232593427,0,0,110.10119337399277,0.12643764623421072,895.4292208283875,-118.14184408395084
2025-01-01 00:03:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,38.84392051778292,51.666666666666686,46.10666666666668,-0.0,51.6124450722428,0.08406025708170489,229.58069395012524,0.0,38.84392051778292,51.5332187650242,51.6124450722428,51.493605611414914,12.43753247303448,18.133670572355758,0.0,-1.8233493894538826,-2.5560504333656557,2.8,9.236100170605994,-195.08145244664888,106.67094387762394,761.4970566410265,-716.8720374035895,-0.0,-0.0,571.3567313127517,0.0,3.0,0.03587383942549122,0.0,0.0,0.6470972843350049,197.99884266666666,-49.566146355811014,0.24173857895092182,8.736664198100536,0.0030535785794375417,78.59977447159683,1.2296251094795516,0,0,106.67094387762394,0.12616776452436657,880.664961847622,-119.16790520659553
2025-01-01 00:04:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,38.953494269285386,51.666666666666686,46.10666666666668,-0.0,51.601817917356485,0.08406025708170489,229.51841456182188,0.0,38.953494269285386,51.49554761921846,51.601817917356485,51.44241247014946,12.43753247303448,18.002624262179285,0.0,-1.646366101380089,-2.4805121553131313,2.8,9.236100170605994,-183.78845336001973,104.57546790121712,746.6884044332792,-708.1691435341531,-0.0,-0.0,571.3567313127517,0.0,3.0,0.03574380530468323,0.0,0.0,0.6447517108532338,197.99884266666666,-46.9760411386183,0.24378019679680415,8.67663151960138,0.003054100642812215,78.82902111543449,1.2301781701704118,0,0,104.57546790121712,0.12590641743169365,866.4461278334874,-119.75772340020825
2025-01-01 00:05:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.058098581843126,51.666666666666686,46.10666666666668,-0.0,51.591169745395526,0.08406025708170489,229.4560120050349,0.0,39.058098581843126,51.45786983604508,51.591169745395526,51.391219881369864,12.43753247303448,17.87584210966446,0.0,-1.47337945758017,-2.4072933737483555,2.8,9.236100170605994,-172.11584635419763,102.44463684792454,732.7299997837106,-699.7891427209406,-0.0,-0.0,571.3567313127517,0.0,3.0,0.03561787191050237,0.0,0.0,0.6424801068463425,197.99884266666666,-43.683434946008774,0.24577521086009654,8.617548529668461,0.003054623993461192,79.04943976651816,1.2307136951101587,0,0,102.44463684792454,0.1256525765267287,852.709489868841,-119.97949008513048
2025-01-01 00:06:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.158048338250836,51.666666666666686,46.10666666666668,-0.0,51.58050130078304,0.08406025708170489,229.3934906423822,0.0,39.158048338250836,51.42018613020883,51.58050130078304,51.340028544921736,12.43753247303448,17.75305418974904,0.0,-1.3042870293666242,-2.3361284887534812,2.8,9.236100170605994,-160.36586513428915,100.39110993190408,719.5078080842394,-691.7104452923907,-0.0,-0.0,571.3567313127517,0.0,3.0,0.035495784148428945,0.0,0.0,0.6402778708840521,197.99884266666666,-40.012151154650255,0.24772621588662366,8.561136740563317,0.0030551485791187136,79.26158477460417,1.2312327803038896,0,0,100.39110993190408,0.12540536384299208,839.4013131185565,-119.89350503431706
2025-01-01 00:07:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.253607083017556,51.666666666666686,46.10666666666668,-0.0,51.56981328104211,0.08406025708170489,229.33085456162868,0.0,39.253607083017556,51.3824971716111,51.56981328104211,51.288839116895595,12.43753247303448,17.634034657461772,0.0,-1.138984244992846,-2.2667917906374697,2.8,9.236100170605994,-148.97634775767028,98.40158155756434,706.9242049853287,-683.9147737798096,-0.0,-0.0,571.3567313127517,0.0,3.0,0.035377329299307335,0.0,0.0,0.6381411659087701,197.99884266666666,-36.41830529061244,0.2496352840634301,8.505439661013071,0.003055674350849174,79.46591732063884,1.2317363402308859,0,0,98.40158155756434,0.12516403230034542,826.4760180703638,-119.55181308503509
2025-01-01 00:08:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.345013090895435,51.666666666666686,46.10666666666668,-0.0,51.55910634443245,0.08406025708170489,229.26810762044025,0.0,39.345013090895435,51.34480359259329,51.55910634443245,51.23765221667371,12.43753247303448,17.51857934958714,0.0,-0.9773694704633384,-2.199091951751745,2.8,9.236100170605994,-138.02614497126365,96.47370503768987,694.8956155649139,-676.3856201760979,-0.0,-0.0,571.3567313127517,0.0,3.0,0.035262314989068934,0.0,0.0,0.6360665218504025,197.99884266666666,-32.99725610791745,0.25150428562086946,8.452190066908695,0.003056201262493068,79.66285421884234,1.2322252017731095,0,0,96.47370503768987,0.12492794815156541,813.8950067611319,-118.99939119621793
2025-01-01 00:09:00,0.39843706183804356,0.19077779944240456,0.0,0.0066406176973007255,0.0031796299907067426,0.0,0.050779816780854234,0.0,0.3376572450571893,0.0,0.010000000000000002,0.0,0.0,0.18786113277573788,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.004698999451754385,0.0,On,0.04608081732909985,0,On,0.08717573468953875,0,On,0.21541675988512138,0.161562569913841,On,0,0,Off,Off,0.0,17.83333333333337,0.0,0.0,0.0,0.0,0,0.0,9140.301813333333,Off,0.0,18.83333333333337,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.0,1014.3191155555555,Off,0.0,0.0,39.43247768635044,51.666666666666686,46.10666666666668,-0.0,51.548381113711635,0.08406025708170489,229.20525346842587,0.0,39.43247768635044,51.30710599151557,51.548381113711635,51.18646843041754,12.43753247303448,17.40650723245133,0.0,-0.8193439461175269,-2.13286723491438,2.8,9.236100170605994,-127.50750472509503,94.60467443971484,683.3506383928175,-669.1082917883599,-0.0,-0.0,571.3567313127517,0.0,3.0,0.0351505708015608,0.0,0.0,0.6340508647187783,197.99884266666666,-29.75594424948683,0.25333484696448394,8.400078835139771,0.0030567292703989083,79.85276419888034,1.2327000974946658,0,0,94.60467443971484,0.12469657560861838,801.625651542347,-118.2750131495295
