Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,1.4424718151189544,0.13826914069113527,0.0,1.4424718151189544,0.13826914069113524,0.0,0.15823205312466354,0.5416442585185186,0.27376355704058714,0.46883194643518517,0.0,0.0,0.13826914069113527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.017184539473684212,0.0,0.14104751365097934,0.0,0.08940470278574009,0.0,0.14471646010619135,0.10853734507964348,0.0,0.0,359.4365403294387,20.5555555555556,0.08333333333333333,109.39540610574646,0.4519644985185185,0.016867447916666667,0.08333333333333333,451.96449851851855,5423.573982222222,541.6442585185185,0.21666666666666667,32.88310108987754,51.66666666666668,46.10666666666668,0.0,50.33536866917385,0.0,0.0,541.6442585185185,32.88310108987754,48.95801365148048,50.33628720761044,48.26841760419722,12.43753247303448,20.772696074597565,-0.028274853581187878,7.910191601032326,2.8,9.236100170605994,690.212591475023,-1178.952262027228,-172.04021248760316,0.0,0.0,487.86507218003953,0.0,1.0,0.007339611406894781,0.0,0.0,0.18397187510232862,65.99961422222222,14.951191453147926,0.20730498757245694,9.973359909554526,0.0030829856641919886,37.29660095723573,1.2185104263396056,0.1989962150163577,-1325.28232861627,36.934660483295524
2025-01-01 01:00:00,1.7481474354652717,0.12573392171210002,0.0,1.7481474354652717,0.12573392171210002,0.0,0.06725199460395022,0.0,0.1806332122687291,1.5002622285925926,0.0,0.0,0.12573392171210002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.015895699013157894,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1150.1969290542038,20.5555555555556,0.26666666666666666,350.06529953838873,1.4462863952592593,0.053975833333333334,0.26666666666666666,1446.2863952592593,5423.573982222222,0.0,0.0,36.36214216873267,51.66666666666668,46.10666666666668,0.0,51.53490116518098,0.0,0.0,0.0,36.36214216873267,51.548615446626734,51.55547258734961,51.53490116518098,12.43753247303448,20.29510590046914,-0.047571933909079614,8.467918047788613,2.5,9.236100170605994,1292.1556797102091,-817.0276944072333,-163.94682905875354,0.0,0.0,304.85524846908464,0.0,1.0,0.007063398400849791,0.0,0.0,0.17704842618485434,65.99961422222222,1.0503312456742402,0.2147790420643781,9.783359321622878,0.003103741780987654,37.47194990252372,1.2205326658987092,0.15791816875170858,-1198.5146596786774,31.421665733055455
2025-01-01 02:00:00,1.5596235970374814,0.12499062682181274,0.0,1.5596235970374814,0.12499062682181272,0.0,0.06725199460395022,0.0,0.17964215241501272,1.3127294500185185,0.0,0.0,0.12499062682181274,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.015895699013157894,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1006.4223129224283,20.5555555555556,0.23333333333333334,306.3071370960901,1.2655005958518517,0.04722885416666667,0.23333333333333334,1265.5005958518518,5423.573982222222,0.0,0.0,36.05744032875642,51.66666666666668,46.10666666666668,0.0,51.21201227451187,0.0,0.0,0.0,36.05744032875642,51.24345139704099,51.25917095830555,51.21201227451187,12.43753247303448,20.25130826743755,-0.04588735815522771,9.153054490641418,1.6500000000000001,9.236100170605994,1133.2827114588333,-765.4032762517257,-170.3795628703457,0.0,0.0,303.8641886153682,0.0,1.0,0.006995619637889998,0.0,0.0,0.17534950979506897,65.99961422222222,-6.624227208617443,0.21681144753294518,9.78729190109883,0.003124946877830796,38.60280691734635,1.220698899725279,0.11228323669680691,-1098.7227623752085,27.012349027392535
2025-01-01 03:00:00,2.120371645932303,0.12424733193152543,0.0,2.120371645932303,0.12424733193152544,0.0,0.06639276763026601,0.0,0.17865109256129633,1.8753277857407407,0.0,0.0,0.12424733193152543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.015036472039473687,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1437.7461613177547,20.5555555555556,0.3333333333333333,437.58162442298584,1.807857994074074,0.06746979166666667,0.3333333333333333,1807.8579940740742,5423.573982222222,0.0,0.0,35.76733701228284,51.66666666666668,46.10666666666668,0.0,50.89225823145408,0.0,0.0,0.0,35.76733701228284,50.94102542911553,50.96540902794626,50.89225823145408,12.43753247303448,20.19771306648196,-0.0711419209624547,9.007132191047162,1.6500000000000001,9.236100170605994,1558.0926246099682,-814.3426479852149,-172.1539083352931,0.0,0.0,302.01390178796765,0.0,1.0,0.007090814947349268,0.0,0.0,0.1777356387889986,65.99961422222222,-9.51353016046124,0.21901304887408185,9.786710167734093,0.0031462207278557808,35.42984174698166,1.2209065247805904,0.13568193904070364,-1281.03310179885,29.10882939064927
2025-01-01 04:00:00,1.9318478075045127,0.12350403704123813,0.0,1.9318478075045127,0.12350403704123813,0.0,0.06639276763026601,0.0,0.17766003270757993,1.6877950071666667,0.0,0.0,0.12350403704123813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.015036472039473687,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1293.971545185979,20.5555555555556,0.3,393.8234619806873,1.6270721946666666,0.0607228125,0.3,1627.0721946666667,5423.573982222222,0.0,0.0,35.28391985029145,51.66666666666668,46.10666666666668,0.0,50.60505153311443,0.0,0.0,0.0,35.28391985029145,50.641805274835825,50.66018214569653,50.60505153311443,12.43753247303448,20.31434269621222,-0.045865191004227944,8.798669482366705,0.55,9.236100170605994,1391.7963208387746,-820.4763439377624,-191.38978945370283,0.0,0.0,301.02284193425123,0.0,1.0,0.007349465361836385,0.0,0.0,0.18421887054490452,65.99961422222222,-11.808276827753206,0.2186478123431059,9.856477620255198,0.003165261690209262,37.917994944903064,1.2198346662302204,0.12360594520264923,-1244.5524311498414,30.25262523139156
2025-01-01 05:00:00,1.839799872164844,0.12350403704123813,0.0,1.839799872164844,0.12350403704123813,0.0,0.06811122157763443,0.0,0.17766003270757993,1.5940286178796297,0.0,0.0,0.12350403704123813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.01675492598684211,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1222.0842371200915,20.5555555555556,0.2833333333333333,371.94438075953803,1.5366792949629628,0.057349322916666674,0.2833333333333333,1536.679294962963,5423.573982222222,0.0,0.0,35.03727567413186,51.66666666666668,46.10666666666668,0.0,50.329696287504014,0.0,0.0,0.0,35.03727567413186,50.34576347093363,50.35379706264845,50.329696287504014,12.43753247303448,20.230901474760667,-0.06057726592101365,8.937385148986065,-0.25000000000000006,9.236100170605994,1316.4226574066026,-893.0025222271342,-200.72827492017706,0.0,0.0,302.74129588161964,0.0,1.0,0.007438562799469981,0.0,0.0,0.18645215263022952,65.99961422222222,-7.6746006749316065,0.22125606374029838,9.840315250777001,0.0031882538216897343,38.37305896968474,1.21955235576986,0.10992950221187517,-1294.3884367985315,29.44153381185934
2025-01-01 06:00:00,2.3127620057416727,0.12499062682181274,0.0,2.3127620057416727,0.12499062682181272,0.0,0.07025928901184496,0.0,0.17964215241501272,2.062860564314815,0.0,0.0,0.12499062682181274,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.018902993421052634,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1581.5207774495304,20.5555555555556,0.36666666666666664,481.3397868652845,1.9886437934814816,0.07421677083333332,0.36666666666666664,1988.6437934814815,5423.573982222222,0.0,0.0,34.630727245302715,51.66666666666668,46.10666666666668,0.0,50.019293452214946,0.0,0.0,0.0,34.630727245302715,50.052363799002556,50.06889897239637,50.019293452214946,12.43753247303448,20.286426238301814,-0.04988832801894739,8.544780264239051,0.3,9.236100170605994,1683.2580190375504,-878.8356802911331,-193.56912449598013,0.0,0.0,306.87148302326295,0.0,1.0,0.007368794589372418,0.0,0.0,0.1847033695240661,65.99961422222222,-11.56511693926251,0.221811743938816,9.886428357366364,0.0032073563262668184,33.20015162144208,1.2193075392892394,0.12873599084907983,-1392.0570264523185,31.881559295900754
2025-01-01 07:00:00,1.7508569492663566,0.1264772166023873,0.0,1.7508569492663566,0.1264772166023873,0.0,0.06897044855131865,0.0,0.18162427212244553,1.5002622285925926,0.0,0.0,0.1264772166023873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.01761415296052632,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1150.1969290542038,20.5555555555556,0.26666666666666666,350.06529953838873,1.4462863952592593,0.053975833333333334,0.26666666666666666,1446.2863952592593,5423.573982222222,0.0,0.0,34.358622128267676,51.66666666666668,46.10666666666668,0.0,49.712236919362546,0.0,0.0,0.0,34.358622128267676,49.76191101511351,49.786748062989005,49.712236919362546,12.43753247303448,20.229356239440296,-0.058527923470831314,8.314768553799892,-0.55,9.236100170605994,1243.0146260906909,-1143.1783046201135,-206.8824185041098,0.0,0.0,307.5647622701695,2.7344790019368133,1.0,0.007550685287423214,0.0,0.0,0.18926257176638675,65.99961422222222,-7.86464672957267,0.22391672195736995,9.882105858640221,0.003226541716757738,36.5533013992616,1.219530512051744,0.1302938023687335,-1526.2308270287035,32.98722287020122
2025-01-01 08:00:00,2.4976829885479486,0.1272205114926746,0.0,2.4976829885479486,0.1272205114926746,0.0,0.06467431368289758,0.0,0.1826153319761619,2.250393342888889,0.0,0.0,0.1272205114926746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.013318018092105265,0.0,0.05135629559079232,0.0,0.012987983319262379,0.0,0.12899389465452743,0.09674542099089554,0.0,0.0,1725.2953935813057,20.5555555555556,0.4,525.0979493075831,2.1694295928888887,0.08096375,0.4,2169.4295928888887,5423.573982222222,0.0,0.0,33.95786831442695,51.66666666666668,46.10666666666668,0.0,49.43835977449634,0.0,0.0,0.0,33.95786831442695,49.47425986371345,49.49220990832202,49.43835977449634,12.43753247303448,20.286558078273004,-0.053078789130655404,7.775043792629109,-1.4,9.236100170605994,1839.2711658043447,-1118.175657510826,-223.1666729616846,0.0,0.0,304.25968725546477,175.40786057513998,1.0,0.007782639215748916,0.0,0.0,0.19507663967348923,65.99961422222222,32.882757929258865,0.22475171047337794,9.935844252852666,0.0032485226241794024,42.790342188156636,1.2198494685701269,0.13841721836224827,-1679.024986400312,35.75137958190276
2025-01-01 09:00:00,4.182789347868792,0.1521815186878345,0.0,4.182789347868791,0.1521815186878345,0.0,0.3215084280863289,0.9582936881481483,0.27752833159727736,2.625458900037037,0.0,0.0,0.1521815186878345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.010740337171052633,0.0,0.3107680909152763,0.0,0.074619640013498,0.0,0.16227523758140727,0.12170642818605541,0.0,0.0,2012.8446258448566,22.222222222222285,0.4666666666666667,612.6142741921802,2.5310011917037034,0.09445770833333333,0.4666666666666667,2531.0011917037036,5423.573982222222,958.2936881481481,0.38333333333333336,31.913583121502896,51.66666666666668,46.10666666666668,0.0,49.59291049968811,0.27672028135546334,719.4064507049023,958.2936881481481,31.913583121502896,49.199686187787016,49.59673889909711,48.99924563242747,12.43753247303448,21.79775745880546,-0.11203322752713205,8.043122213435067,-0.85,9.236100170605994,2506.913516897638,-972.4882374616634,-239.1444576118976,0.0,0.0,653.6771072751301,450.7883047100512,1.0,0.007996804767224842,0.0,0.0,0.20044483097178303,65.99961422222222,79.53624138954923,0.20657728487582375,10.63766379411391,0.0032745401591275152,50.87989491294784,1.2141903077087437,0.13769422751525132,-1618.7103492885185,33.60783763467479
