Metric,Value
Total Electric Energy (kWh),1412.579792637625
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.961916378663368
Peak Electric Power (kW),23.59192395612794
Other Electric Energy (kWh),272.0522649521306
HVAC Heating Electric Energy (kWh),870.995990087287
Lighting Electric Energy (kWh),108.1632135026517
Water Heating Electric Energy (kWh),161.36832409555558
Average Temperature - Indoor (C),21.40519538861568
Unmet Heating Load (C-hours),40.98520145639995
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
