Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,5.786215456749354,0.2563853346790287,0.0,5.786215456749354,0.2563853346790287,0.0,0.14951628524924657,0.0,0.3706216043889964,5.266077567111111,0.0,0.0,0.2563853346790287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.03051984649122807,0.0,0.004121888184652902,0.0,0.11487455057336558,0.0,0.0287744914836247,0.0,0.2774634702700354,0.20809760270252647,0.0,0.0,5266.077567111112,16.666666666666686,0.43333333333333335,0.0,5.266077567111111,0.0,0.43333333333333335,5266.077567111112,12152.486693333334,0.0,0.0,40.01754034133184,51.66666666666668,46.10666666666668,0.0,51.542418927173266,0.0,0.0,0.0,40.01754034133184,50.726956086841604,51.542418927173266,50.31922466667579,12.43753247303448,16.363236830599487,-0.05070051032272568,6.466790439343041,1.3032946325915944,2.8,9.236100170605994,5064.49586325877,-3860.1373968978787,712.8088148310908,-785.6572870783174,0.0,0.0,764.7139036082294,0.0,4.0,0.04443625020369561,0.0,0.0,0.26369048350757496,263.9984568888889,-180.63832038225252,0.2580126484237347,7.733343990355556,0.0029125513200376997,132.05437250979324,1.237191163715564,0.8298988089327839,-3966.0127068520687,105.87530995419031,0.3624556363775999,706.9827635187211,5.826051312369619
2025-01-01 01:00:00,5.923567661893168,0.2463840585875847,0.0,5.923567661893168,0.2463840585875847,0.0,0.11277690289916982,0.0,0.34217174699399794,5.4686190120000004,0.0,0.0,0.2463840585875847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277405156945293,0.04708053867708968,0.0,0.0,0.02823085800438596,0.0,0.002928569519795488,0.0,0.08161747537498837,0.0,0.013659668877218251,0.0,0.26573802654732676,0.19930351991049503,0.0,0.0,5468.619012,16.666666666666686,0.45,0.0,5.4686190120000004,0.0,0.45,5468.619012,12152.486693333334,0.0,0.0,39.80104779816799,51.66666666666668,46.10666666666668,0.0,51.31837983931199,0.0,0.0,0.0,39.80104779816799,50.525355234089695,51.31837983931199,50.128842931478545,12.43753247303448,16.34687716058354,-0.057234794792387716,6.794494953827174,2.4958248763885633,2.5,9.236100170605994,5204.920999512384,-3430.4868796226797,6.888643183967625,-776.3321868464328,0.0,0.0,700.3454449237438,0.0,4.0,0.042994196907288264,0.0,0.0,0.25513315184186836,263.9984568888889,-187.71127056492747,0.2598124198497823,7.746263474857174,0.002929735950879112,134.0626245194489,1.2373082578900696,0.6498450066529043,-3530.3776160554526,99.89073643277291,0.3624556363775999,1.8147384892369047,5.073904694730721
2025-01-01 02:00:00,6.107476591346939,0.2416069900953673,0.0,6.1074765913469395,0.2416069900953673,0.0,0.10422210710762833,0.0,0.33209402735042204,5.671160456888889,0.0,0.0,0.2416069900953673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.02823085800438596,0.0,0.002632242066106063,0.0,0.07335900703713631,0.0,0.009951373889932197,0.0,0.2609781929569203,0.19573364471769017,0.0,0.0,5671.160456888889,16.666666666666686,0.4666666666666667,0.0,5.671160456888889,0.0,0.4666666666666667,5671.160456888889,12152.486693333334,0.0,0.0,39.54872064848351,51.66666666666668,46.10666666666668,0.0,51.095771560055816,0.0,0.0,0.0,39.54872064848351,50.32489141183149,51.095771560055816,49.93945133771933,12.43753247303448,16.362464034415968,-0.05060220604890926,7.269656227153943,2.316576965106331,1.6500000000000001,9.236100170605994,5349.049323272073,-3192.0807836854215,-314.71762879349615,-818.0208483065941,0.0,0.0,682.0461178399548,0.0,4.0,0.04244437687821546,0.0,0.0,0.25187044833642497,263.9984568888889,-186.13640315017793,0.26113145480922817,7.775046295257298,0.0029476500605348393,141.4134153887015,1.2372282061311481,0.44907364373889025,-3285.3294953172076,93.248711631786,0.3624556363775999,-316.5160376462097,1.7984088527136004
2025-01-01 03:00:00,6.104341007956495,0.24039979679595475,0.0,6.104341007956495,0.24039979679595477,0.0,0.10269611478306694,0.0,0.3304844362845386,5.671160456888889,0.0,0.0,0.24039979679595475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05955486943768611,0.04466615207826457,0.0,0.0,0.026704865679824562,0.0,0.002632242066106063,0.0,0.07335900703713631,0.0,0.009951373889932197,0.0,0.2609781929569203,0.19573364471769017,0.0,0.0,5671.160456888889,16.666666666666686,0.4666666666666667,0.0,5.671160456888889,0.0,0.4666666666666667,5671.160456888889,12152.486693333334,0.0,0.0,39.3094144715184,51.66666666666668,46.10666666666668,0.0,50.8746960572763,0.0,0.0,0.0,39.3094144715184,50.12566220335356,50.8746960572763,49.751145276392194,12.43753247303448,16.368105408931118,-0.04822182090490275,7.138369239659111,2.005107291817608,1.6500000000000001,9.236100170605994,5331.308652600327,-3749.0237793848178,-171.23896348826094,-834.9550914666107,0.0,0.0,678.91053444951,0.0,4.0,0.04333566524748,0.0,0.0,0.25715946934874473,263.9984568888889,-183.80724727146148,0.26262978755725896,7.799175830620721,0.0029657313949817458,122.26094096175932,1.2371905842082724,0.5515621890481179,-3851.5251593322814,102.5013799474635,0.3624556363775999,-171.4696095037125,0.23064601545155125
2025-01-01 04:00:00,5.900189972001722,0.2391926034965422,0.0,5.900189972001721,0.23919260349654217,0.0,0.10269611478306694,0.0,0.32887484521865523,5.4686190120000004,0.0,0.0,0.2391926034965422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.026704865679824562,0.0,0.002632242066106063,0.0,0.07335900703713631,0.0,0.009951373889932197,0.0,0.2609781929569203,0.19573364471769017,0.0,0.0,5468.619012,16.666666666666686,0.45,0.0,5.4686190120000004,0.0,0.45,5468.619012,12152.486693333334,0.0,0.0,39.07406898222767,51.66666666666668,46.10666666666668,0.0,50.655158245035686,0.0,0.0,0.0,39.07406898222767,49.92767478046189,50.655158245035686,49.563933048175,12.43753247303448,16.37159539426767,-0.05349669824006454,6.899069044615129,1.9742137814111396,0.55,9.236100170605994,5026.864722281383,-3616.3392451304326,-681.1301037687583,-941.2205095792632,0.0,0.0,677.3009433836266,0.0,4.0,0.045080932346104864,0.0,0.0,0.2675161111215462,263.9984568888889,-177.83472352298122,0.26377533129240277,7.814939073162508,0.0029807025405960666,139.05624770448398,1.236584165596979,0.4957443639882584,-3725.2910318743425,108.95178674390947,0.3624556363775999,-680.8739394518814,-0.25616431687690083
2025-01-01 05:00:00,11.409182145137839,0.24746426552865097,0.0,11.409182145137839,0.24746426552865097,0.0,0.13306949680247315,1.0083453494074075,0.3432364993724033,9.924530799555555,0.0,0.0,0.24746426552865097,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.02975685032894737,0.0,0.0035786211862222895,0.0,0.09973402528730349,0.0,0.013284145334201941,0.0,0.2720070756663987,0.20400530674979894,0.0,0.0,9924.530799555556,18.33333333333337,0.8166666666666667,0.0,9.924530799555555,0.0,0.8166666666666667,9924.530799555556,12152.486693333334,1008.3453494074075,0.18333333333333332,37.09254329762641,51.66666666666668,46.10666666666668,0.0,50.57777288933047,0.250863248053282,664.3499355331207,1008.3453494074075,37.09254329762641,49.50561983550598,50.577772889330475,48.96954330859374,12.43753247303448,17.679097958899256,-0.29597895920624423,6.977041489311637,0.8217600746411191,-0.25000000000000006,9.236100170605994,9266.423906399641,-3882.07798323837,-523.5294054680015,-1135.8664514670838,0.0,0.0,721.2639577671175,0.0,4.0,0.04811445176684283,0.0,0.0,0.2855174095910892,263.9984568888889,-243.504399455948,0.24446280471675425,8.454993607781606,0.003001386668079753,138.25739621495717,1.2303950876350767,0.4355016713085292,-3990.7130507490965,108.63506751072656,0.3624556363775999,-521.868831535237,-1.6605739327646505
2025-01-01 06:00:00,8.991892889234517,0.25588649086658666,0.0,8.991892889234515,0.2558864908665867,0.0,0.2029722018593435,0.7333420722962963,0.35900370930109804,7.696574905777778,0.0,0.0,0.25588649086658666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.03357183114035087,0.0,0.005867817506390595,0.0,0.16353255321260204,0.0,0.017821721478982346,0.0,0.2800175273185461,0.21001314548890954,0.0,0.0,7696.5749057777775,18.33333333333337,0.6333333333333333,0.0,7.696574905777778,0.0,0.6333333333333333,7696.5749057777775,12152.486693333334,733.3420722962964,0.13333333333333333,36.33624455447731,51.66666666666668,46.10666666666668,0.0,51.25243390233434,0.3290003185449083,890.486941736845,733.3420722962964,36.33624455447731,49.25426012849337,51.25243390233434,48.2551732415729,12.43753247303448,18.091514248345412,-0.029675306296332297,6.61793222685043,1.1887930717362376,0.3,9.236100170605994,7154.466614594539,-4193.825004066777,-422.987859285213,-1127.5927710121034,0.0,0.0,793.1732182925878,0.0,3.8,0.04822240067691718,0.0,0.0,0.2861579924521798,250.79853404444444,-207.68873846372279,0.23920255354260891,8.665704902022954,0.003015763838715944,94.44669193211826,1.228638293404038,0.5213954399809639,-4317.319255505147,123.49425143837024,0.3624556363775999,-423.40396767441905,0.41610838920605364
2025-01-01 07:00:00,10.191054527342532,0.26300266430471575,0.0,10.19105452734253,0.26300266430471575,0.0,0.24977695138341968,1.4666841445925927,0.3729356358109631,8.101657795555555,0.0,0.0,0.26300266430471575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.03128284265350877,0.0,0.007568363344229907,0.0,0.210925745385681,0.0,0.02226541673800867,0.0,0.28628657643761807,0.2147149323282135,0.0,0.0,8101.657795555556,18.33333333333337,0.6666666666666666,0.0,8.101657795555555,0.0,0.6666666666666666,8101.657795555556,12152.486693333334,1466.6841445925927,0.26666666666666666,37.97069606847276,51.66666666666668,46.10666666666668,0.0,51.67446879934341,0.41520941751173146,1133.1493445477647,1466.6841445925927,37.97069606847276,50.616772889234745,51.67526560135058,50.087128132173234,12.43753247303448,18.034440876502213,-0.06309550947865,6.436021385360936,0.8428696545683482,-0.55,9.236100170605994,7509.1286725819855,-4756.422704843468,-665.3847472741522,-1214.4871817586645,0.0,0.0,800.6713695104161,3.02116663234373,3.0,0.049549730273654384,0.0,0.0,0.29403453877490343,197.99884266666666,-178.71331072532226,0.24089754184129536,8.65092015140117,0.0030261295512960798,77.60339805975747,1.22887184078461,0.5287760757044948,-4887.296197873428,130.8734930299605,0.3624556363775999,-665.5413315594077,0.15658428525553275
2025-01-01 08:00:00,8.315934680104451,0.2561994059519808,0.0,8.31593468010445,0.2561994059519808,0.0,0.18145418178008182,0.0,0.6404470374354797,7.494033460888889,0.0,0.0,0.2561994059519808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.280447175891706,0.0,0.023652881030701754,0.0,0.005466040193054934,0.0,0.15233526055632518,0.0,0.01840065360779915,0.0,0.2756059742347548,0.20670448067606603,0.0,0.0,7494.03346088889,18.33333333333337,0.6166666666666667,0.0,7.494033460888889,0.0,0.6166666666666667,7494.03346088889,12152.486693333334,0.0,0.0,37.9976056611841,51.66666666666668,46.10666666666668,0.0,51.691607894730396,0.2461170453969374,671.5979165011888,0.0,37.9976056611841,50.69428163447321,51.691607894730396,50.19561850434461,12.43753247303448,18.04594451990658,-0.045522005025699384,5.876891604523871,0.23385680648598178,-1.4,9.236100170605994,6945.858209542522,-5284.899603573131,-781.2639338575476,-1315.8000969494294,0.0,0.0,889.0826273250065,200.2585096390109,2.5,0.05117524240682373,0.0,0.0,0.3036805390197037,164.99903555555557,-121.45778172194422,0.24170949527054672,8.672886338088535,0.003037269789131584,117.83539648890026,1.229391992075546,0.5643031261156032,-5428.541398784591,143.6417952114599,0.3624556363775999,-782.8690423003419,1.6051084427943267
2025-01-01 09:00:00,7.67570115647745,0.2675185224169718,0.0,7.67570115647745,0.2675185224169718,0.0,0.26261683830270305,0.0,0.5266751919525247,6.8864091262222225,0.0,0.0,0.2675185224169718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.140223587945853,0.0,0.019074904057017544,0.0,0.008435988771698944,0.0,0.23510594547398656,0.0,0.02976024078404251,0.0,0.29069812952140944,0.218023597141057,0.0,0.0,6886.409126222223,18.33333333333337,0.5666666666666667,0.0,6.8864091262222225,0.0,0.5666666666666667,6886.409126222223,12152.486693333334,0.0,0.0,35.290553568613625,51.66666666666668,46.10666666666668,0.0,51.13022305544197,0.0,0.0,0.0,35.290553568613625,48.220671037830435,51.13022305544197,46.765895029024676,12.43753247303448,17.996838782383353,-0.06009272172078705,5.772557755711607,0.2422770261758069,-0.85,9.236100170605994,6533.892232869158,-4733.788651552636,-526.3388415411305,-1249.4587420911384,0.0,0.0,927.6793992305569,536.7049932268196,3.0,0.050177389981820066,0.0,0.0,0.29775915305189,197.99884266666666,-30.737550492482526,0.24429055151169718,8.678847763069326,0.003058799544401826,182.07532159798927,1.2302004294571245,0.5570541229997233,-4875.90026548644,142.11161393380272,0.3624556363775999,-535.5770061304459,9.238164589315378
