Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Other Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,4.512048374904524,0.19645845044230856,0.00021273638323418648,0.27140119593429524,4.224864292592593,0.015782886377636758,0.00021273638323418648,0.0,0.0,50.61752559314524,16.42648210888963,-0.046062109929713026
2025-01-01 01:00:00,4.510915605782757,0.19576811316718376,5.318409580854662e-05,0.2704807462341289,4.224864292592593,0.01557056695603588,5.318409580854662e-05,0.0,0.0,49.42341158841115,16.408291908434947,-0.05632126788059721
2025-01-01 02:00:00,4.509995156082591,0.19507777589205896,5.318409580854662e-05,0.26956029653396246,4.224864292592593,0.01557056695603588,5.318409580854662e-05,0.0,0.0,48.270303658369166,16.381792773820315,-0.06868311637299393
2025-01-01 03:00:00,4.846922303508764,0.19438743861693417,0.03107789160367878,0.2686398468337961,4.562853435999999,0.015429020674968628,0.00010636819161709324,0.030971523412061684,0.0,47.62079040933798,16.36839805849622,-0.06779235664970332
2025-01-01 04:00:00,4.846001853808598,0.1936971013418094,0.00037228867065982636,0.2677193971336297,4.562853435999999,0.015429020674968628,0.00037228867065982636,0.0,0.0,51.16777440173363,16.39101328355121,-0.05445636132674307
2025-01-01 05:00:00,5.18427408977814,0.1936971013418094,0.0006382091497025594,0.2677193971336297,4.900842579407407,0.015712113237103132,0.0006382091497025594,0.0,0.0,50.02102524642086,16.37916941159914,-0.06919928742783557
2025-01-01 06:00:00,5.482548695360654,0.23158073420457495,0.04025674304352496,0.3421251666089721,5.069837151111111,0.07058637764057128,0.001542338778447852,0.03871440426507711,0.0,50.70194256494587,16.330229846627777,-0.07916250395797701
2025-01-01 07:00:00,5.415949126401184,0.21335796817958447,0.06438951523131652,0.3050111874011192,5.069837151111111,0.041100787888954056,0.0024464684071931445,0.06194304682412337,0.0,51.674084688561905,16.369506195003023,-0.06907044792180479
2025-01-01 08:00:00,7.723228728710258,0.19714878771743335,0.002340100215576051,0.27232164563446165,7.435761154962963,0.015145928112834125,0.002340100215576051,0.0,0.0,51.1763417410793,17.891848364603003,-0.14803575623493112
2025-01-01 09:00:00,6.877831231348537,0.19714878771743335,0.0331520713402121,0.27232164563446165,6.590788296444444,0.01472128926963237,0.0021805479281504117,0.030971523412061684,0.0,50.927482523317416,18.02667373043196,-0.07144143317235514
