Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Grill Gas Power (therms/hour),Gas Grill Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,10.426858384534153,0.19645845044230856,0.00021273638323418648,0.17378097307556922,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,10.139674302222222,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,On,10139.674302222222,16.666666666666686,1.0,0.0,10.139674302222222,0.0,1,10139.674302222222,10139.674302222222,Off,0.0,0,91.41196519981452,51.666666666666686,46.10666666666668,0.0,51.22084020111522,0.0,0.0,0.0,142.83119562471018,50.452836146445456,51.22084020111522,50.068834119110576,12.43753247303448,16.40723413668222,0.0,-2.698770117570287,1.736660011728123,2.8,9.236100170605994,5491.716545506491,2081.5232744546006,119.93660021158519,-2877.2246601353077,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16225058237639267,0.0,0,4.272446327912812,65.99961422222222,-80.2230697893174,0.22547562532124582,7.309953662566791,0.002558860206257002,-48.931341674033156,1.2337220050184654,0,0,53.5884140101562,0.07953305238862154,110.2141736532961,9.72242655828908
2025-01-01 00:01:00,10.426858384534153,0.19645845044230856,0.00021273638323418648,0.17378097307556922,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,10.139674302222222,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,On,10139.674302222222,16.666666666666686,1.0,0.0,10.139674302222222,0.0,1,10139.674302222222,10139.674302222222,Off,0.0,0,90.74497257834999,51.666666666666686,46.10666666666668,0.0,51.200218561982325,0.0,0.0,0.0,141.78901965367186,50.43384599327463,51.200218561982325,50.05065970892078,12.43753247303448,16.63677978481888,0.0,-2.4820910101683986,1.7759491444971434,2.8,9.236100170605994,5418.355964681123,2079.2359410885033,115.6759985791993,-2943.4441417800645,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16323117900881268,0.0,0,4.298267785191945,65.99961422222222,-87.364168969929,0.22281382240316375,7.443127916133893,0.0025583873348041133,-49.31987333483841,1.2363461103076876,0,0,51.301080644058814,0.07938233534873708,105.94075115700156,9.735247422197741
2025-01-01 00:02:00,10.426858384534153,0.19645845044230856,0.00021273638323418648,0.17378097307556922,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,10.139674302222222,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,On,10139.674302222222,16.666666666666686,1.0,0.0,10.139674302222222,0.0,1,10139.674302222222,10139.674302222222,Off,0.0,0,90.10276545542655,51.666666666666686,46.10666666666668,0.0,51.17974489186184,0.0,0.0,0.0,140.78557102410397,50.41499440284028,51.17974489186184,50.03261915832951,12.43753247303448,16.857226836789664,0.0,-2.2694902582417167,1.8138870667417097,2.8,9.236100170605994,5347.503359430004,2077.2101263037184,111.5885866364377,-3007.573766572919,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16417196001901707,0.0,0,4.323040801803335,65.99961422222222,-94.08714942819248,0.219674456470311,7.5495100734146074,0.002557911720213436,-49.67840579451478,1.2354066648818276,0,0,49.27526585927406,0.07923652962623687,101.82859531942361,9.75999131701409
2025-01-01 00:03:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,89.4841255487661,51.666666666666686,46.10666666666668,0.0,51.15941372442285,0.0,0.0,0.0,139.81894616994703,50.39627622614018,51.15941372442285,50.01470747699885,12.43753247303448,17.069024182257834,0.0,-2.0607448932055084,1.8507447534569703,2.8,9.236100170605994,-2832.7586825939393,47.289086223242805,107.66454412694452,-3069.6794494940905,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16507492204674912,0.0,0,4.346817954052187,65.99961422222222,-100.50406675318658,0.21670294755674427,7.651326891733034,0.0025574322838238937,-50.007810668879394,1.2345054416299508,0,0,47.289086223242805,0.07909461812990927,97.84701735278244,9.81752677416208
2025-01-01 00:04:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,90.00135572859483,51.666666666666686,46.10666666666668,0.0,51.139219861929945,0.0,0.0,0.0,140.62711832592942,50.37768656726112,51.139219861929945,49.99691991992672,12.43753247303448,16.85761665984955,0.0,-1.9596599480521542,1.8867511693200172,2.8,9.236100170605994,-2766.883111518731,46.44863576729108,103.83858480880176,-3007.687632243692,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16417362278761718,0.0,0,4.3230845864819205,65.99961422222222,-96.62031292837693,0.21958670981139933,7.5484534762926,0.002556949316090934,-49.177185046416646,1.2354057221929438,0,0,46.44863576729108,0.0789557379470729,93.97026978349449,9.868315025307261
2025-01-01 00:05:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,90.49583788920752,51.666666666666686,46.10666666666668,0.0,51.118913058863036,0.0,0.0,0.0,141.39974670188676,50.35898945767451,51.118913058863036,49.97902765708026,12.43753247303448,16.65457960472991,0.0,-1.860168012768639,1.9220544668841053,2.8,9.236100170605994,-2704.016483996337,45.55057490512955,100.09864485870426,-2948.6028059798164,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16330717653386537,0.0,0,4.300268981995595,65.99961422222222,-92.83851166985818,0.2223961053889742,7.449338012847246,0.002556474716520751,-48.375937164706066,1.2362716015846924,0,0,45.55057490512955,0.07881933217236073,90.18160830400193,9.917036554702328
2025-01-01 00:06:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,90.96884402829832,51.666666666666686,46.10666666666668,0.0,51.09849833021952,0.0,0.0,0.0,142.13881879421612,50.34018962311148,51.09849833021952,49.96103526955746,12.43753247303448,16.45944368361879,0.0,-1.7622545619606136,1.9567328713610603,2.8,9.236100170605994,-2643.758068615658,44.69252829068209,96.42828947594339,-2892.2360987571196,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16247370290632587,0.0,0,4.278321625707329,65.99961422222222,-88.94680351187642,0.22513345987249453,7.3543902224441275,0.0025560081766316093,-47.60248225110863,1.2371049374200045,0,0,44.69252829068209,0.07868511064883706,86.47197598740584,9.95631348853755
2025-01-01 00:07:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,91.42149997304858,51.666666666666686,46.10666666666668,0.0,51.07798041058505,0.0,0.0,0.0,142.8460937078884,50.321291525055116,51.07798041058505,49.94294708229016,12.43753247303448,16.271793775503713,0.0,-1.6658953895763442,1.9908357623066484,2.8,9.236100170605994,-2586.2782682644406,43.86163735796306,92.821808090019,-2838.4199327991632,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16167153806046286,0.0,0,4.257198704606573,65.99961422222222,-85.2831691186153,0.22780073590980068,7.262128956575197,0.0025555494052241176,-46.85540177498584,1.2379073713842506,0,0,43.86163735796306,0.07855289296647228,82.8355034466204,9.986304643398608
2025-01-01 00:08:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,91.85489457853814,51.666666666666686,46.10666666666668,0.0,51.05736378634606,0.0,0.0,0.0,143.52327277896583,50.302299391106345,51.05736378634606,49.9247671934865,12.43753247303448,16.0912283044915,-0.07543836217518418,-1.5710643768695929,2.0243994061725146,2.8,9.236100170605994,-2531.457204821273,43.05545880088552,89.27527869560929,-2786.995609358924,-0.0,-0.0,337.42483365333806,0.0,1.0,0.1608990628680608,0.0,0,4.236857583170561,65.99961422222222,-81.88642911568697,0.230400068462787,7.173629340119753,0.0025550981265604535,-46.133330946004584,1.2386805009880684,0,0,43.05545880088552,0.07842254830251155,79.26778727410421,10.007491421505076
2025-01-01 00:09:00,0.28718408231193204,0.19645845044230856,0.00021273638323418648,0.004786401371865534,0.0032743075073718092,3.545606387236441e-06,0.015782886377636758,0.27140119593429524,0.0,0.0,0.00021273638323418648,0.0,0.19645845044230856,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0028309256213450294,0.0,On,0.006475980378145864,0,On,0.006475980378145864,0.0,On,0.009456595344550428,0,On,0.2251266125830892,0.16884495943731684,On,0.00021273638323418648,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,10139.674302222222,Off,0.0,0,92.27004871987964,51.666666666666686,46.10666666666668,0.0,51.03665270384399,0.0,0.0,0.0,144.17195112481193,50.283217222664575,51.03665270384399,49.90649948207487,12.43753247303448,15.91737080380055,-0.24929586286613592,-1.4777342385271437,2.0574517462534896,2.8,9.236100170605994,-2479.126962318512,42.27152859883535,85.78595994545836,-2737.816153051325,-0.0,-0.0,337.42483365333806,0.0,1.0,0.16015475379868843,0.0,0,4.217258143195084,65.99961422222222,-78.73564292052517,0.23293356974608442,7.087449847907816,0.0025546540797086563,-45.43498940861962,1.239425828832382,0,0,42.27152859883535,0.07829397722515138,75.76535948835853,10.020600457099839
