Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.38769265135477926,0.23012458508235079,0.0,0.0064615441892463205,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,0.0,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12340.052204444444,Off,0.0,0.0,39.63223447455064,51.666666666666686,46.10666666666668,0.0,50.809876255690774,0.0,0.0,0.0,39.63223447455064,50.25272211505694,50.809876255690774,49.97414504474003,12.43753247303448,16.210638670623396,0.0,6.142557945502124,-1.7713350897429097,-1.9862206721588134,2.8,9.236100170605994,-840.0186570095772,-1596.9368021537357,4357.570898733347,1198.1048944734628,-1416.191973223661,-0.0,-0.0,700.845021558899,0.0,5.0,0.08103171214576307,0.0,0,1.0486348198164905,329.99807111111113,-124.67170534481514,0.28225295491980584,7.938729776776767,0.003166394893574434,52.31228499887393,1.2341077625859138,0.37944517340003064,-1652.8963841559014,55.95958200216577,0.7249112727551998,4318.625676224582,38.94522250876525,0.223691927491778,1395.2777920931708,-197.17289761970798
2025-01-01 00:01:00,0.38769265135477926,0.23012458508235079,0.0,0.0064615441892463205,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,0.0,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12340.052204444444,Off,0.0,0.0,39.74846571410433,51.666666666666686,46.10666666666668,0.0,50.80620553886164,0.0,0.0,0.0,39.74846571410433,50.2493848838128,50.80620553886164,49.97097455628838,12.43753247303448,16.107392160038142,-0.05927450662854383,6.174988455654842,-1.2040081999729293,-1.9196338854345671,2.8,9.236100170605994,-822.8519418798081,-1613.8737293876482,3819.2655079084034,1174.5794134978607,-1399.6943051211244,-0.0,-0.0,700.845021558899,0.0,5.0,0.0807091155734181,0.0,0,1.044460083906852,329.99807111111113,-124.00265831758267,0.2849711274360138,7.912061528278474,0.0031666432656676765,53.08015608624515,1.238154350597404,0.3795559682036178,-1669.4206002885512,55.546870900902995,0.7249112727551998,3782.6613627637944,36.60414514460913,0.2232117847372654,1372.9132058522835,-198.33379235442268
2025-01-01 00:02:00,0.38769265135477926,0.23012458508235079,0.0,0.0064615441892463205,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,0.0,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12340.052204444444,Off,0.0,0.0,39.861374945454806,51.666666666666686,46.10666666666668,0.0,50.802524365543476,0.0,0.0,0.0,39.861374945454806,50.24603786532024,50.802524365543476,49.967794615208625,12.43753247303448,16.006990995904825,-0.1596756707618603,6.205292103278718,-0.7092537610061073,-1.8554779560837908,2.8,9.236100170605994,-806.3983542078269,-1630.0128304643597,3350.034192924952,1152.450282999377,-1383.7256346113354,-0.0,-0.0,700.845021558899,0.0,5.0,0.08039489141871174,0.0,0,1.0403936958085758,329.99807111111113,-123.51774115539052,0.2868270964039682,7.864326669378954,0.0031668944598601287,53.826219491866844,1.2385840752988215,0.37965946762422437,-1684.8694572738484,54.85662680948904,0.7249112727551998,3315.2575996175724,34.77659330737987,0.2227481913835902,1351.4379583367133,-198.98767533733653
2025-01-01 00:03:00,0.38769265135477926,0.23012458508235079,0.0,0.0064615441892463205,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,0.0,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,12340.052204444444,Off,0.0,0.0,39.9711056308024,51.666666666666686,46.10666666666668,0.0,50.79883303619442,0.0,0.0,0.0,39.9711056308024,50.242681339308874,50.79883303619442,49.964605490866106,12.43753247303448,15.909312157789264,-0.2573545088774214,6.233635121803661,-0.27767947456048636,-1.7934285818141635,2.8,9.236100170605994,-790.6828506491134,-1644.8860940414493,2940.7450143688084,1131.6721619815507,-1368.2604517823422,-0.0,-0.0,700.845021558899,0.0,5.0,0.080088695048094,0.0,0,1.03643119560429,329.99807111111113,-123.26742042567034,0.2886466646560196,7.818009254808693,0.0031671490963138178,54.55119495029603,1.239002427064526,0.3797562451606515,-1699.3260661998672,54.43997215841807,0.7249112727551998,2907.5413071006783,33.20370726812945,0.22229890037956718,1330.7360884599352,-199.06392647838436
2025-01-01 00:04:00,12.727744855799223,0.23012458508235079,0.0,0.21212908092998706,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,12.340052204444444,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,On,12340.052204444444,16.666666666666686,1.0,0.0,12.340052204444444,0.0,1,12340.052204444444,12340.052204444444,Off,0.0,0.0,40.07779513762345,51.666666666666686,46.10666666666668,0.0,50.79513183829848,0.0,0.0,0.0,40.07779513762345,50.23931557342808,50.79513183829848,49.961407440992886,12.43753247303448,15.814237851006709,-0.35242881565997664,6.260186882948279,0.09886770806008405,-1.7332027789256534,2.8,9.236100170605994,11565.716889024588,-1658.8579607127176,2583.672660344096,1112.033158529611,-1353.2745612081085,-0.0,-0.0,700.845021558899,0.0,5.0,0.07979019498992858,0.0,0,1.032568293705507,329.99807111111113,-121.90577577064496,0.2904310538685018,7.772507043777146,0.0031674070752825446,55.2559538620334,1.2394098878504314,0.3798468840610123,-1712.8754133862842,54.017452673566574,0.7249112727551998,2551.8101477673827,31.86251257671335,0.22186194346819219,1310.7069770974463,-198.67381856783504
2025-01-01 00:05:00,12.727744855799223,0.23012458508235079,0.0,0.21212908092998706,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,12.340052204444444,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,On,12340.052204444444,16.666666666666686,1.0,0.0,12.340052204444444,0.0,1,12340.052204444444,12340.052204444444,Off,0.0,0.0,39.821308738602966,51.666666666666686,46.10666666666668,0.0,50.79142104691676,0.0,0.0,0.0,39.821308738602966,50.23594082376022,50.79142104691676,49.958200712181956,12.43753247303448,16.0312924668561,-0.13537419981058463,6.285082720950073,0.4274870401898894,-1.6745610794190633,2.8,9.236100170605994,11520.781237429337,-1671.9659052204845,2272.078118479239,1093.3246744487942,-1387.5840180264477,-0.0,-0.0,700.845021558899,0.0,5.0,0.08047099436856572,0.0,0,1.0413785473067656,329.99807111111113,-132.53197054755827,0.28645172699856114,7.877262465411392,0.0031676683012311505,53.43195484998514,1.238479412586224,0.3799318505467533,-1725.5853529200253,53.61944769954085,0.7249112727551998,2241.357324340832,30.72079413840717,0.2214356511983153,1291.2657635686896,-197.94108911989548
2025-01-01 00:06:00,12.727744855799223,0.23012458508235079,0.0,0.21212908092998706,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,12.340052204444444,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,On,12340.052204444444,16.666666666666686,1.0,0.0,12.340052204444444,0.0,1,12340.052204444444,12340.052204444444,Off,0.0,0.0,39.57334483308305,51.666666666666686,46.10666666666668,0.0,50.787733498009366,0.0,0.0,0.0,39.57334483308305,50.23258767152273,50.787733498009366,49.95501475827942,12.43753247303448,16.24104393364272,0.0,6.308443990637491,0.7143590703041337,-1.617302708847201,2.8,9.236100170605994,11478.38789724261,-1684.2670176250328,2000.095110227054,1075.4195029234133,-1421.065153272042,-0.0,-0.0,700.845021558899,0.0,5.0,0.0811266116339838,0.0,0,1.0498629181140064,329.99807111111113,-141.44417548869063,0.2826644506138642,7.97768366136012,0.0031679210938930133,51.674038018200484,1.2375815705128976,0.3800115624591581,-1737.5167926103006,53.24977498526787,0.7249112727551998,1970.3439571908593,29.751153036194708,0.22101862160397653,1272.3414613216814,-196.92195839826815
2025-01-01 00:07:00,12.727744855799223,0.23012458508235079,0.0,0.21212908092998706,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,12.340052204444444,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,On,12340.052204444444,16.666666666666686,1.0,0.0,12.340052204444444,0.0,1,12340.052204444444,12340.052204444444,Off,0.0,0.0,39.33332960145876,51.666666666666686,46.10666666666668,0.0,50.78406842077294,0.0,0.0,0.0,39.33332960145876,50.22925539907927,50.78406842077294,49.95184888823245,12.43753247303448,16.443984711149955,0.0,6.330379809647735,0.9648648356590814,-1.5612576890204983,2.8,9.236100170605994,11437.034324559394,-1695.8197166927055,1762.6162864658525,1058.2033146693527,-1453.7627948841327,-0.0,-0.0,700.845021558899,0.0,5.0,0.08175883115830443,0.0,0,1.0580444977624515,329.99807111111113,-150.10010655981645,0.2790536437637517,8.074616063513549,0.0031681657470127465,49.97763061799133,1.2367141195179219,0.3800863953166471,-1748.7245518489606,52.90483515625514,0.7249112727551998,1733.6864798749687,28.929806590883747,0.22060966575114396,1253.8741143690552,-195.6707996997025
2025-01-01 00:08:00,12.727744855799223,0.23012458508235079,0.0,0.21212908092998706,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,12.340052204444444,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,On,12340.052204444444,16.666666666666686,1.0,0.0,12.340052204444444,0.0,1,12340.052204444444,12340.052204444444,Off,0.0,0.0,39.100824670099136,51.666666666666686,46.10666666666668,0.0,50.78042509629329,0.0,0.0,0.0,39.100824670099136,50.225943337111985,50.78042509629329,49.94870245752133,12.43753247303448,16.64049089619438,0.0,6.350988972396116,1.1836895015467765,-1.5062829182012558,2.8,9.236100170605994,11396.76487288768,-1706.6747593209338,1555.1948623378123,1041.5791976364274,-1485.7070292990509,-0.0,-0.0,700.845021558899,0.0,5.0,0.08236904527954775,0.0,0,1.065941304557406,329.99807111111113,-158.42532381661303,0.2756066524468275,8.168298396547584,0.003168402534383311,48.33916653776404,1.2358753304378218,0.38015668893696114,-1759.258313182649,52.5835538617155,0.7249112727551998,1526.9587291978655,28.23613313994685,0.22020778154741844,1235.8133224429948,-194.2341248065675
2025-01-01 00:09:00,12.727744855799223,0.23012458508235079,0.0,0.21212908092998706,0.003835409751372513,0.0,0.06935742193530613,0.0,0.3183352294194731,12.340052204444444,0.0,0.0,0.23012458508235079,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.0661799100099244,0.04963493250744329,On,0,0,Off,0.02105986842105263,0.0,On,0.002940863901798672,0.0,On,0.04535668961245482,0,On,0.011502449309671968,0,On,0.24065287009987676,0.1804896525749075,On,0,0,Off,On,12340.052204444444,16.666666666666686,1.0,0.0,12.340052204444444,0.0,1,12340.052204444444,12340.052204444444,Off,0.0,0.0,38.875450895991484,51.666666666666686,46.10666666666668,0.0,50.77680284529874,0.0,0.0,0.0,38.875450895991484,50.22265085321621,50.77680284529874,49.945574857174954,12.43753247303448,16.83088771566313,0.0,6.370361753840966,1.3749125507714701,-1.4522584204892786,2.8,9.236100170605994,11357.579763293406,-1716.8786829045994,1373.9590048939303,1025.464995815324,-1516.922894821756,-0.0,-0.0,700.845021558899,0.0,5.0,0.08295846452351324,0.0,0,1.0735690039645256,329.99807111111113,-166.39456788817972,0.27231240144502766,8.258939474922002,0.0031686317143679076,46.75554397937804,1.2350637037919547,0.3802227536651739,-1769.163522742371,52.28483983777191,0.7249112727551998,1346.3067415278558,27.652263366074585,0.21981212833691915,1218.1168565578448,-192.65186074252077
