Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.19799141782722618,0.1006428161016617,0.0,0.19799141782722615,0.10064281610166169,0.0,0.02097554573189282,0.12701587209533335,0.0,0.05,0.0,0.0,0.0,0.08605948276832837,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0034871436403508763,0.0,0.017488402091541944,0.0,0.012269895070895515,0.0,0.08143446406603513,0.06107584804952633,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,0.0,0.0,100.93010125916808,51.66666666666668,46.10666666666668,0.0,50.885319790010016,0.04393806584782705,119.51175040436812,0.0,157.70328321745012,50.24839310142123,50.885746012744434,49.929503534392424,12.43753247303448,12.643719624631634,0.0,2.8,9.236100170605994,-546.1979646800319,-903.8516861711921,0.0,0.0,340.28984800927043,0.0,3.0,0.0704551788970767,0.0,0.0,0.9276267793694317,197.99884266666666,17.36387348188991,0.3277819716021248,5.89041819581723,0.0029097816370425252,31.252754005372292,1.2532935306018187
2025-01-01 01:00:00,0.17843514134703156,0.09749184687087542,0.0,0.17843514134703153,0.09749184687087542,0.0,0.013949217607536223,0.1144859237394953,0.0,0.05,0.0,0.0,0.0,0.08290851353754208,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0032256078673245604,0.0,0.010723609740211663,0.0,0.003941239022772498,0.0,0.07806595958228016,0.058549469686710105,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,0.0,0.0,98.12374320478874,51.66666666666668,46.10666666666668,0.0,49.52642369049816,0.0,0.0,0.0,153.3183487574824,48.88225803319766,49.52642369049816,48.560175204547406,12.43753247303448,12.33146177601184,-0.011303305665092692,2.5,9.236100170605994,-469.59880489360734,-793.5811864479379,0.0,0.0,320.96936684293854,0.0,3.0,0.062060960657856684,0.0,0.0,0.8171068466623288,197.99884266666666,3.01301471139189,0.33572868103973047,5.744024422195673,0.002919700562470801,46.74550149436961,1.2547177883717138
2025-01-01 02:00:00,0.17760235352307147,0.09686725600290537,0.04203308823529412,0.17760235352307147,0.09686725600290537,0.04203308823529412,0.013949217607536223,0.11365313591553525,0.0,0.05,0.0,0.04203308823529412,0.0,0.08228392266957203,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0032256078673245604,0.0,0.010723609740211663,0.0,0.003941239022772498,0.0,0.07806595958228016,0.058549469686710105,837.6705033333334,12.777777777777828,0.17000000000000004,0.0,1.2318683872549019,0.0,0.25,837.6705033333334,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,0.0,0.0,95.24364585865501,51.66666666666668,46.10666666666668,0.0,48.22381922149025,0.0,0.0,0.0,148.81819665414844,47.67517356437959,48.22381922149025,47.40085073582426,12.43753247303448,12.19488803822087,-0.14286703370561027,1.6500000000000001,9.236100170605994,390.3548227570861,-758.3060046317385,0.0,0.0,320.1365790189785,0.0,3.0,0.054878522098943394,0.0,0.0,0.7225414441933842,197.99884266666666,-9.1462549634875,0.34075456275111643,5.695570495023273,0.0029367397722948846,68.0278845001804,1.2553060707874972
2025-01-01 03:00:00,0.17659520851709384,0.09624266513493532,0.03377372929441463,0.17659520851709387,0.09624266513493532,0.03377372929441463,0.01377486042551868,0.11282034809157516,0.0,0.05,0.030971523412061684,0.0028022058823529415,0.0,0.08165933180160198,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.003051250685307017,0.0,0.010723609740211663,0.0,0.003941239022772498,0.0,0.07806595958228016,0.058549469686710105,55.84470022222222,12.777777777777828,0.011333333333333336,0.0,0.08212455915032679,0.0,0.016666666666666666,55.84470022222222,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,703.3706666666666,0.0,96.02343054448541,51.66666666666668,46.10666666666668,0.0,48.46375851374212,0.0,0.0,703.3706666666666,150.03661022575844,48.14315516579379,48.467754724446344,47.97885728111541,12.43753247303448,12.410699857808712,-0.06050939781833788,1.6500000000000001,9.236100170605994,-478.53989188150103,-836.536484388582,0.0,0.0,319.1294340130009,0.0,3.0,0.059572273005692594,0.0,0.0,0.7843402942559277,197.99884266666666,-16.97754172814212,0.338006370442395,5.828012667617232,0.002954426626674634,35.103681784833164,1.2543445600455918
2025-01-01 04:00:00,0.1757624206931338,0.09561807426696527,0.04483529411764706,0.1757624206931338,0.09561807426696527,0.04483529411764706,0.01377486042551868,0.1119875602676151,0.0,0.05,0.0,0.04483529411764706,0.0,0.08103474093363193,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003051250685307017,0.0,0.010723609740211663,0.0,0.003941239022772498,0.0,0.07806595958228016,0.058549469686710105,893.5152035555556,12.777777777777828,0.18133333333333337,0.0,1.3139929464052287,0.0,0.26666666666666666,893.5152035555556,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,0.0,0.0,103.12700912445706,51.66666666666668,46.10666666666668,0.0,50.823289531474316,0.0,0.0,0.0,161.13595175696415,50.85544820153911,50.871527536571506,50.823289531474316,12.43753247303448,12.419505156282593,-0.06766956806166391,0.55,9.236100170605994,230.4084815988703,-961.0922805381458,0.0,0.0,318.2966461890408,0.0,3.0,0.06177678392717672,0.0,0.0,0.8133653197855399,197.99884266666666,-20.311087607580273,0.33838866354419583,5.837257595582605,0.0029608614093096716,58.043209844929116,1.2537122221238435
2025-01-01 05:00:00,0.1807061092572879,0.09697242143053685,0.06592546758838379,0.1807061092572879,0.09697242143053685,0.06592546758838379,0.016206304267495485,0.11449980498979241,0.0,0.05,0.015485761706030842,0.05043970588235294,0.0,0.08238908809720352,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0033999650493421046,0.0,0.01280633921815338,0.0,0.0046476875268543615,0.0,0.0798717558003756,0.059903816850281684,1005.2046040000001,12.777777777777828,0.20400000000000004,0.0,1.4782420647058823,0.0,0.3,1005.2046040000001,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,351.6853333333333,0.0,98.22838004645064,51.66666666666668,46.10666666666668,0.0,49.467565501598486,0.10619519235868422,271.83559701268103,351.6853333333333,153.48184382257915,49.01289781753651,49.5040822315913,48.74904724551272,12.43753247303448,12.422439601302354,-0.05819489439230239,-0.25000000000000006,9.236100170605994,287.07679427160963,-1020.9731432567096,0.0,0.0,323.1139290179282,0.0,3.0,0.06116614647235157,0.0,0.0,0.8053255466354459,197.99884266666666,-20.26859548960898,0.3410431360224937,5.867245808472012,0.002986374186095844,66.37121946705017,1.2530510459857942
2025-01-01 06:00:00,0.20570831141240842,0.10259718631032362,0.18361811464720731,0.20570831141240842,0.10259718631032361,0.18361811464720734,0.030492620147650456,0.12521569126475798,0.0,0.05,0.015485761706030842,0.16813235294117648,0.0,0.08801385297699027,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.003835858004385964,0.0,0.02665676214326449,0.0,0.007863887295437579,0.0,0.08570586665883781,0.06427939999412834,3350.6820133333335,19.444444444444457,0.6800000000000002,0.0,4.9274735490196075,0.0,1.0,3350.6820133333335,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,351.6853333333333,0.0,100.72653676437743,51.66666666666668,46.10666666666668,0.0,51.45285858570112,0.06415610749077268,174.78751247101357,351.6853333333333,157.3852136943397,50.88029281129918,51.45285858570112,50.594009924098216,12.43753247303448,13.368634390456062,-5.464698942877285,0.3,9.236100170605994,2557.821822288298,-1099.45107512061,0.0,0.0,347.7077434129564,0.0,3.0,0.06390467147681465,0.0,0.0,0.8413815068910254,197.99884266666666,-41.116859337382174,0.3217260071337607,6.354613635479615,0.0029949254462254935,19.28597689540479,1.248911820972368
2025-01-01 07:00:00,0.26094873749881103,0.11233708295634712,0.23007539976529984,0.26094873749881103,0.11233708295634713,0.23007539976529987,0.06469672257617663,0.1462520149226344,0.0,0.05,0.06194304682412337,0.16813235294117648,0.0,0.0977537496230138,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0035743222313596485,0.0,0.06112240034481699,0.0,0.015913682091949332,0.0,0.09702681987228236,0.07277011490421174,3350.6820133333335,19.444444444444457,0.6800000000000002,0.0,4.9274735490196075,0.0,1.0,3350.6820133333335,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,1406.7413333333332,0.0,92.5792616566048,51.66666666666668,46.10666666666668,0.0,50.974997067026905,0.37866946467007373,1025.630407113305,1406.7413333333332,144.65509633844502,49.21576449421077,50.974997067026905,48.336148207802694,12.43753247303448,14.789353375211508,-4.155091069232948,-0.55,9.236100170605994,2288.1868825692477,-1417.8410922409937,0.0,0.0,399.97771550508463,0.5062129649957603,2.967,0.06999297015856147,0.0,0.0,0.9215412479689419,195.8208553973333,-44.63175402817692,0.2938971855632612,7.070143377177643,0.0030026994389714193,43.888790546260154,1.242738152939637
2025-01-01 08:00:00,0.2567162183356866,0.11199800372716046,0.03871440426507711,0.2567162183356866,0.11199800372716046,0.03871440426507711,0.05980086404552268,0.1469153542901639,0.0,0.05,0.03871440426507711,0.0,0.0,0.0974146703938271,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0027025363212719294,0.0,0.05709832772425075,0.0,0.01702912709839438,0.0,0.09574192640940676,0.07180644480705504,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,879.2133333333333,0.0,101.32075112846478,51.66666666666668,46.10666666666668,0.0,52.38765284643775,0.2357445898520204,652.4559129784406,879.2133333333333,158.31367363822622,51.429836122540294,52.39102159546835,50.94755901156097,12.43753247303448,13.711437289803198,-0.06312747825485093,-1.4,9.236100170605994,-1061.6726334006278,-1404.5571849541132,0.0,0.0,332.0795115456948,44.77691762166699,2.0010000000000003,0.07028681782724994,0.0,0.0,0.9254101043226939,132.0652280586667,10.80504000779079,0.3170132628159082,6.555302935006557,0.003015962726119396,55.838732203710364,1.2479909920184973
2025-01-01 09:00:00,0.28391342449737855,0.11616522576891919,0.023228642559046265,0.28391342449737855,0.11616522576891919,0.02322864255904626,0.07461277194541167,0.15930065255196688,0.0,0.05,0.023228642559046265,0.0,0.0,0.10158189243558584,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.002179464775219298,0.0,0.07243330717019238,0.0,0.023858129304519058,0.0,0.10129822246508506,0.07597366684881378,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,3350.6820133333335,0.0,21.111111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1992.0043422222222,527.528,0.0,101.81137770880815,51.66666666666668,46.10666666666668,0.0,51.5866215095639,0.1665076925115372,454.82613353468076,527.528,159.08027767001275,50.25426876868888,51.58881774308759,49.585896164727686,12.43753247303448,12.354468831029717,-0.04508795979900177,-0.85,9.236100170605994,-739.1362911477692,-1139.387764072896,0.0,0.0,356.6602900034893,147.84955395637147,1.9672500000000002,0.06517490744514863,0.0,0.0,0.858105684145137,129.83774107866668,43.59118292163769,0.34916957311863933,5.908997186835909,0.0030414415816775895,120.45163888326488,1.2545250512469788
