Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.4461700272755162,0.24593463686748968,0.10136881867949152,0.4461700272755162,0.24593463686748968,0.10136881867949152,0.013229289213148455,0.3195520922290344,0.06338864583333334,0.05,0.03871440426507711,0.06265441441441441,0.0,0.23135130353415637,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.0034871436403508763,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1064.9377655045903,21.722222222222285,0.43166666666666664,696.9542738102244,1.836219884844845,0.06338864583333334,0.4666666666666667,1698.5033934814815,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,879.2133333333333,0.0,75.84337372459736,51.66666666666668,46.10666666666668,0.0,50.51677645748545,0.0,0.0,879.2133333333333,118.50527144468336,49.677339648246296,50.52570179296543,49.248695908146736,12.43753247303448,21.48393849664961,-0.05210371367661063,3.5082267669382814,2.8,9.236100170605994,640.0123954745576,508.40711553105143,-879.7928777448175,0.0,0.0,446.1015375266989,0.0,2.0,0.036127108056717164,0.0,0.0,0.4756566290682498,131.99922844444444,8.765970188085808,0.19068384022320853,10.16079999591121,0.0029641002867905586,38.16792161716756,1.2156512426320696,0.08421599960708002,-52.12277397158696,-136.42438430758605
2025-01-01 01:00:00,0.47203444115608767,0.245154177232688,0.08950630630630632,0.47203444115608767,0.245154177232688,0.08950630630630631,0.012967753440122139,0.3185114793826322,0.09055520833333335,0.05,0.0,0.08950630630630632,0.0,0.23057084389935467,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04058390100968627,0.030437925757264693,0.0,0.0,0.0032256078673245604,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1521.3396650065577,21.722222222222285,0.6166666666666667,995.648962586035,2.623171264064064,0.09055520833333335,0.6666666666666666,2426.433419259259,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,80.24627915391751,51.66666666666668,46.10666666666668,0.0,51.432503398545485,0.0,0.0,0.0,125.3848111779961,51.47162638034315,51.49118787124199,51.432503398545485,12.43753247303448,21.564944157091812,-0.0038571811960026164,5.059971541770257,2.5,9.236100170605994,1124.7399843095484,633.8423069401231,-845.0823957582601,0.0,0.0,444.7993889072704,0.0,2.0,0.03401973873318018,0.0,0.0,0.4479105889738762,131.99922844444444,3.683326153980434,0.19045245906842162,10.209941866645249,0.0029755883180355358,42.57397562033029,1.215366814811154,0.07435317605072103,-236.87743017977337,-124.92922546613853
2025-01-01 02:00:00,0.4845771095596854,0.24437371759788634,0.10293225225225226,0.4845771095596854,0.24437371759788631,0.10293225225225225,0.012967753440122139,0.31747086653622997,0.10413848958333334,0.05,0.0,0.10293225225225226,0.0,0.229790384264553,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.0032256078673245604,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1749.5406147575413,21.722222222222285,0.7091666666666666,1144.9963069739401,3.016646953673674,0.10413848958333334,0.7666666666666667,2790.398432148148,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,78.68476475558154,51.66666666666668,46.10666666666668,0.0,50.69389845148877,0.0,0.0,0.0,122.94494493059618,50.727101951030974,50.74370370080208,50.69389845148877,12.43753247303448,21.402551440457252,-0.05963313914834441,5.287606103442561,1.6500000000000001,9.236100170605994,1374.092550829449,734.7651500964961,-827.7529140437695,0.0,0.0,443.7587760608681,0.0,2.0,0.03199555867268893,0.0,0.0,0.42125983512197984,131.99922844444444,8.546074054809026,0.19327253922961088,10.152978980514552,0.00298958427581254,51.77346396106699,1.2160273047045036,0.059753187227300636,-293.4185171979195,-116.8126396795247
2025-01-01 03:00:00,0.44261229578126565,0.24359325796308468,0.06265441441441441,0.44261229578126565,0.24359325796308465,0.06265441441441441,0.012793396258104595,0.31643025368982775,0.06338864583333334,0.05,0.0,0.06265441441441441,0.0,0.22900992462975134,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850267531688185,0.028877006487661377,0.0,0.0,0.003051250685307017,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1064.9377655045903,21.722222222222285,0.43166666666666664,696.9542738102244,1.836219884844845,0.06338864583333334,0.4666666666666667,1698.5033934814815,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,76.8721323680081,51.66666666666668,46.10666666666668,0.0,49.97478925089965,0.0,0.0,0.0,120.11270682501262,50.002662836815034,50.016599629772735,49.97478925089965,12.43753247303448,21.353807845696327,-0.05470258062598218,5.244661452449746,1.6500000000000001,9.236100170605994,666.5475416717716,260.95265084791674,-852.9321971054376,0.0,0.0,442.5438060324484,0.0,2.0,0.033095858236846666,0.0,0.0,0.43574659616664696,131.99922844444444,11.99816724017042,0.19479029251045774,10.1474697297211,0.0030042025209294225,36.33145261109929,1.2162174745359964,0.06879839152657215,-318.834847255667,-117.16677570664073
2025-01-01 04:00:00,0.4460994433515301,0.24281279832828304,0.06712972972972973,0.44609944335153007,0.242812798328283,0.06712972972972973,0.012793396258104595,0.3153896408434255,0.06791640625,0.05,0.0,0.06712972972972973,0.0,0.2282294649949497,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.003051250685307017,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1141.0047487549184,21.722222222222285,0.46249999999999997,746.7367219395262,1.9673784480480483,0.06791640625,0.5,1819.8250644444445,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,74.71747367074248,51.66666666666668,46.10666666666668,0.0,49.260297017072524,0.0,0.0,0.0,116.74605261053512,49.295487588209305,49.3130828737777,49.260297017072524,12.43753247303448,21.44935736668198,-0.05914788240663634,5.471861013482953,0.55,9.236100170605994,661.2881898106037,183.91432939300313,-932.2047183965689,0.0,0.0,441.5031931860462,0.0,2.0,0.03397853816819288,0.0,0.0,0.4473681342103563,131.99922844444444,10.984966266208268,0.1941427716942865,10.195542102139845,0.0030129703376283023,49.253552552576,1.215246011418375,0.07032430624673375,-443.07788003455056,-119.74451251197252
2025-01-01 05:00:00,0.5366649802240556,0.2682745485901325,0.1382012490820565,0.5366649802240556,0.2682745485901325,0.1382012490820565,0.030670068275428636,0.3631758234069603,0.09281908854166668,0.05,0.04645728511809253,0.09174396396396396,0.0,0.25369121525679916,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.0033999650493421046,0.0,0.027270103226086535,0.0,0.024920869731227986,0.0,0.3007928912052527,0.22559466840393946,1559.3731566317215,21.722222222222285,0.6320833333333333,1020.5401866506858,2.6887505456656657,0.09281908854166668,0.6833333333333333,2487.094254740741,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,1055.056,0.0,75.00578568366323,51.66666666666668,46.10666666666668,0.0,50.67029362724658,0.4216018013600996,1106.0320665814959,1055.056,117.19654013072382,49.508622614208754,50.67335511360942,48.924725621327006,12.43753247303448,21.59333652680351,-2.4109021294075697e-05,5.380639425998229,-0.25000000000000006,9.236100170605994,1091.6603133911976,381.8858030332204,-979.2634352415836,0.0,0.0,504.7896177424657,0.0,2.0,0.034058611289670714,0.0,0.0,0.4484223927184363,131.99922844444444,6.760974258593962,0.19355275204897204,10.276803537937734,0.003032577332732692,54.032185135370334,1.2140280332644013,0.06774142726840822,-497.89109265937077,-140.7632909580947
2025-01-01 06:00:00,0.7083400099066975,0.2996595459636505,0.13269602588669874,0.7083400099066975,0.2996595459636505,0.13269602588669874,0.06578641859408255,0.4974706225626149,0.09508296875000001,0.05,0.03871440426507711,0.09398162162162163,0.0,0.2850762126303172,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.06890401360852408,0.0,0.003835858004385964,0.0,0.061950560589696585,0.0,0.04846499211366785,0.0,0.3405583286771389,0.2554187465078541,1597.4066482568853,21.722222222222285,0.6474999999999999,1045.4314107153366,2.754329827267268,0.09508296875000001,0.7,2547.7550902222224,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,879.2133333333333,0.0,77.3286546636401,51.66666666666668,46.10666666666668,0.0,51.659363868875595,0.20170287443113144,552.4339111504419,879.2133333333333,120.82602291193764,50.181422233839506,51.659363868875595,49.44245141632147,12.43753247303448,21.429646965108812,-0.05898311262046103,4.452823702970699,0.3,9.236100170605994,1292.1741842933807,547.4435664927933,-940.1727617092682,0.0,0.0,624.4735869928321,0.0,1.6664999999999999,0.03385402666018731,0.0,0.0,0.4457287911418451,109.98835710133334,10.466710752931288,0.19626904719735494,10.21669145467572,0.003044091139298647,26.12607258980303,1.2146952210229918,0.06740811172782336,-370.5916820740315,-127.39616214851189
2025-01-01 07:00:00,0.46436824753319167,0.24593463686748968,0.08055567567567569,0.46436824753319167,0.24593463686748968,0.08055567567567568,0.013316467804157227,0.3195520922290344,0.0814996875,0.05,0.0,0.08055567567567569,0.0,0.23135130353415637,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.0035743222313596485,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1369.2056985059019,21.722222222222285,0.5549999999999999,896.0840663274315,2.360854137657658,0.0814996875,0.6,2183.7900773333336,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,74.02226980016938,51.66666666666668,46.10666666666668,0.0,50.939769515334355,0.0,0.0,0.0,115.65979656276467,48.82397555640671,50.939769515334355,47.76607857694288,12.43753247303448,21.310660607746737,-0.05396460546061916,4.239923187968675,-0.55,9.236100170605994,703.7882245677242,320.52511139689574,-995.8854072150666,0.0,0.0,314.1894876732632,2.1645337937572005,0.0,0.03454551712722995,0.0,0.0,0.45483309099529473,0.0,16.278445603625883,0.1972674216297617,10.156954536581745,0.00303767139729887,-52.858645017353744,1.215189842804557,0.0699940976210364,-448.94183758253155,-126.61711734800421
2025-01-01 08:00:00,0.4781203557195062,0.24671509650229134,0.09398162162162163,0.4781203557195061,0.24671509650229134,0.09398162162162162,0.012444681894069509,0.32059270507543663,0.09508296875000001,0.05,0.0,0.09398162162162163,0.0,0.232131763168958,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.0027025363212719294,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1597.4066482568853,21.722222222222285,0.6474999999999999,1045.4314107153366,2.754329827267268,0.09508296875000001,0.7,2547.7550902222224,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,71.14853262275236,51.66666666666668,46.10666666666668,0.0,50.154753011458574,0.0,0.0,0.0,111.16958222305057,48.14573962406522,50.154753011458574,47.141232930368545,12.43753247303448,21.699718535753508,-6.63297043810592e-05,4.931453987107313,-1.4,9.236100170605994,852.378535769567,240.56419930687827,-1099.1191551760082,0.0,0.0,314.35831460957775,140.99038384921838,0.0,0.035992869084634456,0.0,0.0,0.47388921228940867,0.0,39.73272807911175,0.1920020801759037,10.321288840841655,0.0030264925215948194,-20.23122109489282,1.2141644249100478,0.07889539275375058,-661.4863624387357,-143.38084896972276
2025-01-01 09:00:00,0.4911805654234535,0.24671509650229134,0.10740756756756757,0.4911805654234535,0.24671509650229134,0.10740756756756756,0.011921610348016877,0.32059270507543663,0.10866625,0.05,0.0,0.10740756756756757,0.0,0.232131763168958,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.002179464775219298,0.0,0.009742145572797579,0.0,0.011083687516825874,0.0,0.26684389085612004,0.20013291814208997,1825.607598007869,21.722222222222285,0.74,1194.7787551032418,3.1478055168768773,0.10866625,0.8,2911.7201031111113,3639.650128888889,0.0,22.722222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3716.4347599999996,0.0,0.0,70.08900421725187,51.66666666666668,46.10666666666668,0.0,49.38926907590511,0.0,0.0,0.0,109.51406908945606,47.482922067784656,49.38926907590511,46.529748563724425,12.43753247303448,21.4282355862171,-0.05239196510129211,4.1816190343124635,-0.85,9.236100170605994,1211.4145607514736,596.5565998599143,-1035.6337380302282,0.0,0.0,313.83524306352507,402.1095326334762,0.0,0.035222393395919926,0.0,0.0,0.46374497743126164,0.0,107.6054577103076,0.19530847464053067,10.204390613764765,0.0030259555808789785,17.315256633723457,1.215894610725783,0.0737059411365175,-490.19134982725785,-108.0308054160698
