occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.5,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.233,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.267,0.64,0.0817,0.309,0.168,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.767,0.788,0.205,0.0982,0.391,0.391,0.0,0.0,0.0,0.0,0.0,0.533,0.0752,0,0,0,0
1.0,0.888,0.297,0.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.616,0.305,0.533,0.0,0.0,0.0,1.0,0.0752,0,0,0,0
1.0,0.821,0.244,0.112,0.465,0.465,0.353,1.0,0.0,0.0,0.0,1.0,0.15,0,0,0,0
1.0,0.754,0.192,0.211,0.386,0.386,0.797,1.0,0.0,0.0,0.0,1.0,0.226,0,0,0,0
1.0,0.767,0.209,0.211,0.433,0.433,0.211,1.0,0.0,0.0,0.0,1.0,0.0752,0,0,0,0
1.0,0.767,0.209,0.211,0.433,0.433,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.767,0.209,0.211,0.433,0.433,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.773,0.246,0.211,0.478,0.478,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.777,0.279,0.211,0.518,0.518,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
