Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.046012402461166,51.666666666666686,46.10666666666668,0.0,51.254988707485666,0.0,0.0,0.0,34.046012402461166,50.109391579589136,51.254988707485666,49.536593015640875,12.43753247303448,20.895771352886655,0.0,7.448934161876656,2.8,9.236100170605994,-2554.0118055779753,-2170.500455860416,-4073.1677965304734,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.17271797971738076,0.0,0,1.024930937542068,528.0629133919999,-316.53055835240866,0.20923780160290675,10.077606699643528,0.0031479151065336177,28.931668124791415,1.214457828414394,0.3624556363775999,-2195.967484817139,25.467028956723
2025-01-01 00:01:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.1765885663308,51.666666666666686,46.10666666666668,0.0,51.252484850139226,0.0,0.0,0.0,34.1765885663308,50.10721972840433,51.252484850139226,49.53458716753689,12.43753247303448,20.781361091916242,0.0,7.197130256586112,2.8,9.236100170605994,-2513.3961845615304,-2048.705128285608,-4034.201293498152,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.17215409196174558,0.0,0,1.0215847543190049,528.0629133919999,-314.88144036828487,0.21133612259096035,10.050491160528235,0.003147979114056661,30.31711476742531,1.2184794681469682,0.3624556363775999,-2077.0255576325226,28.32042934691418
2025-01-01 00:02:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.30356725580932,51.666666666666686,46.10666666666668,0.0,51.24997201675765,0.0,0.0,0.0,34.30356725580932,50.10503954755106,51.24997201675765,49.53257331294776,12.43753247303448,20.670034350389535,0.0,6.964141541329172,2.8,9.236100170605994,-2476.98363870011,-1936.4108977296596,-3996.4291418511057,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.17160466031631025,0.0,0,1.0183243555325394,528.0629133919999,-316.2410461539108,0.21279484478573205,10.000760170060218,0.0031480459653228697,31.66481758572955,1.2189410939651597,0.3624556363775999,-1966.9711612443784,30.56026351471877
2025-01-01 00:03:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.42717988331303,51.666666666666686,46.10666666666668,0.0,51.247450455936985,0.0,0.0,0.0,34.42717988331303,50.102851266518115,51.247450455936985,49.53055167180869,12.43753247303448,20.56159246958609,0.0,6.748502608226487,2.8,9.236100170605994,-2441.65658148554,-1832.451209612846,-3959.7727468953926,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.17106876070846985,0.0,0,1.0151442576157443,528.0629133919999,-317.57038389505385,0.21422697595066018,9.952472791109198,0.003148115761921231,32.97705541623053,1.219391090482775,0.3624556363775999,-1865.1120965500747,32.660886937228575
2025-01-01 00:04:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.54758956236506,51.666666666666686,46.10666666666668,0.0,51.244920400284954,0.0,0.0,0.0,34.54758956236506,50.10065510003215,51.244920400284954,49.52852244990576,12.43753247303448,20.45589547583636,0.0,6.548910469489605,2.8,9.236100170605994,-2403.337809816953,-1736.228547126884,-3924.174496094532,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.1705457533782948,0.0,0,1.0120406641500566,528.0629133919999,-314.84986302732716,0.21563360825456404,9.905558160865363,0.003148188424171243,34.25548966569458,1.219830013149728,0.3624556363775999,-1770.8328850943512,34.60433796746693
2025-01-01 00:05:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.66488676091035,51.666666666666686,46.10666666666668,0.0,51.2423820711392,0.0,0.0,0.0,34.66488676091035,50.09845125241452,51.2423820711392,49.526485843052185,12.43753247303448,20.352865820869468,0.0,6.364159182577309,2.8,9.236100170605994,-2361.297248427352,-1647.1606367015524,-3889.5986054748205,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.17003530348904167,0.0,0,1.0090115881707258,528.0629133919999,-307.3851922574378,0.21701506024775574,9.85929686905853,0.0031482638761876486,35.50101056422589,1.220258160155529,0.3624556363775999,-1683.5638886511426,36.403251949590086
2025-01-01 00:06:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.77914036851626,51.666666666666686,46.10666666666668,0.0,51.23983568358564,0.0,0.0,0.0,34.77914036851626,50.09623992221547,51.23983568358564,49.52444204153039,12.43753247303448,20.252444496127794,0.0,6.193135342486902,2.8,9.236100170605994,-2318.9656059401686,-1564.7115133249542,-3856.016067944329,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.1695371653520502,0.0,0,1.0060555717293131,528.0629133919999,-298.63608730074634,0.2183714380924249,9.814348214020306,0.0031483420441840823,36.71428166711847,1.220675754025788,0.3624556363775999,-1602.77917996525,38.06766664029587
2025-01-01 00:07:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.890456254320455,51.666666666666686,46.10666666666668,0.0,51.23728144794919,0.0,0.0,0.0,34.890456254320455,50.09402130359068,51.23728144794919,49.52239123141144,12.43753247303448,20.15454070655065,0.0,6.034810498122565,2.8,9.236100170605994,-2277.7528002779727,-1488.3858999993813,-3823.3877843445516,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.1690509329681705,0.0,0,1.0031702055741012,528.0629133919999,-290.05156523832756,0.2197033103407067,9.769991377753822,0.0031484228559695675,37.89636889443271,1.2210831508304354,0.3624556363775999,-1527.992960553085,39.607060553703576
2025-01-01 00:08:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,34.99895063285471,51.666666666666686,46.10666666666668,0.0,51.23471956723925,0.0,0.0,0.0,34.99895063285471,50.09179558394227,51.23471956723925,49.52033359229379,12.43753247303448,20.059054758733048,-0.05205635237809503,5.888234445232869,2.8,9.236100170605994,-2237.920604709989,-1417.7261466062412,-3791.6723141974994,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.16857615304594287,0.0,0,1.0003527998146593,528.0629133919999,-281.93483981739604,0.22101140883615625,9.726857238893231,0.0031485062418168362,39.04845542575781,1.2214807452253946,0.3624556363775999,-1458.75639255904,41.03024595279901
2025-01-01 00:09:00,3.5859297748204115,1.0151251269574473,0.0,0.05976549624700686,0.016918752115957454,0.0,0.11952898812955748,0.0,3.416400786690854,0.0,0.05,0.0,0.0,0.0,1.0005417936241139,0,0.01458333333333334,1,0,0,Off,2.5126875388925902,0.3580385829348913,On,0,0,Off,0.07336497950827658,0.055023734631207424,On,0.0,0,Off,0.03051984649122807,0.0,On,0.003083165623058651,0.0,On,0.08592597601527076,0,On,0.04704230021263377,0,On,0.7833059680773536,0.5874794760580151,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,26677.09096,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,16104.843697777778,Off,0.0,0.0,35.10473565458641,51.666666666666686,46.10666666666668,0.0,51.23215023643519,0.0,0.0,0.0,35.10473565458641,50.08956294325883,51.23215023643519,49.51826929667065,12.43753247303448,19.96589044466021,-0.1452206664509319,5.752529081352898,2.8,9.236100170605994,-2199.4057182085485,-1352.309272163302,-3760.8299940057145,-0.0,-0.0,1835.6865493049065,0.0,8.001,0.16811238653289814,0.0,0,0.9976007490565775,528.0629133919999,-274.26227350774025,0.22229646119285246,9.684896976857353,0.0031485921347076838,40.17168657779028,1.2218689188893235,0.3624556363775999,-1394.6546960799924,42.34542391669048
