Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,3.2490589321548384,2.064793437232307,0.0,0.05415098220258064,0.03441322395387179,0.0,0.021189200510824423,0.0,0.5367469026790593,2.6411228289649546,0.05,0.0,0.0,0.34421328942224594,1.705996814476728,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5032.90777807357,20.0555555555556,2.02640063116969,0.0,2.330264495631621,0.31085833333333335,1,4722.049444740236,4722.049444740236,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.83684756049712,51.666666666666686,46.10666666666668,-0.0,51.05593564853252,0.1230374416317933,331.2594058307462,0.0,22.83684756049712,51.111244641907916,51.138899138595626,51.05593564853252,12.43753247303448,18.658842629946378,-0.8967129256092221,2.8,3749.191081704158,-1880.4154202564666,-0.0,-0.0,660.3860171153844,0.0,2.0,0.0909839238115479,0.0,0,1.641180619623333,131.99922844444444,-63.68729322832996,0.22658524934396856,8.857277372590788,0.0029662354693037077,-65.32399823829476,1.2239016217703775
2025-01-01 00:01:00,3.2501654176915507,2.06550815628293,0.0,0.05416942362819251,0.034425135938048836,0.0,0.021189200510824423,0.0,0.5367469026790593,2.642229314501667,0.05,0.0,0.0,0.34421328942224594,1.7067115335273506,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5032.3711792488475,20.0555555555556,2.025208722272675,0.0,2.3313709811683334,0.31085833333333335,1,4721.512845915514,4721.512845915514,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.78608968279491,51.666666666666686,46.10666666666668,-0.0,51.04557353193686,0.1230374416317933,331.17052207832825,0.0,22.78608968279491,51.0615501993278,51.06953853302327,51.04557353193686,12.43753247303448,18.68239168844618,-0.8731638671094188,2.8,3740.5563102819888,-1884.4109107711013,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09104205581151155,0.0,0,1.6422292126903661,131.99922844444444,-67.78997531114285,0.2268792717593223,8.89101806395971,0.0029657995552229434,-65.31069775696855,1.2273780698879648
2025-01-01 00:02:00,3.251216879608675,2.0661873335864183,0.0,0.05418694799347792,0.034436455559773635,0.0,0.021189200510824423,0.0,0.5367469026790593,2.6432807764187913,0.05,0.0,0.0,0.34421328942224594,1.7073907108308388,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5031.861418685819,20.0555555555556,2.0240771989431217,0.0,2.3324224430854583,0.31085833333333335,1,4721.003085352486,4721.003085352486,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.736180434122616,51.666666666666686,46.10666666666668,-0.0,51.03521464822139,0.1230374416317933,331.08166605678167,0.0,22.736180434122616,51.011875354280555,51.03521464822139,51.000205707310144,12.43753247303448,18.704754814008947,-0.850800741546653,2.8,3732.301715023458,-1888.2082750984505,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09109724985852828,0.0,0,1.643224810555216,131.99922844444444,-71.73744567929583,0.22652896965673922,8.901032364392757,0.0029653649643373555,-65.29192342662114,1.2272843447922424
2025-01-01 00:03:00,3.25221678834472,2.066833210824596,0.0,0.05420361313907866,0.03444722018040993,0.0,0.021189200510824423,0.0,0.5367469026790593,2.644280685154836,0.05,0.0,0.0,0.34421328942224594,1.7080365880690167,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5031.376790524763,20.0555555555556,2.0230021596846903,0.0,2.3334223518215027,0.31085833333333335,1,4720.51845719143,4720.51845719143,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.68706616844156,51.666666666666686,46.10666666666668,-0.0,51.024858873241406,0.1230374416317933,330.9928367012229,0.0,22.68706616844156,50.96221998377643,51.024858873241406,50.93090053904395,12.43753247303448,18.72600806074,-0.8295474948155999,2.8,3724.2776599005433,-1891.8199630419274,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09114969522112061,0.0,0,1.6441708272697064,131.99922844444444,-75.66518469767718,0.22619496994852334,8.91044262803372,0.0029649304652008017,-65.26769797069383,1.2271953004689493
2025-01-01 00:04:00,3.2531680451823846,2.0674476620409528,0.0,0.05421946741970641,0.03445746103401588,0.0,0.021189200510824423,0.0,0.5367469026790593,2.6452319419925012,0.05,0.0,0.0,0.34421328942224594,1.7086510392853735,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5030.915867807423,20.0555555555556,2.0219803363803557,0.0,2.3343736086591678,0.31085833333333335,1,4720.057534474089,4720.057534474089,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.638701969098463,51.666666666666686,46.10666666666668,-0.0,51.014506090848336,0.1230374416317933,330.90403301535747,0.0,22.638701969098463,50.91258397250387,51.014506090848336,50.86162291333164,12.43753247303448,18.74621509436435,-0.8093404611912511,2.8,3717.7548739810827,-1895.2563792916926,-0.0,-0.0,660.3860171153844,0.0,2.0,0.0911995503969637,0.0,0,1.6450701218368553,131.99922844444444,-78.29063165003211,0.22587629771221657,8.919283607788257,0.0029644960957625334,-65.23835067652291,1.2271106672056582
2025-01-01 00:05:00,3.254075385556673,2.0680337460243274,0.0,0.05423458975927788,0.03446722910040546,0.0,0.021189200510824423,0.0,0.5367469026790593,2.6461392823667893,0.05,0.0,0.0,0.34421328942224594,1.7092371232687482,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5030.476337809109,20.0555555555556,2.021006511627292,0.0,2.335280949033456,0.31085833333333335,1,4719.618004475776,4719.618004475776,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.59101568520424,51.666666666666686,46.10666666666668,-0.0,51.00415619159074,0.1230374416317933,330.815254060337,0.0,22.59101568520424,50.862967211594814,51.00415619159074,50.792372721596855,12.43753247303448,18.765478259754364,-0.7900772958012361,2.8,3712.7509737773216,-1898.5345648701514,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09124706911767093,0.0,0,1.6459272711026478,131.99922844444444,-79.57681627702067,0.22557144149224295,8.927610982414123,0.0029640618916915206,-65.20439355256843,1.2270300129560168
2025-01-01 00:06:00,3.2549432941300616,2.0685943595805094,0.0,0.05424905490216769,0.03447657265967516,0.0,0.021189200510824423,0.0,0.5367469026790593,2.6470071909401782,0.05,0.0,0.0,0.34421328942224594,1.70979773682493,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5030.056012491905,20.0555555555556,2.0200757600664736,0.0,2.3361488576068448,0.31085833333333335,1,4719.197679158571,4719.197679158571,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.543939139227632,51.666666666666686,46.10666666666668,-0.0,50.993809076760975,0.1230374416317933,330.7264989894711,0.0,22.543939139227632,50.813369602438755,50.993809076760975,50.72314986527764,12.43753247303448,18.783894269770833,-0.7716612857847664,2.8,3708.5597815226256,-1901.6706662537067,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09129249100711148,0.0,0,1.6467465974356261,131.99922844444444,-80.21158183095721,0.22527898062965115,8.935477349737441,0.0029636278851015376,-65.16630891563202,1.2269529296569865
2025-01-01 00:07:00,3.2557748710956584,2.069131505236418,0.0,0.05426291451826097,0.034485525087273636,0.0,0.021189200510824423,0.0,0.5367469026790593,2.6478387679057747,0.05,0.0,0.0,0.34421328942224594,1.7103348824808386,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5029.653376926105,20.0555555555556,2.0191846597363967,0.0,2.3369804345724416,0.31085833333333335,1,4718.795043592771,4718.795043592771,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.497425025424434,51.666666666666686,46.10666666666668,-0.0,50.98346465780261,0.1230374416317933,330.6377670431438,0.0,22.497425025424434,50.763791056112126,50.98346465780261,50.65395425526689,12.43753247303448,18.801530209328195,-0.7540253462274045,2.8,3704.4112661044246,-1904.6758366551808,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09133598243854445,0.0,0,1.6475311018996819,131.99922844444444,-80.95229128188419,0.22499792132287177,8.94357527540408,0.0029631941047559567,-65.12443528929737,1.2268791340269283
2025-01-01 00:08:00,3.2565717963716683,2.0696462681120176,0.0,0.05427619660619447,0.034494104468533626,0.0,0.021189200510824423,0.0,0.5367469026790593,2.648635693181785,0.05,0.0,0.0,0.34421328942224594,1.7108496453564381,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5029.26760563672,20.0555555555556,2.0183313233084186,0.0,2.3377773598484515,0.31085833333333335,1,4718.409272303386,4718.409272303386,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.451447375100543,51.666666666666686,46.10666666666668,-0.0,50.973122853206284,0.1230374416317933,330.5490575221875,0.0,22.451447375100543,50.714231490436966,50.973122853206284,50.584785809052306,12.43753247303448,18.818422871475132,-0.7371326840804677,2.8,3700.429522283628,-1907.5561030316428,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09137763496429382,0.0,0,1.6482824359283157,131.99922844444444,-81.66799743683401,0.22472770243635715,8.950613360783382,0.002962760577067974,-65.07896516517334,1.2268084702600304
2025-01-01 00:09:00,3.2573358598546607,2.070139804366275,0.0,0.05428893099757768,0.03450233007277125,0.0,0.021189200510824423,0.0,0.5367469026790593,2.649399756664777,0.05,0.0,0.0,0.34421328942224594,1.7113431816106959,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0031326663011695902,0.0,On,0.01805653420965483,0,On,0.07779585011606462,0,On,0.4221330645563391,0.3165997984172542,On,HP On,5028.897821200539,20.0555555555556,2.0175137548540714,0.0,2.338541423331443,0.31085833333333335,1,4718.039487867205,4718.039487867205,0.0,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,6247.103804444445,Off,0.0,0.0,22.405978667679733,51.666666666666686,46.10666666666668,-0.0,50.96278358533703,0.1230374416317933,330.46036976066796,0.0,22.405978667679733,50.664690826977896,50.96278358533703,50.51564444779833,12.43753247303448,18.834611256943024,-0.7209442986125758,2.8,3696.6338101715805,-1910.3178944118827,-0.0,-0.0,660.3860171153844,0.0,2.0,0.09141754549418771,0.0,0,1.6490023475944295,131.99922844444444,-82.33213373246019,0.2244677363343591,8.957925499772003,0.0029623273271170256,-65.03010048295008,1.2267407733972653
