Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.516726876867324,51.666666666666686,46.10666666666668,0.0,51.241300107637606,0.24070200750484855,651.163759436998,0.0,22.516726876867324,51.27800816235238,51.29636218970977,51.241300107637606,12.43753247303448,19.27719180405504,-0.22280819594501722,8.743405932329736,-0.9712861201651157,-2.5321885287164756,2.8,9.236100170605994,-790.0760579123953,-2953.1992959080144,1792.6070386642116,1406.3347750378641,-970.3674054567266,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04518927264588978,0.0,0,0.5847962917705501,65.99961422222222,-50.330438606797834,0.20122426706095708,8.88125771358127,0.002736926804615614,-1.708627729916285,1.2214826203421885,0.3882302464056225,-3007.062210297356,53.86291438934189,0.3624556363775999,1781.4022327392343,11.20480592497725,0.22759058294856688,1581.5300070569133,-175.19523201904923
2025-01-01 00:01:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.546319161543806,51.666666666666686,46.10666666666668,0.0,51.23104118112267,0.24076566104610386,651.163759436998,0.0,22.546319161543806,51.22128091501692,51.23104118112267,51.21640078196405,12.43753247303448,19.180157632252747,0.0,8.678669919136473,-0.6878394381953533,-2.460758148558534,2.8,9.236100170605994,-780.4059320568733,-2917.5830901890445,1658.1761759144663,1377.9185666617993,-961.5670053509887,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04504471298622674,0.0,0,0.5829255390905277,65.99961422222222,-49.460712857013725,0.20303545193430422,8.859803593520116,0.002736918608419348,-1.532170495699018,1.2254573706982366,0.38801399666367986,-2972.6523359741013,55.069245785056516,0.3624556363775999,1647.5135443621894,10.662631552277219,0.2270843175275362,1556.8728003939316,-178.95423373213234
2025-01-01 00:02:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.574055905109162,51.666666666666686,46.10666666666668,0.0,51.2207741443632,0.24082939862413635,651.1637594369979,0.0,22.574055905109162,51.16455117586392,51.2207741443632,51.136439691614285,12.43753247303448,19.08575556034555,0.0,8.618153887085144,-0.4268561513563328,-2.3919990560743027,2.8,9.236100170605994,-772.0077349036862,-2884.5821784947807,1534.4469967474604,1352.5841369213854,-953.0361811330222,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04490387545073511,0.0,0,0.5811029545770967,65.99961422222222,-49.593339921793216,0.20423370559814338,8.815719321636848,0.0027369112825178002,-1.3603580393093089,1.2258532404594664,0.38781173465994156,-2940.5177273132927,55.935548818511755,0.3624556363775999,1524.2356505432233,10.211346204237106,0.22659591650803304,1533.2195063563388,-180.63536943495347
2025-01-01 00:03:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.600060114485927,51.666666666666686,46.10666666666668,0.0,51.210499165781776,0.24089321929930546,651.163759436998,0.0,22.600060114485927,51.10781910113917,51.210499165781776,51.05647906881787,12.43753247303448,18.993811079474014,0.0,8.56150023401201,-0.18650391479088232,-2.3255110171142657,2.8,9.236100170605994,-763.9005602297964,-2853.7562418175467,1420.5042282819775,1328.2984310422526,-944.7567522337171,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04476651475550881,0.0,0,0.579325364000837,65.99961422222222,-49.76559414720847,0.2054084601570036,8.772920772791503,0.0027369047802187534,-1.1928848887515477,1.2262390499184384,0.3876222861872857,-2910.4622754744246,56.706033656877665,0.3624556363775999,1410.703026070059,9.801202211918588,0.2261226437485964,1510.4239998384162,-182.12556879616375
2025-01-01 00:04:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.624420326648988,51.666666666666686,46.10666666666668,0.0,51.2002164026781,0.24095712219911064,651.163759436998,0.0,22.624420326648988,51.051084836730666,51.2002164026781,50.97651905375695,12.43753247303448,18.90419861701382,0.0,8.5084097831541,0.0348946830813521,-2.261034432004132,2.8,9.236100170605994,-754.8505838834728,-2824.878503384864,1315.5544538485976,1305.4532384578572,-936.715198589697,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04463245715954349,0.0,0,0.5775905189720506,65.99961422222222,-48.757171444904785,0.20656078175590423,8.731341484175864,0.002736899080209169,-1.0295360737869976,1.226615307249302,0.3874446688999915,-2882.321911173347,57.443407788482325,0.3624556363775999,1306.123329911215,9.431123937382594,0.22566274086287574,1488.3902026419562,-182.93696418409903
2025-01-01 00:05:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.647192253409457,51.666666666666686,46.10666666666668,0.0,51.18992600434564,0.24102110649898284,651.163759436998,0.0,22.647192253409457,50.994348521071146,51.18992600434564,50.89655977943391,12.43753247303448,18.816839203184262,0.0,8.458620945771349,0.23888013373684416,-2.1983211484987413,2.8,9.236100170605994,-744.8025803913736,-2797.7987832758663,1218.8663932703464,1283.7962041094515,-928.9023660040531,-0.0,-0.0,230.6217861511291,0.0,1.0,0.044501597515249,0.0,0,0.5758970587713189,65.99961422222222,-46.522000538449696,0.2076911795433269,8.690940409911597,0.002736894162244782,-0.8701800409605318,1.2269823265239965,0.3872780233393326,-2855.9533399592765,58.15455668341031,0.3624556363775999,1209.7688965254758,9.097496744870524,0.22521451439681778,1467.027262514057,-183.23105840460542
2025-01-01 00:06:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.668423760242376,51.666666666666686,46.10666666666668,0.0,51.179628115039485,0.2410851714039407,651.163759436998,0.0,22.668423760242376,50.937610287902146,51.179628115039485,50.81660137433348,12.43753247303448,18.731665004766874,0.0,8.411899612189655,0.4268668480101076,-2.1371629021400262,2.8,9.236100170605994,-734.6628524642715,-2772.444718817211,1129.7687532940292,1263.1699526514071,-921.3102329153262,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04437384653206443,0.0,0,0.5742438278857102,65.99961422222222,-43.97440570007434,0.208800049241439,8.650999984229179,0.002736890006747508,-0.7147046450437151,1.227340376196631,0.387121579613875,-2831.228534766589,58.783815949377576,0.3624556363775999,1120.9716157407863,8.797137553242834,0.22477654130757546,1446.2590623895735,-183.08910973816643
2025-01-01 00:07:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.688173600245022,51.666666666666686,46.10666666666668,0.0,51.16932287468584,0.24114931614424973,651.1637594369981,0.0,22.688173600245022,50.88087026693468,51.16932287468584,50.7366439630591,12.43753247303448,18.64859272460721,0.0,8.368030836920845,0.6001535305771051,-2.077382836646547,2.8,9.236100170605994,-724.7995754685801,-2748.663684978889,1047.6451592505246,1243.43697180544,-913.9295296412619,-0.0,-0.0,230.6217861511291,0.0,1.0,0.0442490909348304,0.0,0,0.572629360416588,65.99961422222222,-41.49183197844732,0.20988801756458494,8.612164186547734,0.002736886594710176,-0.5629688245988524,1.2276897908403221,0.38697462994574655,-2808.030219974814,59.36653499592515,0.3624556363775999,1039.1180322700873,8.527126980437323,0.2243476114684016,1426.02108744532,-182.5841156398803
2025-01-01 00:08:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.706502488943443,51.666666666666686,46.10666666666668,0.0,51.15901041789765,0.24121353998161926,651.163759436998,0.0,22.706502488943443,50.82412858293246,51.15901041789765,50.65668766544987,12.43753247303448,18.567536274342356,0.0,8.326819719241882,0.7599326793095534,-2.018831350772866,2.8,9.236100170605994,-715.2811781022613,-2726.3507445354417,971.9296502116271,1224.4794261329848,-906.7508762193854,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04412721241077408,0.0,0,0.5710521252733468,65.99961422222222,-39.15208803400506,0.2109557799508261,8.574387564536785,0.002736883907832516,-0.4148255882172598,1.2280309179411415,0.3868365319283264,-2786.2522452911912,59.901500755749794,0.3624556363775999,963.6448586025597,8.284791609067366,0.22392670039411436,1406.2588214778496,-181.77939534486464
2025-01-01 00:09:00,0.2208091292062787,0.10911736713609162,0.0,0.0036801521534379784,0.001818622785601527,0.0,0.029344155331349875,0.0,0.14146497387492882,0.0,0.05,0.0,0.0,0.0,0.09453403380275828,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.0035099780701754383,0.0,On,0.001094208890108294,0.0,On,0.024739968371066144,0,On,0.01541959547125107,0,On,0.08838510396245483,0.0662888279718411,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,14419.391737777778,Off,0.0,25.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,10014.532937777778,Off,0.0,0.0,22.72346847793483,51.666666666666686,46.10666666666668,0.0,51.14869087379722,0.24127784221038986,651.163759436998,0.0,22.72346847793483,50.767385355546665,51.14869087379722,50.57673259642139,12.43753247303448,18.488413342582948,0.0,8.28808682829263,0.9072993036239726,-1.9613823387642952,2.8,9.236100170605994,-706.0922874251678,-2705.406196806187,902.1025404071756,1206.1967357570543,-899.7653599780565,-0.0,-0.0,230.6217861511291,0.0,1.0,0.04400809750604588,0.0,0,0.5695106542449127,65.99961422222222,-36.948713598240445,0.21200401346604547,8.536951530134278,0.002736881928547086,-0.2701340110267956,1.2283640902189308,0.38670669346504255,-2765.797088033241,60.390891227053366,0.3624556363775999,894.0348568099995,8.067683597176009,0.2235129443157939,1386.9263142469486,-180.72957848989424
