Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.254254893408618,51.666666666666686,46.10666666666668,0.0,50.86754896629225,0.0,0.0,0.0,24.254254893408618,50.031859721696264,50.86754896629225,49.61401509939828,12.43753247303448,15.615730709105941,0.0,11.425136708978677,2.8,9.236100170605994,-1698.9806611242896,-2072.4953328559795,-2165.481957523291,-0.0,-0.0,444.7335114216395,0.0,4.0,0.12965627626048212,0.0,0,1.2279175703335405,263.9984568888889,21.767784977361956,0.27507479554652564,7.41884254695422,0.0029697500049492716,-46.21694213878861,1.2367968932914453,0.18085478096773633,-2032.8888474794549,-39.60648537652466
2025-01-01 00:01:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.29096920660032,51.666666666666686,46.10666666666668,0.0,50.86381263546774,0.0,0.0,0.0,24.29096920660032,50.02845584022172,50.86381263546774,49.61077744259872,12.43753247303448,15.5601830320231,0.0,11.139492591289347,2.8,9.236100170605994,-1690.2917084849284,-1995.9906539728,-2150.683762933682,-0.0,-0.0,444.7335114216395,0.0,4.0,0.1293308108556267,0.0,0,1.2248352306220807,263.9984568888889,15.658543027114007,0.276847604177446,7.41396894616309,0.0029695897684591096,-45.5155299104584,1.2406485112331123,0.18042949880709616,-1960.9423314513588,-35.048322521441165
2025-01-01 00:02:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.326632944460712,51.666666666666686,46.10666666666668,0.0,50.86007089999001,0.0,0.0,0.0,24.326632944460712,50.025046806200905,50.86007089999001,49.60753475930636,12.43753247303448,15.50612200193668,0.0,10.871499565977622,2.8,9.236100170605994,-1682.0778304071548,-1924.7499295874445,-2136.3205894871794,-0.0,-0.0,444.7335114216395,0.0,4.0,0.12901367700942556,0.0,0,1.221831795438461,263.9984568888889,9.509247658385078,0.27779449755656666,7.38766775941338,0.0029694324537085305,-44.831908006677665,1.2408809841287705,0.18002958309726233,-1893.719954487699,-31.029975099745588
2025-01-01 00:03:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.36129577708605,51.666666666666686,46.10666666666668,0.0,50.856323916047664,0.0,0.0,0.0,24.36129577708605,50.02163276707328,50.856323916047664,49.604287192586085,12.43753247303448,15.453477235536782,0.0,10.61972424848814,2.8,9.236100170605994,-1674.521204091517,-1858.224589269859,-2122.3706910290116,-0.0,-0.0,444.7335114216395,0.0,4.0,0.12870449046606236,0.0,0,1.218903625664839,263.9984568888889,3.1159755158551263,0.27871992805132534,7.361578874935491,0.002969277530781175,-44.16508851826448,1.2411074518119212,0.1796530574011499,-1830.8118006935051,-27.412788576353947
2025-01-01 00:04:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.39500588329727,51.666666666666686,46.10666666666668,0.0,50.852571832445356,0.0,0.0,0.0,24.39500588329727,50.01821386330748,50.852571832445356,49.60103487873855,12.43753247303448,15.402180459988736,0.0,10.382940703951098,2.8,9.236100170605994,-1663.4998521511463,-1795.9974384403954,-2108.813147717159,-0.0,-0.0,444.7335114216395,0.0,4.0,0.1284028769130114,0.0,0,1.2160471763519034,263.9984568888889,0.5797841443734271,0.27962484872895177,7.336773070855157,0.0029691249399904766,-43.51429811533298,1.2413282014099296,0.17929823016567334,-1771.8677949990004,-24.129643441395373
2025-01-01 00:05:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.427755338344312,51.666666666666686,46.10666666666668,0.0,50.84881479082552,0.0,0.0,0.0,24.427755338344312,50.01479022861071,50.84881479082552,49.5977779475033,12.43753247303448,15.352243062334619,0.0,10.160075333512085,2.8,9.236100170605994,-1648.9732360460741,-1737.7113822908395,-2095.648265881883,-0.0,-0.0,444.7335114216395,0.0,4.0,0.12810892887578065,0.0,0,1.213263323768049,263.9984568888889,1.9415184141695008,0.2805088005496147,7.312152633273385,0.002968974624422541,-42.87967633503108,1.2415431778179458,0.1789636170371846,-1716.5824188215704,-21.128963469269216
2025-01-01 00:06:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.45953500518727,51.666666666666686,46.10666666666668,0.0,50.84505293400723,0.0,0.0,0.0,24.45953500518727,50.01136199780228,50.84505293400723,49.59451652969982,12.43753247303448,15.303678152148406,0.0,9.950173003644336,2.8,9.236100170605994,-1633.5898776495608,-1683.0576260389128,-2082.8768401299208,-0.0,-0.0,444.7335114216395,0.0,4.0,0.1278227488180211,0.0,0,1.2105530383014511,263.9984568888889,4.553451058720462,0.28137129532228683,7.288278588792139,0.002968826526736762,-42.26138228795493,1.241752318606349,0.1786478936775716,-1664.6851370490438,-18.372488989869243
2025-01-01 00:07:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.49036929356107,51.666666666666686,46.10666666666668,0.0,50.84128640616634,0.0,0.0,0.0,24.49036929356107,50.00792930698387,50.84128640616634,49.591250757392636,12.43753247303448,15.256451204162794,0.0,9.752373024158306,2.8,9.236100170605994,-1618.5807251904282,-1631.7644632031847,-2070.487217246633,-0.0,-0.0,444.7335114216395,0.0,4.0,0.1275441578546691,0.0,0,1.207914625810344,263.9984568888889,7.172980634565349,0.2822127107551459,7.2651324465885425,0.0029686805890964687,-41.659026800152574,1.2419557665597285,0.17834986249821042,-1615.9335451861516,-15.830918017032984
2025-01-01 00:08:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.520296813680847,51.666666666666686,46.10666666666668,0.0,50.83751534784938,0.0,0.0,0.0,24.520296813680847,50.0044922888314,50.83751534784938,49.58798075932242,12.43753247303448,15.21050752517716,0.0,9.565892103051649,2.8,9.236100170605994,-1604.1269485772407,-1583.5896264150565,-2058.4626242392656,-0.0,-0.0,444.7335114216395,0.0,4.0,0.12727285656303988,0.0,0,1.205345250594165,263.9984568888889,9.602164240385434,0.2830338052325617,7.242684510319463,0.002968536755084874,-41.07198721984493,1.2421537516900159,0.1780684292735174,-1570.1084377386278,-13.481188676429
2025-01-01 00:09:00,0.23755399326404741,0.11895447384496166,0.0,0.003959233221067457,0.001982574564082694,0.0,0.03366405941476136,0.0,0.15388993384928606,0.0,0.05,0.0,0.0,0.10437114051162832,0.0,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0.0,0.0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.005998930921052631,0.0,On,0.02766512849370873,0,On,0.014728413167114901,0,On,0.09741341044709724,0.0730600578353229,On,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,15305.345706666667,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,9422.822364444444,Off,0.0,0.0,24.54935647255189,51.666666666666686,46.10666666666668,0.0,50.83373989386294,0.0,0.0,0.0,24.54935647255189,50.00105107060222,50.83373989386294,49.58470665897187,12.43753247303448,15.165791995116601,0.0,9.390012007540676,2.8,9.236100170605994,-1590.1899071258829,-1538.314809160985,-2046.7863717807704,-0.0,-0.0,444.7335114216395,0.0,4.0,0.12700854117862967,0.0,0,1.2028420358328935,263.9984568888889,11.862953233248223,0.2838353629446029,7.220360360876689,0.0029683949705175457,-40.49963437859567,1.2423465062937984,0.17780258640124588,-1527.0101786905454,-11.304630470439648
