Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3445106988359392,0.1642641450347868,0.0,0.005741844980598987,0.00273773575057978,0.0,0.01570833256763791,0.0,0.32880236626830134,0.0,0.0,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,20822.409373333332,Off,0.0,0.0,33.83478220393384,51.666666666666686,46.10666666666668,0.0,49.97285493698054,0.0,0.0,0.0,33.83478220393384,48.25819057193019,49.97285493698054,47.40085838940502,12.43753247303448,19.24149919746332,0.0,10.01855168241813,-0.9291880720568848,-2.799999999999981,2.8,9.236100170605994,-2826.20871501896,-2097.9524811688248,2670.5106467828787,985.7020901397775,-3042.8113818595093,-0.0,-0.0,360.40949596413185,0.0,2.0,0.1420090311786414,0.0,0,1.329064030260213,131.99922844444444,-143.8068291235826,0.20552887330369596,8.925164707728527,0.0027895008608105204,-89.70084846556011,1.2215929683297033,0.22531614240604458,-2119.629861713318,21.6773805444934,0.5436834545663999,2642.2752396107517,28.23540717212679,0.15253173954933158,1113.1812999761862,-127.47920983640867
2025-01-01 00:01:00,0.3445106988359392,0.1642641450347868,0.0,0.005741844980598987,0.00273773575057978,0.0,0.01570833256763791,0.0,0.32880236626830134,0.0,0.0,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,20822.409373333332,Off,0.0,0.0,33.988945815668096,51.666666666666686,46.10666666666668,0.0,49.969526719265765,0.0,0.0,0.0,33.988945815668096,48.25534151499947,49.969526719265765,47.39824891286633,12.43753247303448,19.10613384570326,0.0,9.884043128996538,-0.5029135947594356,-2.7027551293609986,2.8,9.236100170605994,-2785.836484646078,-2054.837204724174,2367.7470191107473,961.6755869489348,-3003.3174516529693,-0.0,-0.0,360.40949596413185,0.0,2.0,0.14132942269624424,0.0,0,1.322703567259254,131.99922844444444,-142.9285289572403,0.20785302133361575,8.88501614666322,0.0027891897014295456,-88.62341309942394,1.2257290922743538,0.22506089390268388,-2077.7767773753058,22.939572651131726,0.5436834545663999,2340.2431417713365,27.5038773394109,0.1521845657492757,1091.3610464584099,-129.68545950947504
2025-01-01 00:02:00,0.3445106988359392,0.1642641450347868,0.0,0.005741844980598987,0.00273773575057978,0.0,0.01570833256763791,0.0,0.32880236626830134,0.0,0.0,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,20822.409373333332,Off,0.0,0.0,34.138626809046734,51.666666666666686,46.10666666666668,0.0,49.966184638341225,0.0,0.0,0.0,34.138626809046734,48.252479476725945,49.966184638341225,47.39562689591831,12.43753247303448,18.974608145373765,0.0,9.758724062797263,-0.12098105388326946,-2.6088363354209085,2.8,9.236100170605994,-2747.064912903034,-2014.747162590183,2096.5429823619106,941.2935008427904,-2965.1415239738117,-0.0,-0.0,360.40949596413185,0.0,2.0,0.14066757700166646,0.0,0,1.3165093463780526,131.99922844444444,-142.33288489335405,0.2095431759269926,8.824220744707647,0.002788883316887804,-87.57392911149682,1.2262811892417895,0.22482282294633749,-2038.8612137215905,24.11405113140748,0.5436834545663999,2069.629035842886,26.91394651902446,0.15184851288313456,1070.3653346861151,-129.07183384332473
2025-01-01 00:03:00,0.3445106988359392,0.1642641450347868,0.0,0.005741844980598987,0.00273773575057978,0.0,0.01570833256763791,0.0,0.32880236626830134,0.0,0.0,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,20822.409373333332,Off,0.0,0.0,34.284031287601394,51.666666666666686,46.10666666666668,0.0,49.96282909963279,0.0,0.0,0.0,34.284031287601394,48.24960483456837,49.96282909963279,47.392992702036175,12.43753247303448,18.846745335671947,-0.09769910877250965,9.641869034762495,0.22129086359882771,-2.517097673110692,2.8,9.236100170605994,-2709.929622642192,-1977.4346872292642,1853.5022480258122,922.551993797658,-2928.2161043588203,-0.0,-0.0,360.40949596413185,0.0,2.0,0.1400227208962551,0.0,0,1.3104741312422084,131.99922844444444,-142.12301424750365,0.21120076732666154,8.763942705063497,0.0027885806968780337,-86.5508002366739,1.226818391043192,0.2246006039212339,-2002.642038321952,25.20735109268772,0.5436834545663999,1827.1160289088543,26.38621911695787,0.15151954121932826,1049.9314304044517,-127.37943660679367
2025-01-01 00:04:00,0.3445106988359392,0.1642641450347868,0.0,0.005741844980598987,0.00273773575057978,0.0,0.01570833256763791,0.0,0.32880236626830134,0.0,0.0,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,20822.409373333332,Off,0.0,0.0,34.4253523962973,51.666666666666686,46.10666666666668,0.0,49.959460489927515,0.0,0.0,0.0,34.4253523962973,48.246717948630575,49.959460489927515,47.390346677982116,12.43753247303448,18.72237977587847,-0.22206466856598794,9.53283239455506,0.5280801856231352,-2.427047161720903,2.8,9.236100170605994,-2671.801424425894,-1942.684130895337,1635.6622657064543,904.6297961171209,-2892.4782973082815,-0.0,-0.0,360.40949596413185,0.0,2.0,0.13939412779033347,0.0,0,1.3045911216912238,131.99922844444444,-139.73262308174395,0.2128268639390649,8.705470476588317,0.0027882817433507747,-85.55291120236879,1.227341354479462,0.22439305437179252,-1968.9054694003742,26.221338505037288,0.5436834545663999,1609.7438251747888,25.91844053166545,0.15119592706830481,1029.9453063181566,-125.31551020103565
2025-01-01 00:05:00,1.3806419488359392,0.1642641450347868,0.8881125,0.023010699147265654,0.00273773575057978,0.014801874999999999,0.01570833256763791,0.0,0.32880236626830134,1.03613125,0.8881125,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,18634.84155286339,19.444444444444457,0.8,3223.699070469941,26.028011716666665,1.03613125,1,20822.409373333332,20822.409373333332,Off,0.0,0.0,34.562716829600966,51.666666666666686,46.10666666666668,0.0,49.95607917854541,0.0,0.0,0.0,34.562716829600966,48.2438191627526,49.95607917854541,47.387689154856204,12.43753247303448,18.6014029209048,-0.34304152353965733,9.431032835520968,0.8031232151362839,-2.3384945486889994,2.8,9.236100170605994,16002.224713260432,1313.39873807131,1440.3685977321754,887.1780287248733,-2857.882785236667,-0.0,-0.0,360.40949596413185,0.0,2.0,0.13878135172594513,0.0,0,1.2988561439998512,131.99922844444444,-135.14355033042276,0.2144218559848876,8.648749185563792,0.00278798636252748,-84.57953915870226,1.2278504994227117,0.22419910706325982,-1937.459839090534,27.15950669190278,0.5436834545663999,1414.8651082348624,25.50348949731311,0.15087701901700543,1010.3611693512432,-123.18314062637003
2025-01-01 00:06:00,1.3806419488359392,0.1642641450347868,0.8881125,0.023010699147265654,0.00273773575057978,0.014801874999999999,0.01570833256763791,0.0,0.32880236626830134,1.03613125,0.8881125,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,18634.84155286339,19.444444444444457,0.8,3223.699070469941,26.028011716666665,1.03613125,1,20822.409373333332,20822.409373333332,Off,0.0,0.0,34.302227684163746,51.666666666666686,46.10666666666668,0.0,49.95268552334764,0.0,0.0,0.0,34.302227684163746,48.24090881010619,49.95268552334764,47.385020453485474,12.43753247303448,18.822356736207908,-0.12208770823654902,9.615512966201027,1.0497607890970655,-2.251377158651395,2.8,9.236100170605994,15925.745379906035,1254.5325963196767,1265.2481414544886,870.05919063652,-2921.193950260563,-0.0,-0.0,360.40949596413185,0.0,2.0,0.13989955839329735,0.0,0,1.309321452069628,131.99922844444444,-148.31171866092254,0.21145604784080135,8.75161889086332,0.0027876944634682185,-85.98708964204721,1.2269215239755875,0.22455045313529404,-1994.482068302192,25.315594151927506,0.5436834545663999,1240.112764764346,25.135376690142763,0.15056262054399935,991.1619309422649,-121.10274030574486
2025-01-01 00:07:00,1.3806419488359392,0.1642641450347868,0.8881125,0.023010699147265654,0.00273773575057978,0.014801874999999999,0.01570833256763791,0.0,0.32880236626830134,1.03613125,0.8881125,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,18634.84155286339,19.444444444444457,0.8,3223.699070469941,26.028011716666665,1.03613125,1,20822.409373333332,20822.409373333332,Off,0.0,0.0,34.049860072227816,51.666666666666686,46.10666666666668,0.0,49.94931549563696,0.0,0.0,0.0,34.049860072227816,48.23802039194131,49.94931549563696,47.38237284009349,12.43753247303448,19.036352353427333,0.0,9.78691657567953,1.2709803016939907,-2.1656815053919907,2.8,9.236100170605994,15852.816610906153,1199.8856150893841,1108.1788594086136,853.2239751310514,-2983.038752906955,-0.0,-0.0,360.40949596413185,0.0,2.0,0.14097846443534645,0.0,0,1.3194189451700071,131.99922844444444,-159.39568501441445,0.2086263879040157,8.851009698614979,0.002787397482009211,-87.33632734718967,1.2260231533771366,0.22487640275874168,-2047.6093082602108,23.79585287965412,0.5436834545663999,1083.3701094304697,24.80874997814389,0.15025271113589211,972.341517451727,-119.11754232067558
2025-01-01 00:08:00,1.3806419488359392,0.1642641450347868,0.8881125,0.023010699147265654,0.00273773575057978,0.014801874999999999,0.01570833256763791,0.0,0.32880236626830134,1.03613125,0.8881125,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,18634.84155286339,19.444444444444457,0.8,3223.699070469941,26.028011716666665,1.03613125,1,20822.409373333332,20822.409373333332,Off,0.0,0.0,33.80515173251315,51.666666666666686,46.10666666666668,0.0,49.945968360854536,0.0,0.0,0.0,33.80515173251315,48.23515322438444,49.945968360854536,47.379745656149396,12.43753247303448,19.243786385284757,0.0,9.946445479310249,1.4694532524643753,-2.0814113600371416,2.8,9.236100170605994,15781.595483916331,1148.8547130321185,967.2631419185043,836.6565405090838,-3043.4804577579794,-0.0,-0.0,360.40949596413185,0.0,2.0,0.1420205006102673,0.0,0,1.3291713727925507,131.99922844444444,-170.1751071532108,0.20592295991453133,8.946482367754804,0.002787095619536511,-88.63073726700242,1.22515359430342,0.22517934693424932,-2097.1828230697347,22.338465631912364,0.5436834545663999,942.7442805851523,24.518861333352035,0.14994733230628507,953.8977032491407,-117.24116274005685
2025-01-01 00:09:00,1.3806419488359392,0.1642641450347868,0.8881125,0.023010699147265654,0.00273773575057978,0.014801874999999999,0.01570833256763791,0.0,0.32880236626830134,1.03613125,0.8881125,0.0,0.0,0.1642641450347868,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.00039585363312718056,0.0,On,0.011291444577785586,0,On,0.006239427518507886,0,On,0.17937646589772677,0.13453234942329503,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,On,18634.84155286339,19.444444444444457,0.8,3223.699070469941,26.028011716666665,1.03613125,1,20822.409373333332,20822.409373333332,Off,0.0,0.0,33.567734032749264,51.666666666666686,46.10666666666668,0.0,49.942643426243954,0.0,0.0,0.0,33.567734032749264,48.23230666248678,49.942643426243954,47.377138280608186,12.43753247303448,19.44497501276792,0.0,10.095102155577953,1.6475688024752813,-1.9985754442456671,2.8,9.236100170605994,15712.21985130435,1101.1845199094992,840.8039595390225,820.3537455455237,-3102.5642814699477,-0.0,-0.0,360.40949596413185,0.0,2.0,0.1430276453251965,0.0,0,1.3385972508706512,131.99922844444444,-180.4669160532241,0.20333742549533557,9.039620125592826,0.0027867890657424657,-89.87317577881598,1.2243114038315712,0.22546127844493968,-2143.48769650601,20.973145945567815,0.5436834545663999,816.5424644016406,24.261495137381875,0.14964654349279485,935.8293663198184,-115.47562077429468
