Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-09 01:00:00,0.7101668278020125,0.16352085014449952,0.29603749999999995,0.3493829894777955,0.34537708333333333,0.015406754990883526,0.0,0.29603749999999995,0.0,51.40189963465267,19.171863189989388,-0.06139906408921589
2025-01-09 02:00:00,0.6012598140517519,0.16277755525421223,0.222028125,0.3268202465608685,0.2590328125,0.015406754990883526,0.0,0.222028125,0.0,51.19935507708599,19.227189998637428,-0.04915000862574186
2025-01-09 03:00:00,0.62163938554341,0.16203426036392493,0.222028125,0.3474008697703628,0.2590328125,0.01520570327304727,0.0,0.222028125,0.0,50.99804041788108,19.15583523660987,-0.06095250289729381
2025-01-09 04:00:00,0.7846506555505852,0.16129096547363764,0.29603749999999995,0.42406786894420456,0.34537708333333333,0.01520570327304727,0.0,0.29603749999999995,0.0,50.801382045956125,19.205603019280122,-0.054538815105783615
2025-01-09 05:00:00,0.7849952204057667,0.16129096547363764,0.222028125,0.510354601197047,0.2590328125,0.015607806708719784,0.0,0.222028125,0.0,50.6657986235721,19.181705146604305,-0.05098742756426518
2025-01-09 06:00:00,0.8306808741147023,0.16277755525421223,0.29603749999999995,0.46919335477805857,0.34537708333333333,0.016110436003310427,0.0,0.29603749999999995,0.0,50.46780022539131,19.206305305136524,-0.04820666118725132
2025-01-09 07:00:00,1.0264272144592435,0.18604785285955522,0.29603749999999995,0.6290829530316164,0.34537708333333333,0.05196717809429377,0.0,0.29603749999999995,0.0,50.008337891486114,19.1426028401842,-0.06774502003134218
2025-01-09 08:00:00,3.26285862264021,0.2692126958822636,0.222028125,1.7872608586104444,0.2590328125,0.1165518430853212,1.1000131084444444,0.222028125,0.0,50.81972490094397,19.19810137951234,-0.05427309981488377
2025-01-09 09:00:00,0.9316536970900918,0.23192420891341076,0.222028125,0.5937135829758275,0.2590328125,0.07890730161426436,0.0,0.222028125,0.0,51.159406642018006,19.177163474612197,-0.05346054370181168
2025-01-09 10:00:00,0.7190460696708951,0.19490496483226324,0.251631875,0.36148532760923474,0.29357052083333335,0.06399022122832701,0.0,0.251631875,0.0,50.916636713164095,19.128239109514762,-0.06354462659042462
2025-01-09 11:00:00,1.5462776295657619,0.19490496483226324,0.1776225,0.360398619382739,0.20722625,0.061975169812652386,0.9166775903703706,0.1776225,0.0,51.25600855860405,19.155138983467555,-0.052424745533412614
2025-01-09 12:00:00,1.5896052664281077,0.19639155461283783,0.13321687499999998,0.3651276568656155,0.1554196875,0.06071257265508474,1.0083453494074075,0.13321687499999998,0.0,51.449365434476015,19.107156487780955,-0.06382811132795255
2025-01-09 13:00:00,0.620454625994643,0.19639155461283783,0.162820625,0.3695423461475786,0.18995739583333332,0.06095488401373105,0.0,0.162820625,0.0,51.550999162528505,19.1937683815791,-0.0492993713708343
2025-01-09 14:00:00,0.9301335058975567,0.1975286162850098,0.11841499999999999,0.7285746205445492,0.13815083333333333,0.06340805201967423,0.0,0.11841499999999999,0.0,51.18548563142563,19.181251978784083,-0.04400804355857962
