Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.1268414693363407,0.07180911196729346,0.0,0.12684146933634066,0.07180911196729346,0.0,0.013865662812836169,0.0,0.09297580652350451,0.0,0.020000000000000004,0.0,0.0,0.06597577863396012,0.0,0.005833333333333337,1.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.003103307748538012,0.0,0.010762355064298158,0.0,0.005008101678224321,0.0,0.05465619188687746,0.04099214391515808,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,33.786593454057346,51.66666666666668,46.10666666666668,0.0,49.962339996177185,0.07983407122164439,208.49378732596986,0.0,33.786593454057346,49.44430965508895,49.98074473474551,49.166889745976505,12.43753247303448,20.405914899758777,0.0,2.8,-433.0045226295418,-635.7436083295028,0.0,-10.659706849007547,185.51505368203703,0.0,1.25,0.02770353064751436,0.0,0.0004582304091430928,0.5240461858345721,82.49951777777778,27.883738866931473,0.20609615142492818,9.715595294843581,0.00299835126701323,7.634404335602563,1.220090439239381
2025-01-01 01:00:00,0.12051942255719075,0.0699637796534253,0.0,0.12051942255719074,0.0699637796534253,0.0,0.011928760344647325,0.0,0.08859066221254343,0.0,0.020000000000000004,0.0,0.0,0.06413044632009196,0.0,0.005833333333333337,1.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0028705596673976605,0.0,0.009058200677249665,0.0,0.0030834004524207827,0.0,0.053028536625679995,0.03977140246925998,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,33.17715974621834,51.66666666666668,46.10666666666668,0.0,49.48314710722069,0.0,0.0,0.0,33.17715974621834,48.051931159436776,49.48314710722069,47.33632318554483,12.43753247303448,19.5785761843673,0.0,2.5,-376.49110962889694,-565.386073329985,0.0,0.0,162.80703921561536,0.0,1.0,0.025392608727252925,0.0,0.0,0.472516605944315,65.99961422222222,26.08792448547276,0.21707459041424698,9.343083669196163,0.003000697739435991,1.405547673055253,1.2235951633403426
2025-01-01 02:00:00,0.11968663473323068,0.06933918878545525,0.0,0.11968663473323068,0.06933918878545525,0.0,0.011928760344647325,0.0,0.08775787438858336,0.0,0.020000000000000004,0.0,0.0,0.06350585545212191,0.0,0.005833333333333337,1.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0028705596673976605,0.0,0.009058200677249665,0.0,0.0030834004524207827,0.0,0.053028536625679995,0.03977140246925998,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,33.47786098022723,51.66666666666668,46.10666666666668,0.0,49.166926906867175,0.0,0.0,0.0,33.47786098022723,47.77124437157659,49.166926906867175,47.07340310393131,12.43753247303448,19.038388505086264,0.0,1.6500000000000001,-351.77425356806026,-535.2495391248207,0.0,0.0,161.97425139165532,0.0,1.0,0.023518737510683795,0.0,0.0,0.4376468028161439,65.99961422222222,21.501034165105157,0.2246822505695775,9.098279738399855,0.003003171159144595,9.909851858322048,1.2258553537446775
2025-01-01 03:00:00,0.11869868152184372,0.0687145979174852,0.0,0.11869868152184371,0.0687145979174852,0.0,0.011773594957220428,0.0,0.08692508656462329,0.0,0.020000000000000004,0.0,0.0,0.06288126458415186,0.0,0.005833333333333337,1.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.0027153942799707604,0.0,0.009058200677249665,0.0,0.0030834004524207827,0.0,0.053028536625679995,0.03977140246925998,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,33.736214319742835,51.66666666666668,46.10666666666668,0.0,48.84869907475416,0.0,0.0,0.0,33.736214319742835,47.488214192771466,48.84869907475416,46.807971751780116,12.43753247303448,18.532265184302844,0.0,1.6500000000000001,-338.6414875109785,-530.497889209577,0.0,0.0,175.27521465937946,0.0,1.2165,0.02403161913279778,0.0,0.0,0.44719072506279406,80.28853070133333,16.581187039219056,0.2322357209410929,8.86917600969313,0.0030074958474378953,11.08647381800571,1.2279791568119724
2025-01-01 04:00:00,0.11786589369788364,0.06809000704951515,0.0,0.11786589369788365,0.06809000704951515,0.0,0.011773594957220428,0.0,0.08609229874066322,0.0,0.020000000000000004,0.0,0.0,0.06225667371618181,0.0,0.005833333333333337,1.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0027153942799707604,0.0,0.009058200677249665,0.0,0.0030834004524207827,0.0,0.053028536625679995,0.03977140246925998,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,33.87695575540359,51.66666666666668,46.10666666666668,0.0,48.52921649376825,0.0,0.0,0.0,33.87695575540359,47.20355594199621,48.52921649376825,46.540725666110184,12.43753247303448,18.125611742142272,0.0,0.55,-322.7687449288353,-562.6892122687067,0.0,0.0,226.15312457853048,0.0,2.0,0.02437762285825004,0.0,0.0,0.453629311493629,131.99922844444444,13.767342761340938,0.2391237846978589,8.69087973951439,0.0030201115553461274,60.961663897858564,1.2291069293599688
2025-01-01 05:00:00,0.11817622447273744,0.06809000704951515,0.0,0.11817622447273744,0.06809000704951515,0.0,0.012083925732074226,0.0,0.08609229874066322,0.0,0.020000000000000004,0.0,0.0,0.06225667371618181,0.0,0.005833333333333337,1.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003025725054824562,0.0,0.009058200677249665,0.0,0.0030834004524207827,0.0,0.053028536625679995,0.03977140246925998,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,34.085808359948864,51.66666666666668,46.10666666666668,0.0,48.20859519715974,0.0,0.0,0.0,34.085808359948864,46.91738403588205,48.20859519715974,46.27177845524321,12.43753247303448,17.658914462319917,0.0,-0.25000000000000006,-326.23757410759316,-564.9397560315563,0.0,0.0,226.4634553533843,0.0,2.0,0.023956551130966775,0.0,0.0,0.44579382733475015,131.99922844444444,12.238726570578846,0.24856247378038854,8.50320195284506,0.00305010864819834,63.84297441012935,1.230439525382028
2025-01-01 06:00:00,0.7452038580336693,0.06933918878545525,0.0,0.7452038580336694,0.06933918878545525,0.0,0.012471839200641478,0.6249741444444445,0.08775787438858336,0.0,0.020000000000000004,0.0,0.0,0.06350585545212191,0.0,0.005833333333333337,1.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.003413638523391813,0.0,0.009058200677249665,0.0,0.0030834004524207827,0.0,0.053028536625679995,0.03977140246925998,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,624.9741444444445,0.25,38.76204484828086,51.66666666666668,46.10666666666668,0.0,50.75649739035952,0.0,0.0,624.9741444444445,38.76204484828086,50.56245574501544,50.76234430782019,50.45958800488274,12.43753247303448,17.29493704572546,-0.03799141727847791,0.3,-291.6155680021838,-527.1954193051492,0.0,0.0,228.5169444698717,0.0,2.0,0.023609874388943818,0.0,0.0,0.4393427171215365,131.99922844444444,7.062906833093758,0.25605150095266865,8.356020716313463,0.00307072483083222,47.43705508691175,1.2319661304600902
2025-01-01 07:00:00,0.9536430668578177,0.08286655260042847,0.0,0.9536430668578177,0.08286655260042847,0.0,0.06575688832570593,0.0,0.11887457082840815,0.7490116077037037,0.020000000000000004,0.0,0.0,0.07703321926709512,0.0,0.005833333333333337,1.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0031808904422514625,0.0,0.06257599788345446,0.0,0.016163611805614604,0.0,0.0693994460643908,0.052049584548293094,749.0116077037037,17.77777777777783,0.5333333333333333,0.0,0.7490116077037037,0.0,0.5333333333333333,749.0116077037037,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,38.462636072433924,51.66666666666668,46.10666666666668,0.0,51.33873527582065,0.12980134687579054,351.4302497710935,0.0,38.462636072433924,50.344367502217864,51.34477716272267,49.84114172851446,12.43753247303448,17.291224431445567,-0.1346559894559314,-0.55,489.6338862486111,-572.0374644546029,0.0,0.0,311.7727263740511,4.416064656605186,2.0,0.024287871274432226,0.0,0.0,0.4519591753441989,131.99922844444444,0.8870166254591183,0.2579088996049736,8.378598713423369,0.0030919138318593236,58.675894617322996,1.2319674734167718
2025-01-01 08:00:00,0.1801760313324068,0.07634361384314005,0.0,0.1801760313324068,0.07634361384314005,0.0,0.033621864622048366,0.0,0.1031475539696177,0.02340661274074074,0.020000000000000004,0.0,0.0,0.0705102805098067,0.0,0.005833333333333337,1.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0024050635051169594,0.0,0.031216801116931404,0.0,0.009133846623208732,0.0,0.05986940656404618,0.044902054923034625,23.40661274074074,17.77777777777783,0.016666666666666666,0.0,0.02340661274074074,0.0,0.016666666666666666,23.40661274074074,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,0.0,0.0,35.99807464400682,51.66666666666668,46.10666666666668,0.0,50.721038895592265,0.0,0.0,0.0,35.99807464400682,48.27601671258669,50.721038895592265,47.05350562108391,12.43753247303448,17.408040229167852,-0.06078203186713343,-1.4,-371.8133190851659,-629.0162556384378,0.0,0.0,169.9673415890717,338.4760297061538,0.5665,0.025301158749930552,0.0,0.0,0.4708148653566425,37.388781456888886,63.82898222345931,0.257531832023503,8.456947709156987,0.0031088813840664024,5.321731770876472,1.2320382466199433
2025-01-01 09:00:00,2.128573739839145,0.07966969198558706,0.0,2.128573739839145,0.07966969198558706,0.0,0.04816303256350735,0.5416442585185186,0.11436968431267455,1.4043967644444444,0.020000000000000004,0.0,0.0,0.07383635865225371,0.0,0.005833333333333337,1.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0019395673428362575,0.0,0.0462234652206711,0.0,0.015921206109669576,0.0,0.06430417742064219,0.04822813306548163,1404.3967644444444,21.111111111111143,1.0,0.0,1.4043967644444444,0.0,1.0,1404.3967644444444,1404.3967644444444,0.0,22.222222222222285,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,655.643195408116,541.6442585185185,0.21666666666666667,34.86720068117415,51.66666666666668,46.10666666666668,0.0,50.307278181449504,0.16296866510645902,426.6599668474744,541.6442585185185,34.86720068117415,48.01224316652853,50.307278181449504,46.86472565906805,12.43753247303448,18.11951591730693,-2.436039638248658,-0.85,1188.902276439949,-636.5179701148156,0.0,0.0,252.64187144429252,962.2310727497861,1.4335,0.02542753108624122,0.0,0.0,0.47316645624988857,94.61044698755556,168.3816106660276,0.24712986503062964,8.801905803086946,0.0031170728835351463,75.8605946213666,1.2296430693376263
