Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.6937916514609657,0.18696833215988642,0.41222702702702696,0.011563194191016094,0.0031161388693314402,0.006870450450450449,0.01833588785001134,0.25839795111095426,0.4170578125,0.0,0.41222702702702696,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,On,11592.152350277776,21.111111111111143,0.9250000000000002,0.0,12.081183284084082,0.4170578125,1,11175.094537777777,11175.094537777777,Off,0.0,0,69.92645322815615,51.666666666666686,46.10666666666668,0.0,48.54845586435994,0.0,0.0,0.0,109.26008316899397,47.0482407669526,48.54845586435994,46.29813321824894,12.43753247303448,21.040210212232004,0.0,2.8,9.236100170605994,9792.992533481152,-2160.9270861263158,-0.0,-0.0,477.42473310470876,0.0,3.268,0.09090601540051434,0.0,0,1.1764185965647012,215.6867392782222,-115.65746377501597,0.20397105510475336,10.084170329027556,0.0030957935037677978,-42.02194654715904,1.2138997124921342
2025-01-01 00:01:00,0.6937916514609657,0.18696833215988642,0.41222702702702696,0.011563194191016094,0.0031161388693314402,0.006870450450450449,0.01833588785001134,0.25839795111095426,0.4170578125,0.0,0.41222702702702696,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,On,11592.152350277776,21.111111111111143,0.9250000000000002,0.0,12.081183284084082,0.4170578125,1,11175.094537777777,11175.094537777777,Off,0.0,0,69.49836769365373,51.666666666666686,46.10666666666668,0.0,48.5360832285386,0.0,0.0,0.0,108.59119952133396,47.0373457430797,48.5360832285386,46.287977000350246,12.43753247303448,21.18879896122827,0.0,2.8,9.236100170605994,9751.725003915286,-2186.437282973703,-0.0,-0.0,477.42473310470876,0.0,3.268,0.09123595189730047,0.0,0,1.1806883187474912,215.6867392782222,-131.4147964934963,0.20269539399422537,10.174519120988185,0.0030955906675291106,-42.739581991142494,1.2168312260264265
2025-01-01 00:02:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,69.08239012915976,51.666666666666686,46.10666666666668,0.0,48.523782583807794,0.0,0.0,0.0,107.94123457681214,47.02651741788665,48.523782583807794,46.277884834926084,12.43753247303448,21.332942319113382,0.0,2.8,9.236100170605994,-1880.8367210629003,-2211.2973276886983,-0.0,-0.0,477.42473310470876,0.0,3.268,0.0915556425872341,0.0,0,1.1848254495097355,215.6867392782222,-146.964126478911,0.20089767748790396,10.238144929282463,0.003095384864332794,-43.43182930133431,1.216235763038267
2025-01-01 00:03:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,69.4596739897413,51.666666666666686,46.10666666666668,0.0,48.51155191174891,0.0,0.0,0.0,108.53074060897079,47.015753904868205,48.51155191174891,46.26785490142786,12.43753247303448,21.181526323575074,0.0,2.8,9.236100170605994,-1858.2462620184265,-2185.185937721751,-0.0,-0.0,477.42473310470876,0.0,3.268,0.09121981237199907,0.0,0,1.1804794564668089,215.6867392782222,-150.48505740138418,0.20275884335906477,10.170636102198692,0.0030951756253773284,-42.5812517616016,1.2168615972440173
2025-01-01 00:04:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,69.82507813680307,51.666666666666686,46.10666666666668,0.0,48.49925914073301,0.0,0.0,0.0,109.10168458875481,47.0049316084212,48.49925914073301,46.2577678422653,12.43753247303448,21.03447863789652,0.0,2.8,9.236100170605994,-1832.7296125936314,-2159.945443747789,-0.0,-0.0,477.42473310470876,0.0,3.268,0.09089328076953598,0.0,0,1.176253797165703,215.6867392782222,-150.20890195055148,0.20458481673292017,10.105281052721068,0.003094970589703466,-41.754194273384506,1.2174699942706024
2025-01-01 00:05:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,70.17900455472902,51.666666666666686,46.10666666666668,0.0,48.486906250213735,0.0,0.0,0.0,109.65469461676409,46.994052379486966,48.486906250213735,46.247625444123585,12.43753247303448,20.891651310116114,0.0,2.8,9.236100170605994,-1804.129795074231,-2135.5405134233733,-0.0,-0.0,477.42473310470876,0.0,3.268,0.09057575319746787,0.0,0,1.1721446594033977,215.6867392782222,-146.01401475556642,0.206376026465975,10.041304273029908,0.0030947696369171503,-40.949898591567226,1.2180615138183757
2025-01-01 00:06:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,70.52177377377515,51.666666666666686,46.10666666666668,0.0,48.47449515265625,0.0,0.0,0.0,110.19027152152367,46.98311800637489,48.47449515265625,46.23742943323421,12.43753247303448,20.752926680949464,0.0,2.8,9.236100170605994,-1775.348673941543,-2111.9416666910083,-0.0,-0.0,477.42473310470876,0.0,3.268,0.09026700006320433,0.0,0,1.1681490720124537,215.6867392782222,-140.8317403552434,0.2081326008620012,9.979362599145244,0.0030945726507180674,-40.16776229414585,1.2186365937462116
2025-01-01 00:07:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,70.85384889564155,51.666666666666686,46.10666666666668,0.0,48.46202770710057,0.0,0.0,0.0,110.70913889943992,46.97213022745353,48.46202770710057,46.22718148763003,12.43753247303448,20.618133909026074,0.0,2.8,9.236100170605994,-1747.4411285353503,-2089.1110289460094,-0.0,-0.0,477.42473310470876,0.0,3.268,0.08996667113997425,0.0,0,1.1642625026933884,215.6867392782222,-135.75483269404987,0.20985542794047574,9.918675730315787,0.003094379518105994,-39.40690225503521,1.219195895778393
2025-01-01 00:08:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,71.17571784904626,51.666666666666686,46.10666666666668,0.0,48.44950569542669,0.0,0.0,0.0,111.21205913913478,46.961090708937036,48.44950569542669,46.216883215692214,12.43753247303448,20.487092828356047,-0.1240182827550953,2.8,9.236100170605994,-1720.578856134296,-2067.0098788431146,-0.0,-0.0,477.42473310470876,0.0,3.268,0.08967439290122504,0.0,0,1.1604801176232602,215.6867392782222,-130.99371039589028,0.21154561322101625,9.859165783766652,0.0030941901307435407,-38.6663838886794,1.2197401241904853
2025-01-01 00:09:00,0.2767338389609656,0.18696833215988642,0.0,0.004612230649349427,0.0031161388693314402,0.0,0.01833588785001134,0.25839795111095426,0.0,0.0,0.0,0.0,0.18696833215988642,0,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.005264967105263157,0.0,On,0.013070920744748183,0,On,0.009106841564438927,0,On,0.21422635906398613,0.16066976929798954,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11175.094537777777,Off,0.0,0,71.4878415540519,51.666666666666686,46.10666666666668,0.0,48.43693081822364,0.0,0.0,0.0,111.6997524282061,46.95000104101685,48.43693081822364,46.206536152413456,12.43753247303448,20.35963326207332,-0.25147784903782266,2.8,9.236100170605994,-1694.7027946765998,-2045.6018864674086,-0.0,-0.0,477.42473310470876,0.0,3.268,0.08938981167316844,0.0,0,1.1567973398945917,215.6867392782222,-126.52564131390031,0.21320422854439913,9.802135054771256,0.0030940043851845045,-37.94532249969409,1.220269945511956
