Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3357106314803968,0.18657194305409627,0.0767020604739951,0.3357106314803968,0.18657194305409627,0.0767020604739951,0.020071267385449076,0.0,0.2874662871718708,0.008173076923076924,0.020000000000000004,0.0767020604739951,0.0,0.0,0.18073860972076294,0.0,0.005833333333333337,1.0,0.0,0.0,0.04910962033725102,0.00699774190059829,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.004544051535087718,0.0,0.0004364385908084872,0.0,0.015090777259552868,0.0,0.006702176407733536,0.0,0.19658973994435708,0.14744230495826777,0.0,0.0,1853.8177062564102,16.666666666666686,0.082104704372774,0.0,2.2479158087625377,0.008173076923076924,0.1,1845.6446293333333,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,36.25888877798332,51.66666666666668,46.10666666666668,0.0,50.55615850439461,0.0,0.0,0.0,36.25888877798332,48.464121771220654,50.55615850439461,47.418103404633676,12.43753247303448,17.377900482953923,-0.017849256304083384,6.9016774196968855,2.5938256377532074,-0.6684579796402649,2.8,9.236100170605994,-1325.6508325042014,-1523.9576773341062,144.48655636712493,702.6161327708792,-3509.754460888317,0.0,0.0,383.29567961393724,0.0,2.0,0.18419444418016648,0.0,0.0,1.3433430168323022,131.99922844444444,-53.00975748623195,0.22359568363914434,7.94416585164464,0.002683859800996695,-85.02292155537582,1.233059099983868,0.2941443949450574,-1572.3686170273345,48.41093969322834,0.4530695454719999,121.61541280400249,22.871143563122434,0.18282447688045292,832.273264771331,-129.6571320004518
2025-01-01 01:00:00,0.947407367840933,0.18101555992833157,0.23010618142198527,0.947407367840933,0.18101555992833157,0.2301061814219853,0.02018714633944577,0.6416743132592593,0.2410266774729971,0.024519230769230772,0.020000000000000004,0.23010618142198527,0.0,0.0,0.17518222659499824,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.004203247669956139,0.0,0.0004492750199499133,0.0,0.015534623649539718,0.0,0.00745037534633272,0.0,0.19938817040619844,0.1495411278046488,0.0,0.0,5561.453118769231,16.666666666666686,0.246314113118322,0.0,6.743747426287613,0.024519230769230772,0.3,5536.9338880000005,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,641.6743132592594,0.11666666666666667,37.2179815707462,51.66666666666668,46.10666666666668,0.0,50.30881516063853,0.11429957724767136,300.48307997592457,641.6743132592594,37.2179815707462,48.26174502484962,50.30881516063853,47.23820995695517,12.43753247303448,16.363322642020798,-0.050906124852722695,7.151626064349007,3.3049619893616398,1.0959751697479805,2.5,9.236100170605994,2802.4270855176637,-1319.4969396902168,-455.83010971980747,148.6843118914063,-3045.6785842176473,0.0,0.0,379.2558803284535,0.0,2.0,0.16860136083853036,0.0,0.0,1.229621564966022,131.99922844444444,-92.60332936237324,0.2368212976136378,7.446734710107699,0.0026721834030650217,-55.23002629023782,1.237430321618576,0.23071695459953664,-1362.201201694896,42.704262004679094,0.4530695454719999,-475.9149648477711,20.084855127963564,0.13337979039244383,266.81830105535823,-118.1339891639519
2025-01-01 02:00:00,0.7778618246437166,0.1852116236890403,0.28124088840464867,0.7778618246437166,0.18521162368904032,0.28124088840464867,0.021226493445048053,0.4583387951851853,0.2483285872955346,0.02996794871794872,0.020000000000000004,0.28124088840464867,0.0,0.0,0.17937829035570696,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.004203247669956139,0.0,0.00047848896213384856,0.0,0.016544756812958063,0.0,0.009157533487925223,0.0,0.20585954084920666,0.15439465563690494,0.0,0.0,6797.331589606838,16.666666666666686,0.3010505827001713,0.0,8.24235796546264,0.02996794871794872,0.36666666666666664,6767.363640888889,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,458.33879518518523,0.08333333333333333,41.026133503130545,51.66666666666668,46.10666666666668,0.0,51.79536858167537,0.03670679361826537,100.1610266586415,458.33879518518523,41.026133503130545,51.56449905343171,51.79536858167537,51.44906428930988,12.43753247303448,16.32687779683466,-0.06919002032854822,7.553332601560183,2.8394452096004317,1.1525641241619757,1.6500000000000001,9.236100170605994,3958.7053793044984,-1192.497178051872,-686.3519535728742,0.8364471516799862,-3104.694831639986,0.0,0.0,387.14414132558267,0.0,2.0,0.16149304824861066,0.0,0.0,1.1777801420521496,131.99922844444444,-121.07551998793618,0.23688704291325113,7.422349360483913,0.0026666466661248835,-10.85606556221145,1.237590395731572,0.15991856678561064,-1229.5341251041236,37.03694705225171,0.4530695454719999,-705.498937124045,19.146983551170816,0.07964970133699821,128.0643466278267,-127.22789947614669
2025-01-01 03:00:00,0.30792237918430093,0.17760180893885572,0.3068082418959804,0.30792237918430093,0.17760180893885572,0.3068082418959804,0.019503260943563108,0.0,0.23572681054843012,0.032692307692307694,0.020000000000000004,0.3068082418959804,0.0,0.0,0.17176847560552239,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.003976045093201754,0.0,0.0004364385908084872,0.0,0.015090777259552868,0.0,0.006702176407733536,0.0,0.19658973994435708,0.14744230495826777,0.0,0.0,7415.270825025641,16.666666666666686,0.328418817491096,0.0,8.99166323505015,0.032692307692307694,0.4,7382.578517333333,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,40.761824209048314,51.66666666666668,46.10666666666668,0.0,51.66810510642771,0.0,0.0,0.0,40.761824209048314,51.406234825911824,51.66810510642771,51.275299685653884,12.43753247303448,16.382420461740086,-0.05762316633902511,7.356750665453934,2.567763812434699,1.0934569844234483,1.6500000000000001,9.236100170605994,4427.132432006149,-1382.9189682495123,-525.7063624549836,84.64516883544844,-3222.6506510176773,0.0,0.0,373.4680181403327,0.0,2.0,0.16717021236053575,0.0,0.0,1.2191840986107192,131.99922844444444,-138.9557601421481,0.23584649977855712,7.4465062828253235,0.0026643156792631665,-73.39556894945859,1.23735481391603,0.1956564713425326,-1421.735091083745,38.81612283423262,0.4530695454719999,-544.5090281157736,18.802665660789962,0.1016642499600425,224.28224562545137,-139.63707679000294
2025-01-01 04:00:00,0.3056835809350582,0.17694434486730828,0.2940245651503145,0.3056835809350582,0.17694434486730828,0.29402456515031455,0.019503260943563108,0.0,0.23485019178636687,0.031330128205128205,0.020000000000000004,0.2940245651503145,0.0,0.0,0.17111101153397495,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.003976045093201754,0.0,0.0004364385908084872,0.0,0.015090777259552868,0.0,0.006702176407733536,0.0,0.19658973994435708,0.14744230495826777,0.0,0.0,7106.30120731624,16.666666666666686,0.31473470009563365,0.0,8.617010600256396,0.031330128205128205,0.38333333333333336,7074.971079111112,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,40.50651472412525,51.66666666666668,46.10666666666668,0.0,51.445128047703726,0.0,0.0,0.0,40.50651472412525,51.200789171813376,51.445128047703726,51.0786197338682,12.43753247303448,16.395758776450144,-0.057525977843140313,7.090901771313427,2.3128827578211526,0.9867729632080047,0.55,9.236100170605994,3722.1340535564564,-1328.137046186606,-1032.633557912761,-118.282310617367,-3616.221047654028,0.0,0.0,372.59139937826944,0.0,2.0,0.17329050813395544,0.0,0.0,1.2638198454963836,131.99922844444444,-140.53750548402493,0.2342187446255082,7.431397147245854,0.0026493453028980504,13.313113094191786,1.2367284313958475,0.17599411829051323,-1368.4172743531788,40.280228166572854,0.4530695454719999,-1051.4783123435607,18.844754430799757,0.09845998120161936,16.338825024379926,-134.62113564174692
2025-01-01 05:00:00,0.3157702851337483,0.18146993162981737,0.3195919186416462,0.3157702851337483,0.1814699316298174,0.3195919186416462,0.020178133664926913,0.0,0.24153766428933418,0.03405448717948718,0.020000000000000004,0.3195919186416462,0.0,0.0,0.17563659829648406,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.004430450246710526,0.0,0.0004426354876353826,0.0,0.015305047930581002,0.0,0.0073555332273553585,0.0,0.20262385562770255,0.15196789172077685,0.0,0.0,7724.240442735043,16.666666666666686,0.3421029348865583,0.0,9.366315869843907,0.03405448717948718,0.4166666666666667,7690.185955555556,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,38.9835402433285,51.66666666666668,46.10666666666668,0.0,51.040413677736794,0.10261696894563471,277.36899690085346,0.0,38.9835402433285,49.785035250003595,51.040413677736794,49.157346036137,12.43753247303448,16.314910127628835,-0.06478628909547274,7.139308526413042,1.0919662807077164,-0.14857624784068466,-0.25000000000000006,9.236100170605994,4127.015472146732,-1411.1104857494188,-780.3834563382283,-122.84142192563857,-3801.2230657696127,0.0,0.0,338.84259433676635,0.0,1.3835000000000002,0.1741689114615858,0.0,0.0,1.2702261026524375,91.31046627644444,-134.8444991554649,0.2365718963860338,7.405745217605051,0.002663745029120269,3.272104822194945,1.2364419333499497,0.15464801372460585,-1450.1724479327843,39.06196218336517,0.4530695454719999,-801.052876921248,20.66942058301964,0.0763899102919537,30.012130684352474,-152.85355260999103
2025-01-01 06:00:00,1.2734019638848637,0.18986838687944824,0.3195919186416462,1.2734019638848635,0.18986838687944824,0.3195919186416462,0.04439128675926478,0.9166775903703706,0.25827859957574106,0.03405448717948718,0.020000000000000004,0.3195919186416462,0.0,0.0,0.1840350535461149,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.00499845668859649,0.0,0.0011072526723199096,0.0,0.03828557739834838,0.0,0.012898528180921144,0.0,0.2120685584364172,0.15905141882731286,0.0,0.0,7724.240442735043,16.666666666666686,0.3421029348865583,0.0,9.366315869843907,0.03405448717948718,0.4166666666666667,7690.185955555556,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,916.6775903703705,0.16666666666666666,38.43545302365211,51.66666666666668,46.10666666666668,0.0,50.90696422258035,0.14116156539829455,376.2780107262619,916.6775903703705,38.43545302365211,49.35126755527585,50.90719470858645,48.57318873561749,12.43753247303448,16.39641472533778,-0.05251340715899498,6.7357960744514065,1.659035119346849,-0.32317676891131886,0.3,9.236100170605994,4252.713724870108,-1514.8406273182713,-789.0377368372069,-48.60716971318251,-3666.073697396911,0.0,0.0,346.13574640979004,0.0,0.8835,0.17327790940991297,0.0,0.0,1.2637279621171715,58.31065916533333,-151.58876687781387,0.23387242511009357,7.425047038707809,0.002646902447028652,-126.68879650547676,1.2361066173316289,0.18457499131222102,-1557.0895641386826,42.24893682041118,0.4530695454719999,-809.1287986404633,20.091061803256267,0.09597047552978243,82.27903015957901,-130.88619987276152
2025-01-01 07:00:00,0.31804474063665117,0.17957420115349798,0.37072662562430964,0.31804474063665117,0.17957420115349798,0.37072662562430964,0.020184868673826264,0.0,0.2383566668346198,0.039503205128205134,0.020000000000000004,0.37072662562430964,0.0,0.0,0.17374086782016465,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.004657652823464912,0.0,0.0004364385908084872,0.0,0.015090777259552868,0.0,0.006702176407733536,0.0,0.19658973994435708,0.14744230495826777,0.0,0.0,8960.11891357265,16.666666666666686,0.39683940446840765,0.0,10.864926409018933,0.039503205128205134,0.48333333333333334,8920.615708444444,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,41.405420062953546,51.66666666666668,46.10666666666668,0.0,51.92179067825738,0.0,0.0,0.0,41.405420062953546,51.93165183233559,51.93658240937471,51.92179067825738,12.43753247303448,16.344670768206882,-0.05672523893559586,6.506923882549529,1.1006743107518218,-0.6134504851453884,-0.55,9.236100170605994,5086.790670015441,-1702.1135860000534,-964.8528760690592,-131.52536302471796,-3975.9886088274166,0.0,0.0,244.7802537123411,9.779318941265483,0.0,0.17840952683615038,0.0,0.0,1.3011532083849047,0.0,-142.11988844213465,0.23308072402050667,7.378780422037325,0.0026292355165188487,-63.48649131275282,1.2363406134566846,0.18698599891439277,-1745.5464600732869,43.432874073233485,0.4530695454719999,-985.7240338311913,20.871157762132057,0.09428013996089414,3.8781603395113495,-135.40352336422933
2025-01-01 08:00:00,0.31233662856622463,0.18023166522504538,0.3195919186416462,0.3123366285662246,0.18023166522504538,0.3195919186416462,0.019048855790054338,0.0,0.23923328559668303,0.03405448717948718,0.020000000000000004,0.3195919186416462,0.0,0.0,0.17439833189171206,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0035216399396929823,0.0,0.0004364385908084872,0.0,0.015090777259552868,0.0,0.006702176407733536,0.0,0.19658973994435708,0.14744230495826777,0.0,0.0,7724.240442735043,16.666666666666686,0.3421029348865583,0.0,9.366315869843907,0.03405448717948718,0.4166666666666667,7690.185955555556,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,41.08789051632122,51.66666666666668,46.10666666666668,0.0,51.69820716717102,0.0,0.0,0.0,41.08789051632122,51.72326829149967,51.735798853664,51.69820716717102,12.43753247303448,16.40863326838483,-0.04662260272144379,5.943332319135385,0.37299358135445915,-1.1048936035347448,-1.4,9.236100170605994,3608.9317046267706,-1889.0912261944068,-1039.870854990772,-134.27640651601783,-4368.1772622241415,0.0,0.0,244.5208595906324,649.1120756538442,0.0,0.18548554226468664,0.0,0.0,1.3527590858326746,0.0,8.347664525236702,0.232475711532892,7.416454233266295,0.0026318438238529312,107.39490252069214,1.236646219805979,0.19949013004074106,-1936.5958199615575,47.504593767150624,0.4530695454719999,-1061.8743181912005,22.00346320042872,0.10049423305455439,-10.751695839582252,-123.5247106764356
2025-01-01 09:00:00,0.3511582259641665,0.18023166522504538,0.6903185442659558,0.3511582259641665,0.18023166522504538,0.6903185442659558,0.01836724805979118,0.0,0.23923328559668303,0.07355769230769231,0.020000000000000004,0.6903185442659558,0.0,0.0,0.17439833189171206,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0028400322094298243,0.0,0.0004364385908084872,0.0,0.015090777259552868,0.0,0.006702176407733536,0.0,0.19658973994435708,0.14744230495826777,0.0,0.0,16684.359356307694,20.000000000000057,0.7389423393549659,0.0,20.23124227886284,0.07355769230769231,0.9,16610.801664000002,18456.446293333334,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,4673.605008888889,0.0,0.0,38.14688986786864,51.66666666666668,46.10666666666668,0.0,51.481448977738594,0.0,0.0,0.0,38.14688986786864,51.52110991602266,51.5409403851647,51.481448977738594,12.43753247303448,18.733631503487132,-0.8448534402010199,5.862993790819322,0.43388157146572787,-0.6692485662393715,-0.85,9.236100170605994,12029.719974613667,-1700.4474061599044,-747.0675314963472,-81.84532323219659,-5079.43043746025,0.0,0.0,243.83925186036925,1743.857082973192,0.0,0.19648214801392774,0.0,0.0,1.4329581038207082,0.0,180.95180390585537,0.2038500017032675,8.562250375438829,0.002664151321425827,300.2324625083585,1.2274072125006161,0.19702831897257583,-1748.0087958662702,47.56138970636568,0.4530695454719999,-768.212363976581,21.144832480233706,0.10294918518809233,-32.582043547356534,-49.263279684840064
