Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.740350531151924,0.16978659193312853,0.32061875000000006,0.740350531151924,0.16978659193312853,0.32061875000000006,0.014724055639939167,0.3515712671786513,0.3740552083333334,0.0,0.32061875000000006,0.0,0.16978659193312853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0035099780701754383,0.0,0.0004749732591500249,0.0,0.010739104310613704,0.0,0.008529198306487447,0.0,0.1913173720949756,0.14348802907123165,0.06078566145231338,0.0,0.055874284842345696,0.0,6149.067805858641,19.444444444444457,0.4,1742.1148669191368,9.396409330555555,0.3740552083333334,0.5,7517.127464444445,15034.25492888889,0.0,0.0,79.66862627748675,51.66666666666668,46.10666666666668,0.0,49.493996147491764,0.0,0.0,0.0,124.48222855857306,48.82647719907541,49.493996147491764,48.49271772486725,12.43753247303448,19.159291694751158,-0.05469633412037525,2.0135579738579734,2.6210411414144454,0.19190995239213418,2.8,9.236100170605994,4128.620276832783,-435.4835422164689,123.55060293155317,259.60501638335165,-2310.799450337063,0.0,0.0,434.2420031439498,0.0,3.0,0.10836852784389363,0.0,0.0,1.4024017099002095,197.99884266666666,-143.89008183274535,0.21236320361911074,8.988930104842092,0.0028589339571937415,-15.728062094151559,1.225396687926027,0.0,0.0,43.8185338523674,0.4530695454719999,100.44730006271112,23.103302868842043,0.10607488606210123,363.5342867959016,-103.92927041255001
2025-01-01 01:00:00,0.7635148195126514,0.1691291278615811,0.32061875000000006,0.7635148195126514,0.1691291278615811,0.32061875000000006,0.01446080728467601,0.3749988038946421,0.3740552083333334,0.0,0.32061875000000006,0.0,0.1691291278615811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.0032467297149122803,0.0,0.0004749732591500249,0.0,0.010739104310613704,0.0,0.008529198306487447,0.0,0.1913173720949756,0.14348802907123165,0.07344934092154533,0.0,0.06751476085116773,0.0,6149.067805858641,19.444444444444457,0.4,1742.1148669191368,9.396409330555555,0.3740552083333334,0.5,7517.127464444445,15034.25492888889,0.0,0.0,77.72384607378063,51.66666666666668,46.10666666666668,0.0,48.68970104236182,0.0,0.0,0.0,121.44350949028224,48.09110621300312,48.68970104236182,47.79180879832377,12.43753247303448,19.146318321826428,-0.06315209362643319,2.618266839538544,3.349646586944553,1.8585483052700178,2.5,9.236100170605994,4247.358427149364,-1861.8148920637898,-481.5867067102601,-18.207178234624095,-2187.5349681453513,0.0,0.0,433.1021360266234,0.0,3.0,0.10084348297667164,0.0,0.0,1.3050197854722074,197.99884266666666,-147.27654659054937,0.2123119388550618,8.979660616062189,0.002855745237391715,1.9174645167631712,1.2255130422205363,0.0,0.0,43.40378979155262,0.4530695454719999,-502.33072468776885,20.744017977508815,0.07648576513375112,77.31930267560111,-95.5264809102252
2025-01-01 02:00:00,0.7258655383280899,0.1684716637900337,0.3099314583333334,0.7258655383280899,0.1684716637900337,0.30993145833333335,0.01446080728467601,0.34981802965452485,0.36158670138888893,0.0,0.3099314583333334,0.0,0.1684716637900337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.0032467297149122803,0.0,0.0004749732591500249,0.0,0.010739104310613704,0.0,0.008529198306487447,0.0,0.1913173720949756,0.14348802907123165,0.06078566145231338,0.0,0.055874284842345696,0.0,5944.098878996686,19.444444444444457,0.3866666666666667,1684.0443713551658,9.083195686203705,0.36158670138888893,0.48333333333333334,7266.5565489629635,15034.25492888889,0.0,0.0,75.78214178128677,51.66666666666668,46.10666666666668,0.0,47.906196754753374,0.0,0.0,0.0,118.40959653326057,47.37335027718249,47.906196754753374,47.10692703839705,12.43753247303448,19.14992256355008,-0.0633540846406144,1.7799586825499083,2.906936892969955,1.8404589578701958,1.6500000000000001,9.236100170605994,4071.069446296199,-2470.0521740512263,-725.2413966078765,-109.17174157814291,-2164.048797243874,0.0,0.0,432.22551726456015,0.0,3.0,0.09443418137984584,0.0,0.0,1.2220767419752745,197.99884266666666,-141.20615272117348,0.21262367830089085,8.986825466310938,0.002860594050555171,30.376372929344612,1.2254943746280333,0.0,0.0,50.50494083655121,0.4530695454719999,-745.5169547406898,20.27555813281335,0.04769877581312202,-9.88858031133287,-99.28316126681005
2025-01-01 03:00:00,0.7905312423385535,0.17075034266211467,0.3884506184514259,0.7905312423385535,0.17075034266211467,0.3884506184514259,0.014285308381167238,0.377253711735164,0.3989922222222223,0.04645728511809253,0.3419933333333334,0.0,0.17075034266211467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.003071230811403509,0.0,0.0004749732591500249,0.0,0.010739104310613704,0.0,0.008622486412964654,0.0,0.1952322293531468,0.14642417201486005,0.07344934092154533,0.0,0.06751476085116773,0.0,6559.00565958255,19.444444444444457,0.4266666666666667,1858.2558580470795,10.02283661925926,0.3989922222222223,0.5333333333333333,8018.269295407407,15034.25492888889,1055.056,0.0,82.53444185382556,51.66666666666668,46.10666666666668,0.0,50.1216259929115,0.07153575991212453,183.0458885600216,1055.056,128.96006539660246,49.81398683247978,50.1216259929115,49.66016725226392,12.43753247303448,19.108405260094415,-0.06777930618569303,1.7294075642339442,2.6532602936961593,1.4782356932178151,1.6500000000000001,9.236100170605994,4587.06404652221,-1776.2357220708786,-574.9581729087517,-75.3963419148496,-2242.1528115026495,0.0,0.0,406.34617190089796,0.0,2.56725,0.0982005573485343,0.0,0.0,1.2708175729499698,169.437509612,-136.13497345858775,0.2136138578467209,8.974554049158977,0.002866609572897075,-34.42586308782509,1.2256638084414648,0.0,0.0,50.35314362670077,0.4530695454719999,-595.2000195466339,20.241846637882176,0.06157053023938433,27.194787382952992,-102.59112929780258
2025-01-01 04:00:00,0.873141437932836,0.16715673564693884,0.3419933333333334,0.873141437932836,0.16715673564693884,0.34199333333333337,0.014285308381167238,0.45986390732944665,0.3989922222222223,0.0,0.3419933333333334,0.0,0.16715673564693884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.003071230811403509,0.0,0.0004749732591500249,0.0,0.010739104310613704,0.0,0.008529198306487447,0.0,0.1913173720949756,0.14348802907123165,0.11903858701078035,0.0,0.109420474482927,0.0,6559.00565958255,19.444444444444457,0.4266666666666667,1858.2558580470795,10.02283661925926,0.3989922222222223,0.5333333333333333,8018.269295407407,15034.25492888889,0.0,0.0,85.71462115588461,51.66666666666668,46.10666666666668,0.0,51.24820369147815,0.0,0.0,0.0,133.9290955560697,51.065227433596846,51.24820369147815,50.97373930465619,12.43753247303448,19.128274284353424,-0.06645764464493933,0.723974676406039,2.411111041472766,1.5592752350969896,0.55,9.236100170605994,4329.413466493462,-3363.2591201329583,-1089.441110607751,-139.48414542969732,-2461.6892675883914,0.0,0.0,364.36316622892497,0.0,2.0010000000000003,0.10087640341637368,0.0,0.0,1.3054458102770778,132.0652280586667,-132.26609172962304,0.2117995475101444,8.957589023443527,0.0028470088956475434,-13.871342408128811,1.2250198390245486,0.0,0.0,57.540868251154514,0.4530695454719999,-1109.923687965888,20.482577358136805,0.05827652892820171,-35.62405467386374,-103.86009075583357
2025-01-01 05:00:00,1.487733173544462,0.1736673134784627,0.32061875000000006,1.4877331735444619,0.17366731347846268,0.32061875000000006,0.024667560160326375,1.0890104050508023,0.3740552083333334,0.0,0.32061875000000006,0.0,0.1736673134784627,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.5186913150220787,0.0,0.0034222286184210525,0.0,0.0008998479189576537,0.0,0.020345483622947667,0.0,0.013086988651516678,0.0,0.1999981425370074,0.14999860690275552,0.16969330488770817,0.0,0.1559823785182151,0.0,6149.067805858641,19.444444444444457,0.4,1742.1148669191368,9.396409330555555,0.3740552083333334,0.5,7517.127464444445,15034.25492888889,0.0,0.0,83.47649458859192,51.66666666666668,46.10666666666668,0.0,50.38888398664614,0.031089064189130454,81.52043670842495,0.0,130.43202279467485,50.21643954431848,50.38888398664614,50.13021732315465,12.43753247303448,19.109260591274467,-0.07584679783482381,-0.2295169561473549,1.198767950509149,0.46842680218974464,-0.25000000000000006,9.236100170605994,4208.195075663315,-2343.350777841694,-842.3058320654843,-138.45993205038323,-2561.4815711227466,0.0,0.0,748.7066425667664,0.0,1.8172500000000003,0.10049844567145061,0.0,0.0,1.3005546430877102,119.93779894533334,-128.09780163934533,0.21294826083029805,8.960202367244088,0.0028604943885691732,32.86099232661075,1.2244749452000407,0.0,0.0,61.68164890553837,0.4530695454719999,-864.7362263335734,22.43039426808904,0.045457040744644024,-23.409326544359274,-115.05060550602396
2025-01-01 06:00:00,1.3950718049587452,0.1856417170908172,0.5089552375984105,1.395071804958745,0.18564171709081717,0.5089552375984105,0.041279145455816374,0.8051783539473729,0.5486143055555556,0.03871440426507711,0.47024083333333344,0.0,0.1856417170908172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.25934565751103933,0.0,0.0038609758771929823,0.0,0.001584849921504647,0.0,0.03583331965711875,0.0,0.021243034532095303,0.0,0.21421077649602027,0.16065808237201515,0.14436594594924426,0.0,0.13270142650057104,0.0,9018.632781926008,21.111111111111143,0.5866666666666667,2555.101804814734,13.781400351481484,0.5486143055555556,0.7333333333333333,11025.120281185187,15034.25492888889,879.2133333333333,0.0,78.65631231223553,51.66666666666668,46.10666666666668,0.0,50.60090857117587,0.1564137833338387,407.6021835421248,879.2133333333333,122.900487987868,50.021222638103005,50.60090857117587,49.73137967156658,12.43753247303448,20.750889501062883,-0.0899694749556056,0.4779459478334417,1.7743461804990934,0.4150528918232622,0.3,9.236100170605994,6551.912706428533,-2683.1618878454165,-855.7554976773671,-113.6961895485325,-2836.7863407421305,0.0,0.0,547.7122031035616,0.0,0.9990000000000001,0.1055404982360587,0.0,0.0,1.3658040589347074,65.933614608,-177.64593785890426,0.19156455776803533,9.696385101533066,0.002848428710425058,-99.21818886222104,1.217644971332762,0.0,0.0,56.45275744595158,0.4530695454719999,-877.7748084122807,22.019310734913482,0.05592312683976567,-6.864342014206296,-106.83184753432622
2025-01-01 07:00:00,0.9162600560986204,0.19046725092738076,0.4061170833333334,0.9162600560986204,0.1904672509273808,0.4061170833333334,0.04590641774456783,0.39655037446516356,0.47380326388888894,0.0,0.4061170833333334,0.0,0.19046725092738076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0035977275219298247,0.0,0.0017919883610934004,0.0,0.04051670186154461,0.0,0.025934093600663396,0.0,0.21889158408731194,0.1641686880654839,0.06078566145231338,0.0,0.055874284842345696,0.0,7788.819220754278,21.111111111111143,0.5066666666666667,2206.678831430907,11.902118485370371,0.47380326388888894,0.6333333333333333,9521.694788296298,15034.25492888889,0.0,0.0,79.23619379826225,51.66666666666668,46.10666666666668,0.0,51.1976911642677,0.05977159500645227,163.0408734168499,0.0,123.80655280978476,50.26496304215717,51.1976911642677,49.798598981101904,12.43753247303448,20.76013048647778,-0.08095843324808853,-0.39421578639951244,1.2330419990025767,0.17165132339512318,-0.55,9.236100170605994,4975.026588284024,-3022.990095270832,-1041.5926570222098,-170.56298268356696,-3039.677036066921,0.0,0.0,376.4080496369605,4.707657916147901,0.9990000000000001,0.10815543687409979,0.0,0.0,1.3996440906324306,65.933614608,-150.52364604029353,0.18967100376021034,9.671351618763232,0.0028221325310872347,-52.32606869712717,1.217625340409642,0.0,0.0,62.56248011622113,0.4530695454719999,-1064.7500501950249,23.157393172815016,0.0577014185163554,-58.528562890540364,-112.0344197930266
2025-01-01 08:00:00,0.9109328223638802,0.19214598210975545,0.39542979166666675,0.9109328223638802,0.19214598210975545,0.3954297916666667,0.04667805228140099,0.4029200131380347,0.46133475694444454,0.0,0.39542979166666675,0.0,0.19214598210975545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.002720233004385965,0.0,0.0018618373697919335,0.0,0.04209598190722309,0.0,0.030065424030368253,0.0,0.22025327356841495,0.16518995517631116,0.06078566145231338,0.0,0.055874284842345696,0.0,7583.850293892324,21.111111111111143,0.49333333333333335,2148.6083358669357,11.58890484101852,0.46133475694444454,0.6166666666666667,9271.123872814815,15034.25492888889,0.0,0.0,76.66341552640323,51.66666666666668,46.10666666666668,0.0,50.36261547305663,0.031097752352862038,81.52043670842495,0.0,119.78658676000505,49.350055925676294,50.36261547305663,48.843776151986134,12.43753247303448,20.810702232098404,-0.06807794014814673,-1.249078932731772,0.5215742463382387,-0.3486614281901224,-1.4,9.236100170605994,4610.698001914795,-3290.5769890682755,-1126.295461244013,-197.05409197921873,-3282.6648916648264,0.0,0.0,383.4540045829876,316.89601722237046,0.9990000000000001,0.11178566465157938,0.0,0.0,1.4466230220967236,65.933614608,-73.94140489569016,0.189077386756287,9.696501798950829,0.0028207540272651974,49.75104546760953,1.2179886771263122,0.0,0.0,67.3709192581798,0.4530695454719999,-1150.8554681874218,24.560006943408663,0.06377147886984008,-89.02216110124239,-108.03193087797632
2025-01-01 09:00:00,0.9024425881617734,0.19214598210975545,0.45257436845142596,0.9024425881617733,0.19214598210975545,0.4525743684514259,0.04626528860910758,0.3823740356637767,0.47380326388888894,0.04645728511809253,0.4061170833333334,0.0,0.19214598210975545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0021937362938596492,0.0,0.0018666545428056255,0.0,0.0422048977724423,0.0,0.033823602034164284,0.0,0.22025327356841495,0.16518995517631116,0.04812198198308142,0.0,0.04423380883352368,0.0,7788.819220754278,21.111111111111143,0.5066666666666667,2206.678831430907,11.902118485370371,0.47380326388888894,0.6333333333333333,9521.694788296298,15034.25492888889,1055.056,0.0,77.26912290357636,51.66666666666668,46.10666666666668,0.0,50.68992913114939,0.21309820026789433,570.6430569589746,1055.056,120.73300453683805,49.518936316321394,50.68992913114939,48.9334399089074,12.43753247303448,20.78641051767512,-0.07349098911828028,-0.824588640270996,0.5914233723006647,0.33086771368731854,-0.85,9.236100170605994,5084.618614851953,-2432.2656984938317,-838.6154958530882,-176.43064188178943,-3144.7395327881013,0.0,0.0,386.79941891449016,854.1918165469615,0.9990000000000001,0.11004584972526996,0.0,0.0,1.4241080034274567,65.933614608,53.739507971285846,0.1914206797145989,9.722499864453475,0.002850202220188903,154.227426525999,1.218679009290642,0.0,0.0,62.92283574874387,0.4530695454719999,-862.3627477145305,23.74725186144234,0.06428517058880842,-101.87773947865705,-74.55290240313238
