occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.333,0.647,0.0851,0.179,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0,0,0,0
0.333,0.647,0.0882,0.181,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.647,0.0894,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0894,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0894,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0,0,0,0
0.333,0.656,0.0964,0.194,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.66,0.0989,0.198,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.66,0.0989,0.198,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.66,0.0989,0.198,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.674,0.115,0.228,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.679,0.121,0.238,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.679,0.121,0.238,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.679,0.121,0.238,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.694,0.139,0.287,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.699,0.146,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.699,0.146,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.699,0.146,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.704,0.18,0.347,0.347,0.0,0.0,0.427,0.733,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.192,0.362,0.362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.192,0.362,0.362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.192,0.362,0.362,0.0,0.0,0.0,0.133,0.867,0.0,0.0,0,0,0,0
0.578,0.801,0.428,0.586,0.586,0.0,0.0,0.0,0.0,1.0,0.0,0.372,0,0,0,0
0.667,0.836,0.514,0.668,0.668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0
0.667,0.836,0.514,0.668,0.668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0
0.667,0.836,0.514,0.668,0.668,0.0,0.0,0.0,0.0,1.0,0.0,0.284,0,0,0,0
0.667,0.817,0.602,0.58,0.58,0.0,0.0,0.0,0.0,0.533,0.0,0.0,0,0,0,0
0.667,0.719,0.407,0.366,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0,0,0,0
0.667,0.686,0.325,0.299,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0915,0,0,0,0
0.667,0.686,0.325,0.299,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.667,0.313,0.251,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.66,0.308,0.234,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.66,0.308,0.234,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.66,0.308,0.234,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.641,0.222,0.214,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0,0,0,0
0.667,0.634,0.191,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0,0,0,0
0.667,0.634,0.191,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.634,0.191,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.62,0.116,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.911,0.653,0.142,0.164,0.164,0.0,0.0,0.0,0.0,0.0,0.733,0.0,0,0,0,0
1.0,0.629,0.108,0.133,0.133,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0,0,0,0
1.0,0.614,0.0885,0.116,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.61,0.0549,0.0851,0.0851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0427,0.074,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0427,0.074,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0427,0.074,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0306,0.062,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0262,0.0576,0.0576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0262,0.0576,0.0576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0262,0.0576,0.0576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0205,0.0515,0.0515,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
1.0,0.608,0.0184,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.574,0.0166,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.649,0.045,0.198,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0,0,0,0
