Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.7360557314514153e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.7360557314514153e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.30645927486242,0.0,2.8,-62.28814310646629,-679.1445340583357,-0.0,-0.0,607.853161706226,0.0,6.0,0.04529005552330733,0.0,0,1.155267170901269,395.9976853333333,9.00322924564328,0.3963607482183978,7.93873437636476,0.003939140993140856,82.74030515642619,1.2417047613695673
2025-01-01 00:01:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.7358575847671695e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.7358575847671695e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.30829490300717,0.0,2.8,-66.19139917115422,-679.2925663919714,-0.0,-0.0,607.853161706226,0.0,6.0,0.045292701787999046,0.0,0,1.1553346723138533,395.9976853333333,5.248005514591057,0.39754848689562305,7.963280705460795,0.003939910586449733,82.61617156496368,1.2453234128133892
2025-01-01 00:02:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.735708974753985e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.735708974753985e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.309487522979534,0.0,2.8,-70.03779867455745,-679.3887505566718,-0.0,-0.0,607.853161706226,0.0,6.0,0.045294421069002076,0.0,0,1.1553785280538698,395.9976853333333,1.4977901758881913,0.3975946067447866,7.965171723724337,0.003940676792230044,82.49718415060619,1.2453176720944648
2025-01-01 00:03:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.735659438082924e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.735659438082924e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.310071318218545,0.0,2.8,-73.83333824378957,-679.4358352150865,-0.0,-0.0,607.853161706226,0.0,6.0,0.045295262663936714,0.0,0,1.1553999956141972,395.9976853333333,-2.2506647349291526,0.3976562833590588,7.96591485989141,0.003941441898014367,82.38277180529599,1.2453145697514234
2025-01-01 00:04:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.735659438082924e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.735659438082924e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.310078103460414,0.0,2.8,-76.02789284305021,-679.4363824703973,-0.0,-0.0,607.853161706226,0.0,6.0,0.04529527244547498,0.0,0,1.1554002451234968,395.9976853333333,-4.44467207887898,0.3977327085574955,7.967173855185456,0.003942205944604693,82.27270367834535,1.2453139678923641
2025-01-01 00:05:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.735708974753985e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.735708974753985e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.309613783544114,0.0,2.8,-76.62270236412093,-679.3989337063426,-0.0,-0.0,607.853161706226,0.0,6.0,0.04529460308554584,0.0,0,1.1553831709657658,395.9976853333333,-5.076930364004397,0.39782116666900136,7.9673584406813855,0.003942968970753548,82.16620978067411,1.2453154076896433
2025-01-01 00:06:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.7358080480961085e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.7358080480961085e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.30877908427788,0.0,2.8,-76.99384307461565,-679.3316147301597,-0.0,-0.0,607.853161706226,0.0,6.0,0.045293399785163946,0.0,0,1.1553524769555272,395.9976853333333,-5.515390050682061,0.3979190737477411,7.968168186530139,0.003943731008359288,82.06255733533754,1.2453184527754975
2025-01-01 00:07:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.735907121438231e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.735907121438231e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.307602607485963,0.0,2.8,-77.19912218000809,-679.2367354977335,-0.0,-0.0,607.853161706226,0.0,6.0,0.045291703769327736,0.0,0,1.155309214667719,395.9976853333333,-5.815548388500616,0.3980257023808675,7.968795117958553,0.003944492082795702,81.9615383133982,1.245322979247913
2025-01-01 00:08:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.7360557314514153e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.7360557314514153e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.306108722043138,0.0,2.8,-77.33014142463418,-679.1162654808156,-0.0,-0.0,607.853161706226,0.0,6.0,0.04528955015875915,0.0,0,1.155254279968257,395.9976853333333,-6.067037650044675,0.39814043396717397,7.968429906785489,0.003945252217586424,81.86297539448026,1.2453288815517676
2025-01-01 00:09:00,0.23010628710398112,0.15029762487315262,0.0,0.003835104785066352,0.002504960414552544,0.0,0.013648852168334467,0.006998,0.20945943493564664,0.0,0.0,0.0,0.0,0,0.15029762487315262,0,1,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004278193530701754,0.0,On,0.009370658637632714,0,On,0.009062601771443071,0,On,0.16075443901554787,0.12056582926166086,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,2276.8694622222224,Off,0.0,0.0,3.736253878135661e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.736253878135661e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.304316004973163,0.0,2.8,-77.49120355850914,-678.9717077652352,-0.0,-0.0,607.853161706226,0.0,6.0,0.04528696572299878,0.0,0,1.155188355699568,395.9976853333333,-6.37265749949999,0.39826279895057937,7.968727248594746,0.003946011434678028,81.76673336357595,1.245336079230516
