Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-11 19:00:00,1.6500885356645982,0.4591548142180016,0.14065385524875368,1.1241110012449755,0.1561816666666667,0.3197958677529564,0.0,0.05,0.006783855248753653,0.13387000000000002,0.0,51.36338791178868,21.865863771922218,-0.07416084732495272
2025-01-11 20:00:00,2.4806609257831336,0.4326809471871473,0.1727839430409623,1.1611201579246582,0.19522708333333333,0.24930385319180848,0.8250098313333335,0.05,0.005446443040962299,0.16733750000000003,0.0,51.58149250334665,21.939700414040292,-0.052055232476304523
2025-01-11 21:00:00,0.6590298029765478,0.28623459827431685,0.18823856226224922,0.37317726245681887,0.2147497916666667,0.021102748853062212,0.0,0.05,0.004167312262249153,0.18407125000000005,0.0,51.617675424695186,21.71411800054041,-0.057650202490017045
2025-01-11 22:00:00,0.675774264646682,0.2846736790047136,0.20423123280164746,0.3710960367640144,0.23427250000000002,0.020405727882667476,0.0,0.05,0.0034262328016474042,0.200805,0.0,51.500279840962804,21.730015203783104,-0.053934477202427014
2025-01-11 23:00:00,0.6914781134704139,0.2823323001003086,0.22025948433069412,0.3679741982248078,0.25379520833333336,0.01970870691227274,0.0,0.05,0.002720734330694064,0.21753875000000003,0.0,51.383365010079245,21.714453815654057,-0.05902190965786242
2025-01-12 00:00:00,0.7289407898692603,0.2815518404655069,0.25280493926084285,0.3669335853784056,0.292840625,0.01916657949085461,0.0,0.05,0.0017986892608428439,0.25100625000000004,0.0,51.26692530385196,21.702858712990444,-0.06250041348891765
2025-01-12 01:00:00,0.7276678366993931,0.28077138083070524,0.2518828941909917,0.36589297253200337,0.292840625,0.018934239167389698,0.0,0.05,0.0008766441909916237,0.25100625000000004,0.0,51.15100078468802,21.683875490811147,-0.06437395972461703
2025-01-12 02:00:00,0.6973431613529909,0.27999092119590363,0.22663994523239803,0.3648523596856012,0.26355656250000004,0.018934239167389698,0.0,0.05,0.0007343202323979861,0.22590562500000005,0.0,51.03548966206246,21.67377170493629,-0.06681358956473898
2025-01-12 03:00:00,0.696147654957612,0.27921046156110196,0.22655590270288256,0.363811746839199,0.26355656250000004,0.018779345618413087,0.0,0.05,0.0006502777028825564,0.22590562500000005,0.0,50.92056493648544,21.703893052314456,-0.059272949232148577
2025-01-12 04:00:00,0.6951070421112099,0.2784300019263003,0.22688289083792204,0.36277113399279676,0.26355656250000004,0.018779345618413087,0.0,0.05,0.000977265837922004,0.22590562500000005,0.0,50.80609012669809,21.712319508356998,-0.05532267724807335
2025-01-12 05:00:00,0.695416829209163,0.2784300019263003,0.22724545996260986,0.36277113399279676,0.26355656250000004,0.019089132716366305,0.0,0.05,0.0013398349626098614,0.22590562500000005,0.0,50.69217712026613,21.73217913371467,-0.05207794011230392
2025-01-12 06:00:00,0.7174079971077423,0.27999092119590363,0.2452546421741267,0.3648523596856012,0.28307927083333334,0.019476366588807824,0.0,0.05,0.002615267174126667,0.24263937500000005,0.0,50.579137200761046,21.95042811606942,-0.05130958699178212
