Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,6.3806738890991985,4.089084710777137,0.0,0.10634456481831997,0.06815141184628562,0.0,0.05756113342189626,0.0,0.6589873316348975,5.664125424042405,0.0,0.0,0.0,0.430421121094763,3.6586635896823743,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.755004339799356,51.666666666666686,46.10666666666668,0.0,50.93589382862716,0.0,0.0,0.0,34.755004339799356,49.83715371412921,50.93589382862716,49.28778365688024,12.43753247303448,HP On,13867.282886798854,20.000000000000057,2.484025314826896,0.0,5.527639846031404,0.1364855780110014,3.3223335355960244,13730.797308787853,15323.372344483261,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22034.331181635996,20.006856238800548,0.0,6.657453653659744,-0.4473454332689065,2.8,9.236100170605994,10162.770306863207,-4990.056448960019,1522.3436975823622,-4195.051668701603,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707602441082377,0.0,0,0.8981683849372171,131.99922844444444,-320.74968273636387,0.18840363900143645,9.15383076386067,0.002681125867068236,-80.01484812718735,1.218483401204981,1.0275028348569664,-5165.369543766173,175.31309480615317,0.508192071495226,2150.671231688321,-628.3275341059586
2025-01-01 00:01:00,6.391422881714936,4.096027874101528,0.0,0.10652371469524893,0.06826713123502547,0.0,0.05756113342189626,0.0,0.6589873316348975,5.674874416658143,0.0,0.0,0.0,0.430421121094763,3.6656067530067658,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.75219189158188,51.666666666666686,46.10666666666668,0.0,50.9325790776095,0.0,0.0,0.0,34.75219189158188,49.834227169918144,50.9325790776095,49.28505121607247,12.43753247303448,HP On,13935.679717903335,20.000000000000057,2.479222423564847,0.0,5.584559272254063,0.09031514440407956,3.341695986077836,13845.364573499255,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.478317439345,20.006332592075427,0.0,6.686866517626572,-0.4123591231369002,2.8,9.236100170605994,10223.633772300738,-5032.049605900757,1495.4564371033473,-4194.854073259773,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677852,0.0,0,0.898153412389974,131.99922844444444,-328.4806438451439,0.18895010181822622,9.177621698934654,0.0026809831179178665,-79.92672563740368,1.2220450371766471,1.0277724439965086,-5206.120880996227,174.07127509546967,0.5073700776987465,2124.0590873788474,-628.6026502755001
2025-01-01 00:02:00,6.398382875241211,4.100523585794444,0.0,0.10663971458735351,0.06834205976324073,0.0,0.05756113342189626,0.0,0.6589873316348975,5.681834410184417,0.0,0.0,0.0,0.430421121094763,3.670102464699681,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.74877045374633,51.666666666666686,46.10666666666668,0.0,50.92926464180155,0.0,0.0,0.0,34.74877045374633,49.831300862529204,50.92926464180155,49.28231897289304,12.43753247303448,HP On,13949.389465349917,20.000000000000057,2.4786578256471143,0.0,5.591256416302615,0.090577993881802,3.343970288558765,13858.811471468116,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.40246072006,20.006332592075427,0.0,6.714540839050281,-0.3781161377759237,2.8,9.236100170605994,10229.455034818217,-5071.386872668647,1470.143530905098,-4194.854073259773,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677852,0.0,0,0.898153412389974,131.99922844444444,-336.36912877424834,0.18894012453137157,9.177339213089118,0.0026808409415634824,-79.84217196091959,1.2220451420550293,1.0280260524531855,-5244.482021700979,173.09514903233264,0.5065642564872835,2098.0795847770532,-627.9360538719552
2025-01-01 00:03:00,6.405163862974305,4.104903671167527,0.0,0.10675273104957175,0.06841506118612545,0.0,0.05756113342189626,0.0,0.6589873316348975,5.688615397917512,0.0,0.0,0.0,0.430421121094763,3.674482550072764,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.745349354565946,51.666666666666686,46.10666666666668,0.0,50.92595057625165,0.0,0.0,0.0,34.745349354565946,49.828374843242344,50.92595057625165,49.279586976737704,12.43753247303448,HP On,13962.890741666477,20.000000000000057,2.478095742529452,0.0,5.5979292177577555,0.0906861801597567,3.3462354903898968,13872.20456150672,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.364834642518,20.006332592075427,0.0,6.740658386395961,-0.3444733330802822,2.8,9.236100170605994,10235.028511107046,-5108.518531109452,1446.6941440607877,-4194.854073259773,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677852,0.0,0,0.898153412389974,131.99922844444444,-344.29692880197786,0.1889301577957085,9.177057012400859,0.002680698915628218,-79.75770774016542,1.2220452468225,1.0282653372070296,-5280.701702521126,172.18317141167472,0.5057713086770051,2072.620345676548,-625.9262016157602
2025-01-01 00:04:00,6.4102677720284,4.108200470730263,0.0,0.10683779620047333,0.06847000784550437,0.0,0.05756113342189626,0.0,0.6589873316348975,5.693719306971606,0.0,0.0,0.0,0.430421121094763,3.6777793496355002,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.74192859409697,51.666666666666686,46.10666666666668,0.0,50.922636880916286,0.0,0.0,0.0,34.74192859409697,49.82544911202906,50.922636880916286,49.27685522758545,12.43753247303448,HP On,13973.044629744974,20.000000000000057,2.4776733964812734,0.0,5.602946728613107,0.09077257835849893,3.3479382263862045,13882.272051386475,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.424550524465,20.006332592075427,0.0,6.765346113844749,-0.3113034111964108,2.8,9.236100170605994,10240.392934166375,-5143.616180547157,1424.3706458356844,-4194.854073259773,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677852,0.0,0,0.898153412389974,131.99922844444444,-349.0863938211454,0.18892020160008194,9.176775096595751,0.0026805570399529074,-79.67333288048408,1.2220453514791774,1.0284914709988742,-5314.953227742922,171.33704719576522,0.5049882875503541,2047.5820915002678,-623.2114456645832
2025-01-01 00:05:00,6.413532070844357,4.110308999466772,0.0,0.10689220118073928,0.06850514999111287,0.0,0.05756113342189626,0.0,0.6589873316348975,5.696983605787564,0.0,0.0,0.0,0.430421121094763,3.6798878783720093,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.738508172283154,51.666666666666686,46.10666666666668,0.0,50.919323555751944,0.0,0.0,0.0,34.738508172283154,49.82252366886081,50.919323555751944,49.27412372541525,12.43753247303448,HP On,13979.53498025144,20.000000000000057,2.4774036060844575,0.0,5.606153484635798,0.09083012115176582,3.3490262208497117,13888.704859099673,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.38700290003,20.006332592075427,0.0,6.7887012049841235,-0.2785063107414917,2.8,9.236100170605994,10245.614717525845,-5176.8224021304595,1403.0219735582605,-4194.854073259773,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677852,0.0,0,0.898153412389974,131.99922844444444,-350.3549609681423,0.18891025593334854,9.176493465399854,0.002680415314378554,-79.58904728731827,1.2220454560251781,1.0287053523977316,-5347.369021849838,170.54661971937867,0.5042128718080742,2022.8870236294351,-619.8650500711748
2025-01-01 00:06:00,6.416398771888351,4.112160705413756,0.0,0.10693997953147251,0.06853601175689593,0.0,0.05756113342189626,0.0,0.6589873316348975,5.699850306831557,0.0,0.0,0.0,0.430421121094763,3.6817395843189935,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.73508808912449,51.666666666666686,46.10666666666668,0.0,50.91601060071511,0.0,0.0,0.0,34.73508808912449,49.81959851370909,50.91601060071511,49.27139247020609,12.43753247303448,HP On,13985.237529938016,20.000000000000057,2.477166457313263,0.0,5.608973302965663,0.09087700386589438,3.3499827758452607,13894.360526072122,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.349493181955,20.006332592075427,0.0,6.81080370808133,-0.24599851901949527,2.8,9.236100170605994,10250.694790962585,-5208.250881902003,1382.4882081412065,-4194.854073259773,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677852,0.0,0,0.898153412389974,131.99922844444444,-350.9774372179788,0.1889003207843767,9.176212118539556,0.0026802737387463284,-79.50485086621097,1.2220455604606186,1.0289077218908125,-5378.058058284197,169.80717638219386,0.5034431175813004,1998.4705275759836,-615.9823194347772
2025-01-01 00:07:00,6.418989324776574,4.113834037273439,0.0,0.1069831554129429,0.06856390062122399,0.0,0.05756113342189626,0.0,0.6589873316348975,5.702440859719781,0.0,0.0,0.0,0.430421121094763,3.6834129161786766,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.73166834456473,51.666666666666686,46.10666666666668,0.0,50.91269801576229,0.0,0.0,0.0,34.73166834456473,49.81667364654538,50.91269801576229,49.26866146193694,12.43753247303448,HP On,13990.390239856415,20.000000000000057,2.476952203700378,0.0,5.611521726547334,0.0909191331724464,3.350847139224192,13899.471106683968,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.312021333786,20.00633259207543,0.0,6.831723397680018,-0.21371129904212266,2.8,9.236100170605994,10255.58981078255,-5238.000001720083,1362.6086167617452,-4194.854073259775,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677855,0.0,0,0.898153412389974,131.99922844444444,-351.2351273164096,0.1888903961420467,9.17666000755267,0.0026801323128975703,-79.42074352280508,1.2220456647856168,1.0290992249404594,-5407.115320166966,169.11531844688278,0.5026774195278566,1974.2796784130098,-611.6710616512646
2025-01-01 00:08:00,6.4214322007109015,4.115411979244339,0.0,0.10702387001184836,0.06859019965407231,0.0,0.05756113342189626,0.0,0.6589873316348975,5.704883735654108,0.0,0.0,0.0,0.430421121094763,3.684990858149576,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.72824893857575,51.666666666666686,46.10666666666668,0.0,50.909385800849975,0.0,0.0,0.0,34.72824893857575,49.81374906734118,50.909385800849975,49.26593070058678,12.43753247303448,HP On,13995.248897508758,20.000000000000057,2.4767501969449275,0.0,5.6139252115934015,0.09095852406070615,3.351662232071866,13904.290373448051,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.274587319098,20.00633259207543,0.0,6.85152326377089,-0.1815890130643897,2.8,9.236100170605994,10260.266559194457,-5266.15828405088,1343.2505677377133,-4194.854073259775,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677855,0.0,0,0.898153412389974,131.99922844444444,-351.4170365568451,0.18888048199525043,9.176379247441535,0.0026799910366737873,-79.33672516284369,1.2220457690002888,1.0292804440800043,-5434.62660232622,168.4683182753401,0.5019144737405018,1950.271844252697,-607.0212765149838
2025-01-01 00:09:00,6.423769560814216,4.116921764721488,0.0,0.10706282601357026,0.06861536274535814,0.0,0.05756113342189626,0.0,0.6589873316348975,5.707221095757422,0.0,0.0,0.0,0.430421121094763,3.6865006436267254,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.005773848684210526,0.0,On,0.051787284737685735,0,On,0.08509250350854666,0,On,0.5322703142702624,0.39920273570269665,On,0,0,Off,Off,0.0,0.0,34.72482987104503,51.666666666666686,46.10666666666668,0.0,50.90607395593468,0.0,0.0,0.0,34.72482987104503,49.81082477606795,50.90607395593468,49.2632001861346,12.43753247303448,HP On,13999.897204733015,20.000000000000057,2.476556962416542,0.0,5.616224988302348,0.09099610745507279,3.352442053609107,13908.901097277943,15323.468382201088,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,22037.237191101514,20.00633259207543,0.0,6.870261434402955,-0.14958722997543972,2.8,9.236100170605994,10264.698601293156,-5292.807364364047,1324.3025656476843,-4194.854073259775,-0.0,-0.0,811.2887715023198,0.0,2.0,0.18707290583677855,0.0,0,0.898153412389974,131.99922844444444,-351.6333016824043,0.1888705783328916,9.176098770827306,0.002679849909916654,-79.25279569216906,1.2220458731047514,1.029451916624624,-5460.671150105116,167.86378574106897,0.5011532350877852,1926.413151439751,-602.1105857920666
