Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.771120468157267,51.666666666666686,43.496666666666684,1909.957626026716,0,4.3395979753923495,0.0,50.341075840484024,0.0,0.0,0.0,40.02816062420969,44.574455612296916,50.42275378753891,18.02302839823884,12.43753247303448,21.963174558847662,0.0,-2.7259207889509067,-2.2318964089544324,2.8,9.236100170605994,779.0388899698413,1552.7347099575798,521.8074491590531,-1133.6380125599344,-0.0,-0.0,310.909500841769,0.0,2.0,0.04539304248469435,0.0,0,1.1953074980440912,131.99922844444444,5.143688098778668,0.1816038646962727,10.296654125322153,0.0029157303005764505,24.39897240747237,1.2102346741691625,0,0,53.94274521347419,0.09351363094652103,613.2312296431214,-91.42378048406832
2025-01-01 00:01:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.743414481266846,51.666666666666686,43.496666666666684,1912.5621034530952,0,4.344306420696982,0.0,50.33317110767709,0.0,0.0,0.0,39.991219308355795,44.57108504210193,50.41867594225684,18.033530424133243,12.43753247303448,21.979945959596414,0.0,-2.5357148958494258,-2.1775413814661455,2.8,9.236100170605994,776.0513257925369,1550.723862319676,512.9610564026573,-1135.109796108949,-0.0,-0.0,310.909500841769,0.0,2.0,0.0454122312356464,0.0,0,1.1958127838023398,131.99922844444444,3.6279074704889105,0.18196301173087176,10.329101631900299,0.002915970667789331,24.33009707126817,1.2137007752751898,0,0,51.93189757557045,0.0933362925977806,605.4566833418273,-92.49562693917
2025-01-01 00:02:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.716486349469875,51.666666666666686,43.496666666666684,1913.1533276211076,0,4.345509524376382,0.0,50.32527690612827,0.0,0.0,0.0,39.9553151326265,44.56771758254946,50.4146008361811,18.044024547922,12.43753247303448,21.996174036206167,0.0,-2.349119837311591,-2.1250254307100374,2.8,9.236100170605994,773.1371621580652,1548.936529164711,504.3458757003618,-1136.5346252434963,-0.0,-0.0,310.909500841769,0.0,2.0,0.04543079542452379,0.0,0,1.1963016233457067,131.99922844444444,2.1385729705644483,0.1817977947797547,10.335902433811977,0.002916209671968961,24.262502538348855,1.213633867156887,0,0,50.14456442060528,0.09316463378517686,597.9669906251578,-93.62111492479603
2025-01-01 00:03:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.69030299835955,51.666666666666686,43.496666666666684,1913.7821201353747,0,4.3467778775587025,0.0,50.31739307173473,0.0,0.0,0.0,39.920403997812734,44.56435314630715,50.41052839427922,18.054510633805563,12.43753247303448,22.011881915193076,0.0,-2.165933507367662,-2.0741358300005617,2.8,9.236100170605994,770.2749681518494,1547.1838397752222,496.77372189842674,-1137.9144601622943,-0.0,-0.0,310.909500841769,0.0,2.0,0.045448761790737445,0.0,0,1.1967747207869066,131.99922844444444,0.656213883146668,0.18163847156252833,10.343182562301504,0.002916448025280511,24.196039895364024,1.2135691056806486,0,0,48.391875031116456,0.09299798873438453,590.7297400922932,-93.95601819386648
2025-01-01 00:04:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.66483447069825,51.666666666666686,43.496666666666684,1914.389793027489,0,4.348009313500923,0.0,50.30951944695442,0.0,0.0,0.0,39.886445960931,44.56099164975601,50.406458544683915,18.064988552488593,12.43753247303448,22.02709053864112,0.0,-1.9860005988731309,-2.024607492254097,2.8,9.236100170605994,767.9437096162611,1545.4857407833367,489.49242412785463,-1139.2510752704716,-0.0,-0.0,310.909500841769,0.0,2.0,0.04546615455059099,0.0,0,1.1972327137991976,131.99922844444444,-0.3384295442643701,0.18148479364042422,10.350194418143158,0.002916685738351958,24.130665874945194,1.2135064040583183,0,0,46.69377603923123,0.0928355140864625,583.705500080413,-94.21307595255834
2025-01-01 00:05:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.640017393234764,51.666666666666686,43.496666666666684,1914.9782063605876,0,4.349207073145249,0.0,50.301655880194474,0.0,0.0,0.0,39.85335652431302,44.55763301264045,50.402391218394804,18.075458180568457,12.43753247303448,22.04184431523186,0.0,-1.809191125033159,-1.976275928900795,2.8,9.236100170605994,766.2961942902095,1543.841274116091,482.61566792247686,-1140.5483143220251,-0.0,-0.0,310.909500841769,0.0,2.0,0.04548302472890211,0.0,0,1.1976769459882037,131.99922844444444,-0.688705818762406,0.18133625457295782,10.356961700710006,0.0029169228214082333,24.066289338902493,1.2134455790950267,0,0,45.049309371985444,0.09267669078439784,576.8695007182696,-94.25383279579275
2025-01-01 00:06:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.61577970582812,51.666666666666686,43.496666666666684,1915.5494740319511,0,4.350374838956957,0.0,50.29380223232387,0.0,0.0,0.0,39.82103960777083,44.55427716182002,50.3983263524771,18.085919407048042,12.43753247303448,22.05619376120941,0.0,-1.6353942354037303,-1.928985796584742,2.8,9.236100170605994,764.726852026902,1542.249343126645,476.0765545691259,-1141.8105673556925,-0.0,-0.0,310.909500841769,0.0,2.0,0.04549943029676082,0.0,0,1.1981089438715313,131.99922844444444,-0.9957950484025915,0.1811922827513776,10.363511340714709,0.002917159283819285,24.00280670761343,1.2133864225843636,0,0,43.45737838253942,0.0925210258595314,570.1985401360203,-94.12198556689435
2025-01-01 00:07:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.592095857060087,51.666666666666686,43.496666666666684,1916.164129679488,0,4.351617999700845,0.0,50.28595837836038,0.0,0.0,0.0,39.78946114274678,44.55092403224468,50.394263890893306,18.096372135022836,12.43753247303448,22.070156745617123,0.0,-1.4645132361148967,-1.8826065639795948,2.8,9.236100170605994,763.2679049320595,1540.707831202437,469.82638247473903,-1143.0393600333016,-0.0,-0.0,310.909500841769,0.0,2.0,0.045515391870031285,0.0,0,1.1985292503142468,131.99922844444444,-1.2259494656359493,0.18105266930275626,10.370614333656878,0.002917395133982053,23.94018108591729,1.2133288605936319,0,0,41.915866458331436,0.09236810453756439,563.6731565278938,-93.84677405315472
2025-01-01 00:08:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.5689389692672,51.666666666666686,43.496666666666684,1916.7034315852354,0,4.352729833271493,0.0,50.278124198393314,0.0,0.0,0.0,39.758585292356265,44.54757356173316,50.39020378005176,18.10681627260381,12.43753247303448,22.08375207195268,0.0,-1.2964621856092378,-1.8370282316888498,2.8,9.236100170605994,761.8774061631933,1539.2141853070154,463.8235943020949,-1144.2363042729953,-0.0,-0.0,310.909500841769,0.0,2.0,0.04553093111655876,0.0,0,1.1989384358825967,131.99922844444444,-1.4195039948084087,0.1809171960867398,10.376758303041644,0.0029176303799490198,23.878373679802337,1.2132728153910555,0,0,40.42222056290974,0.09221757688595915,557.2769733870596,-93.4533790849647
2025-01-01 00:09:00,3.2842319534810605,0.1259885016691399,0.0,0.05473719922468434,0.002099808361152332,0.0,0.014655319932675041,0.001,0.17316095521505254,3.095415678333333,0.0,0.0002506236243534685,0.12573787804478645,0.0,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0028309256213450294,0.0,On,0.005912197155665006,0,On,0.005912197155665006,0.0,On,0.005510451155337223,0,On,0.13258575357718613,0.09943931518288956,On,On,1995.7796419865347,22.222222222222285,1.0000000000000002,1099.6360363467986,2.984050053333333,0.11136562500000001,1,2984.0500533333334,2984.0500533333334,Off,0.0,0.0,30.54628632890217,51.666666666666686,43.496666666666684,1917.2277972141967,0,4.353815524699202,0.0,50.270299577839246,0.0,0.0,0.0,39.72838177186956,44.54422569112178,50.386145968933704,18.117251733173234,12.43753247303448,22.096995623254728,0.0,-1.1311634882671493,-1.7921584823065106,2.8,9.236100170605994,760.5232368990404,1537.7656891914278,458.03266135368995,-1145.4027586327234,-0.0,-0.0,310.909500841769,0.0,2.0,0.045546066350978506,0.0,0,1.199336982844781,131.99922844444444,-1.6072188992332208,0.18078567816149768,10.382712783262118,0.002917865029410005,23.81735167105957,1.2132182212860942,0,0,38.97372444732225,0.09206914901617236,550.9962571670386,-92.96359581334869
