Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,40.98252205199455,51.666666666666686,43.496666666666684,1644.3384123643536,0,3.895456594731704,0.0,51.45793732002674,0.0,0.0,0.0,53.64336273599274,44.82789650122679,51.492780908751925,15.275031987366745,12.43753247303448,14.889081181332216,0.0,-2.8038469561975243,2.3447535875509016,-2.6111327166608422,2.8,9.236100170605994,-100.33150582351385,188.04750598620993,99.21950561192475,1819.5511472289566,-967.8695991318675,-0.0,-0.0,774.2851640841934,0.0,4.0,0.06143359112691917,0.0,0.0,0.2949480538574343,263.9984568888889,93.25292922416025,0.2659883907116357,6.78478238085841,0.002739603737548986,136.12265510569105,1.2400892057498947,0,0,188.04750598620993,0.12685947273215997,75.26396364796243,23.955541963962318,0.2924483303463612,2062.3149211465015,-242.76377391754494
2025-01-01 00:01:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.010254367478026,51.666666666666686,43.496666666666684,1645.2039381165005,0,3.897196632275249,0.0,51.44781203768721,0.0,0.0,0.0,53.680339156637366,44.823379463302075,51.48758133099228,15.284613375733386,12.43753247303448,14.865717714531577,0.0,-2.623855031004201,2.4416742118975407,-2.5407839996706714,2.8,9.236100170605994,-107.40299941686106,184.10791137149226,83.02225874645568,1784.0069385808802,-965.1554593994141,-0.0,-0.0,774.2851640841934,0.0,4.0,0.06137993994717062,0.0,0.0,0.294690469842505,263.9984568888889,83.46729589835965,0.26719062807645017,6.795040696708821,0.002739842353816698,136.14160474508367,1.2438123760894844,0,0,184.10791137149226,0.12685947273215997,59.240486805343934,23.781771941111742,0.29184840599174466,2031.3277032523024,-247.32076467142247
2025-01-01 00:02:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.038097781885554,51.666666666666686,43.496666666666684,1644.4029044618153,0,3.8959244115543012,0.0,51.437687615874474,0.0,0.0,0.0,53.71746370918074,44.81885931177883,51.48243242661416,15.294177258834283,12.43753247303448,14.842272358339482,0.0,-2.448062563786266,2.533960975639507,-2.472786127011319,2.8,9.236100170605994,-114.66328021110888,180.54589697972472,67.60590886579101,1752.2341853349012,-962.4348425703741,-0.0,-0.0,774.2851640841934,0.0,4.0,0.061326084897666944,0.0,0.0,0.2944319070310183,263.9984568888889,73.48639827507188,0.26761797556886074,6.783967304621013,0.0027400802889398753,136.16101781797542,1.2439134558163887,0,0,180.54589697972472,0.12685947273215997,43.98310653496109,23.622802330829913,0.291267354904626,2001.472465108683,-249.23827977378218
2025-01-01 00:03:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.06604444488511,51.666666666666686,43.496666666666684,1643.554191327895,0,3.8945656926668,0.0,51.42756402461204,0.0,0.0,0.0,53.75472592651348,44.81433603418363,51.47743596786246,15.30372363280458,12.43753247303448,14.818750611799851,0.0,-2.276268286428211,2.621845858307153,-2.4067873122997474,2.8,9.236100170605994,-121.7555603644783,176.99834985782815,52.93014963100311,1721.7989700528979,-959.7084190298677,-0.0,-0.0,774.2851640841934,0.0,4.0,0.06127203845053522,0.0,0.0,0.29417242530274884,263.9984568888889,63.667694581196116,0.268047401121384,6.772283699302212,0.0027403182386541085,136.18074366063252,1.244014881995078,0,0,176.99834985782815,0.12685947273215997,29.453470642349345,23.476678988653767,0.2907022753601239,1972.5858837045928,-250.7869136516946
2025-01-01 00:04:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.09408312372423,51.666666666666686,43.496666666666684,1642.7461214571044,0,3.8932801479231562,0.0,51.41744123548623,0.0,0.0,0.0,53.79211083163231,44.809809618924426,51.472436937621666,15.31325249529333,12.43753247303448,14.795160349815443,0.0,-2.1083118383352994,2.7055490587539244,-2.3425622756136124,2.8,9.236100170605994,-125.51163122529277,173.51911929577273,38.95193454625356,1693.1356584656546,-956.9771313539105,-0.0,-0.0,774.2851640841934,0.0,4.0,0.061217818553931574,0.0,0.0,0.29391211082836693,263.9984568888889,57.18033604442439,0.2684787769566548,6.7611203915431455,0.0027405562034372934,136.2007606520777,1.244116620765946,0,0,173.51911929577273,0.12685947273215997,15.615174582524132,23.336759963729428,0.2901513262998377,1944.5618969839143,-251.42623851825974
2025-01-01 00:05:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.122161933889046,51.666666666666686,43.496666666666684,1641.8924386474807,0,3.8919118120235465,0.0,51.407319222304835,0.0,0.0,0.0,53.82954924518539,44.80528005567028,51.46743532304362,15.322763846122243,12.43753247303448,14.77153799225694,0.0,-1.9440551094479455,2.7852790790061825,-2.279895824932386,2.8,9.236100170605994,-125.35242572369208,170.1161167340331,-546.9272621406955,1665.9312924405588,-954.2452174558767,-0.0,-0.0,774.2851640841934,0.0,4.0,0.061163508814110326,0.0,0.0,0.2936513650088252,263.9984568888889,54.60762764799128,0.2689114791180342,6.749373309203497,0.002740794183735897,136.22096670358155,1.2442185148939848,0,0,170.1161167340331,0.12685947273215997,-570.1305294454372,23.20326730474179,0.28961273717770236,1917.3001944321143,-251.36890199155556
2025-01-01 00:06:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.15022366303944,51.666666666666686,43.496666666666684,1641.0826531247662,0,3.890622557497282,0.0,51.39719796902298,0.0,0.0,0.0,53.866964884052585,44.800747339915524,51.4624311162635,15.332257695211629,12.43753247303448,14.747923706433582,0.0,-1.7833763514356493,2.8000000000099283,-2.2186081065913745,2.8,9.236100170605994,-123.84900125545624,166.79569344933952,23.183165221154397,1639.9896361882581,-951.5173288862892,-0.0,-0.0,774.2851640841934,0.0,4.0,0.061109201555978064,0.0,0.0,0.2933906311040897,263.9984568888889,53.38316354663962,0.2693448139938183,6.738188178784409,0.002741032179847978,136.2412488171271,1.2443203908445901,0,0,166.79569344933952,0.12685947273215997,-1.6414373142572654e-09,23.183165222795836,0.2890850270596487,1890.7170214153357,-250.72738522707738
2025-01-01 00:07:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.17824709491017,51.666666666666686,43.496666666666684,1640.273521324394,0,3.8893341880481707,0.0,51.38707747077637,0.0,0.0,0.0,53.90432945988022,44.7962114735779,51.457424314909986,15.341734063613798,12.43753247303448,14.72433239214782,0.0,-1.6261656641069373,2.8751536085616616,-2.1585469271214794,2.8,9.236100170605994,-122.24423208553964,163.5607832785613,10.623418504101574,1615.1389024671132,-948.7951822613447,-0.0,-0.0,774.2851640841934,0.0,4.0,0.0610549310788632,0.0,0.0,0.2931300737882416,263.9984568888889,52.265786091611716,0.26977852291307536,6.727011485824813,0.0027412701919073026,136.26156490659818,1.2444221841957996,0,0,163.5607832785613,0.12685947273215997,-12.424828198795643,23.048246702897217,0.28856694163908536,1864.7415861325771,-249.60268366546384
2025-01-01 00:08:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.20622791156756,51.666666666666686,43.496666666666684,1639.4215132113925,0,3.8879679395579094,0.0,51.37695772685578,0.0,0.0,0.0,53.94163721542341,44.79167246095715,51.45241491865985,15.351192976487651,12.43753247303448,14.700767086696272,0.0,-1.4723220122965086,2.9467599263666684,-2.0995840940088333,2.8,9.236100170605994,-120.69237020428835,160.41229648537944,-1.3378363935412452,1591.2320608601483,-946.079119939096,-0.0,-0.0,774.2851640841934,0.0,4.0,0.06100070442161135,0.0,0.0,0.2928697268553953,263.9984568888889,51.10158565061437,0.27021255225824664,6.71528603603028,0.0027415082199864103,136.28190624533215,1.2445238817711155,0,0,160.41229648537944,0.12685947273215997,-24.26319782206658,22.925361428525335,0.2880574241154179,1839.3142722857083,-248.08221142555993
2025-01-01 00:09:00,0.7102887831422451,0.2550589391898289,0.0,0.011838146385704084,0.004250982319830482,0.0,0.16706107566548423,0.001,0.5322277074767607,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.2518916488988088,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.03464309210526316,0.0,On,0.003861218490578134,0.0,On,0.12855676506964292,0,On,0.02773001930489141,0,On,0.29621313771642277,0.22215985328731702,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22176.104835555558,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,2073.478111111111,Off,0.0,0.0,41.23416372225324,51.666666666666686,43.496666666666684,1638.6140910180136,0,3.8866820571342653,0.0,51.36683873740956,0.0,0.0,0.0,53.978884963004326,44.78713030683787,51.44740292762051,15.360634459801267,12.43753247303448,14.677229474779107,0.0,-1.3217511942654716,3.01499653014173,-2.041612075932721,2.8,9.236100170605994,-119.09368344843432,157.34983440330024,-12.73573851970555,1568.143734617198,-943.3693270606722,-0.0,-0.0,774.2851640841934,0.0,4.0,0.060946525517529104,0.0,0.0,0.2926096091897004,263.9984568888889,49.99047952804452,0.27064687166348944,6.7041313641177425,0.0027417462641451023,136.30226790101983,1.2446254762344018,0,0,157.34983440330024,0.12685947273215997,-35.544466878878524,22.808728359172974,0.2875555883752667,1814.38502843369,-246.24129381649215
