Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.5412131279369131,0.3084569443537657,0.0,0.009020218798948551,0.005140949072562762,0.0,0.0995333654013186,0.0,0.4416797625355945,0.0,0.0,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,10709.697613333334,Off,0.0,0.0,33.72479488387978,51.666666666666686,46.10666666666668,0.0,50.41937239668695,0.0,0.0,0.0,33.72479488387978,48.26770956654272,50.41937239668695,47.191878151470604,12.43753247303448,19.361657921304676,-0.13834207869538062,-2.8051580962111657,-0.18571677529961472,2.8,9.236100170605994,-1214.2079005937203,52.445246626553825,1438.1353525781788,-1733.5668826564104,-0.0,-0.0,604.7226760550374,0.0,1.334,0.08031915665758096,0.0,0,1.3954300993998872,88.04348537244445,-85.36369399234715,0.21355534285687905,9.129653229312183,0.002920824094183997,-68.6460362772981,1.2209944099275067,0,0,52.445246626553825,0.3624556363775999,1410.3312133773752,27.804139200803498
2025-01-01 00:01:00,0.5412131279369131,0.3084569443537657,0.0,0.009020218798948551,0.005140949072562762,0.0,0.0995333654013186,0.0,0.4416797625355945,0.0,0.0,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,10709.697613333334,Off,0.0,0.0,33.879229070086836,51.666666666666686,46.10666666666668,0.0,50.41598553810842,0.0,0.0,0.0,33.879229070086836,48.26486977109134,50.41598553810842,47.189311887582804,12.43753247303448,19.226066777930654,-0.2739332220694024,-2.6205950340543804,0.09894917962213307,2.8,9.236100170605994,-1193.4978743938498,51.11288533176621,1303.1846527151376,-1712.1639337561423,-0.0,-0.0,604.7226760550374,0.0,1.334,0.07998234048600225,0.0,0,1.3895784017060318,88.04348537244445,-86.05661669274451,0.21596303308398263,9.090371860290631,0.0029203818382500624,-67.92827683516435,1.225129317082346,0,0,51.11288533176621,0.3624556363775999,1275.8665900301955,27.318062684942046
2025-01-01 00:02:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,34.02915155522346,51.666666666666686,46.10666666666668,0.0,50.41258480251365,0.0,0.0,0.0,34.02915155522346,48.26201697151345,50.41258480251365,47.186733056013345,12.43753247303448,19.09434025916082,-0.40565974083923706,-2.441101747154247,0.36113453463492023,2.8,9.236100170605994,6511.366501641414,3474.24710480618,1178.9342981142297,-1691.4730892313767,-0.0,-0.0,604.7226760550374,0.0,1.334,0.07965456307448576,0.0,0,1.3838837394988144,88.04348537244445,-86.93405998092243,0.2177116460614307,9.028989450215203,0.0029199456835628116,-67.22922804522256,1.225681855641216,0,0,49.91140377152169,0.3624556363775999,1152.0208880788255,26.913410035404198
2025-01-01 00:03:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.873367087533104,51.666666666666686,46.10666666666668,0.0,50.40917059795656,0.0,0.0,0.0,33.873367087533104,48.2591515477167,50.40917059795656,47.18414202259677,12.43753247303448,19.225346310160898,-0.27465368983915894,-1.9295369392846808,0.6026595749622177,2.8,9.236100170605994,6480.4471188579255,3470.677327377299,1064.4755287060518,-1712.050492990307,-0.0,-0.0,604.7226760550374,0.0,1.334,0.07998054923984416,0.0,0,1.3895472813742398,88.04348537244445,-97.27603900548138,0.2159088650751172,9.089043379150379,0.00291951421193189,-67.70445726090415,1.2251329772665416,0,0,46.34162634264127,0.3624556363775999,1037.9342787916353,26.54124991441659
2025-01-01 00:04:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.723112298570435,51.666666666666686,46.10666666666668,0.0,50.40577056448719,0.0,0.0,0.0,33.723112298570435,48.25629924174689,50.40577056448719,47.18156358037673,12.43753247303448,19.35161293797285,-0.14838706202720786,-1.4314915648372644,0.8251914089431358,2.8,9.236100170605994,6453.121946457264,3467.406063552493,959.0209502925327,-1731.977640179477,-0.0,-0.0,604.7226760550374,0.0,1.334,0.08029422438547158,0.0,0,1.394996936946549,88.04348537244445,-104.67406421697211,0.2141857301082123,9.147084702702406,0.0029190794956467756,-68.15590738684492,1.2246044349722203,0,0,43.070362517835065,0.3624556363775999,932.819287969404,26.201662323128765
2025-01-01 00:05:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.57800346506798,51.666666666666686,46.10666666666668,0.0,50.40238420198476,0.0,0.0,0.0,33.57800346506798,48.25345958797756,50.40238420198476,47.17899728097396,12.43753247303448,19.473469473486297,-0.026530526513759867,-0.9462179671004793,1.0302617434274466,2.8,9.236100170605994,6428.667709420573,3464.2314137845474,861.8438435732389,-1751.2962538792142,-0.0,-0.0,604.7226760550374,0.0,1.334,0.080596463919905,0.0,0,1.4002479151829743,88.04348537244445,-109.80968755392604,0.21253603959290795,9.202627459712609,0.0029186416918182945,-68.58522717721283,1.2240947989860294,0,0,39.89571274988934,0.3624556363775999,835.9523995714113,25.89144400182755
2025-01-01 00:06:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.437710391609315,51.666666666666686,46.10666666666668,0.0,50.399011045027514,0.0,0.0,0.0,33.437710391609315,48.250632153093676,50.399011045027514,47.17644270712676,12.43753247303448,19.591199274447693,0.0,-0.4730898870151667,1.219277615081436,2.8,9.236100170605994,6405.724737431015,3461.1844641946086,772.2769026430499,-1770.0420480143032,-0.0,-0.0,604.7226760550374,0.0,1.334,0.08088802202199212,0.0,0,1.4053133188588465,88.04348537244445,-114.00686540839553,0.2109544346545887,9.255830568252268,0.00291820094680459,-68.99384219755783,1.2236028381744195,0,0,36.84876315995038,0.3624556363775999,746.6689866828589,25.60791596019097
2025-01-01 00:07:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.30197588774474,51.666666666666686,46.10666666666668,0.0,50.395650658052745,0.0,0.0,0.0,33.30197588774474,48.24781653158429,50.395650658052745,47.17389946835007,12.43753247303448,19.705022981181656,0.0,-0.01155401335355466,1.3935316466198608,2.8,9.236100170605994,6383.661348895712,3458.2680787071613,689.7070932207182,-1788.241804234947,-0.0,-0.0,604.7226760550374,0.0,1.334,0.08116949161354964,0.0,0,1.410203449139965,88.04348537244445,-117.87049772305511,0.20943657320019615,9.307507799069711,0.0029177573976720424,-69.38288432476821,1.2231275888033466,0,0,33.93237767250318,0.3624556363775999,664.3584668878843,25.34862633283388
2025-01-01 00:08:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.17058263502828,51.666666666666686,46.10666666666668,0.0,50.39230262875586,0.0,0.0,0.0,33.17058263502828,48.24501233959518,50.39230262875586,47.171367195014845,12.43753247303448,19.815126986889194,0.0,0.43888458801425045,1.554211423182368,2.8,9.236100170605994,6362.314318253968,3455.481891314196,613.5712189073888,-1805.9176806667333,-0.0,-0.0,604.7226760550374,0.0,1.334,0.0814413761202323,0.0,0,1.4149270523247313,88.04348537244445,-121.54165193301179,0.20797871526321957,9.357082513230711,0.0029173111741429385,-69.75332140170988,1.2226682343906226,0,0,31.146190279538015,0.3624556363775999,588.4598732505606,25.111345656828256
2025-01-01 00:09:00,0.9409021904369131,0.3084569443537657,0.39505945945945947,0.01568170317394855,0.005140949072562762,0.006584324324324324,0.0995333654013186,0.0,0.4416797625355945,0.3996890625,0.39505945945945947,0.0,0.0,0.3084569443537657,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.019015860745614035,0.0,On,0.0037792879310078425,0.0,On,0.04812399391259834,0,On,0.028614222812098387,0.0,On,0.03040383673057345,0,On,0.35048481791886077,0.2628636134391455,On,0,0,Off,On,9606.313718498344,20.000000000000057,0.925,1503.072957334989,11.578051473873874,0.3996890625,1,10709.697613333334,10709.697613333334,Off,0.0,0.0,33.04333209032028,51.666666666666686,46.10666666666668,0.0,50.388966564485145,0.0,0.0,0.0,33.04333209032028,48.242219211571395,50.388966564485145,47.16884553511453,12.43753247303448,19.921681566364413,0.0,0.8786743562636632,1.7024080938345016,2.8,9.236100170605994,6341.652004629848,3452.8224561916354,543.3518365096534,-1823.0899805359322,-0.0,-0.0,604.7226760550374,0.0,1.334,0.08170413503313101,0.0,0,1.4194921114115393,88.04348537244445,-125.03166568793293,0.2065774625014591,9.405347014051161,0.0029168623996739685,-70.10603933797441,1.2222240293267617,0,0,28.48675515697741,0.3624556363775999,518.4577913155327,24.894045194120604
