occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0,0,0,0
1.0,0.862,0.89,0.0,0.615,0.0,0.205,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.14,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.0466,0,0,0,0
1.0,0.784,0.559,0.0,0.528,0.0,0.0,0,0,0,0
1.0,0.779,0.536,0.0,0.523,0.0,0.0,0,0,0,0
1.0,0.576,0.0505,0.393,0.0809,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.627,0.0217,0.225,0.0519,0.0,0.0835,0,0,0,0
1.0,0.631,0.0221,0.211,0.0521,0.0,0.0,0,0,0,0
1.0,0.631,0.0221,0.211,0.0521,0.0,0.0,0,0,0,0
1.0,0.631,0.0221,0.211,0.0521,0.0,0.167,0,0,0,0
1.0,0.631,0.0305,0.211,0.0967,0.0,0.0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0,0,0,0
1.0,0.733,0.0718,0.014,0.336,0.0,0.0,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,0.0,0.0,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,0.933,0.0,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,1.0,0.0,0,0,0,0
0.533,0.684,0.0605,0.196,0.255,1.0,0.0,0,0,0,0
0.5,0.68,0.0595,0.211,0.248,0.133,0.0,0,0,0,0
0.5,0.68,0.0595,0.211,0.248,0.0,0.501,0,0,0,0
0.5,0.68,0.0595,0.211,0.248,0.0,0.0,0,0,0,0
0.5,0.689,0.0703,0.211,0.261,0.0,0.167,0,0,0,0
0.5,0.69,0.0711,0.211,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0711,0.211,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0711,0.211,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0819,0.211,0.268,0.0,0.417,0,0,0,0
0.5,0.69,0.0827,0.211,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0827,0.211,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0827,0.211,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0911,0.211,0.263,0.0,0.0835,0,0,0,0
0.5,0.69,0.0917,0.211,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0917,0.211,0.262,0.0,0.0835,0,0,0,0
0.5,0.69,0.0917,0.211,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.1,0.211,0.254,0.0,0.0,0,0,0,0
0.967,0.809,0.18,0.014,0.443,0.0,0.0,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.0835,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.25,0,0,0,0
1.0,0.818,0.195,0.0,0.444,0.0,0.0835,0,0,0,0
1.0,0.818,0.196,0.0,0.444,0.933,0.0,0,0,0,0
1.0,0.818,0.196,0.0,0.444,1.0,0.0,0,0,0,0
1.0,0.818,0.196,0.0,0.444,1.0,0.0,0,0,0,0
1.0,0.818,0.22,0.0,0.44,0.133,0.0,0,0,0,0
1.0,0.818,0.222,0.0,0.44,0.0,0.0,0,0,0,0
1.0,0.818,0.222,0.0,0.44,0.0,0.0835,0,0,0,0
1.0,0.818,0.222,0.0,0.44,0.0,0.0,0,0,0,0
0.533,0.698,0.132,0.196,0.261,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.211,0.249,0.0,0.0,0,0,0,0
0.967,0.809,0.227,0.014,0.435,0.0,0.0835,0,0,0,0
1.0,0.818,0.235,0.0,0.448,0.0,0.0,0,0,0,0
1.0,0.716,0.146,0.196,0.284,0.933,0.334,0,0,0,0
1.0,0.709,0.139,0.211,0.272,1.0,0.0,0,0,0,0
1.0,0.709,0.139,0.211,0.272,0.133,0.0,0,0,0,0
1.0,0.709,0.139,0.211,0.272,0.0,0.0,0,0,0,0
1.0,0.901,0.315,0.014,0.593,0.0,0.0,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.0,0.0,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.0,0.0,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.0,0.0,0,0,0,0
1.0,0.969,0.397,0.0,0.804,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.0,0.817,0.0,0.417,0,0,0,0
1.0,0.973,0.402,0.0,0.817,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.0,0.817,0.0,0.0,0,0,0,0
1.0,0.992,0.532,0.0,0.975,0.0,0.167,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.0,0.0,0,0,0,0
1.0,0.975,0.743,0.0,0.978,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0,0,0,0
1.0,0.937,0.924,0.0,0.81,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0,0,0,0
1.0,0.862,0.89,0.0,0.615,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.0,0,0,0,0
1.0,0.719,0.48,0.196,0.344,0.0,0.0,0,0,0,0
1.0,0.709,0.451,0.211,0.326,0.0,0.0,0,0,0,0
