Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,36.79234063976768,51.666666666666686,46.10666666666668,0.0,51.09118225396262,0.0,0.0,0.0,36.79234063976768,49.85227645899663,51.09118225396262,49.232823561513634,12.43753247303448,18.266009219410922,0.0,6.199493845437044,2.8,9.236100170605994,-753.8803792908301,-1512.4638133377637,-1019.666245557918,-0.0,-0.0,298.56268068830457,0.0,2.0,0.05058970258996324,0.0,0.0,0.7064598584593156,131.99922844444444,-32.77681442121657,0.23136158270325327,8.661886222902524,0.0029550365451317725,8.51447134010428,1.2255597393588096,0.3518159123217544,-1558.6456416603464,46.18182832258284
2025-01-01 00:01:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,36.89647814268384,51.666666666666686,46.10666666666668,0.0,51.08543692297621,0.0,0.0,0.0,36.89647814268384,49.84711296223042,51.08543692297621,49.22795098185753,12.43753247303448,18.17132280323135,0.0,6.231926066207579,2.8,9.236100170605994,-744.6812279274666,-1528.3196122959816,-1010.1003082135732,-0.0,-1.1821609952043406,298.56268068830457,0.0,2.0,0.05042380431456568,0.0,5.901300514987299e-05,0.7049672591945485,131.99922844444444,-31.96143940699379,0.23342485738576296,8.64104479672785,0.0029550804721271383,8.711135486796053,1.2295392253905344,0.35191853981139615,-1573.9746092345465,45.65499693856475
2025-01-01 00:02:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,36.99745978044122,51.666666666666686,46.10666666666668,0.0,51.07967624387609,0.0,0.0,0.0,36.99745978044122,49.84193485063813,51.07967624387609,49.22306415401916,12.43753247303448,18.079334203063528,0.0,6.26226796151474,2.8,9.236100170605994,-733.8064569745296,-1543.1187686556163,-1000.841561384944,-0.0,-0.24259205981049806,298.56268068830457,0.0,2.0,0.05026240318412955,0.0,1.218300717107605e-05,0.7020594157802641,131.99922844444444,-31.284984218079686,0.2347818597435602,8.59807051423704,0.0029551252682756724,9.10087507674163,1.2299275582272562,0.35201452565165264,-1588.323324752764,45.20455609714755
2025-01-01 00:03:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.09536993241506,51.666666666666686,46.10666666666668,0.0,51.07390068588733,0.0,0.0,0.0,37.09536993241506,49.836742567119,51.07390068588733,49.21816350773484,12.43753247303448,17.989971338883873,0.0,6.290703469929417,2.8,9.236100170605994,-724.0905318033859,-1556.988629779633,-991.8798458397871,-0.0,-0.0,298.56268068830457,0.0,2.0,0.05010539146103905,0.0,0.0,0.6996966961145358,131.99922844444444,-30.7733666519035,0.2361088760130321,8.556468120566262,0.0029551720538447453,9.415940611889866,1.2303050389980648,0.35210445693189374,-1601.7772903147422,44.78866053510922
2025-01-01 00:04:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.19037148272958,51.666666666666686,46.10666666666668,0.0,51.068110705687694,0.0,0.0,0.0,37.19037148272958,49.83153654273032,51.068110705687694,49.21324946125164,12.43753247303448,17.90309464430599,0.0,6.317388289268194,2.8,9.236100170605994,-713.7123771573837,-1570.0166835925204,-983.198449684455,-0.0,-0.0,298.56268068830457,0.0,2.0,0.049952541493217366,0.0,0.0,0.6975622228698909,131.99922844444444,-29.07660816123331,0.23740728436905462,8.515533893147602,0.002955220444243825,9.699640492209994,1.2306722379105486,0.3521888305258857,-1614.4089021592133,44.39221856669292
2025-01-01 00:05:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.28255996923369,51.666666666666686,46.10666666666668,0.0,51.06230673573948,0.0,0.0,0.0,37.28255996923369,49.82631718566997,51.06230673573948,49.20832241063522,12.43753247303448,17.81862241383904,0.0,6.342457273623153,2.8,9.236100170605994,-702.9900191778314,-1582.259055504444,-974.7866781833976,-0.0,-0.0,298.56268068830457,0.0,2.0,0.04980372594309264,0.0,0.0,0.6954840882477173,131.99922844444444,-26.766021682738455,0.23867767224807906,8.475860239631146,0.0029552702777598467,9.975466693959802,1.2310294821417849,0.35226807666977134,-1626.280898292745,44.021842788300994
2025-01-01 00:06:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.37203433969056,51.666666666666686,46.10666666666668,0.0,51.05648919429964,0.0,0.0,0.0,37.37203433969056,49.82108489072789,51.05648919429964,49.20338273894201,12.43753247303448,17.736469997885752,0.0,6.366029806058133,2.8,9.236100170605994,-692.4598610458596,-1593.7719127779294,-966.6337205272545,-0.0,-0.0,298.56268068830457,0.0,2.0,0.049658811178140985,0.0,0.0,0.6934604261367502,131.99922844444444,-24.38882120690974,0.2399207206404821,8.437403098534855,0.0029553215135059404,10.2436806153503,1.2313771125283783,0.3523425760857543,-1637.4488631116817,43.67695033375233
2025-01-01 00:07:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.45890398016603,51.666666666666686,46.10666666666668,0.0,51.050658484913086,0.0,0.0,0.0,37.45890398016603,49.81584003880751,51.050658484913086,49.198430815754726,12.43753247303448,17.656543761061695,0.0,6.388212324315896,2.8,9.236100170605994,-682.290205766424,-1604.6059276142812,-958.7280511486304,-0.0,-0.0,298.56268068830457,0.0,2.0,0.049517646598313744,0.0,0.0,0.6914891334827387,131.99922844444444,-22.124835306098177,0.24113728675082513,8.400113402599079,0.0029553741119924793,10.504575696591544,1.2317155092266174,0.3524126680712708,-1647.9623936571372,43.356466042856006
2025-01-01 00:08:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.54327723617139,51.666666666666686,46.10666666666668,0.0,51.04481499486149,0.0,0.0,0.0,37.54327723617139,49.81058299546088,51.04481499486149,49.19346699576058,12.43753247303448,17.578750947111068,0.0,6.40910051836803,2.8,9.236100170605994,-672.4913857279048,-1614.8068822060695,-951.0584080859326,-0.0,-0.0,298.56268068830457,0.0,2.0,0.0493800820331767,0.0,0.0,0.689568113230783,131.99922844444444,-19.995658330276896,0.24232825579222106,8.363322783068948,0.00295542803528486,10.758444244522323,1.2320450499563171,0.35247865752882046,-1657.8661167045857,43.059234498516005
2025-01-01 00:09:00,0.22481774441159125,0.13275397359908658,0.0,0.003746962406859854,0.002212566226651443,0.0,0.012021585765845857,0.0,0.16279615864574537,0.0,0.05,0.0,0.0,0.11817064026575325,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.003412116228070175,0.0,On,0.008609469537775681,0,On,0.005235304958074333,0,On,0.11791845953901534,0.08843884465426148,On,0,0,Off,Off,0.0,17.5555555555556,0.0,0.0,0.0,0.0,0,0.0,6580.9118,Off,0.0,18.5555555555556,0,0.0,0.05,0.0,0.0,0,0,0,3701.4881333333333,Off,0.0,0.0,37.62525696570493,51.666666666666686,46.10666666666668,0.0,51.03895909531807,0.0,0.0,0.0,37.62525696570493,49.80531411103464,51.03895909531807,49.18849161889293,12.43753247303448,17.503003500981915,0.0,6.4287810134115615,2.8,9.236100170605994,-663.0403679751903,-1624.4164685497522,-943.6141592456208,-0.0,-0.0,298.56268068830457,0.0,2.0,0.04924597456348827,0.0,0.0,0.6876953695852566,131.99922844444444,-17.988889417874034,0.2434944805714555,8.3276093076696,0.0029554832469926994,11.005564437273648,1.2323660937295957,0.3525408203525528,-1667.2004669079097,42.78399835815758
