Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 04:00:00,8.287075632648595,5.143103375372126,0.0,8.287075632648595,5.143103375372127,0.0,0.07317918862237147,0.38060401738911004,7.783292426637113,0.05,0.0,0.0,0.10100979512329682,5.027510246915497,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.01787935855263158,0.0,0.03316917157154298,0.0,0.02213065849819691,0.0,0.003447505970078803,0.0,0.10078547983396184,0.07558910987547136,0.12634252120073686,0.0,0.11613426338723191,0.0,0.0,0.0,8447.779707356312,19.444444444444457,1.7302631699669277,2184.910051352759,2.973111893822298,0.41803125000000013,1.0,10214.658508709072,5822.509225894258,4.392149282814815,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,43.24380598122614,51.66666666666668,46.10666666666668,0.0,48.17487977207838,0.0,0.0,0.0,67.56844684566585,47.012265334647296,48.17487977207838,46.43095811593176,12.43753247303448,18.360641215075784,-0.5842341645007523,0.8141404107967516,0.55,9.236100170605994,2045.1716104790487,-2452.2171734339,-5007.593261177634,0.0,0.0,402.2502805018021,0.0,3.0,0.2134540785714011,0.0,0.0,2.9965784808225817,197.99884266666666,-107.70917473017029,0.20725883129818473,8.377157531801329,0.0026545566789456542,38.40751810574649,1.2283884627230042,0.0,0.0,53.81252075941182
2025-01-01 05:00:00,8.382294879630399,5.111546348888882,0.04018965479448729,8.382294879630399,5.111546348888882,0.04018965479448729,0.11322014517584252,0.48869741132866373,7.730377323125892,0.05,0.04018965479448729,0.0,0.10363254893570195,4.993330466619847,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.019922713815789476,0.0,0.055960361976938884,0.0,0.03733706938311416,0.0,0.004862284363460198,0.0,0.1042824849171687,0.07821186368787651,0.18010529617977383,0.0,0.1655530988711604,0.0,0.0,0.0,8285.120792200372,19.444444444444457,1.7004180250174687,2142.84040572068,2.9201967903110773,0.41803125000000013,1.0,10009.929947921051,5617.780665106237,4.392149282814815,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,928.0585185185186,0.0,46.75926949432173,51.66666666666668,46.10666666666668,0.0,50.24225212750308,0.1417886698659766,389.8093367273068,928.0585185185186,73.0613585848777,49.295972808888884,50.242388791734776,48.822696485350086,12.43753247303448,18.33030303391738,-0.6141414105270769,-0.11640323127227431,-0.25000000000000006,9.236100170605994,1692.985580982496,-1080.4711462579785,-5276.599687153647,0.0,0.0,446.95823017603686,0.0,3.0,0.21559870768858713,0.0,0.0,3.0266858908328116,197.99884266666666,-105.46959580019278,0.21080275885093075,8.40767741480203,0.0026963994083291434,44.17659224306716,1.2278686276263424,0.0,0.0,55.881275631328805
2025-01-01 06:00:00,7.566153524828659,4.33133835119387,0.03215172383558983,7.566153524828659,4.33133835119387,0.03215172383558983,0.3096322121108304,0.7073889122087352,6.499132400509093,0.05,0.03215172383558983,0.0,0.11873020412018236,4.198024813740354,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.24241147258684997,0.0,0.022476907894736844,0.0,0.17223748321125765,0.0,0.11491782100483589,0.0,0.012602910975523926,0.0,0.12252967810774808,0.09189725858081105,0.15322390869025534,0.0,0.14084368112919615,0.0,0.0,0.0,7412.136843149676,19.444444444444457,1.7878298166083304,1917.0542854588625,2.9807604802868704,0.41803125000000013,1.0,8911.159878608538,5810.819208386315,3.1003406702222223,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,742.4468148148148,0.0,47.357189417494425,51.66666666666668,46.10666666666668,0.0,51.36705190760021,0.2909204246364344,789.5627891874531,742.4468148148148,73.99560846483503,49.65288625117051,51.36705190760021,48.79580342295567,12.43753247303448,18.288544177792936,-0.6559002666515206,0.4877729703188742,0.3,9.236100170605994,1625.2968323953717,-1533.7986817086262,-5041.718595862692,0.0,0.0,844.5000873749206,0.0,3.0,0.213264551382791,0.0,0.0,2.9939178003674645,197.99884266666666,-107.19413363659724,0.21001070975624098,8.368052469481334,0.0026791882924101364,-63.59344580493254,1.2280571996046608,0.0,0.0,53.27548713144863
2025-01-01 07:00:00,8.20523228657672,4.962588523013315,0.08037930958897457,8.20523228657672,4.962588523013315,0.08037930958897457,0.3810102221245794,0.308393124224525,7.465828940227616,0.05,0.08037930958897457,0.0,0.12555609728092346,4.822449092399058,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.020944391447368423,0.0,0.21596965668286605,0.0,0.144096173994345,0.0,0.017167061961068503,0.0,0.12974785526667507,0.09731089145000626,0.06451532997484435,0.0,0.05930260258071417,0.0,0.0,0.0,8033.467828431497,19.444444444444457,1.6987679214440705,2077.7535889429496,2.91401012993132,0.41803125000000013,1.0,9693.190167374445,5559.40260707815,4.133787560296296,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,1856.117037037037,0.0,47.18242255932971,51.66666666666668,46.10666666666668,0.0,51.219630917262684,0.5044048157849731,1364.332678545574,1856.117037037037,73.72253524895268,49.61402568086819,51.21991942668167,48.81093455325197,12.43753247303448,18.38771761368904,-0.5595282489446324,-0.328262591899245,-0.55,9.236100170605994,1553.0979040594761,-2082.2411306690155,-5497.359388624521,0.0,0.0,732.5240350555454,1.787632842378683,2.6670000000000003,0.2201225708172506,0.0,0.0,3.0901942153973625,176.02097113066665,-108.84100511674663,0.20793459983372953,8.402843282225048,0.0026690432911154883,27.241530776543243,1.227647342646953,0.0,0.0,58.7427728328657
2025-01-01 08:00:00,13.561092164015683,8.449527255971628,0.08037930958897457,13.561092164015681,8.449527255971628,0.08037930958897457,0.33804444522725835,0.3059283077756259,12.867119411012798,0.05,0.08037930958897457,0.0,0.12360584856541426,8.31133807407288,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.015836003289473686,0.0,0.1932625666110694,0.0,0.12894587532671528,0.0,0.01730257713284833,0.0,0.12620601678496557,0.09465451258872415,0.06451532997484435,0.0,0.05930260258071417,0.0,0.0,0.0,12087.519957755749,21.111111111111143,1.3785075866635121,3126.282261909565,2.889704427827613,0.41803125000000013,1.0,14795.770969665315,5236.387236480129,9.559383733185184,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,1856.117037037037,0.0,45.83480396810458,51.66666666666668,46.10666666666668,0.0,51.476175258596065,0.6281864093017789,1711.1834353070142,1856.117037037037,71.6168812001634,50.13991921527803,51.476175258596065,49.47179119361901,12.43753247303448,19.781707649502856,-0.8016256838305054,-1.090374948035686,-1.4,9.236100170605994,3533.108706514881,-2006.1219778288134,-6643.984090234795,0.0,0.0,621.3582560843781,103.00621647742719,1.6672500000000001,0.23707460472622813,0.0,0.0,3.328175613353292,110.03785681200002,-114.28142553930299,0.19285579970936884,9.0876543202383,0.002697875426488222,170.0771003635709,1.2223614122714068,0.0,0.0,62.856106997484055
2025-01-01 09:00:00,12.170218729980995,7.6022623116054815,0.0,12.170218729980995,7.6022623116054815,0.0,0.28394204380973925,0.27490806498628717,11.56136862118497,0.05,0.0,0.0,0.1197725929934375,7.467906385278711,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.012770970394736843,0.0,0.16265004518094353,0.0,0.1085210282340589,0.0,0.017188744388553275,0.0,0.12109500935566322,0.0908212570167474,0.05107463623008511,0.0,0.046947893709732055,0.0,0.0,0.0,11044.826423203996,21.111111111111143,1.4408625140320246,2856.6029304115127,2.8757622505923774,0.41803125000000013,1.0,13483.398103615507,5215.822983022915,8.267575120592593,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,46.21876061398895,51.66666666666668,46.10666666666668,0.0,51.88975831647408,0.1193196321988883,328.15581918370214,0.0,72.21681345935774,50.637633530039366,51.88975831647408,50.01157113682201,12.43753247303448,19.999364479839173,-0.6121758938880244,-0.6991732769879154,-0.85,9.236100170605994,2859.3820497008505,-1157.8026869398195,-6465.643248499816,0.0,0.0,540.3119140559795,307.43852727656844,1.33275,0.2347572646523339,0.0,0.0,3.295643597827262,87.96098585466667,-51.147754418510466,0.19564409648352588,9.279818626117835,0.0027745854376309944,337.94588781454615,1.2220066689065632,0.0,0.0,58.06335707795444
2025-01-01 10:00:00,8.812958957143804,5.325730900184416,0.03215172383558983,8.812958957143804,5.325730900184416,0.03215172383558983,0.4595381689077259,0.2861200103241314,8.017300777911947,0.05,0.03215172383558983,0.0,0.1324828573495832,5.1786647095015,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.01226013157894737,0.0,0.2682800641815976,0.0,0.1789979731471809,0.0,0.03208999267746307,0.0,0.1389835353582214,0.10423765151866601,0.04032208123427772,0.0,0.03706412661294635,0.0,0.0,0.0,8388.606396197689,21.111111111111143,1.6362590258987981,2169.605632108763,2.948758522578615,0.41803125000000013,1.0,10140.180778306452,5489.6697729731195,4.650511005333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,742.4468148148148,0.0,44.93723906682829,51.66666666666668,46.10666666666668,0.0,51.41791046163863,0.12785114515080778,346.0552275028131,742.4468148148148,70.21443604191921,49.78102195290387,51.41791046163863,48.9625776985365,12.43753247303448,20.0410927643596,-0.5719002377492276,0.9941302796869876,0.85,9.236100170605994,1952.6201084356328,-719.8160233989385,-5591.01606344259,0.0,0.0,823.5751592722245,504.04747062275715,2.5005,0.2219076591112649,0.0,0.0,3.1152542058365813,165.03203536266668,9.175895647846938,0.20414953584774548,9.443896551613705,0.002903125614795991,418.7844672899182,1.2217380200866506,0.0,0.0,46.46538187640202
2025-01-01 11:00:00,6.714014365153921,4.033329671057991,0.0,6.714014365153922,4.033329671057991,0.0,0.3689608610348761,0.26961777865482767,6.025435725464218,0.05,0.0,0.0,0.1266993489427411,3.892046988781916,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.01226013157894737,0.0,0.21395124867648413,0.0,0.14274948077944458,0.0,0.028458186073763703,0.0,0.13127219081576524,0.0984541431118239,0.03763394248532587,0.0,0.03459318483874993,0.0,0.0,0.0,6947.70103687081,21.111111111111143,1.7694666141287463,1796.93391105289,3.0237872502790326,0.41803125000000013,1.0,8326.6036979237,5742.986472738514,2.583617225185185,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,46.818991455908396,51.66666666666668,46.10666666666668,0.0,51.40099686023048,0.03194334927571751,86.31492456104652,0.0,73.15467414985686,51.08540154613181,51.40099686023048,50.927603889082484,12.43753247303448,20.02849054365423,-0.5828793765758801,2.106046862995326,1.95,9.236100170605994,1295.299862985612,-835.8275232913599,-5019.883880958453,0.0,0.0,689.227687067191,668.3349468706884,2.0010000000000003,0.21273889786809513,0.0,0.0,2.986538405131503,132.0652280586667,67.79522738022554,0.2119230673030928,9.558283848902766,0.003013479081043546,262.4431117300874,1.2211356783613319,0.0,0.0,39.64447634102735
2025-01-01 12:00:00,5.506317406405986,3.2565206022223183,0.0,5.506317406405986,3.2565206022223183,0.0,0.3619002221027802,0.2737774472627899,4.820639737040417,0.05,0.0,0.0,0.12811160923428694,3.1138256596546983,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.039543288163284056,0.029657466122463037,0.0,0.0,0.012770970394736843,0.0,0.2094098306621248,0.0,0.1397194210459186,0.0,0.030734840959664795,0.0,0.13127219081576524,0.0984541431118239,0.03763394248532587,0.0,0.03459318483874993,0.0,0.0,0.0,6161.909046285055,21.111111111111143,1.8776060250446978,1593.6988743948855,3.1107998744478236,0.41803125000000013,1.0,7337.576670679941,6045.7680580873475,1.2918086125925925,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,44.77183136645774,51.66666666666668,46.10666666666668,0.0,50.78617917328261,0.06456921020614524,172.62984912209302,0.0,69.95598651009023,49.692772820752204,50.78617917328261,49.14606964448699,12.43753247303448,20.016602415222437,-0.5953891398181431,3.052037276233896,3.05,9.236100170605994,1154.840880080319,-228.14621135557917,-4574.877914183873,0.0,0.0,686.3267167430574,762.9185742771471,2.0010000000000003,0.20729552118268899,0.0,0.0,2.910121474859341,132.0652280586667,113.8648404930893,0.21618777037755393,9.616520967532555,0.00307393743460095,129.16988706472227,1.2205273623260835,0.0,0.0,32.022019713259134
2025-01-01 13:00:00,4.446230335134495,2.568605176279009,0.04018965479448729,4.446230335134495,2.568605176279009,0.04018965479448729,0.3637131636519222,0.27686719317937,3.755649978303203,0.05,0.04018965479448729,0.0,0.12811160923428694,2.4259102337113885,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.039543288163284056,0.029657466122463037,0.0,0.0,0.014303486842105266,0.0,0.2095780313293233,0.0,0.13983164548049365,0.0,0.03382458687624486,0.0,0.13127219081576524,0.0984541431118239,0.03763394248532587,0.0,0.03459318483874993,0.0,0.0,0.0,5888.510664553347,21.111111111111143,2.0897731344720256,1522.9878837011988,3.3376187283032026,0.41803125000000013,1.0,6993.467298254545,6993.467298254545,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,928.0585185185186,0.0,45.31836889522481,51.66666666666668,46.10666666666668,0.0,51.28294877751683,0.12960193126206038,345.6574628734996,928.0585185185186,70.80995139878877,50.16163658144091,51.28294877751683,49.60098048340295,12.43753247303448,20.160116052311245,-0.46807105204610416,4.530048218205083,4.45,9.236100170605994,1511.9528397890692,-39.896086665713945,-4018.0864628058457,0.0,0.0,691.2294042087796,752.7360002716578,2.0010000000000003,0.19780126178991378,0.0,0.0,2.7768361631981673,132.0652280586667,128.00136674345748,0.21612334348642379,9.708522677030627,0.003101864985186104,78.50735388066025,1.2193376419392052,0.0,0.0,22.111159397270246
2025-01-01 14:00:00,4.023218926783236,2.2495053238178553,0.0,4.023218926783236,2.2495053238178553,0.0,0.3807190720845923,0.3326832647253301,3.259816589973313,0.05,0.0,0.0,0.12928848594498155,2.1056335045395405,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.039543288163284056,0.029657466122463037,0.0,0.0,0.01532516447368421,0.0,0.2191654693596374,0.0,0.14622843825127066,0.0,0.03648068424312947,0.0,0.13284135976335806,0.09963101982251851,0.06451532997484435,0.0,0.05930260258071417,0.0,0.0,0.0,5076.9174334944555,21.111111111111143,1.7628607519951802,1313.0796865678997,2.904490027473313,0.3553265625000001,0.85,6034.670557562355,7187.157752340922,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,45.35131128213371,51.66666666666668,46.10666666666668,0.0,51.97656434604995,0.09387156010706268,259.3425383124531,0.0,70.86142387833392,50.85069154516374,51.97656434604995,50.28775514472064,12.43753247303448,20.786962233412698,-0.07319806476749721,4.836609317401963,4.7,9.236100170605994,760.1609059089286,-532.6434808245489,-4133.50196799353,0.0,0.0,712.3507371295954,662.7612444080241,2.0010000000000003,0.1990832860274125,0.0,0.0,2.794833880869777,132.0652280586667,119.77818997729796,0.20904947404078209,10.006057406501778,0.0031201790838736687,-10.397582949022992,1.2161123011676993,0.0,0.0,21.165673816570415
2025-01-01 15:00:00,4.688056541330691,2.5259021277020315,0.0,4.688056541330691,2.5259021277020315,0.0,0.4371148857040572,0.5184295922910502,3.6825120633355835,0.05,0.0,0.0,0.1326509867133243,2.3786678076553742,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.01787935855263158,0.0,0.25145999746174824,0.0,0.16777552968967738,0.0,0.042334939664018,0.0,0.13826620098217898,0.10369965073663419,0.1559120474392072,0.0,0.14331462290339259,0.0,0.0,0.0,5401.5137232455945,21.111111111111143,1.9544196615653864,1397.032360605019,3.264480813335583,0.41803125000000013,1.0,6380.514833850613,6380.514833850613,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,43.25160510286605,51.66666666666668,46.10666666666668,0.0,51.348741157542484,0.0316502938348593,86.31492456104651,0.0,67.5806329732282,49.39418568518643,51.348741157542484,48.416907949008404,12.43753247303448,20.760358388049735,-0.00026043784383714315,4.292448179907879,4.15,9.236100170605994,854.7925821443573,-636.2125617787528,-4342.423613096282,0.0,0.0,778.7044016424218,491.07056274228114,2.0010000000000003,0.20213707744035048,0.0,0.0,2.837704580245379,132.0652280586667,97.30081500174127,0.2080882596421638,9.973730561489566,0.0031013400242622374,-41.21358766898909,1.216234650421851,0.0,0.0,24.45213780690517
2025-01-01 16:00:00,5.175316170770339,2.5180914347214416,0.0,5.175316170770339,2.5180914347214416,0.0,0.5754752085921357,0.8932158882685207,3.6566250739096824,0.05,0.0,0.0,0.14156163702379487,2.3619464643643138,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.041426301885345206,0.031069726414008896,0.0,0.0,0.022476907894736844,0.0,0.3316917157154298,0.0,0.22130658498196912,0.0,0.05442289298677858,0.0,0.14732254747971468,0.11049191060978597,0.33870548236793285,0.0,0.3113386635487494,0.0,0.0,0.0,5290.355249015113,21.111111111111143,1.9269533470716727,1368.2826445787211,3.238593823909682,0.41803125000000013,1.0,6240.606643593835,6240.606643593835,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,42.69841017923073,51.66666666666668,46.10666666666668,0.0,50.875130069338226,0.0,0.0,0.0,66.71626590504802,48.92485004203349,50.875130069338226,47.94971002838112,12.43753247303448,20.662089236675776,-0.0682231082424814,3.209198717890232,3.05,9.236100170605994,376.011969002254,-1276.525479858148,-4837.034656173053,0.0,0.0,945.8940685630608,183.60505240833152,2.0842500000000004,0.21101591406238718,0.0,0.0,2.9623502695402535,137.55969594266668,34.8683574001556,0.20805566658778668,9.90827532620683,0.0030821081332070748,-219.91880327035753,1.2166560224316085,0.0,0.0,32.38680602739095
2025-01-01 17:00:00,5.603312522437627,2.504130340988122,0.0,5.603312522437627,2.504130340988122,0.0,1.0081318541791466,0.9474937230859422,3.597686945172539,0.05,0.0,0.0,0.16567081354602065,2.3238761941087684,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.04519232932946749,0.033894246997100606,0.0,0.0,0.028606973684210533,0.0,0.5875249305243389,0.0,0.3919999499705974,0.0,0.09719148120049202,0.0,0.17570208873189344,0.13177656654892003,0.32795292737212545,0.0,0.3014548964519637,0.0,0.0,0.0,5181.816484558812,21.111111111111143,1.919599111576976,1340.2104829413292,3.179655695172538,0.41803125000000013,1.0,6103.995717500141,6103.995717500141,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,42.90047417176425,51.66666666666668,46.10666666666668,0.0,50.41299159042474,0.0,0.0,0.0,67.03199089338165,48.524483473700805,50.41299159042474,47.58022941533884,12.43753247303448,20.125539181360335,-0.48557192975080776,2.086156623755409,1.95,9.236100170605994,525.8443448071679,-1148.4031986626972,-5122.585945811194,0.0,0.0,1511.917449896434,14.903749875157816,3.0,0.21613931742048345,0.0,0.0,3.034275249162088,197.99884266666666,-8.940346925121982,0.20798371113616562,9.55090810520691,0.0029816070240665333,-263.84920462237545,1.2183821039118479,0.0,0.0,38.829400345271644
2025-01-01 18:00:00,6.581952524418784,3.29660409820101,0.0,6.581952524418784,3.29660409820101,0.0,1.0197900424533477,0.6816803810665201,4.830482100898917,0.05,0.0,0.0,0.1618375662127562,3.1201831986549204,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.04707534305152864,0.03530650728864647,0.0,0.0,0.03269368421052631,0.0,0.5920663485386981,0.0,0.39503000970412333,0.0,0.11507948387542921,0.0,0.16870807856547967,0.12653105892410973,0.18279343492872566,0.0,0.1680240406453568,0.0,0.0,0.0,6065.86882057981,21.111111111111143,1.8369467443941638,1568.8592997673832,3.1206422383063246,0.41803125000000013,1.0,7216.696870347193,5924.888257754601,1.2918086125925925,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,42.589220756285485,51.66666666666668,46.10666666666668,0.0,49.951784746388526,0.0,0.0,0.0,66.54565743169606,48.123963861239794,49.951784746388526,47.21005341866544,12.43753247303448,19.929450062336983,-0.6826855257782677,1.318024406153553,1.15,9.236100170605994,1037.9442356199884,-1510.1218275201031,-5314.8911112080095,0.0,0.0,1536.8422251128684,0.0,3.0,0.2163559139137345,0.0,0.0,3.0373159424814267,197.99884266666666,-36.70193474871891,0.20606864030062402,9.38726000276532,0.002918970893829482,-212.72451974607742,1.2186313508727684,0.0,0.0,44.004177934355276
2025-01-01 19:00:00,8.768997492659071,4.908732304559718,0.0,8.768997492659071,4.908732304559718,0.0,0.7394453202305622,0.6274491019843237,7.352103070444184,0.05,0.0,0.0,0.1451595337310573,4.748989437495328,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.04519232932946749,0.033894246997100606,0.0,0.0,0.034737039473684214,0.0,0.42268827666981496,0.0,0.28202000408706307,0.0,0.11919914509753597,0.0,0.14835371564527566,0.11126528673395672,0.16397646368606272,0.0,0.15072744822598186,0.0,0.0,0.0,7904.049716426113,21.111111111111143,1.6704307229520843,2044.2812514124826,3.0586459826664067,0.41803125000000013,1.0,9530.299717838594,5654.873880060817,3.8754258377777777,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,41.93269212944649,51.66666666666668,46.10666666666668,0.0,49.497886612619936,0.0,0.0,0.0,65.51983145226014,47.729280299440454,49.497886612619936,46.844977142850716,12.43753247303448,19.96833132403952,-0.6433476482256512,-0.031464466128341424,-0.25000000000000006,9.236100170605994,1521.0282040662264,-1940.3409267388963,-5984.849326993198,0.0,0.0,1239.8045928743386,0.0,3.0,0.22496127972999963,0.0,0.0,3.1581225075150425,197.99884266666666,-57.16683495580574,0.20034048061628668,9.320668771836363,0.00284428126082966,-224.06434889722138,1.2185250569223198,0.0,0.0,52.934391841624794
2025-01-01 20:00:00,9.331758411392567,5.383723094086677,0.0,9.331758411392567,5.383723094086677,0.0,0.6024978477895649,0.5835280376568015,8.0957325259462,0.05,0.0,0.0,0.13981314684025994,5.229326613913084,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.04425082246843692,0.033188116851327686,0.0,0.0,0.03575871710526316,0.0,0.33993354840815593,0.0,0.22680558227614583,0.0,0.13399740185589307,0.0,0.1421667066519097,0.10662502998893224,0.13709507619654424,0.0,0.1260180304840176,0.0,0.0,0.0,8435.272325145781,21.111111111111143,1.6195559673548634,2181.6751770953133,3.0271902706128673,0.41803125000000013,1.0,10198.916252241093,5548.405246907761,4.650511005333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8400.8834,0.0,0.0,41.273104964295236,51.66666666666668,46.10666666666668,0.0,49.05148081459353,0.0,0.0,0.0,64.4892265067113,47.34062994004351,49.05148081459353,46.48520450276851,12.43753247303448,20.01532509550211,-0.5964483508293275,-0.3987953178693619,-0.55,9.236100170605994,1634.2183023573639,-1209.4928848683878,-6149.794117196493,0.0,0.0,1110.9599519668377,0.0,3.0,0.22716345433773702,0.0,0.0,3.189037770810666,197.99884266666666,-75.16539252960646,0.19576874064112662,9.27775011710504,0.00278725881957939,-115.90966460404458,1.2183717247217005,0.0,0.0,52.92368805303065
