Metric,Value
Total Electric Energy (kWh),3564.4694192644097
Total Gas Energy (therms),10.642220589580234
Average Electric Power (kW),4.950651971200569
Peak Electric Power (kW),22.4394570689033
Other Electric Energy (kWh),397.88204402447957
HVAC Heating Electric Energy (kWh),2876.629764379196
Lighting Electric Energy (kWh),255.2076108607339
HVAC Cooling Electric Energy (kWh),34.75
Water Heating Gas Energy (therms),10.642220589580234
Average Temperature - Indoor (C),19.833373371794604
Unmet Heating Load (C-hours),217.7351691561878
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
