Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.30710207071911627,0.20529763728652003,0.0,0.30710207071911627,0.20529763728652003,0.0,0.014811684399312837,0.0,0.2722903863198034,0.0,0.020000000000000004,0.0,0.0,0.19946430395318668,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10427872271436223,0.07820904203577164,0.0,0.0,0.003999287280701754,0.0,0.010812397118611084,0.0,0.006337981048887746,0.0,0.16167368255655346,0.12125526191741505,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,21.597130107966578,51.66666666666668,46.10666666666668,0.0,50.995350173446404,0.0,0.0,0.0,21.597130107966578,49.267083274951446,50.995350173446404,48.40294982570398,12.43753247303448,18.66368063093032,0.0,2.8,9.236100170605994,-529.400288240218,-1046.5683813301378,0.0,0.0,473.7837556068241,0.0,3.0,0.05061993474491225,0.0,0.0,0.4793991395953723,197.99884266666666,43.38433748309568,0.22779024061456032,8.891656369764954,0.002974181392505071,57.526671844571275,1.2273914468492098
2025-01-01 01:00:00,0.3041951561052046,0.20334241123562571,0.0,0.3041951561052046,0.20334241123562571,0.0,0.014511737853260206,0.0,0.26968341825194436,0.0,0.020000000000000004,0.0,0.0,0.19750907790229238,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10167175464650316,0.07625381598487735,0.0,0.0,0.003699340734649122,0.0,0.010812397118611084,0.0,0.006337981048887746,0.0,0.16167368255655346,0.12125526191741505,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,21.89869588416224,51.66666666666668,46.10666666666668,0.0,50.8652944032712,0.0,0.0,0.0,21.89869588416224,49.15718806927951,50.8652944032712,48.303134902283674,12.43753247303448,18.124830152014635,0.0,2.5,9.236100170605994,-472.9399220245098,-969.9156501170675,0.0,0.0,470.87684099291243,0.0,3.0,0.04760996999166455,0.0,0.0,0.4508930871835924,197.99884266666666,26.098887099645186,0.236600871057659,8.655478458324117,0.0029865382997321644,63.79916065400995,1.2297124275255849
2025-01-01 02:00:00,0.30158818803734555,0.20138718518473145,0.0,0.30158818803734555,0.20138718518473145,0.0,0.014511737853260206,0.0,0.2670764501840853,0.0,0.020000000000000004,0.0,0.0,0.19555385185139812,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0990647865786441,0.07429858993398306,0.0,0.0,0.003699340734649122,0.0,0.010812397118611084,0.0,0.006337981048887746,0.0,0.16167368255655346,0.12125526191741505,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,22.136935010424217,51.66666666666668,46.10666666666668,0.0,50.73393661856292,0.0,0.0,0.0,22.136935010424217,49.04594861596783,50.73393661856292,48.201954614670285,12.43753247303448,17.674558446460157,0.0,1.6500000000000001,9.236100170605994,-470.2834240877953,-952.7911737448848,0.0,0.0,468.2698729250534,0.0,3.0,0.045421114305284144,0.0,0.0,0.43016339762478334,197.99884266666666,14.237876732036067,0.2445861730170269,8.461398973262147,0.0030011194212579504,75.45726428577004,1.2316054771271252
2025-01-01 03:00:00,0.3030422400967163,0.20256043119398398,0.0,0.3030422400967163,0.20256043119398395,0.0,0.014311773489225117,0.0,0.26873046660749117,0.0,0.020000000000000004,0.0,0.0,0.19672709786065065,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09645781851078504,0.07234336388308876,0.0,0.0,0.003499376370614035,0.0,0.010812397118611084,0.0,0.006427669459956912,0.0,0.1658449786367492,0.12438373397756187,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,22.361756722323037,51.66666666666668,46.10666666666668,0.0,50.60144889652149,0.0,0.0,0.0,22.361756722323037,48.93352550174463,50.60144889652149,48.099563804356215,12.43753247303448,17.242157284829137,-0.06761300734914139,1.6500000000000001,9.236100170605994,-462.08695023148215,-936.489286818764,0.0,0.0,469.43193425881054,0.0,3.0,0.04590381643835631,0.0,0.0,0.4347348572373208,197.99884266666666,4.9704023284712715,0.25263363803810407,8.275462214188266,0.0030164492314022563,56.23353032711866,1.2334278911504415
2025-01-01 04:00:00,1.7732732587772153,0.1993106649802703,0.0,1.7732732587772153,0.1993106649802703,0.0,0.014311773489225117,0.0,0.26435758347317556,1.4746039018148147,0.020000000000000004,0.0,0.0,0.19347733164693698,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09385085044292599,0.07038813783219447,0.0,0.0,0.003499376370614035,0.0,0.010812397118611084,0.0,0.006387807943926171,0.0,0.1641189250863234,0.1230891938147425,1474.6039018148147,17.77777777777783,0.4666666666666668,0.0,1.4215511934814813,0.05305270833333334,0.4666666666666667,1421.5511934814815,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,22.131843743485266,51.66666666666668,46.10666666666668,0.0,50.468666020851444,0.0,0.0,0.0,22.131843743485266,48.82069662800259,50.468666020851444,47.99671193157816,12.43753247303448,17.455060620214585,-0.08696686022457172,0.55,9.236100170605994,852.3088375633672,-1068.1228373898439,0.0,0.0,465.1798748730247,0.0,3.0,0.04788713206369334,0.0,0.0,0.45351796727339594,197.99884266666666,-19.35210173462834,0.2500252199770058,8.383574930012639,0.003026556893659433,74.15906369672926,1.2319406335407015
2025-01-01 05:00:00,2.7736559478681704,0.20060520514308966,0.0,2.77365594786817,0.20060520514308966,0.0,0.017058409096993847,1.1000131084444444,0.26730937864154664,1.3692750516851853,0.020000000000000004,0.0,0.0,0.19477187180975633,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09385085044292599,0.07038813783219447,0.0,0.0,0.0038993050986842106,0.0,0.013159103998309635,0.0,0.007613549561871442,0.0,0.1658449786367492,0.12438373397756187,1369.2750516851852,17.77777777777783,0.43333333333333346,0.0,1.3200118225185185,0.04926322916666668,0.43333333333333335,1320.0118225185186,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,1100.0131084444445,0.2,22.362857961716323,51.66666666666668,46.10666666666668,0.0,50.45934092990407,0.23501823083103796,624.2737532598238,1100.0131084444445,22.362857961716323,49.01209533176007,50.45934092990407,48.28847253268808,12.43753247303448,17.330174595536633,-0.07688739231322726,-0.25000000000000006,9.236100170605994,709.9531523686677,-1114.7985962754908,0.0,0.0,470.7574819006347,0.0,3.0,0.048144844250977946,0.0,0.0,0.4559586460587414,197.99884266666666,-15.280784941661125,0.2535126264150701,8.344434047110934,0.003046651799114878,78.05104195048574,1.2318353015291794
2025-01-01 06:00:00,1.6702150185230709,0.2280870760428811,0.0,1.6702150185230709,0.2280870760428811,0.0,0.059886771201644234,1.0083453494074075,0.31866077258994513,0.26332212532407406,0.020000000000000004,0.0,0.0,0.22225374270954776,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0990647865786441,0.07429858993398306,0.0,0.0,0.004399216008771929,0.0,0.0554875551928723,0.0,0.0223224489772147,0.0,0.19727353703408632,0.1479551527755647,263.3221253240741,17.77777777777783,0.08333333333333334,0.0,0.25384842740740743,0.009473697916666668,0.08333333333333333,253.84842740740743,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,1008.3453494074075,0.18333333333333332,22.71362256853535,51.66666666666668,46.10666666666668,0.0,51.31052215384796,0.320738264112607,869.6913725100919,1008.3453494074075,22.71362256853535,49.590344286802654,51.31052215384796,48.73025535328001,12.43753247303448,17.406686144439693,-0.07051921268285367,0.3,9.236100170605994,-267.9164156474257,-1075.4165067923482,0.0,0.0,562.7372388658699,0.0,3.0,0.0478438994903287,0.0,0.0,0.4531085305845115,197.99884266666666,-18.55927304502172,0.2531914742349132,8.39274935051999,0.0030573056103531076,46.1211602038509,1.2315034935202407
2025-01-01 07:00:00,2.9439096552987567,0.23998052581538917,0.0,2.9439096552987567,0.23998052581538917,0.0,0.07461013505366178,1.0083453494074075,0.36635026902287293,1.4746039018148147,0.020000000000000004,0.0,0.0,0.23414719248205584,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10427872271436223,0.07820904203577164,0.024596698243337604,0.0,0.004099269462719299,0.0,0.07051086559094247,0.0,0.02955731413679411,0.0,0.207917533928379,0.1559381504462842,1474.6039018148147,17.77777777777783,0.4666666666666668,0.0,1.4215511934814813,0.05305270833333334,0.4666666666666667,1421.5511934814815,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,1008.3453494074075,0.18333333333333332,23.272023212578777,51.66666666666668,46.10666666666668,0.0,51.721493977205384,0.3345089486671496,913.0003641424922,1008.3453494074075,23.272023212578777,50.55249079569203,51.721702550368484,49.96778063177226,12.43753247303448,17.553839913370407,-0.015079551499111155,-0.55,9.236100170605994,827.4378671057323,-1182.5196850871703,0.0,0.0,561.5995866840015,2.0366295241260928,2.18325,0.04953008281285066,0.0,0.0,0.46907763125780577,144.09365775066667,-26.24593630591356,0.2515445225909415,8.472276035067086,0.0030660750961424956,31.79652278487371,1.2308731875555452
2025-01-01 08:00:00,3.606642151415543,0.24344604872290607,0.0,3.606642151415543,0.24344604872290607,0.0,0.07541969003325391,0.0,0.3513569574934004,3.1598655038888888,0.020000000000000004,0.0,0.0,0.23761271538957274,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10688569078222127,0.08016426808666592,0.0,0.0,0.0030994476425438597,0.0,0.07232024239071005,0.0,0.034540003640636675,0.0,0.20993126307054247,0.1574484473029068,3159.8655038888887,21.111111111111143,1.0000000000000002,0.0,3.0461811288888887,0.11368437500000002,1.0,3046.181128888889,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,23.5344992999565,51.66666666666668,46.10666666666668,0.0,51.85185832308602,0.1134368483442835,311.35653443833706,0.0,23.5344992999565,51.36856218278836,51.85298006901332,51.12579236671225,12.43753247303448,17.955575215242398,-2.5999803403131874,-1.4,9.236100170605994,2369.4822648802997,-1328.8606214110143,0.0,0.0,544.1466871703831,132.65913389449182,2.0010000000000003,0.051901193904622556,0.0,0.0,0.4915333816061356,132.0652280586667,-5.669304767957974,0.24606046130964546,8.673186655607763,0.003074293518624443,61.98601689806265,1.2297463303845495
2025-01-01 09:00:00,3.6660671114582883,0.24393150128396332,0.0,3.6660671114582883,0.24393150128396332,0.0,0.07717746974084579,0.0,0.4090241378285537,3.1598655038888888,0.020000000000000004,0.0,0.0,0.23809816795062996,0.0,0.005833333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10688569078222127,0.08016426808666592,0.050841375268978826,0.0,0.0024995545504385964,0.0,0.07467791519040719,0.0,0.04071853862540146,0.0,0.21057853315195216,0.15793389986396408,3159.8655038888887,21.111111111111143,1.0000000000000002,0.0,3.0461811288888887,0.11368437500000002,1.0,3046.181128888889,3046.181128888889,0.0,26.666666666666686,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,992.6318533333334,0.0,0.0,22.115177124661457,51.66666666666668,46.10666666666668,0.0,51.57210933584478,0.0,0.0,0.0,22.115177124661457,50.257524582984196,51.57210933584478,49.60023220655391,12.43753247303448,18.90326465608192,-1.707846455029224,-0.85,9.236100170605994,2418.1223832720725,-1370.4821843057296,0.0,0.0,585.1295261705322,378.34851479604345,2.0010000000000003,0.05255192094580738,0.0,0.0,0.49769613122696155,132.0652280586667,43.609537518381075,0.2333713010939863,9.138529607868005,0.003093481460532205,121.08894985719334,1.2263561213874554
