Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.4919871422538766,0.09876002896894409,0.28855125000000004,0.49198714225387663,0.09876002896894409,0.28855125000000004,0.02027346435590353,0.13507055289797304,0.33664312500000004,0.0,0.28855125000000004,0.0,0.09876002896894409,0.0,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.004544051535087718,0.0,0.0004421219381452754,0.0,0.015287290882670536,0.0,0.0033905142727142317,0.0,0.0983685256668561,0.07377639425014205,5670.103899993203,16.666666666666686,0.24000000000000002,1431.822061006796,8.456603545,0.33664312500000004,0.3,6765.282836,22550.942786666667,0.0,0.0,89.96482795508759,51.66666666666668,46.10666666666668,0.0,50.55658163328876,0.0,0.0,0.0,140.57004367982432,50.01484202963927,50.55658163328876,49.74397222781453,12.43753247303448,16.35158033106813,-0.057685681844740995,2.0343276345658206,0.5691472090392368,2.8,9.236100170605994,2995.679498581014,1094.802952280947,2280.7216870608795,-2819.170640115278,0.0,0.0,280.4574489016411,0.0,2.0,0.15959983978374945,0.0,0.0,1.1639728397635338,131.99922844444444,-135.7112101985521,0.24135071790011825,7.499837521337055,0.002721572793567492,-81.2045983288383,1.23738358576851,1.0873669091327998,1084.615932419248,10.18701986169891,0.39102473191790976,1147.2198354320255,-298.3202093779425
2025-01-01 01:00:00,0.490813550564785,0.09813543810097403,0.28855125000000004,0.49081355056478493,0.09813543810097403,0.28855125000000004,0.019932660490771952,0.134237765074013,0.33664312500000004,0.0,0.28855125000000004,0.0,0.09813543810097403,0.0,1.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.004203247669956139,0.0,0.0004421219381452754,0.0,0.015287290882670536,0.0,0.0033905142727142317,0.0,0.0983685256668561,0.07377639425014205,5670.103899993203,16.666666666666686,0.24000000000000002,1431.822061006796,8.456603545,0.33664312500000004,0.3,6765.282836,22550.942786666667,0.0,0.0,87.7205537237494,51.66666666666668,46.10666666666668,0.0,49.654454137142714,0.0,0.0,0.0,137.06336519335844,49.18438210171844,49.654454137142714,48.949346084006294,12.43753247303448,16.35889503416663,-0.05922272569552689,2.7599630904176626,2.1424472494384643,2.5,9.236100170605994,3235.426113377693,-357.67618061598876,1465.7747686941436,-2577.1799425122204,0.0,0.0,279.2838572125495,0.0,2.0,0.14287250077777552,0.0,0.0,1.0419791816818467,131.99922844444444,-136.78170131583983,0.24023215289042182,7.489870445444645,0.0027100245698201382,-50.3551632853471,1.2374211015445946,1.0873669091327998,-369.0487515711549,11.372570955166136,0.2735457256012685,306.19790036836054,-272.2451926810132
2025-01-01 02:00:00,1.0136478460741583,0.09751084723300399,0.7374087500000001,1.0136478460741585,0.09751084723300399,0.7374087500000002,0.019932660490771952,0.1334049772500529,0.8603102083333335,0.0,0.7374087500000001,0.0,0.09751084723300399,0.0,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.004203247669956139,0.0,0.0004421219381452754,0.0,0.015287290882670536,0.0,0.0033905142727142317,0.0,0.0983685256668561,0.07377639425014205,14490.265522204852,20.000000000000057,0.6133333333333334,3659.100822572924,21.611320170555555,0.8603102083333335,0.7666666666666667,17289.056136444444,22550.942786666667,0.0,0.0,78.69887326335378,51.66666666666668,46.10666666666668,0.0,48.80313503022264,0.0,0.0,0.0,122.96698947399028,48.39957726315008,48.80313503022264,48.19779837961381,12.43753247303448,18.949427075168,-0.6420736846073929,2.263565289598092,3.517365978810466,1.6500000000000001,9.236100170605994,11357.688183173012,-859.6459795321111,2712.4241101118855,-3181.563706300679,0.0,0.0,278.4510693885894,0.0,2.0,0.13995943204519964,0.0,0.0,1.0207339668390434,131.99922844444444,-229.46470211975125,0.2042132067341575,8.711293570955036,0.0027051658403658254,-14.270961599840232,1.2264678630388703,1.0873669091327998,-873.7515999956364,14.105620463525351,0.2265070536337208,-576.2609822201608,-370.4157302408774
2025-01-01 03:00:00,0.7320519181734438,0.09688625636503392,0.496949375,0.7320519181734438,0.09688625636503392,0.4969493750000001,0.019705457914017566,0.13257218942609283,0.5797742708333334,0.0,0.496949375,0.0,0.09688625636503392,0.0,1.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.003976045093201754,0.0,0.0004421219381452754,0.0,0.015287290882670536,0.0,0.0033905142727142317,0.0,0.0983685256668561,0.07377639425014205,9765.178938877183,20.000000000000057,0.41333333333333333,2465.9157717339267,14.564150549722223,0.5797742708333334,0.5166666666666667,11651.320439777777,22550.942786666667,0.0,0.0,74.65532755744063,51.66666666666668,46.10666666666668,0.0,48.032999419553086,0.0,0.0,0.0,116.64894930850097,47.689038048820926,48.032999419553086,47.51705736345484,12.43753247303448,19.750703532950645,-0.046423643096273774,1.9791406415696966,3.6492805423813417,1.6500000000000001,9.236100170605994,6293.467523365949,-549.1033435258304,1382.3036864198027,-3585.623109809364,0.0,0.0,277.39107898787495,0.0,2.0,0.151535152625728,0.0,0.0,1.1051565099611618,131.99922844444444,-163.47938468974493,0.193490979745292,9.082882542799265,0.0027017139018642227,-79.16294170982125,1.2230977547323971,1.0873669091327998,-564.6657967453749,15.562453219544413,0.27350068844339787,-689.3205817124234,-394.29150360170087
2025-01-01 04:00:00,0.8065428392302052,0.10426942359183018,0.5941333041610655,0.8065428392302052,0.10426942359183017,0.5941333041610655,0.026341802471278597,0.14431957842559315,0.6358814583333334,0.049092054161065365,0.5450412500000001,0.0,0.10426942359183018,0.0,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003976045093201754,0.0,0.0006286561432856755,0.0,0.021737101234791167,0.0,0.005293680303152881,0.0,0.10904553645987784,0.08178415234490835,10710.196255542718,20.000000000000057,0.45333333333333337,2704.5527819017266,15.973584473888888,0.6358814583333334,0.5666666666666667,12778.86757911111,22550.942786666667,1113.6702222222223,0.0,81.76926000073357,51.66666666666668,46.10666666666668,0.0,51.14301807210739,0.27204550071202593,729.3737855619443,1113.6702222222223,127.76446875114621,50.24092450227697,51.14301807210739,49.78987771736176,12.43753247303448,19.676662797300562,-0.06496241349174264,1.7195883000802088,3.5177972458803457,0.55,9.236100170605994,7022.781260330201,-1659.1212976777722,1275.1180520127352,-3873.4066331450676,0.0,0.0,295.02742178912473,0.0,2.0,0.1544472448623179,0.0,0.0,1.1263946031501628,131.99922844444444,-109.03578385657349,0.1931290470943867,9.026465555750283,0.0026854842167688612,-2.5680076069973747,1.2228448775094052,1.0873669091327998,-1675.7498756637697,16.628577985997435,0.281419235450578,-1043.0487399623914,-386.3859899265997
2025-01-01 05:00:00,0.6845222594613651,0.10633700047695425,0.449524286107377,0.684522259461365,0.10633700047695427,0.449524286107377,0.048683382462677116,0.14957658533202114,0.48626229166666673,0.032728036107376915,0.41679625000000003,0.0,0.10633700047695425,0.0,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.004430450246710526,0.0,0.0012438603006237263,0.0,0.04300907191534287,0.0,0.00779391802941542,0.0,0.11180230564004329,0.08385172923003244,8190.15007776796,20.000000000000057,0.3466666666666667,2068.1874214542613,12.215094009444444,0.48626229166666673,0.43333333333333335,9772.075207555556,22550.942786666667,742.4468148148148,0.0,81.43193862662841,51.66666666666668,46.10666666666668,0.0,51.502384463339425,0.05788240368024444,156.11737878958942,742.4468148148148,127.2374041041069,50.11359592392442,51.51100566796231,49.410580449594036,12.43753247303448,19.702182458108425,-0.06263687505601206,0.3862799600512049,2.6558933315570763,-0.25000000000000006,9.236100170605994,4419.765720863876,-1033.6648191657869,687.1393199014063,-4005.7194845789895,0.0,0.0,322.4330348443397,0.0,2.0,0.15256540875265398,0.0,0.0,1.1126702402466473,131.99922844444444,-87.09790716943432,0.19363657361392217,9.04864314784586,0.002698158945802715,22.22551717840823,1.2221155202097245,1.0873669091327998,-1052.6089953660035,18.944176200216525,0.25051924901917166,-940.9914961291711,-440.0566054236837
2025-01-01 06:00:00,0.891336916398117,0.11743178642777097,0.5290106250000001,0.8913369163981169,0.11743178642777097,0.5290106250000001,0.10286858615685716,0.17128926774125958,0.6171790625000001,0.0,0.5290106250000001,0.0,0.11743178642777097,0.0,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.00499845668859649,0.0,0.0027509311262893152,0.0,0.09511919834197134,0.0,0.014713552504231571,0.0,0.12492977792654543,0.09369733344490903,10395.190483320874,20.000000000000057,0.44000000000000006,2625.007111845793,15.503773165833334,0.6171790625000001,0.55,12403.018532666667,22550.942786666667,0.0,0.0,81.85693178046778,51.66666666666668,46.10666666666668,0.0,51.04163348068935,0.11448403518082072,308.1046681932109,0.0,127.90145590698089,50.330913007349615,51.0545049308533,49.962681320515806,12.43753247303448,19.694035139382134,-0.06612774276523575,1.0790971446062576,2.4280182178436744,0.3,9.236100170605994,6793.459324731502,-1096.6811009913758,1502.0962886080047,-3907.492941317025,0.0,0.0,388.6010493890363,0.0,1.8664999999999998,0.15332363503395705,0.0,0.0,1.1182000377641608,123.18827994577778,-82.83926666138187,0.19302535680720917,9.03356743910211,0.0026882359982142,-78.37680951637948,1.2221568413620227,1.0873669091327998,-1113.3353496956486,16.654248704272995,0.2588810097017385,-722.684966038297,-400.2258571994915
2025-01-01 07:00:00,0.7945345743049328,0.11474272647776045,0.5057981701342212,0.7945345743049327,0.11474272647776043,0.5057981701342212,0.08553810211508375,0.1666269930231822,0.5423694791666668,0.04091004513422114,0.46488812500000004,0.0,0.11474272647776045,0.0,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.004657652823464912,0.0,0.0022733856251486275,0.0,0.0786070636664702,0.0,0.013636691052834913,0.0,0.11967878901194458,0.0897590917589584,9135.167394433494,20.000000000000057,0.3866666666666667,2306.8244316220603,13.624527933611112,0.5423694791666668,0.48333333333333334,10899.622346888887,22550.942786666667,928.0585185185186,0.0,79.31316324313453,51.66666666666668,46.10666666666668,0.0,50.88600400829659,0.24258254161116372,657.5102302461015,928.0585185185186,123.92681756739769,49.32133881034161,50.88600400829659,48.53900621136414,12.43753247303448,19.69386607020682,-0.0563407297139974,0.4859254281833237,2.1965043955537413,-0.55,9.236100170605994,5177.137118018422,-1466.5788086946093,882.8333380801564,-4195.5360553028495,0.0,0.0,309.78719412965205,8.72268779934753,1.0,0.15712614547477533,0.0,0.0,1.1459320134480135,65.99961422222222,-72.2814152418741,0.19223822265366322,9.021009919871354,0.002677273313116555,-29.929329046901966,1.222165456565569,1.0873669091327998,-1484.8733947077662,18.29458601315673,0.27445264662721514,-1008.1196715425014,-415.8714219994028
2025-01-01 08:00:00,0.801388257060241,0.11618778436363685,0.46488812500000004,0.801388257060241,0.11618778436363685,0.4648881250000001,0.08799145828271503,0.17102731961085926,0.5423694791666668,0.0,0.46488812500000004,0.0,0.11618778436363685,0.0,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0035216399396929823,0.0,0.002374275519755815,0.0,0.08209554282326623,0.0,0.01611027379267674,0.0,0.12077274503581974,0.09057955877686477,9135.167394433494,20.000000000000057,0.3866666666666667,2306.8244316220603,13.624527933611112,0.5423694791666668,0.48333333333333334,10899.622346888887,22550.942786666667,0.0,0.0,78.16241172945472,51.66666666666668,46.10666666666668,0.0,51.2922949120105,0.0829129597641702,224.34645544578035,0.0,122.128768327273,48.91743294518936,51.2922949120105,47.7300019617788,12.43753247303448,19.724842433437566,-0.049500484934040224,-0.2873204796864465,1.6957016116393169,-1.4,9.236100170605994,4963.986550049712,-1579.6878446901187,704.7219316137617,-4551.153564280675,0.0,0.0,316.56429996328916,548.7787548278494,1.0,0.1629499012394116,0.0,0.0,1.1884050732245004,65.99961422222222,63.40841993360367,0.19240267002663408,9.04619017155871,0.0026835050143300546,117.03896839027139,1.2226055359626513,1.0873669091327998,-1599.432490864856,19.74464617473722,0.2953248315759523,-1210.371128098204,-391.7313719100948
2025-01-01 09:00:00,0.8595527622186412,0.11618778436363685,0.5457080361073771,0.8595527622186411,0.11618778436363685,0.545708036107377,0.08778843309263896,0.17328766245933544,0.5984766666666668,0.032728036107376915,0.5129800000000001,0.0,0.11618778436363685,0.0,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0028400322094298243,0.0,0.0023877275057034397,0.0,0.0825606733775057,0.0,0.018370616641152897,0.0,0.12077274503581974,0.09057955877686477,10080.184711099027,20.000000000000057,0.4266666666666667,2545.46144178986,15.033961857777777,0.5984766666666668,0.5333333333333333,12027.169486222223,22550.942786666667,742.4468148148148,0.0,82.49031020990736,51.66666666666668,46.10666666666668,0.0,51.20492274312681,0.1297784325846043,349.4055620528906,742.4468148148148,128.89110970298026,50.520238962629996,51.20492274312681,50.1778970723816,12.43753247303448,19.679089941177434,-0.06927401183391714,-0.19672395056280964,1.8444774513532236,-0.85,9.236100170605994,6335.812525295409,-931.7829945931146,1284.991402375388,-4346.828721236345,0.0,0.0,318.6216176216892,1383.1720069604423,1.0,0.1602948254899192,0.0,0.0,1.1690414193254028,65.99961422222222,283.834917811036,0.19528495584555858,9.064635965599503,0.0027146956392260697,266.9584827237917,1.2233874124949715,1.0873669091327998,-950.1141612492257,18.331166656111172,0.28499246223741503,-1029.891561075683,-230.57847833878915
