Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.7540371697145686,0.34100228998192367,0.0,0.7540371697145686,0.3410022899819237,0.0,0.04766375269092355,0.0,0.6563734170236449,0.0,0.05,0.0,0.0,0.0,0.32641895664859033,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.008249753289473685,0.0,0.0005023283172493501,0.0,0.03891167108420051,0.0,0.01782782621504262,0.0,0.3708416328961176,0.2781312246720881,0.10594004406275113,0.0,0.09738027121439731,0.0,0.0,0.0,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,14991.173475555555,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,0.0,0.0,38.069016703256814,51.66666666666668,46.10666666666668,0.0,50.79902753714669,0.09583799808523,257.14608805595316,0.0,38.069016703256814,48.59556277337718,50.79902753714669,47.49383039149244,12.43753247303448,15.960270004188214,0.0,5.174653485373287,3.9273562161307773,-1.168689899411922,2.8,9.236100170605994,29.34585392918467,-2128.0268618171403,-207.40007932552695,2321.010661331243,-705.7532146137618,0.0,0.0,738.7563970235808,0.0,4.0,0.0411491834454091,0.0,0.0,0.11704427504138325,263.9984568888889,-3.657328480634354,0.23751991768724465,7.178300391314553,0.002612419453497022,179.0969987717785,1.2391386650642395,0.7233001255746847,-2239.0679618679173,111.04110005077682,0.16310503636991996,-239.63275854258248,32.23267921705552,0.5270559910717991,2734.082750649336,-413.07208931809254
2025-01-01 01:00:00,0.7923561028495453,0.34381912291180944,0.0,0.7923561028495453,0.3438191229118094,0.0,0.043277016175292685,0.0,0.6990790866742526,0.0,0.05,0.0,0.0,0.0,0.3292357895784761,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277405156945293,0.04708053867708968,0.0,0.0,0.007631021792763158,0.0,0.0004543053901349874,0.0,0.03519168899239455,0.0,0.01441931960972988,0.0,0.3762070012018487,0.28215525090138643,0.1280108865758243,0.0,0.11766782771739676,0.0,0.0,0.0,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,14991.173475555555,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,0.0,0.0,38.10153175116488,51.66666666666668,46.10666666666668,0.0,50.60350279097866,0.0,0.0,0.0,38.10153175116488,48.3187893327601,50.60350279097866,47.17643260365082,12.43753247303448,15.666831517122203,0.0,5.607571165336548,4.618287843847398,0.27307123142637296,2.5,9.236100170605994,21.54822846191768,-2090.605960007772,-435.91776049667,924.4865017733438,-686.0692433790775,0.0,0.0,734.3413553610837,0.0,4.0,0.03995368363158077,0.0,0.0,0.11364380880352264,263.9984568888889,-26.72388352008848,0.2430652348191975,7.048353365147033,0.0026235915809013476,180.72402693152702,1.2404494688493364,0.5620100925455553,-2188.929464644319,98.3235046365471,0.16310503636991996,-450.82877116696324,14.911010670293162,0.39658918574562335,1221.0855858542136,-296.59908408086994
2025-01-01 02:00:00,2.1177630097164637,0.3426119296123969,0.0,2.1177630097164637,0.3426119296123969,0.0,0.040509366471129966,1.3750163855555557,0.6522372576897779,0.0,0.05,0.0,0.0,0.0,0.32802859627906356,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.007631021792763158,0.0,0.0004190319126970043,0.0,0.0324593127656698,0.0,0.011545480707211293,0.0,0.3762070012018487,0.28215525090138643,0.10594004406275113,0.0,0.09738027121439731,0.0,0.0,0.0,0.0,12.777777777777828,0.0,0.0,0.0,0.0,0.0,0.0,14991.173475555555,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,1375.0163855555556,0.25,40.37581520357049,51.66666666666668,46.10666666666668,0.0,51.104596223565615,0.23960005133502443,643.2150787630883,1375.0163855555556,40.37581520357049,50.003454154578584,51.10503511788858,49.45244422576211,12.43753247303448,15.370042485908622,0.0,5.938795072929971,4.691674731615842,0.6491618778484219,1.6500000000000001,9.236100170605994,-23.317772027434195,-2030.4562413865888,-636.3340502030137,66.96422720561893,-712.2251164775909,0.0,0.0,727.0902756885189,0.0,4.0,0.03964102652699117,0.0,0.0,0.11275449044823191,263.9984568888889,-38.18293123836232,0.24881095851376875,6.916151282569244,0.002635016128903926,187.9493762262428,1.2417169049783763,0.37947778616123545,-2114.511284191404,84.05504280481516,0.16310503636991996,-649.3781433445291,13.044093141515441,0.24381603104819985,349.58474624923474,-282.6205190436158
2025-01-01 03:00:00,1.5212466369957875,0.33607881924479543,0.6394000000000001,1.5212466369957875,0.33607881924479543,0.6394000000000001,0.04009687880665628,0.0,0.6851830915224646,0.7459666666666666,0.05,0.6394000000000001,0.0,0.0,0.3214954859114621,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05955486943768611,0.04466615207826457,0.0,0.0,0.007218534128289475,0.0,0.0004190319126970043,0.0,0.0324593127656698,0.0,0.010843729347293966,0.0,0.36910577844426345,0.2768293338331975,0.1280108865758243,0.0,0.11766782771739676,0.0,0.0,0.0,10683.260053816322,19.222222222222253,0.8,5053.880088405899,18.738966844444445,0.7459666666666666,1.0,14991.173475555555,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,0.0,0.0,37.353443476134004,51.66666666666668,46.10666666666668,0.0,51.266810153569274,0.2838632345285026,772.6627693490784,0.0,37.353443476134004,48.379459319492824,51.266810153569274,46.935783902454595,12.43753247303448,16.371649839647386,-2.2921596626376592,7.734821302222724,4.559577427418675,0.5762929942757163,1.6500000000000001,9.236100170605994,10420.910908617712,1157.5698647235126,-604.8958417600805,171.3337983113411,-809.0679614747762,0.0,0.0,717.7623084336902,0.0,4.0,0.04198443070416261,0.0,0.0,0.11942004295937372,263.9984568888889,-171.04349215752399,0.23455825611831033,7.419121115966503,0.0026466043702985114,169.80703004224046,1.2374174011214294,0.4909606108464711,-3908.785637310105,12.475413627718517,0.16310503636991996,-621.2804859754762,16.384644215395593,0.30052330832440766,487.16620304352335,-315.8324047321822
2025-01-01 04:00:00,2.771987034246941,0.32942735516456756,0.6394000000000001,2.771987034246941,0.32942735516456756,0.6394000000000001,0.04573221374645749,1.1000131084444444,0.8302750453893727,0.7459666666666666,0.05,0.6394000000000001,0.0,0.0,0.3148440218312342,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.007218534128289475,0.0,0.0004908538125406084,0.0,0.03802282580562741,0.0,0.012314065529977892,0.0,0.3618467507365096,0.2713850630523822,0.20746591962288763,0.0,0.19070303112819476,0.0,0.0,0.0,10683.260053816322,19.222222222222253,0.8,5053.880088405899,18.738966844444445,0.7459666666666666,1.0,14991.173475555555,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,1100.0131084444445,0.2,37.1623255007938,51.66666666666668,46.10666666666668,0.0,51.41530831479209,0.21824048766377135,597.9083870579918,1100.0131084444445,37.1623255007938,49.6707696663873,51.41532405249998,48.79848460447702,12.43753247303448,17.818866035099074,-0.9033561871231832,8.55336591153795,4.54652277432076,0.6767075481288563,0.55,9.236100170605994,10124.605149493345,582.8765500574468,-841.1437877252962,-156.8104877567406,-1056.2938930893597,0.0,0.0,716.507492722081,0.0,4.0,0.04625977685095435,0.0,0.0,0.13158078950167332,263.9984568888889,-218.86850395569886,0.214608768495328,8.123537324585028,0.002656773988513233,188.08110346002397,1.2306742988637063,0.4577725822268789,-4446.9891960027735,-24.01434234567863,0.16310503636991996,-857.5896538092701,16.44586608397383,0.2891875201251099,157.7569323994041,-314.5674201561447
2025-01-01 05:00:00,3.4445909903916427,0.3418544949903417,0.6394000000000001,3.4445909903916423,0.3418544949903417,0.6394000000000001,0.06901516589171322,1.5583519036296296,1.0212572542036324,0.7459666666666666,0.05,0.6394000000000001,0.0,0.0,0.3272711616570083,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.008043509457236845,0.0,0.0007770789577753269,0.0,0.06019457747670105,0.0,0.017293158512248462,0.0,0.37841627050420856,0.2838122028781563,0.29574928967518027,0.0,0.27185325714019254,0.0,0.0,0.0,10683.260053816322,19.222222222222253,0.8,5053.880088405899,18.738966844444445,0.7459666666666666,1.0,14991.173475555555,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,1558.3519036296298,0.2833333333333333,36.21479003010677,51.66666666666668,46.10666666666668,0.0,51.398293027266035,0.33558665720513337,906.1338341019302,1558.3519036296298,36.21479003010677,49.74661313157046,51.39986224301512,48.91920396797359,12.43753247303448,18.70975601272972,-0.10640298015236584,8.932639232517277,3.9982920036285634,0.03236538877988659,-0.25000000000000006,9.236100170605994,10013.818120073805,184.81158158225372,-884.0059283878043,-383.6258942415944,-1217.562703242451,0.0,0.0,738.2013196975672,0.0,3.6670000000000003,0.048758808321149226,0.0,0.0,0.1386890065364683,242.02058535288887,-190.08055019763438,0.2038066944465076,8.555139464001517,0.00266981885624673,174.8538395676751,1.2262912413289122,0.4093128683695833,-4819.992277108273,-49.076229715373124,0.16310503636991996,-912.496686682755,28.49075829495076,0.22746695134146946,-1.2673938790357377,-382.35850036255863
2025-01-01 06:00:00,1.514394922957698,0.35669602141494094,0.33035666666666674,1.514394922957698,0.35669602141494094,0.33035666666666674,0.11427876255376312,0.0,0.964700049292824,0.385416111111111,0.05,0.33035666666666674,0.0,0.0,0.3421126880816076,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.009074728618421053,0.0,0.001340817124299238,0.0,0.10386321681104284,0.0,0.02566404973411946,0.0,0.39498579027190744,0.29623934270393043,0.2516076046490339,0.0,0.23127814413419365,0.0,0.0,0.0,5519.684361138434,19.222222222222253,0.41333333333333333,2611.1713790097147,9.681799536296296,0.385416111111111,0.5166666666666667,7745.439629037037,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,0.0,0.0,36.40166176330719,51.66666666666668,46.10666666666668,0.0,51.61152604576694,0.3258086441670285,889.3406201880721,0.0,36.40166176330719,50.28809691294771,51.61158168485817,49.626326707446864,12.43753247303448,19.029899000193684,-0.043352148990745874,7.7230020420699965,4.02239349016613,-0.3314798747848959,0.3,9.236100170605994,4987.611073989426,-2009.1835486222783,-771.9080053869473,-126.19054021301947,-1195.544533462201,0.0,0.0,782.9428039665482,0.0,3.25,0.048577024293738745,0.0,0.0,0.1381719420914207,214.4987462222222,-119.47155765335495,0.20039758724884024,8.713842544165278,0.002677867831626864,120.47252461103575,1.2249423353911044,0.47070085517890753,-4612.381022946659,-7.973904685334429,0.16310503636991996,-797.7943680332121,25.88636264626477,0.267271250387253,230.931125988171,-357.12166620119046
2025-01-01 07:00:00,2.911010955974704,0.3536661372329507,0.4475800000000001,2.911010955974704,0.3536661372329507,0.4475800000000001,0.09970507441618391,1.5583519036296296,0.6807773112622238,0.5221766666666666,0.05,0.4475800000000001,0.0,0.0,0.33908280389961737,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.008455997121710529,0.0,0.0011629623013137448,0.0,0.09008611499315965,0.0,0.025346590785585432,0.0,0.3877267625641536,0.2907950719231151,0.10594004406275113,0.0,0.09738027121439731,0.0,0.0,0.0,7478.282037671425,19.222222222222253,0.56,3537.7160618841294,13.117276791111111,0.5221766666666666,0.7,10493.821432888888,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,1558.3519036296298,0.2833333333333333,34.891272587956976,51.66666666666668,46.10666666666668,0.0,51.18496956971444,0.28627076666548795,773.1875572838863,1558.3519036296298,34.891272587956976,48.921549715557624,51.18496956971444,47.78983978847922,12.43753247303448,19.051642970876717,-0.010498545609715037,7.3390945987059,3.864317561285185,-0.6055134645859066,-0.55,9.236100170605994,6790.057328372724,-1427.7779240017946,-921.8112974477815,-344.5959007303531,-1292.6219185552577,0.0,0.0,693.042361041324,3.907738697853601,2.1670000000000003,0.04999543788508295,0.0,0.0,0.14220646177339627,143.02116401955556,-88.64515178476775,0.20061585897667303,8.73203364922404,0.002684772879176538,91.23948968688514,1.2248454260313701,0.47542659826235545,-4967.626609303517,2.132623417593409,0.16310503636991996,-948.8809272974772,27.069629849695662,0.26142267084966425,8.19368042549564,-352.7895811558487
2025-01-01 08:00:00,1.4395323952604628,0.3805560861722965,0.42626666666666674,1.4395323952604628,0.3805560861722965,0.42626666666666674,0.158280840756706,0.0,0.7339404433926456,0.49731111111111104,0.05,0.42626666666666674,0.0,0.0,0.3659727528389632,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.006393558799342106,0.0,0.0019357914425302788,0.0,0.14995149051483364,0.0,0.04265645766354621,0.0,0.4219704367507313,0.3164778275630484,0.10594004406275113,0.0,0.09738027121439731,0.0,0.0,0.0,7122.173369210882,19.222222222222253,0.5333333333333333,3369.2533922705993,12.492644562962964,0.49731111111111104,0.6666666666666666,9994.11565037037,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,0.0,0.0,37.36965774638421,51.66666666666668,46.10666666666668,0.0,51.597198316818584,0.04725636412924854,128.92290265118197,0.0,37.36965774638421,51.004474727914285,51.597198316818584,50.70811293346215,12.43753247303448,18.90744281598098,-0.05918806546244616,6.276956062359444,3.54024862580247,-1.065976320475142,-1.4,9.236100170605994,6512.0116360012635,-1687.6111029552312,-1032.9338823388339,-487.3464446406714,-1376.4978391627376,0.0,0.0,769.3843952080965,220.67144262815046,1.667,0.05124958678851301,0.0,0.0,0.145773748822741,110.02135690844443,-3.0482892549763307,0.20302953962454864,8.67587273093267,0.0026912570324750195,113.15621490463197,1.2260210805470957,0.5013933821613334,-5097.031582432124,40.167087206293,0.16310503636991996,-1065.1222492511326,32.1883669122986,0.2762492918416095,-123.84227444892082,-363.5041701917506
2025-01-01 09:00:00,1.1895603332721898,0.36043595502580505,0.31970000000000004,1.1895603332721898,0.36043595502580505,0.31970000000000004,0.11052685562705605,0.0,0.6560501443118004,0.3729833333333333,0.05,0.31970000000000004,0.0,0.0,0.3458526216924717,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.005156095805921053,0.0,0.0013429420325786344,0.0,0.10402781778855637,0.0,0.033951399127428866,0.0,0.395143595222076,0.2963576964165569,0.08386920154967797,0.0,0.07709271471139788,0.0,0.0,0.0,5341.630026908161,19.222222222222253,0.4,2526.9400442029496,9.369483422222222,0.3729833333333333,0.5,7495.586737777778,14991.173475555555,0.0,20.222222222222253,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,9387.36076,0.0,0.0,36.92860421524134,51.66666666666668,46.10666666666668,0.0,51.390848366413316,0.0,0.0,0.0,36.92860421524134,50.55030963474667,51.390848366413316,50.13004026891335,12.43753247303448,18.846581968986083,-0.057767923886061175,5.8857836762461915,3.387898189153909,-1.2301091500193502,-0.85,9.236100170605994,4796.346942091661,-1796.332747809577,-878.8419642995847,-98.07621103295787,-1307.6248833354812,0.0,0.0,643.9546462344575,656.7940246031653,1.0,0.050260763709759515,0.0,0.0,0.14296115156791492,65.99961422222222,118.3871522845233,0.20444314254758725,8.660005230689547,0.0026985568538701087,128.90950197208093,1.2268866926456776,0.4923172591600283,-4382.868290451776,59.59549843924997,0.16310503636991996,-912.3460825636544,33.50411826406971,0.2915551520517827,159.0773108541178,-257.15352188707567
