Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-22 10:00:00,1.0239516550411152,0.22242861756253493,0.41664541666666666,0.42507834941361355,0.4860863194444444,0.11278698618305737,0.41664541666666666,0.0,0.0,51.94279834677028,20.789161994245752,-0.06056770656261398
2025-01-22 11:00:00,0.9055531958001658,0.22242861756253493,0.3547902375984105,0.4279283237859928,0.36875513888888883,0.10886973312528414,0.3160758333333334,0.03871440426507711,0.0,51.54790938257739,20.836947493097362,-0.053327449294215096
2025-01-22 12:00:00,1.2056487475872337,0.21708998944897612,0.38791125000000004,0.6573072893417092,0.45256312499999996,0.09577833324552477,0.38791125000000004,0.0,0.0,51.557650504073756,20.846371965194486,-0.05444219299351574
2025-01-22 13:00:00,0.7742533731660332,0.1930532681974615,0.34042315426507713,0.3630481847502472,0.35199354166666663,0.0592116467491193,0.30170875,0.03871440426507711,0.0,50.79347700983198,20.828126805881514,-0.05740370912942409
2025-01-22 14:00:00,0.8884183730717818,0.1930532681974615,0.3591770833333333,0.4093320707605134,0.41903993055555555,0.06004637175571299,0.3591770833333333,0.0,0.0,51.099641178349216,20.77931607538067,-0.06776015539446742
2025-01-22 15:00:00,0.9472383836630223,0.1956326693318537,0.27297458333333335,0.564071355682266,0.31847034722222217,0.06469668075853413,0.27297458333333335,0.0,0.0,50.29467581559387,20.84224760542519,-0.05179138160257614
2025-01-22 16:00:00,1.2916758086036955,0.2038989661136008,0.3337989517847592,0.879263511484977,0.33523194444444443,0.07718035267427403,0.28734166666666666,0.04645728511809253,0.0,50.49686111322074,20.77308396466401,-0.069551169091004
2025-01-22 17:00:00,1.3566456972491097,0.21354203034599303,0.3160758333333334,0.888995923488234,0.36875513888888883,0.09889463487198676,0.3160758333333334,0.0,0.0,51.065213744090904,20.832361923463147,-0.05349122443848984
2025-01-22 18:00:00,1.1083736143062337,0.2185134173328345,0.2973219042650771,0.6864004440095924,0.30170875,0.12026442029664125,0.2586075,0.03871440426507711,0.0,51.577014392937066,20.79631539975007,-0.05730292279303288
2025-01-22 19:00:00,1.168648922607798,0.21617947606935126,0.30170875,0.691265110874444,0.35199354166666663,0.12539027006668738,0.30170875,0.0,0.0,50.80013675264185,20.74527697910348,-0.08059052043165173
2025-01-22 20:00:00,1.6607261681798755,0.25592288512379097,0.31168898759841046,1.1432160043398816,0.31847034722222217,0.19903981661777176,0.27297458333333335,0.03871440426507711,0.0,51.2004317338107,20.820464259762073,-0.05813999714248498
2025-01-22 21:00:00,1.353643426856446,0.24093929541854783,0.28734166666666666,0.8603717789066818,0.33523194444444443,0.15803970350531957,0.28734166666666666,0.0,0.0,51.52039146950938,20.826723262186555,-0.05983147355769756
2025-01-22 22:00:00,0.9433765405444987,0.202280533510631,0.2586075,0.5495131351983865,0.30170875,0.09215465534611221,0.2586075,0.0,0.0,50.73708053111605,20.813006576691787,-0.05676242988462299
2025-01-22 23:00:00,0.8461068417954032,0.18262526655983707,0.3304429166666667,0.41260278669179157,0.38551673611111104,0.04798731899250055,0.3304429166666667,0.0,0.0,49.89257715259733,20.784885140411976,-0.06368729904437902
2025-01-23 00:00:00,0.39865938342045365,0.17825140169628492,0.03871440426507711,0.3706451740848674,0.0,0.0280142093355862,0.0,0.03871440426507711,0.0,50.41369881672693,18.851794005149603,0.0
2025-01-23 01:00:00,0.5966545620557404,0.17693457619389794,0.172405,0.37596562772269,0.20113916666666665,0.01954976766638377,0.172405,0.0,0.0,50.98475777348192,17.432137529644844,-0.06921921212375153
2025-01-23 02:00:00,0.5812394722679237,0.16440860636723856,0.23985357093174378,0.3306853665664377,0.23466236111111108,0.01589174459037494,0.20113916666666667,0.03871440426507711,0.0,51.31887851608644,17.498292343517207,-0.04855944114634555
2025-01-23 03:00:00,0.6432840305186264,0.15907567033155612,0.24424041666666665,0.3434584388111717,0.28494715277777777,0.01487843892967688,0.24424041666666665,0.0,0.0,51.702573350558076,17.514595364507493,-0.0542936913865064
2025-01-23 04:00:00,0.7368270680063436,0.1584182062600087,0.2586075,0.42023987907666666,0.30170875,0.01487843892967688,0.2586075,0.0,0.0,50.85201649140561,17.51805605368231,-0.05847873182081488
2025-01-23 05:00:00,0.8235159036948585,0.1584182062600087,0.2586075,0.5065266113295092,0.30170875,0.015280542365349394,0.2586075,0.0,0.0,50.02528542564222,17.5035648796757,-0.05658552462637143
2025-01-23 06:00:00,0.7988718436570675,0.1643486644189804,0.2586075,0.47379312453082256,0.30170875,0.023369969126244963,0.2586075,0.0,0.0,49.22827500353737,17.50789418287748,-0.05343129237573905
