Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.29575518654198,51.666666666666686,46.10666666666668,0.0,49.1010513975475,0.0,0.0,0.0,128.58711747897183,48.50314255186106,49.1010513975475,48.204188129017844,12.43753247303448,17.854520040380216,0.0,6.443906862468151,3.416063122081021,2.8,9.236100170605994,280.12803815882603,-805.8613720848292,-81.0992300353085,-264.80036491543916,-0.0,-0.0,562.0265394195941,0.0,2.0,0.01349689947278566,0.0,0,0.12631762543856734,131.99922844444444,-17.098136345328932,0.22324997524775067,8.263687380926227,0.002777808557341555,91.98453835551314,1.2274239576990513,0.17381564030291044,-825.4176904664349,19.55631838160567,0.10873669091327998,-87.30095141670547,6.2017213813969985
2025-01-01 00:01:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.31055583542887,51.666666666666686,46.10666666666668,0.0,49.087058872452296,0.0,0.0,0.0,128.61024349285762,48.49032030540061,49.087058872452296,48.19195102187477,12.43753247303448,17.836141927239638,0.0,6.421783211000033,3.4551026384639716,2.8,9.236100170605994,278.2529817085938,-800.556949051285,-87.2224484382873,-264.29201760444613,-0.0,-0.0,562.0265394195941,0.0,2.0,0.013487454047884982,0.0,0,0.12622922560665648,131.99922844444444,-19.48154010655415,0.22418696672308241,8.278126456834377,0.0027781261226911013,91.98360258096469,1.2310869342417934,0.17378119595061,-820.2436648612888,19.68671581000389,0.10873669091327998,-92.83315550573943,5.610707067452118
2025-01-01 00:02:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.324505734294,51.666666666666686,46.10666666666668,0.0,49.073064453189524,0.0,0.0,0.0,128.63204020983437,48.47749575289694,49.073064453189524,48.17971140275066,12.43753247303448,17.818078570763817,-0.015254762569554714,6.400799711976843,3.4929954992769825,2.8,9.236100170605994,276.30475090815503,-795.3323713432236,-93.66705597041384,-263.7927573720032,-0.0,-0.0,562.0265394195941,0.0,2.0,0.01347816731968355,0.0,0,0.12614231101883847,131.99922844444444,-21.9290311394358,0.22446768522260274,8.269423135563182,0.002778442739935549,91.9825131310344,1.2311631251244457,0.17374852039412572,-815.3380907074173,20.00571936419363,0.10873669091327998,-98.20286955338791,4.5358135829740664
2025-01-01 00:03:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.3376354558719,51.666666666666686,46.10666666666668,0.0,49.05906828119891,0.0,0.0,0.0,128.65255539979984,48.4646690269028,49.05906828119891,48.16746939975474,12.43753247303448,17.800318710282525,-0.033014623050846126,6.380956038827283,3.529749992320173,2.8,9.236100170605994,274.303311407097,-790.5186074652045,-99.38596957134467,-263.30225373989157,-0.0,-0.0,562.0265394195941,0.0,2.0,0.013469033651862642,0.0,0,0.12605682892474657,131.99922844444444,-24.420974272605555,0.22474448849769868,8.261534461617213,0.002778759333836278,91.9812374294942,1.2312380411552255,0.17371761412289105,-810.7006055918288,20.181998126624265,0.10873669091327998,-103.4112680055959,4.025298434251221
2025-01-01 00:04:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.3499744584402,51.666666666666686,46.10666666666668,0.0,49.04507049282583,0.0,0.0,0.0,128.6718350913128,48.45184025520743,49.04507049282583,48.15522513639823,12.43753247303448,17.78285149566444,-0.05048183766893288,6.362203011606094,3.565430658463035,2.8,9.236100170605994,273.455362153745,-785.7992815516709,-105.37770191507369,-262.82018879517716,-0.0,-0.0,562.0265394195941,0.0,2.0,0.013460047609555843,0.0,0,0.12597272845940827,131.99922844444444,-25.750988470671924,0.22501751326049624,8.25380467915451,0.0027790759040829437,91.97978234363953,1.2313117277873247,0.17368840146456344,-806.3194511352498,20.520169583578934,0.10873669091327998,-108.46749680716992,3.089794892096241
2025-01-01 00:05:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.36149338078188,51.666666666666686,46.10666666666668,0.0,49.031071219507005,0.0,0.0,0.0,128.6898334074717,48.43900956101032,49.031071219507005,48.14297873176199,12.43753247303448,17.765687992444867,-0.06764534088850382,6.344518604310164,3.600047311459576,2.8,9.236100170605994,273.82558038938504,-781.4939729766594,-110.93806456656401,-262.3468499709825,-0.0,-0.0,562.0265394195941,0.0,2.0,0.01345121502853348,0.0,0,0.12589006423986004,131.99922844444444,-25.854109059226587,0.2252865860881444,8.246239942201033,0.0027793924503771317,91.97813957460177,1.231384137739087,0.17366084895433928,-802.1892391302034,20.695266153544004,0.10873669091327998,-113.37294664362766,2.434882077063643
2025-01-01 00:06:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.3721614909891,51.666666666666686,46.10666666666668,0.0,49.01707059756349,0.0,0.0,0.0,128.70650232967046,48.42617707208565,49.01707059756349,48.13073030934674,12.43753247303448,17.748839781536315,-0.0844935517970562,6.327840683232012,3.6336474592630945,2.8,9.236100170605994,274.6795188594583,-777.3509869685339,-116.1937943918959,-261.8825383179087,-0.0,-0.0,562.0265394195941,0.0,2.0,0.013442542014813406,0.0,0,0.1258088934123878,131.99922844444444,-25.464482242227067,0.22555152561733807,8.238199731325185,0.002779708972404005,91.97630043631959,1.2314552215327643,0.1736348605553444,-798.2952382516332,20.944251283099184,0.10873669091327998,-118.13434976264655,1.9405553707506424
2025-01-01 00:07:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.38198479317089,51.666666666666686,46.10666666666668,0.0,49.00306876842867,0.0,0.0,0.0,128.7218512393295,48.4133429209958,49.00306876842867,48.11847999727937,12.43753247303448,17.73230475822495,-0.10102857510842256,6.312132437600679,3.666270985444081,2.8,9.236100170605994,275.63168949393196,-773.4214995367208,-121.69951609212445,-261.42717754627733,-0.0,-0.0,562.0265394195941,0.0,2.0,0.013434027631117538,0.0,0,0.12572920720499597,131.99922844444444,-24.967672379384776,0.22581234469359243,8.230977409190833,0.0027800254698315337,91.9742657241806,1.2315249876178653,0.17361037959717296,-794.6286563311091,21.20715679438839,0.10873669091327998,-122.75735797736867,1.0578418852442182
2025-01-01 00:08:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.39098746182721,51.666666666666686,46.10666666666668,0.0,48.989065872531995,0.0,0.0,0.0,128.735917909105,48.40050723936769,48.989065872531995,48.10622792278555,12.43753247303448,17.71607404538263,-0.11725928795074125,6.297349697086618,3.69792721028603,2.8,9.236100170605994,276.6009340005494,-769.7214312690195,-126.62594752158395,-260.9805055430722,-0.0,-0.0,562.0265394195941,0.0,2.0,0.01342566744751357,0.0,0,0.1256509641579011,131.99922844444444,-24.4450998759725,0.22606915309902717,8.22392062143809,0.0027803419423282306,91.97204095437168,1.2315934731323401,0.17358733786513306,-791.1790047471579,21.457573478138404,0.10873669091327998,-127.24329204468951,0.6173445231055599
2025-01-01 00:09:00,0.559059542407052,0.31868068157702867,0.0,0.009317659040117533,0.005311344692950477,0.0,0.01729545227094242,0.5417640901361096,0.0,0.0,0.0,0.0,0.31868068157702867,0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0004496100351135859,0.0,On,0.01282480787910369,0,On,0.013312435996660368,0,On,0.36411646754987803,0.27308735066240847,On,0.05395163904464596,0,On,0.04959243965876499,0,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,6131.047644444445,Off,0.0,0,82.39919656228422,51.666666666666686,46.10666666666668,0.0,48.975062046273855,0.0,0.0,0.0,128.74874462856909,48.3876701550617,48.975062046273855,48.093974209455624,12.43753247303448,17.70013768470806,-0.13319564862531053,6.283445616630982,3.7286698135339837,2.8,9.236100170605994,277.29770042835406,-766.2409615181049,-131.79204718602458,-260.54223145589907,-0.0,-0.0,562.0265394195941,0.0,2.0,0.013417456469139957,0.0,0,0.12557411752414102,131.99922844444444,-24.18660753534094,0.22632207692579104,8.216378579416986,0.002780658389572023,91.9696324240788,1.231660719817415,0.1735656629014735,-787.9351919234936,21.6942304053887,0.10873669091327998,-131.59975880333394,-0.1922883826906454
