Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.6658387090737187,0.3186806815770287,0.09152500000000001,0.6658387090737187,0.31868068157702867,0.09152500000000001,0.01729545227094242,0.5417640901361096,0.10677916666666668,0.0,0.09152500000000001,0.0,0.3186806815770287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.004021034356725146,0.0,0.0004496100351135859,0.0,0.01282480787910369,0.0,0.013312435996660368,0.0,0.36411646754987803,0.27308735066240847,0.05395163904464596,0.0,0.04959243965876499,0.0,0.0,0.0,1432.9407795603868,18.33333333333337,0.2800000000000001,819.7050626618355,2.6823333444444444,0.10677916666666668,0.35,2145.8666755555555,6131.047644444445,0.0,0.0,80.92554190228388,51.66666666666668,46.10666666666668,0.0,48.69184523897011,0.0,0.0,0.0,126.44615922231856,48.12792904975975,48.69184523897011,47.845970955154584,12.43753247303448,17.988778004025885,-0.06646129501175958,7.401682375160658,4.126486852420424,2.8,9.236100170605994,1687.1080509507967,-226.6108403598525,-195.41649845571058,-268.5811413453274,0.0,0.0,562.0265394195941,0.0,2.0,0.0135653628768723,0.0,0.0,0.12695837516416936,131.99922844444444,-39.278126683856456,0.22278927244704352,8.359712576898826,0.0027871236780778927,91.48886490908086,1.230376466156762,0.17529307699373567,-1053.3773852127083,7.061482191020333,0.10873669091327999,-187.97353730065365,-7.442961155056962
2025-01-01 01:00:00,0.6906737590852431,0.3175408483041631,0.09588333333333333,0.6906737590852431,0.3175408483041631,0.09588333333333335,0.016993874694188036,0.5618159955021663,0.11186388888888892,0.0,0.09588333333333333,0.0,0.3175408483041631,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927133018900624,0.044453497641754665,0.0,0.0,0.0037194567799707597,0.0,0.0004496100351135859,0.0,0.01282480787910369,0.0,0.013312435996660368,0.0,0.36411646754987803,0.27308735066240847,0.06519156384561388,0.0,0.0599241979210077,0.0,0.0,0.0,1501.176054777548,18.33333333333337,0.2933333333333334,858.7386370743039,2.8100635037037036,0.11186388888888892,0.36666666666666664,2248.050802962963,6131.047644444445,0.0,0.0,78.92793126824759,51.66666666666668,46.10666666666668,0.0,47.877839685992434,0.0,0.0,0.0,123.32489260663685,47.380667063205955,47.877839685992434,47.13208075181273,12.43753247303448,17.98367666849543,-0.06426254633731834,7.7852282010154195,4.7091328077515415,2.5,9.236100170605994,1749.4588372464932,-30.889107662752675,-329.0633558409408,-270.3987382308961,0.0,0.0,560.2051841456857,0.0,2.0,0.013386041167354657,0.0,0.0,0.12528010138125156,131.99922844444444,-41.523663445844456,0.22437532923060816,8.379686098969707,0.002805991982846446,91.59096688211775,1.2304438163845097,0.13876576252891445,-892.1109925772873,2.483247840230819,0.10873669091327999,-313.43694637757204,-15.626409463368779
2025-01-01 02:00:00,0.6675822983248786,0.31640101503129764,0.10362621418634875,0.6675822983248786,0.31640101503129764,0.10362621418634876,0.016993874694188036,0.5387245347418016,0.11186388888888892,0.007742880853015421,0.09588333333333333,0.0,0.31640101503129764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.0037194567799707597,0.0,0.0004496100351135859,0.0,0.01282480787910369,0.0,0.013312435996660368,0.0,0.36411646754987803,0.27308735066240847,0.05395163904464596,0.0,0.04959243965876499,0.0,0.0,0.0,1501.176054777548,18.33333333333337,0.2933333333333334,858.7386370743039,2.8100635037037036,0.11186388888888892,0.36666666666666664,2248.050802962963,6131.047644444445,175.84266666666664,0.0,77.02273966200437,51.66666666666668,46.10666666666668,0.0,47.086004254841875,0.0,0.0,175.84266666666664,120.34803072188181,46.65237079377392,47.086004254841875,46.43555406323995,12.43753247303448,17.971676375966016,-0.060156709952382134,8.317266454813707,4.752220426975681,1.6500000000000001,9.236100170605994,1731.6466010638178,7.989654070532178,-455.4608718218083,-287.82343165394246,0.0,0.0,558.6854064485317,0.0,2.0,0.013459817058048308,0.0,0.0,0.12597057072540188,131.99922844444444,-40.39142850831957,0.2260600088005968,8.396291798765182,0.002825062756809016,93.50157023343489,1.2304801890605863,0.09708344959747604,-844.8905835678626,-5.858399435909236,0.10873669091327999,-441.5335485986217,-13.927323223186608
2025-01-01 03:00:00,0.687433151973099,0.3152611817584321,0.13459773759841046,0.6874331519730988,0.3152611817584321,0.13459773759841046,0.01679282297635178,0.5587764401078582,0.11186388888888892,0.03871440426507711,0.09588333333333333,0.0,0.3152611817584321,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623177479469822,0.042173831096023656,0.0,0.0,0.003518405062134503,0.0,0.0004496100351135859,0.0,0.01282480787910369,0.0,0.013312435996660368,0.0,0.36411646754987803,0.27308735066240847,0.06519156384561388,0.0,0.0599241979210077,0.0,0.0,0.0,1501.176054777548,18.33333333333337,0.2933333333333334,858.7386370743039,2.8100635037037036,0.11186388888888892,0.36666666666666664,2248.050802962963,6131.047644444445,879.2133333333333,0.0,91.24717509624907,51.66666666666668,46.10666666666668,0.0,51.89524093291431,0.0,0.0,879.2133333333333,142.57371108788917,51.91943366240126,51.93153002714474,51.89524093291431,12.43753247303448,17.95590096629447,-0.06256574680970761,8.14027575422979,4.639349131203313,1.6500000000000001,9.236100170605994,1727.7679247391827,-130.70037910236672,-437.13890357519574,-290.4558887188106,0.0,0.0,556.9645770335414,0.0,2.0,0.013603076637326194,0.0,0.0,0.1273113386485978,131.99922844444444,-39.91681835309599,0.2278122638597451,8.411212660215599,0.0028442398673795615,87.78648301557747,1.2305324802322086,0.11790866725538834,-984.6236232429997,-4.815392933671005,0.10873669091327999,-425.5376426879475,-11.601260887248303
2025-01-01 04:00:00,0.7432325444146141,0.3141213484855666,0.07844999999999999,0.7432325444146141,0.3141213484855666,0.07845,0.01679282297635178,0.6349147214382623,0.09152500000000001,0.0,0.07844999999999999,0.0,0.3141213484855666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.003518405062134503,0.0,0.0004496100351135859,0.0,0.01282480787910369,0.0,0.013312435996660368,0.0,0.36411646754987803,0.27308735066240847,0.10565529312909833,0.0,0.09711852766508144,0.0,0.0,0.0,1228.234953908903,18.33333333333337,0.24000000000000005,702.6043394244305,2.2991428666666662,0.09152500000000001,0.3,1839.3142933333334,6131.047644444445,0.0,0.0,89.52147981625531,51.66666666666668,46.10666666666668,0.0,51.305108999485476,0.0,0.0,0.0,139.87731221289894,51.33577800578485,51.35111250893454,51.305108999485476,12.43753247303448,17.972801139559735,-0.056858178218667274,7.877331521526354,4.635955793022688,0.55,9.236100170605994,1419.666949588816,-251.2723998229171,-596.3289553067194,-324.90679775866676,0.0,0.0,555.4447993363875,0.0,2.0,0.01414177274929247,0.0,0.0,0.13235300127887628,131.99922844444444,-39.106005897807705,0.22887225893417182,8.436059205892127,0.0028619053719193027,93.13487455807406,1.2298702893229314,0.10648774269266251,-952.0279751135356,-1.848764133811856,0.10873669091327999,-584.497334486386,-11.83162082033351
2025-01-01 05:00:00,0.8678433633095355,0.3256619616140936,0.08280833333333334,0.8678433633095354,0.3256619616140936,0.08280833333333334,0.02809314274220572,0.7431404983451074,0.09660972222222224,0.0,0.08280833333333334,0.0,0.3256619616140936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.0039205084978070175,0.0,0.0008187371379781375,0.0,0.023353897106420565,0.0,0.019863996479293537,0.0,0.3795039517212474,0.28462796379093547,0.15061499233297,0.0,0.13844556071405228,0.0,0.0,0.0,1296.4702291260642,18.33333333333337,0.25333333333333335,741.6379138368989,2.426873025925926,0.09660972222222224,0.31666666666666665,1941.4984207407408,6131.047644444445,0.0,0.0,86.09748511141294,51.66666666666668,46.10666666666668,0.0,50.4118492761456,0.07546558639489523,199.27948799865854,0.0,134.5273204865827,50.07483262450262,50.44867619997641,49.86949737485032,12.43753247303448,17.990831264798132,-0.058037670497217066,8.19052675121976,4.123460786960728,-0.25000000000000006,9.236100170605994,1497.9412472297406,-282.9276923522039,-630.969851555246,-347.7361218852491,0.0,0.0,587.607039864248,0.0,2.0,0.01445370835777483,0.0,0.0,0.13527240994993261,131.99922844444444,-38.39989987532264,0.23014783412104142,8.46442116941814,0.0028825274994658313,94.52487034290765,1.2291621076533918,0.09540560103360972,-1016.7758181557426,-7.7897880333600655,0.10873669091327999,-626.2407198492994,-4.72913170594668
2025-01-01 06:00:00,0.9438864277346904,0.37859884578714864,0.14183002271650297,0.9438864277346903,0.3785988457871486,0.14183002271650297,0.07624770125319805,0.8015373375926035,0.06610138888888889,0.08517168938316963,0.05665833333333334,0.0,0.37859884578714864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.00442313779239766,0.0,0.0024327277254878104,0.0,0.06939183573531256,0.0,0.05082168962247071,0.0,0.44704690855767937,0.33528518141825947,0.12813514273103416,0.0,0.11778204418956686,0.0,0.0,0.0,887.0585778230965,18.33333333333337,0.17333333333333337,507.43646736208865,1.6604920703703703,0.06610138888888889,0.21666666666666667,1328.3936562962963,6131.047644444445,1934.2693333333332,0.0,83.16402790647336,51.66666666666668,46.10666666666668,0.0,50.23255585345643,0.5000904942506339,1329.7832501042562,1934.2693333333332,129.94379360386463,48.88735253002311,50.23255585345643,48.214750868306446,12.43753247303448,17.96953435224773,-0.07064585051575166,7.512762284417231,4.14856690854333,0.3,9.236100170605994,1250.4446704874274,-552.3557115200297,-557.7500989074043,-330.30098480161166,0.0,0.0,732.5737967706071,0.0,2.0,0.014226514450699383,0.0,0.0,0.13314609976189667,131.99922844444444,-38.88671930466489,0.231891577032417,8.47526308983436,0.002900501825342565,85.7854139925827,1.22923879777787,0.1112915880092181,-1061.2728056410756,1.4806267589571787,0.10873669091327999,-549.8885621001823,-7.861536807222044
2025-01-01 07:00:00,0.8927886609298145,0.4050530598336889,0.10844773759841045,0.8927886609298145,0.4050530598336889,0.10844773759841045,0.09782333372776522,0.7136097716464936,0.08135555555555557,0.03871440426507711,0.06973333333333334,0.0,0.4050530598336889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.004121560215643275,0.0,0.00317371789491943,0.0,0.09052805561720252,0.0,0.06999494649816394,0.0,0.47927963855875844,0.3594597289190687,0.05395163904464596,0.0,0.04959243965876499,0.0,0.0,0.0,1091.7644034745804,18.33333333333337,0.21333333333333337,624.5371905994938,2.043682548148148,0.08135555555555557,0.26666666666666666,1634.9460385185187,6131.047644444445,879.2133333333333,0.0,87.14246976799318,51.66666666666668,46.10666666666668,0.0,51.5562878811213,0.3663025186020326,996.3974399932928,879.2133333333333,136.16010901248933,50.46718363849882,51.5562878811213,49.92263151718758,12.43753247303448,18.023278012194666,-0.051795723388855804,7.422514548060775,3.972903633437071,-0.55,9.236100170605994,1463.7474655300052,-560.4965909145034,-654.5383675350407,-359.4750639475181,0.0,0.0,772.2498796704015,2.088159958826378,1.4835,0.014684060243384749,0.0,0.0,0.13742827569259536,97.91042769866665,-40.791753667458416,0.23244825316775827,8.520215567523428,0.0029174878948128977,66.80431384616237,1.2289991836704215,0.11327231115587202,-1187.5655206464555,2.5317391324585534,0.10873669091327999,-648.1442606850046,-6.394106850036214
2025-01-01 08:00:00,0.7200531608483725,0.3342766512951017,0.13121319007872836,0.7200531608483725,0.3342766512951017,0.13121319007872836,0.029766109193594945,0.5733384405436663,0.11694861111111113,0.030971523412061684,0.10024166666666666,0.0,0.3342766512951017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.0031163016264619883,0.0,0.0009026400248553177,0.0,0.02574716754227764,0.0,0.02409216011345296,0.0,0.3833913161434881,0.287543487107616,0.05395163904464596,0.0,0.04959243965876499,0.0,0.0,0.0,1569.4113299947091,18.33333333333337,0.3066666666666667,897.7722114867722,2.9377936629629624,0.11694861111111113,0.38333333333333336,2350.234930370371,6131.047644444445,703.3706666666666,0.0,87.96430493571714,51.66666666666668,46.10666666666668,0.0,51.48416459408577,0.14640069196721925,398.55897599731713,703.3706666666666,137.44422646205803,50.75420222855228,51.50370632132795,50.36967931854337,12.43753247303448,18.01218597788159,-0.054019146204175486,7.116015328367185,3.644616170807089,-1.4,9.236100170605994,1657.3864634364184,-459.3642455661583,-727.8600568244203,-388.45676151191196,0.0,0.0,488.133988824695,134.60726103772146,0.2335,0.015137627817975997,0.0,0.0,0.14167321943792147,15.410909920888889,-11.702093871073847,0.2333511389782008,8.52795604952828,0.002925460584787375,14.048736152479261,1.229617835124336,0.12100369889444969,-1363.8181018030502,6.681644750119634,0.10873669091327999,-725.0816074161523,-2.7784494082680307
2025-01-01 09:00:00,0.6493636380461124,0.31982051484989416,0.09588333333333333,0.6493636380461123,0.31982051484989416,0.09588333333333335,0.01578756438717049,0.521712184770053,0.11186388888888892,0.0,0.09588333333333333,0.0,0.31982051484989416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.0025131464729532165,0.0,0.0004496100351135859,0.0,0.01282480787910369,0.0,0.013312435996660368,0.0,0.36411646754987803,0.27308735066240847,0.042711714243678055,0.0,0.039260681396522286,0.0,0.0,0.0,1501.176054777548,18.33333333333337,0.2933333333333334,858.7386370743039,2.8100635037037036,0.11186388888888892,0.36666666666666664,2248.050802962963,6131.047644444445,0.0,0.0,87.96870645321707,51.66666666666668,46.10666666666668,0.0,50.79998983869817,0.0,0.0,0.0,137.45110383315168,50.83363875487601,50.850463212964954,50.79998983869817,12.43753247303448,18.049231020142447,-0.03320908905962483,7.198280038506427,3.4801807856601363,-0.85,9.236100170605994,1592.640797904073,-414.04200569785473,-621.2111127722026,-371.71232147186544,0.0,0.0,430.03920078853173,345.18062400048086,0.0,0.014878491901011431,0.0,0.0,0.13924796364026132,0.0,33.13786380985871,0.23309661923529018,8.551939532141432,0.0029277246835200084,17.149745491729163,1.2300761547120047,0.11991769421673136,-1280.7964583492908,8.015815577132082,0.10873669091327999,-621.4693976030128,0.25828483081022224
